R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,Dz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas
155,25,1600,180,25,1900,200,100,0,0,0,0,7,75,10,10.0,16.0,0.001,0.003,0.03
sysTime,GRawX,GRawY,GRawZ,ARawX,ARawY,ARawZ,APT1X,APT1Y,APT1Z,APT2X,APT2Y,APT2Z,aRawR,aRawP,aPT1R,aPT1P,aPT2R,aPT2P
210.289,-0.953,0.134,-3.178,0.229,-0.158,9.893,0.219,-0.170,9.867,0.218,-0.161,9.860,-0.915,-1.331,-0.988,-1.273,-0.940,-1.271
210.300,-0.343,1.843,-0.615,0.229,-0.194,9.872,0.220,-0.172,9.871,0.219,-0.163,9.862,-1.126,-1.334,-1.000,-1.282,-0.951,-1.272
210.310,3.440,-0.476,-0.859,0.280,-0.100,9.872,0.218,-0.158,9.869,0.218,-0.163,9.864,-0.583,-1.626,-0.921,-1.268,-0.951,-1.268
210.320,-5.348,-2.307,-0.737,0.237,-0.143,9.857,0.222,-0.156,9.872,0.218,-0.162,9.865,-0.835,-1.378,-0.908,-1.292,-0.943,-1.271
210.330,0.266,8.069,0.727,0.215,-0.165,9.879,0.218,-0.149,9.872,0.219,-0.159,9.867,-0.958,-1.250,-0.865,-1.266,-0.928,-1.273
210.341,0.022,-0.598,5.610,0.244,-0.165,9.800,0.222,-0.149,9.857,0.219,-0.157,9.866,-0.966,-1.428,-0.868,-1.293,-0.913,-1.274
210.351,-1.075,-8.777,2.436,0.222,-0.129,9.836,0.226,-0.147,9.850,0.220,-0.155,9.863,-0.753,-1.297,-0.856,-1.316,-0.902,-1.282
210.361,3.196,-2.307,3.901,0.201,-0.172,9.857,0.225,-0.149,9.850,0.221,-0.153,9.860,-1.002,-1.169,-0.870,-1.313,-0.894,-1.290
210.371,3.807,6.237,-1.591,0.208,-0.143,9.857,0.225,-0.150,9.853,0.222,-0.153,9.858,-0.835,-1.211,-0.875,-1.312,-0.891,-1.296
210.381,-0.831,3.430,3.169,0.237,-0.150,9.872,0.228,-0.147,9.857,0.224,-0.152,9.857,-0.875,-1.376,-0.860,-1.325,-0.885,-1.302
