R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,Dz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas
175,25,1600,200,25,1900,200,100,0,0,0,0,7,75,10,10.0,16.0,0.001,0.003,0.03
sysTime,GRawX,GRawY,GRawZ,ARawX,ARawY,ARawZ,APT1X,APT1Y,APT1Z,APT2X,APT2Y,APT2Z,aRawR,aRawP,aPT1R,aPT1P,aPT2R,aPT2P
150.928,3.440,0.378,6.953,0.344,-0.086,9.857,0.301,-0.104,9.847,0.303,-0.106,9.850,-0.501,-2.004,-0.605,-1.754,-0.620,-1.763
150.938,-4.616,4.651,5.488,0.301,-0.165,9.836,0.300,-0.112,9.847,0.302,-0.107,9.849,-0.962,-1.757,-0.654,-1.750,-0.623,-1.760
150.948,-3.761,2.331,-1.957,0.308,-0.136,9.879,0.304,-0.115,9.853,0.302,-0.108,9.850,-0.791,-1.791,-0.670,-1.772,-0.631,-1.761
150.959,6.370,-5.969,7.319,0.287,-0.114,9.836,0.304,-0.110,9.849,0.303,-0.109,9.850,-0.669,-1.674,-0.642,-1.768,-0.634,-1.763
150.969,-2.662,0.012,3.779,0.294,-0.079,9.886,0.301,-0.111,9.855,0.303,-0.109,9.851,-0.458,-1.707,-0.646,-1.753,-0.638,-1.763
150.979,0.144,-0.109,-4.033,0.337,-0.079,9.857,0.307,-0.110,9.854,0.303,-0.110,9.851,-0.459,-1.962,-0.645,-1.786,-0.641,-1.765
150.990,2.464,0.134,-0.859,0.280,-0.129,9.879,0.305,-0.113,9.856,0.304,-0.110,9.852,-0.750,-1.625,-0.661,-1.775,-0.644,-1.769
151.000,-2.785,1.843,-4.887,0.273,-0.107,9.857,0.305,-0.117,9.848,0.304,-0.112,9.851,-0.626,-1.587,-0.683,-1.775,-0.651,-1.771
151.010,-5.714,0.256,-4.277,0.308,-0.093,9.865,0.303,-0.110,9.853,0.304,-0.112,9.851,-0.542,-1.794,-0.644,-1.764,-0.652,-1.770
151.021,1.975,2.941,5.488,0.287,-0.100,9.843,0.304,-0.107,9.858,0.304,-0.111,9.853,-0.585,-1.673,-0.626,-1.768,-0.648,-1.771
151.031,-4.738,1.110,1.460,0.287,-0.136,9.829,0.302,-0.110,9.855,0.304,-0.110,9.854,-0.795,-1.675,-0.643,-1.756,-0.645,-1.769
151.041,1.365,-1.818,-1.469,0.308,-0.114,9.836,0.299,-0.109,9.858,0.303,-0.110,9.855,-0.669,-1.799,-0.633,-1.741,-0.642,-1.762
151.052,-3.395,-0.354,-2.446,0.280,-0.122,9.879,0.301,-0.108,9.856,0.302,-0.110,9.855,-0.708,-1.625,-0.633,-1.752,-0.639,-1.761
151.062,-5.226,1.843,2.680,0.323,-0.107,9.836,0.306,-0.106,9.855,0.303,-0.109,9.855,-0.627,-1.883,-0.618,-1.784,-0.635,-1.765
151.072,-3.761,-0.598,-2.446,0.344,-0.079,9.893,0.307,-0.108,9.856,0.303,-0.109,9.855,-0.457,-1.997,-0.629,-1.784,-0.635,-1.767
151.083,0.633,3.064,0.605,0.294,-0.100,9.886,0.304,-0.109,9.855,0.304,-0.109,9.855,-0.582,-1.707,-0.637,-1.769,-0.636,-1.768
151.093,-1.320,6.482,2.436,0.308,-0.107,9.836,0.309,-0.110,9.852,0.305,-0.109,9.854,-0.627,-1.799,-0.642,-1.800,-0.638,-1.774
151.103,2.586,2.087,-2.568,0.316,-0.100,9.908,0.311,-0.109,9.858,0.306,-0.109,9.855,-0.581,-1.828,-0.638,-1.812,-0.638,-1.780
151.114,2.830,6.970,-2.812,0.287,-0.093,9.886,0.309,-0.108,9.860,0.307,-0.109,9.856,-0.541,-1.665,-0.630,-1.799,-0.638,-1.786
151.124,3.318,-2.673,-7.329,0.273,-0.107,9.843,0.310,-0.110,9.854,0.308,-0.109,9.856,-0.627,-1.589,-0.642,-1.803,-0.639,-1.792
151.134,-3.639,0.988,-3.666,0.308,-0.093,9.893,0.309,-0.105,9.855,0.308,-0.109,9.855,-0.540,-1.789,-0.612,-1.802,-0.635,-1.794
151.145,6.980,1.721,-2.202,0.301,-0.086,9.857,0.309,-0.103,9.855,0.308,-0.108,9.855,-0.501,-1.754,-0.602,-1.798,-0.630,-1.795
151.155,-7.301,0.134,8.052,0.316,-0.136,9.836,0.304,-0.104,9.851,0.308,-0.107,9.855,-0.795,-1.841,-0.608,-1.772,-0.624,-1.791
151.165,5.149,6.237,-1.469,0.316,-0.086,9.807,0.309,-0.101,9.849,0.308,-0.106,9.854,-0.503,-1.847,-0.589,-1.800,-0.619,-1.791
151.175,0.633,-1.696,-0.370,0.258,-0.122,9.879,0.305,-0.101,9.854,0.308,-0.105,9.853,-0.708,-1.500,-0.592,-1.774,-0.613,-1.791
151.186,0.266,-3.161,-0.370,0.337,-0.093,9.850,0.310,-0.097,9.850,0.308,-0.104,9.853,-0.543,-1.964,-0.569,-1.805,-0.604,-1.791
151.196,3.318,2.697,7.441,0.287,-0.100,9.879,0.310,-0.104,9.850,0.308,-0.103,9.852,-0.583,-1.667,-0.605,-1.807,-0.603,-1.796
151.206,2.830,5.261,3.413,0.273,-0.079,9.865,0.304,-0.099,9.854,0.308,-0.103,9.852,-0.459,-1.586,-0.580,-1.772,-0.600,-1.794
151.217,1.243,-7.922,4.267,0.316,-0.086,9.850,0.302,-0.094,9.852,0.307,-0.101,9.852,-0.501,-1.839,-0.548,-1.759,-0.591,-1.786
151.227,-3.639,-3.161,-1.957,0.323,-0.093,9.850,0.304,-0.094,9.848,0.306,-0.100,9.851,-0.543,-1.880,-0.547,-1.772,-0.581,-1.782
151.237,-1.198,-0.842,-1.713,0.308,-0.093,9.836,0.301,-0.094,9.851,0.305,-0.098,9.851,-0.544,-1.799,-0.549,-1.752,-0.574,-1.775
151.248,-1.686,-0.964,4.023,0.265,-0.136,9.821,0.304,-0.103,9.843,0.305,-0.099,9.850,-0.796,-1.551,-0.604,-1.770,-0.576,-1.775
151.258,-3.395,-7.678,-4.643,0.316,-0.107,9.893,0.304,-0.103,9.851,0.304,-0.100,9.850,-0.624,-1.831,-0.599,-1.772,-0.582,-1.774
151.268,0.144,-0.476,6.465,0.287,-0.079,9.843,0.301,-0.097,9.851,0.304,-0.100,9.850,-0.460,-1.673,-0.569,-1.755,-0.581,-1.771
151.279,-0.953,1.355,-1.469,0.352,-0.100,9.850,0.305,-0.090,9.851,0.304,-0.098,9.850,-0.584,-2.047,-0.526,-1.778,-0.571,-1.768
151.289,5.271,1.477,1.093,0.316,-0.114,9.865,0.308,-0.094,9.849,0.304,-0.097,9.850,-0.667,-1.836,-0.551,-1.793,-0.565,-1.773
151.299,-5.836,-6.091,3.413,0.352,-0.129,9.879,0.313,-0.095,9.853,0.305,-0.096,9.850,-0.749,-2.041,-0.557,-1.822,-0.561,-1.780
151.310,-2.174,-1.696,-0.737,0.316,-0.093,9.821,0.313,-0.095,9.853,0.307,-0.096,9.851,-0.544,-1.844,-0.552,-1.822,-0.559,-1.788
151.320,0.022,4.773,6.343,0.294,-0.114,9.857,0.314,-0.097,9.855,0.309,-0.096,9.852,-0.668,-1.712,-0.565,-1.826,-0.558,-1.797
151.330,0.144,5.871,1.826,0.251,-0.114,9.850,0.306,-0.100,9.853,0.309,-0.096,9.852,-0.668,-1.463,-0.582,-1.780,-0.563,-1.798
