R
Px,I,D,Py,I,D,Pz,I,D,FFrx,y,FFdrx,y,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas
155,25,1600,180,25,1900,200,100,0,0,0,0,7,75,10,10.0,16.0,0.001,0.003,0.03
sysTime,GRawX,GRawY,GRawZ,ARawX,ARawY,ARawZ,APT1X,APT1Y,APT1Z,APT2X,APT2Y,APT2Z,aRawR,aRawP,aPT1R,aPT1P,aPT2R,aPT2P
284.765,3.562,3.918,7.197,0.150,-0.402,9.865,0.176,-0.407,9.863,0.185,-0.408,9.864,-2.336,-0.875,-2.369,-1.024,-2.372,-1.076
284.776,-1.564,0.622,0.239,0.201,-0.409,9.865,0.172,-0.410,9.866,0.182,-0.408,9.865,-2.377,-1.167,-2.383,-1.001,-2.374,-1.061
284.786,-0.709,-4.748,-1.225,0.237,-0.409,9.872,0.179,-0.412,9.867,0.181,-0.409,9.865,-2.376,-1.375,-2.393,-1.043,-2.377,-1.053
284.796,-4.860,0.256,-0.981,0.150,-0.438,9.836,0.178,-0.413,9.862,0.181,-0.410,9.865,-2.552,-0.878,-2.403,-1.038,-2.380,-1.051
284.807,-4.494,-1.696,-10.991,0.287,-0.423,9.879,0.190,-0.417,9.863,0.181,-0.411,9.864,-2.457,-1.665,-2.425,-1.104,-2.388,-1.053
284.817,2.220,6.726,-1.347,0.201,-0.402,9.800,0.188,-0.418,9.860,0.182,-0.413,9.864,-2.351,-1.175,-2.430,-1.092,-2.398,-1.061
284.827,-8.888,0.134,-5.131,0.158,-0.452,9.850,0.191,-0.420,9.859,0.184,-0.414,9.863,-2.632,-0.918,-2.440,-1.110,-2.406,-1.073
284.838,-1.198,5.749,8.540,0.201,-0.388,9.893,0.188,-0.416,9.866,0.185,-0.415,9.863,-2.246,-1.164,-2.418,-1.096,-2.410,-1.078
284.848,-1.564,6.115,5.854,0.208,-0.366,9.836,0.187,-0.412,9.866,0.185,-0.415,9.864,-2.134,-1.213,-2.395,-1.090,-2.410,-1.078
284.859,2.952,7.214,8.174,0.158,-0.380,9.879,0.183,-0.407,9.870,0.185,-0.413,9.865,-2.208,-0.916,-2.363,-1.063,-2.402,-1.077
284.869,3.562,1.843,-0.737,0.222,-0.388,9.857,0.186,-0.404,9.868,0.185,-0.412,9.866,-2.254,-1.294,-2.349,-1.085,-2.393,-1.076
284.879,0.266,-0.109,-0.737,0.136,-0.445,9.901,0.182,-0.410,9.866,0.185,-0.411,9.866,-2.577,-0.789,-2.383,-1.061,-2.388,-1.076
284.889,-1.564,0.866,-1.347,0.158,-0.452,9.865,0.176,-0.412,9.865,0.183,-0.411,9.866,-2.628,-0.917,-2.396,-1.023,-2.386,-1.067
284.900,-3.395,-0.109,-5.131,0.194,-0.459,9.893,0.180,-0.416,9.860,0.182,-0.411,9.864,-2.661,-1.122,-2.420,-1.047,-2.390,-1.062
284.910,2.464,0.744,0.117,0.158,-0.402,9.886,0.180,-0.414,9.865,0.182,-0.412,9.864,-2.331,-0.915,-2.406,-1.045,-2.393,-1.059
284.920,1.975,4.528,5.610,0.186,-0.431,9.879,0.185,-0.419,9.867,0.182,-0.413,9.865,-2.499,-1.082,-2.433,-1.073,-2.400,-1.060
284.931,-0.831,3.186,-2.934,0.179,-0.388,9.829,0.183,-0.417,9.860,0.183,-0.414,9.864,-2.261,-1.046,-2.425,-1.067,-2.406,-1.063
284.941,1.243,-4.626,-3.056,0.194,-0.373,9.879,0.183,-0.414,9.865,0.182,-0.414,9.864,-2.166,-1.124,-2.406,-1.062,-2.409,-1.062
284.951,-1.564,-2.795,3.779,0.150,-0.438,9.879,0.176,-0.422,9.863,0.182,-0.416,9.864,-2.541,-0.874,-2.456,-1.022,-2.416,-1.057
284.962,1.975,5.261,6.953,0.208,-0.395,9.793,0.178,-0.419,9.854,0.180,-0.417,9.862,-2.311,-1.218,-2.436,-1.038,-2.422,-1.049
284.972,-4.982,1.355,-0.370,0.150,-0.337,9.850,0.175,-0.408,9.857,0.180,-0.416,9.861,-1.964,-0.877,-2.375,-1.017,-2.420,-1.045
284.983,3.684,11.120,3.047,0.201,-0.388,9.836,0.177,-0.406,9.856,0.179,-0.414,9.860,-2.259,-1.171,-2.360,-1.032,-2.408,-1.041
284.994,-3.639,-1.452,-4.155,0.158,-0.452,9.850,0.177,-0.409,9.860,0.179,-0.412,9.861,-2.632,-0.918,-2.379,-1.030,-2.398,-1.040
285.004,-5.836,0.378,6.465,0.179,-0.395,9.857,0.178,-0.406,9.860,0.179,-0.412,9.860,-2.296,-1.043,-2.362,-1.037,-2.393,-1.040
285.016,4.417,-2.185,4.634,0.165,-0.409,9.850,0.180,-0.413,9.860,0.179,-0.412,9.860,-2.381,-0.960,-2.401,-1.050,-2.393,-1.042
285.026,4.173,6.726,-0.248,0.179,-0.388,9.843,0.184,-0.409,9.862,0.180,-0.411,9.861,-2.257,-1.045,-2.376,-1.073,-2.391,-1.047
285.036,1.243,3.308,-0.859,0.136,-0.380,9.865,0.177,-0.406,9.861,0.180,-0.411,9.861,-2.211,-0.792,-2.362,-1.031,-2.388,-1.047
285.046,-3.761,-5.603,3.901,0.201,-0.452,9.843,0.181,-0.411,9.860,0.180,-0.410,9.861,-2.633,-1.170,-2.391,-1.052,-2.386,-1.047
285.057,0.755,0.622,-0.248,0.201,-0.431,9.879,0.179,-0.414,9.860,0.180,-0.411,9.861,-2.499,-1.166,-2.408,-1.042,-2.389,-1.045
285.067,2.586,-1.208,-7.695,0.179,-0.467,9.886,0.178,-0.419,9.859,0.179,-0.412,9.860,-2.705,-1.040,-2.437,-1.038,-2.394,-1.044
285.077,-3.273,-2.185,-1.713,0.172,-0.373,9.829,0.179,-0.418,9.854,0.179,-0.413,9.859,-2.177,-1.004,-2.434,-1.043,-2.402,-1.044
285.088,4.417,3.552,-4.277,0.165,-0.409,9.836,0.180,-0.420,9.851,0.179,-0.415,9.858,-2.385,-0.962,-2.443,-1.048,-2.411,-1.045
285.100,3.562,-0.720,-6.230,0.201,-0.474,9.836,0.184,-0.427,9.851,0.180,-0.417,9.856,-2.760,-1.170,-2.487,-1.072,-2.423,-1.049
285.112,6.980,-0.109,-0.737,0.186,-0.416,9.886,0.189,-0.428,9.860,0.182,-0.419,9.856,-2.414,-1.082,-2.486,-1.101,-2.437,-1.058
285.123,-4.494,3.186,-8.672,0.194,-0.388,9.872,0.191,-0.422,9.864,0.184,-0.420,9.858,-2.251,-1.125,-2.455,-1.109,-2.443,-1.069
285.134,-7.667,-8.532,-1.347,-0.553,0.344,9.534,0.168,-0.411,9.874,0.184,-0.422,9.863,2.069,3.320,-2.387,-0.975,-2.454,-1.070
285.145,3.807,-0.109,-5.742,0.876,-1.681,10.324,0.181,-0.441,9.829,0.177,-0.422,9.854,-9.220,-4.792,-2.571,-1.059,-2.457,-1.033
285.155,1.609,8.069,21.358,0.919,-0.524,10.389,0.159,-0.479,9.949,0.172,-0.428,9.865,-2.880,-5.054,-2.757,-0.917,-2.488,-1.001
285.166,-6.813,-11.340,-20.513,0.273,0.122,9.125,0.118,-0.352,9.803,0.160,-0.423,9.866,0.766,-1.714,-2.062,-0.691,-2.460,-0.934
285.177,2.708,0.134,10.859,1.472,-2.019,11.021,0.259,-0.462,9.927,0.174,-0.417,9.864,-10.296,-7.492,-2.668,-1.494,-2.423,-1.013
285.189,-2.418,-1.208,-7.695,0.201,0.876,9.239,0.276,-0.382,9.852,0.196,-0.419,9.871,5.420,-1.242,-2.221,-1.609,-2.433,-1.140
285.201,-0.221,2.209,6.098,0.977,-1.005,9.958,0.347,-0.482,9.950,0.220,-0.427,9.882,-5.743,-5.578,-2.774,-1.997,-2.475,-1.276
285.212,6.248,-1.696,-9.770,-0.488,-1.580,9.556,0.325,-0.449,9.756,0.252,-0.426,9.862,-9.385,2.889,-2.640,-1.907,-2.478,-1.468
285.224,-2.540,-2.917,2.925,-0.948,0.790,11.108,0.202,-0.453,9.982,0.253,-0.439,9.874,4.057,4.870,-2.604,-1.161,-2.546,-1.470
285.235,2.586,11.243,5.610,-0.847,-1.257,8.650,0.127,-0.440,9.793,0.232,-0.439,9.875,-8.235,5.542,-2.575,-0.747,-2.546,-1.348
285.247,0.388,-8.899,-1.347,1.278,-0.416,10.109,0.347,-0.482,9.870,0.249,-0.444,9.867,-2.343,-7.207,-2.800,-2.013,-2.577,-1.448
285.259,2.097,6.726,2.070,0.905,-0.308,9.599,0.288,-0.428,9.812,0.260,-0.445,9.858,-1.836,-5.387,-2.499,-1.681,-2.589,-1.510
285.270,-4.494,-2.429,16.475,-0.725,-0.740,9.951,0.276,-0.499,9.876,0.268,-0.453,9.859,-4.244,4.161,-2.895,-1.601,-2.632,-1.560
285.282,6.004,0.134,1.704,-0.093,-0.122,9.491,0.219,-0.436,9.802,0.263,-0.452,9.849,-0.737,0.564,-2.547,-1.284,-2.631,-1.533
285.294,-6.447,0.744,-6.108,0.560,-0.388,10.195,0.158,-0.431,9.861,0.243,-0.453,9.844,-2.177,-3.145,-2.506,-0.920,-2.635,-1.415
285.306,0.633,-3.894,14.033,0.273,-0.402,8.859,0.189,-0.471,9.806,0.224,-0.455,9.847,-2.600,-1.764,-2.756,-1.103,-2.650,-1.306
285.317,-1.075,-1.208,-7.451,0.467,-0.596,10.432,0.207,-0.509,9.818,0.222,-0.466,9.833,-3.270,-2.560,-2.974,-1.210,-2.714,-1.292
