R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha,FFDTermC,IRelaxR,IRelaxE,DmaxR,DmaxE,DMx,DMy
40,5,25,50,5,25,350,10,0,0,0,0,7,75,10,10.0,64.0,0.000100,0.003000,50,30,0,30,0,75,300,0,0,0.995,10.000,300,100,300,100,25,25
sysTime,PIDRefX,PIDRefY,PIDRefZ,PIDSensX,PIDSensY,PIDSensZ,PIDPoutX,PIDIoutX,PIDDoutX
88.771,-105.167,63.667,1.000,-91.991,57.953,6.221,-0.461,-0.010,-1.002
88.777,-105.167,63.667,1.000,-91.991,57.953,6.221,-0.461,-0.010,-1.002
88.782,-105.167,63.667,1.000,-91.991,57.953,6.221,-0.461,-0.010,-1.002
88.789,-105.167,63.667,1.000,-91.991,57.953,6.221,-0.461,-0.010,-1.002
88.795,-105.167,63.667,1.000,-91.991,57.953,6.221,-0.461,-0.010,-1.002
88.801,-105.167,63.667,1.000,-91.991,57.953,6.221,-0.461,-0.010,-1.002
88.807,-105.167,63.667,1.000,-91.991,57.953,6.221,-0.461,-0.010,-1.002
88.813,-105.167,63.667,1.000,-91.991,57.953,6.221,-0.461,-0.010,-1.002
88.819,-105.167,63.667,1.000,-91.991,57.953,6.221,-0.461,-0.010,-1.002
88.824,-105.167,63.667,1.000,-91.991,57.953,6.221,-0.461,-0.010,-1.002
88.830,-105.167,63.667,1.000,-91.991,57.953,6.221,-0.461,-0.010,-1.002
88.836,-105.167,63.667,1.000,-91.991,57.953,6.221,-0.461,-0.010,-1.002
88.842,-105.167,63.667,1.000,-91.991,57.953,6.221,-0.461,-0.010,-1.002
88.849,-105.167,63.667,1.000,-91.991,57.953,6.221,-0.461,-0.010,-1.002
88.855,-105.167,63.667,1.000,-91.991,57.953,6.221,-0.461,-0.010,-1.002
88.861,-105.167,63.667,1.000,-91.991,57.953,6.221,-0.461,-0.010,-1.002
88.866,-105.167,63.667,1.000,-91.991,57.953,6.221,-0.461,-0.010,-1.002
88.872,-105.167,63.667,1.000,-91.991,57.953,6.221,-0.461,-0.010,-1.002
88.878,-105.167,63.667,1.000,-91.991,57.953,6.221,-0.461,-0.010,-1.002
88.884,-105.167,63.667,1.000,-91.991,57.953,6.221,-0.461,-0.010,-1.002
88.890,-105.167,63.667,1.000,-91.991,57.953,6.221,-0.461,-0.010,-1.002
88.896,-105.167,63.667,1.000,-91.991,57.953,6.221,-0.461,-0.010,-1.002
88.903,-105.167,63.667,1.000,-91.991,57.953,6.221,-0.461,-0.010,-1.002
88.909,-105.167,63.667,1.000,-91.991,57.953,6.221,-0.461,-0.010,-1.002
88.914,-105.167,63.667,1.000,-91.991,57.953,6.221,-0.461,-0.010,-1.002
88.920,-105.167,63.667,1.000,-91.991,57.953,6.221,-0.461,-0.010,-1.002
88.926,-105.167,63.667,1.000,-91.991,57.953,6.221,-0.461,-0.010,-1.002
88.932,-105.167,63.667,1.000,-91.991,57.953,6.221,-0.461,-0.010,-1.002
88.938,-105.167,63.667,1.000,-91.991,57.953,6.221,-0.461,-0.010,-1.002
88.944,-105.167,63.667,1.000,-91.991,57.953,6.221,-0.461,-0.010,-1.002
88.950,-105.167,63.667,1.000,-91.991,57.953,6.221,-0.461,-0.010,-1.002
88.955,-105.167,63.667,1.000,-91.991,57.953,6.221,-0.461,-0.010,-1.002
88.962,-105.167,63.667,1.000,-91.991,57.953,6.221,-0.461,-0.010,-1.002
88.968,-105.167,63.667,1.000,-91.991,57.953,6.221,-0.461,-0.010,-1.002
88.974,-105.167,63.667,1.000,-91.991,57.953,6.221,-0.461,-0.010,-1.002
88.980,-105.167,63.667,1.000,-91.991,57.953,6.221,-0.461,-0.010,-1.002
88.986,-105.167,63.667,1.000,-91.991,57.953,6.221,-0.461,-0.010,-1.002
88.992,-105.167,63.667,1.000,-91.991,57.953,6.221,-0.461,-0.010,-1.002
88.997,-105.167,63.667,1.000,-91.991,57.953,6.221,-0.461,-0.010,-1.002
89.003,-105.167,63.667,1.000,-91.991,57.953,6.221,-0.461,-0.010,-1.002
89.009,-105.167,63.667,1.000,-91.991,57.953,6.221,-0.461,-0.010,-1.002
89.015,-105.167,63.667,1.000,-91.991,57.953,6.221,-0.461,-0.010,-1.002
89.022,-105.167,63.667,1.000,-91.991,57.953,6.221,-0.461,-0.010,-1.002
89.028,-105.167,63.667,1.000,-91.991,57.953,6.221,-0.461,-0.010,-1.002
89.034,-105.167,63.667,1.000,-91.991,57.953,6.221,-0.461,-0.010,-1.002
89.039,-105.167,63.667,1.000,-91.991,57.953,6.221,-0.461,-0.010,-1.002
89.045,-105.167,63.667,1.000,-91.991,57.953,6.221,-0.461,-0.010,-1.002
89.051,-105.167,63.667,1.000,-91.991,57.953,6.221,-0.461,-0.010,-1.002
89.057,-105.167,63.667,1.000,-91.991,57.953,6.221,-0.461,-0.010,-1.002
89.063,-105.167,63.667,1.000,-91.991,57.953,6.221,-0.461,-0.010,-1.002
89.069,-105.167,63.667,1.000,-91.991,57.953,6.221,-0.461,-0.010,-1.002
89.075,-105.167,63.667,1.000,-91.991,57.953,6.221,-0.461,-0.010,-1.002
89.081,-105.167,63.667,1.000,-91.991,57.953,6.221,-0.461,-0.010,-1.002
89.087,-105.167,63.667,1.000,-91.991,57.953,6.221,-0.461,-0.010,-1.002
89.093,-105.167,63.667,1.000,-91.991,57.953,6.221,-0.461,-0.010,-1.002
89.099,-105.167,63.667,1.000,-91.991,57.953,6.221,-0.461,-0.010,-1.002
89.105,-105.167,63.667,1.000,-91.991,57.953,6.221,-0.461,-0.010,-1.002
89.111,-105.167,63.667,1.000,-91.991,57.953,6.221,-0.461,-0.010,-1.002
89.117,-105.167,63.667,1.000,-91.991,57.953,6.221,-0.461,-0.010,-1.002
89.123,-105.167,63.667,1.000,-91.991,57.953,6.221,-0.461,-0.010,-1.002
89.128,-105.167,63.667,1.000,-91.991,57.953,6.221,-0.461,-0.010,-1.002
89.135,-105.167,63.667,1.000,-91.991,57.953,6.221,-0.461,-0.010,-1.002
89.141,-105.167,63.667,1.000,-91.991,57.953,6.221,-0.461,-0.010,-1.002
89.147,-105.167,63.667,1.000,-91.991,57.953,6.221,-0.461,-0.010,-1.002
89.153,-105.167,63.667,1.000,-91.991,57.953,6.221,-0.461,-0.010,-1.002
89.159,-105.167,63.667,1.000,-91.991,57.953,6.221,-0.461,-0.010,-1.002
89.165,-105.167,63.667,1.000,-91.991,57.953,6.221,-0.461,-0.010,-1.002
89.170,-105.167,63.667,1.000,-91.991,57.953,6.221,-0.461,-0.010,-1.002
89.176,-105.167,63.667,1.000,-91.991,57.953,6.221,-0.461,-0.010,-1.002
89.182,-105.167,63.667,1.000,-91.991,57.953,6.221,-0.461,-0.010,-1.002
89.188,-105.167,63.667,1.000,-91.991,57.953,6.221,-0.461,-0.010,-1.002
89.195,-105.167,63.667,1.000,-91.991,57.953,6.221,-0.461,-0.010,-1.002
89.201,-105.167,63.667,1.000,-91.991,57.953,6.221,-0.461,-0.010,-1.002
89.207,-105.167,63.667,1.000,-91.991,57.953,6.221,-0.461,-0.010,-1.002
89.212,-105.167,63.667,1.000,-91.991,57.953,6.221,-0.461,-0.010,-1.002
89.218,-105.167,63.667,1.000,-91.991,57.953,6.221,-0.461,-0.010,-1.002
89.224,-105.167,63.667,1.000,-91.991,57.953,6.221,-0.461,-0.010,-1.002
89.230,-105.167,63.667,1.000,-91.991,57.953,6.221,-0.461,-0.010,-1.002
89.236,-105.167,63.667,1.000,-91.991,57.953,6.221,-0.461,-0.010,-1.002
89.242,-105.167,63.667,1.000,-91.991,57.953,6.221,-0.461,-0.010,-1.002
89.248,-105.167,63.667,1.000,-91.991,57.953,6.221,-0.461,-0.010,-1.002
89.254,-105.167,63.667,1.000,-91.991,57.953,6.221,-0.461,-0.010,-1.002
89.260,-105.167,63.667,1.000,-91.991,57.953,6.221,-0.461,-0.010,-1.002
89.266,-105.167,63.667,1.000,-91.991,57.953,6.221,-0.461,-0.010,-1.002
