R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,GparamC,AparamC,KFQAng,KFQbias,KFRmeas
35,1,34,40,1,28,200,0,0,0,0,0,2147483648,10000000,10.0,64.0,0.000100,0.003000,50,
sysTickMs,GRawXi,PIDdtick,PIDRefXi,PIDSensXi,PIDPoutXi,PIDIoutXi,PIDDoutXi
223408,-4.700,5250,555008,-21246976,1490370,3181,-4220
223413,0.183,5250,555008,-21246976,1490370,3181,-4220
223418,-1.282,5250,555008,-21246976,1490370,3181,-4220
223423,1.404,5250,555008,-21246976,1490370,3181,-4220
223428,6.775,5250,555008,-21246976,1490370,3181,-4220
223433,-5.676,5250,555008,-21246976,1490370,3181,-4220
223438,3.601,5250,555008,-21246976,1490370,3181,-4220
223443,-1.404,5250,555008,-21246976,1490370,3181,-4220
223448,-0.671,5250,555008,-21246976,1490370,3181,-4220
223453,2.014,5250,555008,-21246976,1490370,3181,-4220
223458,-1.526,5250,555008,-21246976,1490370,3181,-4220
223463,-2.747,5250,555008,-21246976,1490370,3181,-4220
223468,2.991,5250,555008,-21246976,1490370,3181,-4220
223473,5.554,5250,555008,-21246976,1490370,3181,-4220
223478,4.333,5250,555008,-21246976,1490370,3181,-4220
223483,2.991,5250,555008,-21246976,1490370,3181,-4220
223488,-0.671,5250,555008,-21246976,1490370,3181,-4220
223493,3.723,5250,555008,-21246976,1490370,3181,-4220
223498,1.038,5250,555008,-21246976,1490370,3181,-4220
223503,-1.404,5250,555008,-21246976,1490370,3181,-4220
223508,-5.188,5250,555008,-21246976,1490370,3181,-4220
223513,2.747,5250,555008,-21246976,1490370,3181,-4220
223518,-6.287,5250,555008,-21246976,1490370,3181,-4220
223523,1.526,5250,555008,-21246976,1490370,3181,-4220
223528,9.094,5250,555008,-21246976,1490370,3181,-4220
223533,4.700,5250,555008,-21246976,1490370,3181,-4220
223538,6.653,5250,555008,-21246976,1490370,3181,-4220
223543,2.258,5250,555008,-21246976,1490370,3181,-4220
223548,3.845,5250,555008,-21246976,1490370,3181,-4220
223553,-2.625,5250,555008,-21246976,1490370,3181,-4220
223558,-1.770,5250,555008,-21246976,1490370,3181,-4220
223563,-0.183,5250,555008,-21246976,1490370,3181,-4220
223568,-0.671,5250,555008,-21246976,1490370,3181,-4220
223573,0.549,5250,555008,-21246976,1490370,3181,-4220
223578,4.944,5250,555008,-21246976,1490370,3181,-4220
223583,1.404,5250,555008,-21246976,1490370,3181,-4220
223588,3.357,5250,555008,-21246976,1490370,3181,-4220
223593,0.061,5250,555008,-21246976,1490370,3181,-4220
223598,-1.282,5250,555008,-21246976,1490370,3181,-4220
223603,4.578,5250,555008,-21246976,1490370,3181,-4220
223608,-4.822,5250,555008,-21246976,1490370,3181,-4220
223613,-1.160,5250,555008,-21246976,1490370,3181,-4220
223618,-1.404,5250,555008,-21246976,1490370,3181,-4220
223623,-1.404,5250,555008,-21246976,1490370,3181,-4220
223628,-2.502,5250,555008,-21246976,1490370,3181,-4220
223633,-1.526,5250,555008,-21246976,1490370,3181,-4220
223639,-6.409,5250,555008,-21246976,1490370,3181,-4220
223644,-0.061,5250,555008,-21246976,1490370,3181,-4220
223649,2.502,5250,555008,-21246976,1490370,3181,-4220
223654,3.723,5250,555008,-21246976,1490370,3181,-4220
223659,-4.700,5250,555008,-21246976,1490370,3181,-4220
223664,2.869,5250,555008,-21246976,1490370,3181,-4220
223669,-1.160,5250,555008,-21246976,1490370,3181,-4220
223674,-2.869,5250,555008,-21246976,1490370,3181,-4220
223679,-1.526,5250,555008,-21246976,1490370,3181,-4220
223684,-2.991,5250,555008,-21246976,1490370,3181,-4220
223689,-1.038,5250,555008,-21246976,1490370,3181,-4220
223694,-0.793,5250,555008,-21246976,1490370,3181,-4220
223699,-1.282,5250,555008,-21246976,1490370,3181,-4220
223704,3.723,5250,555008,-21246976,1490370,3181,-4220
223709,-1.648,5250,555008,-21246976,1490370,3181,-4220
223714,2.869,5250,555008,-21246976,1490370,3181,-4220
223719,3.723,5250,555008,-21246976,1490370,3181,-4220
223724,-5.432,5250,555008,-21246976,1490370,3181,-4220
223729,1.282,5250,555008,-21246976,1490370,3181,-4220
223734,0.916,5250,555008,-21246976,1490370,3181,-4220
223739,0.549,5250,555008,-21246976,1490370,3181,-4220
223744,-6.165,5250,555008,-21246976,1490370,3181,-4220
223749,5.066,5250,555008,-21246976,1490370,3181,-4220
223754,-0.305,5250,555008,-21246976,1490370,3181,-4220
223759,-0.061,5250,555008,-21246976,1490370,3181,-4220
223764,-1.526,5250,555008,-21246976,1490370,3181,-4220
223769,-2.014,5250,555008,-21246976,1490370,3181,-4220
223774,-3.235,5250,555008,-21246976,1490370,3181,-4220
223779,-4.211,5250,555008,-21246976,1490370,3181,-4220
223784,1.526,5250,555008,-21246976,1490370,3181,-4220
223789,-1.160,5250,555008,-21246976,1490370,3181,-4220
223794,3.357,5250,555008,-21246976,1490370,3181,-4220
223799,5.676,5250,555008,-21246976,1490370,3181,-4220
223804,8.972,5250,555008,-21246976,1490370,3181,-4220
223809,2.014,5250,555008,-21246976,1490370,3181,-4220
223814,0.671,5250,555008,-21246976,1490370,3181,-4220
223819,0.427,5250,0,8192,-560,-1,-4220
223824,5.310,5250,0,12288,-840,-5,-4220
223829,-9.583,5250,0,11264,-770,-7,37
223834,-1.892,5250,0,8192,-560,-10,37
223839,1.648,5250,0,7168,-490,-13,37
223844,0.183,5250,0,12288,-840,-17,37
223849,-0.549,5250,0,9216,-630,-21,699
223854,-5.920,5250,0,6144,-420,-25,699
223859,0.061,5250,0,10240,-700,-28,588
223864,2.380,5250,0,6144,-420,-31,393
223869,-2.991,5250,0,10240,-700,-34,393
223874,1.892,5250,0,8192,-560,-37,393
223879,1.038,5250,0,8192,-560,-40,291
223884,1.526,5250,0,10240,-700,-43,291
223889,0.549,5250,0,5120,-350,-46,119
223894,3.723,5250,0,6144,-420,-49,311
223899,-2.625,5250,0,11264,-770,-52,311
223904,4.700,5250,0,9216,-630,-55,311
223909,-1.282,5250,0,13312,-910,-59,140
223914,4.578,5250,0,8192,-560,-62,140
223919,3.357,5250,0,5120,-350,-65,140
223924,0.427,5250,0,8192,-560,-68,140
223929,-2.625,5250,0,7168,-490,-70,140
223934,-1.648,5250,0,6144,-420,-72,140
223939,0.793,5250,0,10240,-700,-76,331
223944,-4.211,5250,0,15360,-1050,-81,331
223949,1.892,5250,0,12288,-840,-85,331
223954,2.869,5250,0,2048,-140,-87,95
223959,0.061,5250,0,5120,-350,-89,95
223964,-6.287,5250,0,12288,-840,-93,95
223969,-5.554,5250,0,19456,-1330,-99,578
223974,3.235,5250,0,20480,-1400,-106,578
223979,-2.380,5250,0,28672,-1960,-114,578
223984,2.991,5250,0,13312,-910,-122,1073
223989,1.648,5250,0,-33792,2310,-117,1073
223994,-3.601,5250,0,-31744,2170,-104,1073
223999,-17.517,5250,0,26624,-1820,-103,-654
224004,-6.409,5250,0,58368,-3990,-118,-654
224009,7.874,5250,0,31744,-2170,-134,-654
224014,2.136,5250,0,-5120,350,-136,-654
224019,-4.822,5250,0,-12288,840,-133,-879
224024,0.916,5250,0,21504,-1470,-137,-879
224029,2.014,5250,0,-4096,280,-143,-879
224034,-12.268,5250,0,16384,-1120,-144,105
224039,10.071,5250,0,-4096,280,-143,105
224044,-13.855,5250,0,-4096,280,-142,105
224049,20.203,5250,0,3072,-210,-146,1095
224054,-8.484,5250,0,3072,-210,-143,1095
224059,4.211,5250,0,-8192,560,-142,1095
224064,-4.333,5250,0,11264,-770,-146,-221
224069,16.052,5250,0,-6144,420,-145,-221
224074,-13.855,5250,0,23552,-1610,-150,-221
224079,6.531,5250,0,14336,-980,-157,1653
224084,-11.902,5250,0,25600,-1750,-162,1653
224089,1.404,5250,0,4096,-280,-169,1653
224094,-3.845,5250,0,19456,-1330,-171,1653
224100,-2.258,5250,0,20480,-1400,-180,1653
224105,0.549,5250,0,26624,-1820,-187,1653
224110,-3.601,5250,0,25600,-1750,-197,752
224115,3.113,5250,0,22528,-1540,-205,752
224120,0.549,5250,0,20480,-1400,-214,752
224125,0.793,5250,0,2048,-140,-218,-73
224130,4.578,5250,0,15360,-1050,-223,-73
224135,-8.240,5250,0,1024,-70,-223,-73
224140,9.949,5250,0,11264,-770,-229,-69
224145,-5.554,5250,0,4096,-280,-230,-69
224150,12.756,5250,0,5120,-350,-236,334
224155,-0.427,5250,0,8192,-560,-236,334
224160,10.681,5250,0,1024,-70,-242,334
224165,-8.118,5250,0,8192,-560,-243,-383
224170,4.211,5250,0,5120,-350,-249,-383
224175,6.165,5250,0,25600,-1750,-252,-383
224180,1.404,5250,0,0,0,-258,-760
224185,-2.014,5250,0,27648,-1890,-263,-381
224190,4.700,5250,0,-2048,140,-267,-381
224195,1.526,5250,0,20480,-1400,-272,-381
224200,-2.380,5250,0,5120,-350,-274,-381
224205,9.338,5250,0,8192,-560,-279,-381
224210,5.432,5250,0,12288,-840,-280,-381
224215,-14.587,5250,0,13312,-910,-285,-381
224220,2.136,5250,0,16384,-1120,-289,-381
224225,6.531,5250,0,13312,-910,-294,-381
224230,-7.019,5250,0,25600,-1750,-300,905
224235,4.211,5250,0,4096,-280,-303,905
224240,8.850,5250,0,21504,-1470,-308,905
224245,-0.427,5250,0,12288,-840,-310,-359
224250,1.404,5250,0,3072,-210,-314,-359
224255,6.042,5250,0,8192,-560,-318,-359
224260,-1.648,5250,0,12288,-840,-321,195
224265,6.165,5250,0,16384,-1120,-327,195
224270,-3.235,5250,0,25600,-1750,-331,781
224275,1.404,5250,0,7168,-490,-337,781
224280,1.892,5250,0,14336,-980,-345,781
224285,-0.793,5250,0,20480,-1400,-349,1
224290,2.136,5250,0,9216,-630,-353,1
224295,2.258,5250,0,10240,-700,-357,1
224300,-0.793,5250,0,3072,-210,-360,-928
224305,6.531,5250,0,4096,-280,-366,-928
224310,-6.531,5250,0,19456,-1330,-368,-928
224315,0.427,5250,0,5120,-350,-372,-343
224320,-8.362,5250,0,8192,-560,-375,-720
224325,-0.427,5250,0,-7168,490,-375,-720
224330,19.470,5250,0,-12288,840,-377,-122
224335,-7.874,5250,0,11264,-770,-373,-122
224340,-2.991,5250,0,-25600,1750,-370,-122
224345,2.991,5250,0,18432,-1260,-370,881
224350,-16.174,5250,0,-9216,630,-364,881
224355,16.785,5250,0,-20480,1400,-368,881
224360,-5.676,5250,0,43008,-2940,-367,693
224365,-15.076,5250,0,-17408,1190,-362,693
224370,16.785,5250,0,-21504,1470,-369,693
224375,-4.089,5250,0,56320,-3850,-368,693
224380,-18.616,5250,0,-23552,1610,-365,1713
224385,19.958,5250,0,11264,-770,-382,1713
224390,-11.291,5250,0,82944,-5670,-388,4237
224395,-16.296,5250,0,9216,-630,-394,4237
224400,20.081,5250,0,0,0,-414,4237
224405,0.427,5250,0,93184,-6370,-425,4636
224410,-18.860,5250,0,32768,-2240,-433,4636
224415,2.991,5250,0,-11264,770,-451,4636
224420,17.029,5250,0,31744,-2170,-463,1543
224425,-13.611,5250,0,45056,-3080,-466,1543
224430,-4.456,5250,0,1024,-70,-473,1543
224435,8.728,5250,0,-15360,1050,-484,-2936
224440,7.385,5250,0,48128,-3290,-492,-1358
224445,-13.000,5250,0,16384,-1120,-492,-1358
224450,-2.136,5250,0,-15360,1050,-497,-1358
224455,14.099,5250,0,-7168,490,-503,-1472
224460,-4.822,5250,0,34816,-2380,-508,-1472
224465,-9.827,5250,0,21504,-1470,-510,-1472
224470,-1.770,5250,0,2048,-140,-516,-1580
224475,0.549,5250,0,-7168,490,-523,-352
224480,-3.601,5250,0,35840,-2450,-530,-352
224485,-1.160,5250,0,26624,-1820,-538,-1857
224490,-4.333,5250,0,26624,-1820,-546,-1857
224495,-2.502,5250,0,11264,-770,-553,-1857
224500,6.897,5250,0,14336,-980,-559,169
224505,13.245,5250,0,7168,-490,-564,169
224510,7.507,5250,0,0,0,-565,-819
224515,-5.676,5250,0,15360,-1050,-560,-2162
224520,-1.404,5250,0,-25600,1750,-550,-2162
224525,-1.770,5250,0,-57344,3920,-538,-4883
224530,10.925,5250,0,-66560,4550,-526,-3648
224535,15.076,5250,0,-54272,3710,-513,-3648
