R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,GparamC,AparamC,KFQAng,KFQbias,KFRmeas
32,1,25,35,1,25,200,0,0,0,0,0,2147483648,10000000,10.0,64.0,0.000100,0.003000,50,
sysTickMs,GRawXi,PIDdtick,PIDRefXi,PIDSensXi,PIDPoutXi,PIDIoutXi,PIDDoutXi
156301,-2.014,5250,-16384,-7658496,477632,2047,42633
156306,-3.235,5250,-16384,-7658496,477632,2047,42633
156311,-6.409,5250,-16384,-7658496,477632,2047,42633
156316,0.305,5250,-16384,-7658496,477632,2047,42633
156321,7.629,5250,-16384,-7658496,477632,2047,42633
156326,3.723,5250,-16384,-7658496,477632,2047,42633
156331,1.526,5250,-16384,-7658496,477632,2047,42633
156336,3.967,5250,-16384,-7658496,477632,2047,42633
156341,-0.916,5250,-16384,-7658496,477632,2047,42633
156346,-4.333,5250,-16384,-7658496,477632,2047,42633
156351,0.427,5250,-16384,-7658496,477632,2047,42633
156356,-1.160,5250,-16384,-7658496,477632,2047,42633
156361,0.916,5250,-16384,-7658496,477632,2047,42633
156366,1.404,5250,-16384,-7658496,477632,2047,42633
156371,4.211,5250,-16384,-7658496,477632,2047,42633
156376,-7.629,5250,-16384,-7658496,477632,2047,42633
156381,-1.038,5250,-16384,-7658496,477632,2047,42633
156386,0.549,5250,-16384,-7658496,477632,2047,42633
156391,4.700,5250,-16384,-7658496,477632,2047,42633
156396,-0.549,5250,-16384,-7658496,477632,2047,42633
156401,2.014,5250,-16384,-7658496,477632,2047,42633
156406,-3.845,5250,-16384,-7658496,477632,2047,42633
156411,-1.648,5250,-16384,-7658496,477632,2047,42633
156416,-2.625,5250,-16384,-7658496,477632,2047,42633
156421,3.723,5250,-16384,-7658496,477632,2047,42633
156426,-2.747,5250,-16384,-7658496,477632,2047,42633
156431,1.160,5250,-16384,-7658496,477632,2047,42633
156436,3.601,5250,-16384,-7658496,477632,2047,42633
156441,-0.427,5250,-16384,-7658496,477632,2047,42633
156446,-3.723,5250,-16384,-7658496,477632,2047,42633
156452,3.357,5250,-16384,-7658496,477632,2047,42633
156457,6.409,5250,-16384,-7658496,477632,2047,42633
156462,-3.235,5250,-16384,-7658496,477632,2047,42633
156467,0.427,5250,-16384,-7658496,477632,2047,42633
156472,2.747,5250,-16384,-7658496,477632,2047,42633
156477,0.061,5250,-16384,-7658496,477632,2047,42633
156482,3.601,5250,-16384,-7658496,477632,2047,42633
156487,-2.502,5250,-16384,-7658496,477632,2047,42633
156492,2.869,5250,-16384,-7658496,477632,2047,42633
156497,-1.648,5250,-16384,-7658496,477632,2047,42633
156502,-1.160,5250,-16384,-7658496,477632,2047,42633
156507,4.700,5250,-16384,-7658496,477632,2047,42633
156512,3.357,5250,-16384,-7658496,477632,2047,42633
156517,1.160,5250,-16384,-7658496,477632,2047,42633
156522,6.165,5250,-16384,-7658496,477632,2047,42633
156527,2.747,5250,-16384,-7658496,477632,2047,42633
156532,0.793,5250,-16384,-7658496,477632,2047,42633
156537,-0.305,5250,-16384,-7658496,477632,2047,42633
156542,3.357,5250,-16384,-7658496,477632,2047,42633
156547,1.282,5250,-16384,-7658496,477632,2047,42633
156552,-5.066,5250,-16384,-7658496,477632,2047,42633
156557,0.305,5250,-16384,-7658496,477632,2047,42633
156562,2.625,5250,-16384,-7658496,477632,2047,42633
156567,2.014,5250,-16384,-7658496,477632,2047,42633
156572,1.526,5250,-16384,-7658496,477632,2047,42633
156577,-5.066,5250,-16384,-7658496,477632,2047,42633
156582,3.723,5250,-16384,-7658496,477632,2047,42633
156587,0.549,5250,-16384,-7658496,477632,2047,42633
156592,2.258,5250,-16384,-7658496,477632,2047,42633
156597,-2.136,5250,-16384,-7658496,477632,2047,42633
156602,2.991,5250,-16384,-7658496,477632,2047,42633
156607,-1.526,5250,-16384,-7658496,477632,2047,42633
156612,2.625,5250,-16384,-7658496,477632,2047,42633
156617,-4.089,5250,-16384,-7658496,477632,2047,42633
156622,-6.165,5250,-16384,-7658496,477632,2047,42633
156627,-0.061,5250,-16384,-7658496,477632,2047,42633
156632,-1.648,5250,-16384,-7658496,477632,2047,42633
156637,4.578,5250,-16384,-7658496,477632,2047,42633
156642,-5.066,5250,-16384,-7658496,477632,2047,42633
156647,1.892,5250,-16384,-7658496,477632,2047,42633
156652,2.380,5250,-16384,-7658496,477632,2047,42633
156657,2.502,5250,-16384,-7658496,477632,2047,42633
156662,-3.723,5250,-16384,-7658496,477632,2047,42633
156667,-1.892,5250,-16384,-7658496,477632,2047,42633
156672,-0.793,5250,-16384,-7658496,477632,2047,42633
156677,-1.160,5250,-16384,-7658496,477632,2047,42633
156682,-3.845,5250,-16384,-7658496,477632,2047,42633
156687,1.770,5250,-16384,-7658496,477632,2047,42633
