R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,GparamC,AparamC,KFQAng,KFQbias,KFRmeas
48,1,34,40,1,28,200,0,0,0,0,0,2147483648,10000000,10.0,64.0,0.000100,0.003000,50,
sysTickMs,GRawXi,PIDdtick,PIDRefXi,PIDSensXi,PIDPoutXi,PIDIoutXi,PIDDoutXi
267543,11.780,5250,0,249856,-23424,-4057,22766
267548,-3.357,5250,0,253952,-23808,-4177,22871
267553,-22.644,5250,0,257024,-24096,-4295,22871
267558,-42.419,5250,0,275456,-25824,-4412,22871
267563,-47.913,5250,0,301056,-28224,-4516,21308
267568,-22.400,5250,0,335872,-31488,-4635,21308
267573,-12.512,5250,0,334848,-31392,-4757,13203
267579,0.916,5250,0,308224,-28896,-4873,13203
267584,17.151,5250,0,256000,-24000,-4979,13203
267589,9.705,5250,0,197632,-18528,-5065,15831
267594,-13.367,5250,0,140288,-13152,-5147,15831
267599,-37.170,5250,0,112640,-10560,-5215,15831
267604,-37.903,5250,0,151552,-14208,-5271,1272
267609,-16.663,5250,0,147456,-13824,-5322,1272
267614,-0.916,5250,0,121856,-11424,-5363,1272
267619,34.485,5250,0,83968,-7872,-5392,1272
267624,31.921,5250,0,14336,-1344,-5413,1272
267629,11.780,5250,0,-60416,5664,-5419,-6046
267634,-38.269,5250,0,-60416,5664,-5417,-6046
267639,-81.360,5250,0,0,0,-5410,-6046
267644,-80.994,5250,0,-34816,3264,-5395,-6046
267649,21.790,5250,0,39936,-3744,-5375,-688
267654,49.377,5250,0,11264,-1056,-5346,-688
267659,73.914,5250,0,-122880,11520,-5305,-11817
267664,74.158,5250,0,-192512,18048,-5254,-11817
267669,56.091,5250,0,-245760,23040,-5196,-11817
267674,20.935,5250,0,-239616,22464,-5144,-11817
267679,-44.861,5250,0,-210944,19776,-5084,-16258
267684,-43.762,5250,0,-149504,14016,-5024,-16258
267689,-25.696,5250,0,-61440,5760,-4973,-12453
267694,-6.653,5250,0,-54272,5088,-4923,-12453
267699,20.813,5250,0,-57344,5376,-4878,-12453
267704,37.659,5250,0,-29696,2784,-4842,-12453
267709,42.175,5250,0,-77824,7296,-4813,-8620
267714,21.179,5250,0,-81920,7680,-4795,-8620
267719,-4.089,5250,0,-61440,5760,-4787,-5359
267724,-39.490,5250,0,5120,-480,-4794,-5359
267729,-56.824,5250,0,77824,-7296,-4813,-5359
267734,-44.373,5250,0,79872,-7488,-4837,-5359
267739,-5.432,5250,0,146432,-13728,-4870,8855
267744,22.400,5250,0,105472,-9888,-4903,5845
267749,37.170,5250,0,47104,-4416,-4927,-454
267754,38.635,5250,0,39936,-3744,-4944,-454
267759,19.470,5250,0,-40960,3840,-4947,-492
267764,13.000,5250,0,-67584,6336,-4946,-2653
267769,-32.410,5250,0,-68608,6432,-4936,-2653
267774,-27.283,5250,0,-46080,4320,-4919,-2653
267779,-3.113,5250,6144,-30720,3456,-4894,-7467
267784,4.578,5250,6144,-50176,5280,-4857,-7467
267789,39.734,5250,9216,-63488,6816,-4817,-7467
267794,38.757,5250,9216,-150528,14976,-4767,-7467
267799,15.686,5250,9216,-187392,18432,-4709,-11981
267804,-2.869,5250,98304,-188416,26880,-4607,-10985
267809,-26.550,5250,98304,-154624,23712,-4506,-10985
267814,-20.447,5250,98304,-155648,23808,-4411,-10985
267819,4.089,5250,98304,-121856,20640,-4307,-12424
267824,44.495,5250,234496,-148480,35904,-4172,-12424
267829,68.909,5250,234496,-189440,39744,-4001,-12424
267834,64.880,5250,269312,-305152,53856,-3812,-17092
267839,20.447,5250,269312,-302080,53568,-3621,-4801
267844,-36.560,5250,269312,-249856,48672,-3433,-4801
267849,-73.059,5250,269312,-237568,47520,-3269,-4801
267854,10.071,5250,379904,-92160,44256,-3081,-2443
267859,36.194,5250,379904,-87040,43776,-2869,-2443
267864,55.969,5250,379904,-149504,49632,-2660,-5478
267869,50.232,5250,401408,-173056,53856,-2454,-10713
267874,42.175,5250,401408,-197632,56160,-2248,-10713
267879,29.602,5250,405504,-177152,54624,-2070,-10713
267884,-88.318,5250,405504,-115712,48864,-1880,-3669
267889,-64.026,5250,405504,11264,36960,-1706,-3669
267894,-15.686,5250,405504,112640,27456,-1547,12763
267899,10.315,5250,432128,121856,29088,-1398,6852
267904,41.077,5250,432128,107520,30432,-1252,6852
267909,56.335,5250,432128,83968,32640,-1119,6852
267914,17.151,5250,466944,72704,36960,-1008,18283
267919,-29.846,5250,466944,98304,34560,-893,18283
267924,-74.768,5250,466944,174080,27456,-794,18283
267929,-59.387,5250,466944,319488,13824,-714,12721
267934,-31.189,5250,466944,359424,10080,-649,12721
267939,-14.221,5250,631808,372736,24288,-551,12721
267944,-2.502,5250,631808,355328,25920,-451,22520
267949,-10.071,5250,631808,340992,27264,-345,17327
267954,-34.485,5250,631808,335872,27744,-245,17327
267959,-65.857,5250,689152,415744,25632,-149,18268
267964,-59.631,5250,689152,474112,20160,-44,18268
267969,-45.471,5250,689152,501760,17568,53,18268
267974,19.348,5250,689152,500736,17664,134,20466
267979,8.850,5250,689152,459776,21504,220,20466
267984,-37.537,5250,683008,441344,22656,300,20466
267989,-64.148,5250,683008,514048,15840,374,20466
267994,-70.862,5250,683008,586752,9024,437,20466
