R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha,FFDTermC,IRelaxR,IRelaxE,DmaxR,DmaxE,DMx,DMy
590,0,200,590,0,200,500,150,0,0,0,0,7,75,10,10.0,64.0,0.000100,0.003000,50,30,0,30,0,75,300,0,0,0.995,10.000,300,100,300,100,150,150
sysTime,PIDRefX,PIDRefY,PIDRefZ,PIDSensX,PIDSensY,PIDSensZ
269.135,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.140,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.145,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.150,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.155,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.160,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.165,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.171,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.176,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.181,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.186,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.191,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.196,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.201,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.206,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.211,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.217,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.222,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.227,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.232,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.237,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.242,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.247,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.252,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.257,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.262,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.268,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.273,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.278,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.283,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.288,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.293,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.298,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.303,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.308,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.314,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.319,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.324,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.329,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.334,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.339,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.344,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.349,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.354,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.359,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.365,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.370,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.375,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.380,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.385,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.390,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.395,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.400,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.405,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.410,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.416,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.421,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.426,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.431,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.436,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.441,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.446,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.451,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.456,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.462,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.467,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.472,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.477,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.482,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.487,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.492,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.497,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.502,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.508,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.513,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.518,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.523,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.528,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.533,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.538,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.543,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.548,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.554,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.559,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.564,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.569,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.574,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.579,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.584,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.589,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.595,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.600,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.605,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.610,0.000,-0.446,3.000,-30.968,-15.844,3.186
269.615,0.000,-0.446,3.000,-30.968,-15.844,3.186
