R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha,FFDTermC,IRelaxR,IRelaxE,DmaxR,DmaxE,DMx,DMy
45,0,35,45,0,35,50,15,0,0,0,0,7,75,10,10.0,64.0,0.000100,0.003000,50,30,0,30,0,75,300,0,0,0.995,10.000,300,100,300,100,15,15
sysTime,PIDRefX,PIDRefY,PIDRefZ,PIDSensX,PIDSensY,PIDSensZ
28.579,0.000,0.000,0.000,0.000,0.000,0.000
28.585,0.000,0.000,0.000,0.000,0.000,0.000
28.590,0.000,0.000,0.000,0.000,0.000,0.000
28.595,0.000,0.000,0.000,0.000,0.000,0.000
28.600,0.000,0.000,0.000,0.000,0.000,0.000
28.605,0.000,0.000,0.000,0.000,0.000,0.000
28.610,0.000,0.000,0.000,0.000,0.000,0.000
28.615,0.000,0.000,0.000,0.000,0.000,0.000
28.620,0.000,0.000,0.000,0.000,0.000,0.000
28.625,0.000,0.000,0.000,0.000,0.000,0.000
28.630,0.000,0.000,0.000,0.000,0.000,0.000
28.635,0.000,0.000,0.000,0.000,0.000,0.000
28.640,0.000,0.000,0.000,0.000,0.000,0.000
28.645,0.000,0.000,0.000,0.000,0.000,0.000
28.651,0.000,0.000,0.000,0.000,0.000,0.000
28.656,0.000,0.000,0.000,0.000,0.000,0.000
28.661,0.000,0.000,0.000,0.000,0.000,0.000
28.666,0.000,0.000,0.000,0.000,0.000,0.000
28.671,0.000,0.000,0.000,0.000,0.000,0.000
28.676,0.000,0.000,0.000,0.000,0.000,0.000
28.681,0.000,0.000,0.000,0.000,0.000,0.000
28.686,0.000,0.000,0.000,0.000,0.000,0.000
28.691,0.000,0.000,0.000,0.000,0.000,0.000
28.696,0.000,0.000,0.000,0.000,0.000,0.000
28.701,0.000,0.000,0.000,0.000,0.000,0.000
28.706,0.000,0.000,0.000,0.000,0.000,0.000
28.712,0.000,0.000,0.000,0.000,0.000,0.000
28.717,0.000,0.000,0.000,0.000,0.000,0.000
28.722,0.000,0.000,0.000,0.000,0.000,0.000
28.727,0.000,0.000,0.000,0.000,0.000,0.000
28.732,0.000,0.000,0.000,0.000,0.000,0.000
28.737,0.000,0.000,0.000,0.000,0.000,0.000
28.742,0.000,0.000,0.000,0.000,0.000,0.000
28.747,0.000,0.000,0.000,0.000,0.000,0.000
28.752,0.000,0.000,0.000,0.000,0.000,0.000
28.757,0.000,0.000,0.000,0.000,0.000,0.000
28.762,0.000,0.000,0.000,0.000,0.000,0.000
28.767,0.000,0.000,0.000,0.000,0.000,0.000
28.772,0.000,0.000,0.000,0.000,0.000,0.000
28.778,0.000,0.000,0.000,0.000,0.000,0.000
28.783,0.000,0.000,0.000,0.000,0.000,0.000
28.788,0.000,0.000,0.000,0.000,0.000,0.000
28.793,0.000,0.000,0.000,0.000,0.000,0.000
28.798,0.000,0.000,0.000,0.000,0.000,0.000
28.803,0.000,0.000,0.000,0.000,0.000,0.000
28.808,0.000,0.000,0.000,0.000,0.000,0.000
28.813,0.000,0.000,0.000,0.000,0.000,0.000
28.818,0.000,0.000,0.000,0.000,0.000,0.000
28.823,0.000,0.000,0.000,0.000,0.000,0.000
28.828,0.000,0.000,0.000,0.000,0.000,0.000
28.833,0.000,0.000,0.000,0.000,0.000,0.000
28.839,0.000,0.000,0.000,0.000,0.000,0.000
28.844,0.000,0.000,0.000,0.000,0.000,0.000
28.849,0.000,0.000,0.000,0.000,0.000,0.000
28.854,0.000,0.000,0.000,0.000,0.000,0.000
28.859,0.000,0.000,0.000,0.000,0.000,0.000
28.864,0.000,0.000,0.000,0.000,0.000,0.000
28.869,0.000,0.000,0.000,0.000,0.000,0.000
28.874,0.000,0.000,0.000,0.000,0.000,0.000
28.879,0.000,0.000,0.000,0.000,0.000,0.000
28.884,0.000,0.000,0.000,0.000,0.000,0.000
28.889,0.000,0.000,0.000,0.000,0.000,0.000
28.895,0.000,0.000,0.000,0.000,0.000,0.000
28.900,0.000,0.000,0.000,0.000,0.000,0.000
28.905,0.000,0.000,0.000,0.000,0.000,0.000
28.910,0.000,0.000,0.000,0.000,0.000,0.000
28.915,0.000,0.000,0.000,0.000,0.000,0.000
28.920,0.000,0.000,0.000,0.000,0.000,0.000
28.925,0.000,0.000,0.000,0.000,0.000,0.000
28.930,0.000,0.000,0.000,0.000,0.000,0.000
28.935,0.000,0.000,0.000,0.000,0.000,0.000
28.940,0.000,0.000,0.000,0.000,0.000,0.000
28.945,0.000,0.000,0.000,0.000,0.000,0.000
28.950,0.000,0.000,0.000,0.000,0.000,0.000
28.955,0.000,0.000,0.000,0.000,0.000,0.000
28.961,0.000,0.000,0.000,0.000,0.000,0.000
28.966,0.000,0.000,0.000,0.000,0.000,0.000
28.971,0.000,0.000,0.000,0.000,0.000,0.000
28.976,0.000,0.000,0.000,0.000,0.000,0.000
28.981,0.000,0.000,0.000,0.000,0.000,0.000
28.986,0.000,0.000,0.000,0.000,0.000,0.000
28.991,0.000,0.000,0.000,0.000,0.000,0.000
28.996,0.000,0.000,0.000,0.000,0.000,0.000
29.001,0.000,0.000,0.000,0.000,0.000,0.000
29.006,0.000,0.000,0.000,0.000,0.000,0.000
29.011,0.000,0.000,0.000,0.000,0.000,0.000
29.016,0.000,0.000,0.000,0.000,0.000,0.000
29.022,0.000,0.000,0.000,0.000,0.000,0.000
29.027,0.000,0.000,0.000,0.000,0.000,0.000
29.032,0.000,0.000,0.000,0.000,0.000,0.000
29.037,0.000,0.000,0.000,0.000,0.000,0.000
29.042,0.000,0.000,0.000,0.000,0.000,0.000
29.047,0.000,0.000,0.000,0.000,0.000,0.000
29.052,0.000,0.000,0.000,0.000,0.000,0.000
29.057,0.000,0.000,0.000,0.000,0.000,0.000
29.062,0.000,0.000,0.000,0.000,0.000,0.000
29.067,0.000,0.000,0.000,0.000,0.000,0.000
29.072,0.000,0.000,0.000,0.000,0.000,0.000
29.077,0.000,0.000,0.000,0.000,0.000,0.000
29.083,0.000,0.000,0.000,0.000,0.000,0.000
29.088,0.000,0.000,0.000,0.000,0.000,0.000
29.093,0.000,0.000,0.000,0.000,0.000,0.000
29.098,0.000,0.000,0.000,0.000,0.000,0.000
29.103,0.000,0.000,0.000,0.000,0.000,0.000
29.108,0.000,0.000,0.000,0.000,0.000,0.000
29.113,0.000,0.000,0.000,0.000,0.000,0.000
29.118,0.000,0.000,0.000,0.000,0.000,0.000
29.123,0.000,0.000,0.000,0.000,0.000,0.000
29.128,0.000,0.000,0.000,0.000,0.000,0.000
29.133,0.000,0.000,0.000,0.000,0.000,0.000
29.138,0.000,0.000,0.000,0.000,0.000,0.000
29.144,0.000,0.000,0.000,0.000,0.000,0.000
29.149,0.000,0.000,0.000,0.000,0.000,0.000
29.154,0.000,0.000,0.000,0.000,0.000,0.000
29.159,0.000,0.000,0.000,0.000,0.000,0.000
29.164,0.000,0.000,0.000,0.000,0.000,0.000
29.169,0.000,0.000,0.000,0.000,0.000,0.000
29.174,0.000,0.000,0.000,0.000,0.000,0.000
29.179,0.000,0.000,0.000,0.000,0.000,0.000
29.184,0.000,0.000,0.000,0.000,0.000,0.000
29.189,0.000,0.000,0.000,0.000,0.000,0.000
29.194,0.000,0.000,0.000,0.000,0.000,0.000
29.200,0.000,0.000,0.000,0.000,0.000,0.000
29.205,0.000,0.000,0.000,0.000,0.000,0.000
29.210,0.000,0.000,0.000,0.000,0.000,0.000
29.215,0.000,0.000,0.000,0.000,0.000,0.000
29.220,0.000,0.000,0.000,0.000,0.000,0.000
29.225,0.000,0.000,0.000,0.000,0.000,0.000
