R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha,FFDTermC,IRelaxR,IRelaxE,DmaxR,DmaxE,DMx,DMy
480,0,350,480,0,350,500,150,0,0,0,0,7,75,10,10.0,64.0,0.000100,0.003000,50,30,0,30,0,75,300,0,0,0.995,10.000,300,100,300,100,150,150
sysTime,PIDRefX,PIDRefY,PIDRefZ,PIDSensX,PIDSensY,PIDSensZ
234.809,-11.711,-1.042,0.000,176.933,-33.668,160.613
234.815,-11.711,-1.042,0.000,176.933,-33.668,160.613
234.820,-11.711,-1.042,0.000,176.933,-33.668,160.613
234.825,-11.711,-1.042,0.000,176.933,-33.668,160.613
234.830,-11.711,-1.042,0.000,176.933,-33.668,160.613
234.835,-11.711,-1.042,0.000,176.933,-33.668,160.613
234.841,-11.711,-1.042,0.000,176.933,-33.668,160.613
234.846,-11.711,-1.042,0.000,176.933,-33.668,160.613
234.851,-11.711,-1.042,0.000,176.933,-33.668,160.613
234.856,-11.711,-1.042,0.000,176.933,-33.668,160.613
234.861,-11.711,-1.042,0.000,176.933,-33.668,160.613
234.866,-11.711,-1.042,0.000,176.933,-33.668,160.613
234.871,-11.711,-1.042,0.000,176.933,-33.668,160.613
234.877,-11.711,-1.042,0.000,176.933,-33.668,160.613
234.882,-11.711,-1.042,0.000,176.933,-33.668,160.613
234.887,-11.711,-1.042,0.000,176.933,-33.668,160.613
234.892,-11.711,-1.042,0.000,176.933,-33.668,160.613
234.897,-11.711,-1.042,0.000,176.933,-33.668,160.613
234.902,-11.711,-1.042,0.000,176.933,-33.668,160.613
234.907,-11.711,-1.042,0.000,176.933,-33.668,160.613
234.913,-11.711,-1.042,0.000,176.933,-33.668,160.613
234.918,-11.711,-1.042,0.000,176.933,-33.668,160.613
234.923,-11.711,-1.042,0.000,176.933,-33.668,160.613
234.928,-11.711,-1.042,0.000,176.933,-33.668,160.613
234.933,-11.711,-1.042,0.000,176.933,-33.668,160.613
234.938,-11.711,-1.042,0.000,176.933,-33.668,160.613
234.944,-11.711,-1.042,0.000,176.933,-33.668,160.613
234.949,-11.711,-1.042,0.000,176.933,-33.668,160.613
234.954,-11.711,-1.042,0.000,176.933,-33.668,160.613
234.959,-11.711,-1.042,0.000,176.933,-33.668,160.613
