R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,32.0,0.000001,0.000300,75,250,1,250,1,50,500,0,0
sysTime,GPT1X,aPT1R,aPT2R,aKFRawR,aKFPT10R,aKFPT11R
312.343,-0.476,0.679,0.661,0.561,0.560,0.572
312.354,0.947,0.698,0.667,0.606,0.606,0.578
312.365,1.782,0.694,0.672,0.628,0.628,0.590
312.376,1.571,0.706,0.678,0.636,0.635,0.606
312.387,-0.125,0.714,0.684,0.617,0.616,0.614
312.398,-0.721,0.718,0.690,0.598,0.597,0.609
312.409,-0.299,0.706,0.693,0.591,0.591,0.601
312.420,0.867,0.676,0.692,0.612,0.611,0.604
312.431,-0.146,0.689,0.690,0.599,0.599,0.609
312.442,-1.167,0.685,0.689,0.568,0.567,0.600
312.453,-0.142,0.687,0.689,0.580,0.579,0.594
312.463,0.779,0.673,0.687,0.595,0.595,0.598
312.474,2.259,0.679,0.686,0.635,0.635,0.613
312.485,1.782,0.681,0.685,0.631,0.630,0.631
312.496,1.044,0.690,0.686,0.636,0.635,0.648
312.507,1.146,0.678,0.686,0.653,0.652,0.661
312.518,1.910,0.675,0.684,0.680,0.680,0.677
312.529,0.855,0.674,0.683,0.676,0.676,0.692
312.540,1.162,0.673,0.682,0.707,0.707,0.709
312.551,0.481,0.685,0.682,0.703,0.703,0.718
312.562,0.306,0.684,0.682,0.690,0.689,0.716
312.573,-0.001,0.657,0.679,0.680,0.680,0.715
312.584,-0.673,0.672,0.676,0.665,0.665,0.712
312.594,-0.420,0.701,0.678,0.674,0.674,0.709
312.605,0.649,0.688,0.681,0.686,0.686,0.709
312.616,-0.327,0.712,0.685,0.674,0.673,0.713
312.627,-0.089,0.706,0.688,0.672,0.671,0.712
312.638,-0.539,0.696,0.689,0.660,0.659,0.709
312.649,-0.328,0.681,0.690,0.660,0.659,0.705
312.660,-0.803,0.696,0.690,0.641,0.641,0.698
312.671,-0.426,0.694,0.691,0.652,0.651,0.697
312.682,-1.276,0.680,0.691,0.619,0.619,0.685
312.693,-0.645,0.689,0.690,0.622,0.621,0.677
312.704,-1.483,0.681,0.689,0.590,0.589,0.664
312.715,-1.235,0.653,0.684,0.582,0.582,0.651
312.726,-0.575,0.642,0.678,0.573,0.573,0.637
312.737,-0.406,0.651,0.672,0.584,0.584,0.637
312.748,-0.575,0.666,0.670,0.586,0.586,0.635
312.759,-0.310,0.661,0.669,0.577,0.577,0.628
312.770,0.447,0.643,0.666,0.588,0.588,0.629
312.782,-0.458,0.669,0.664,0.565,0.564,0.630
312.793,1.028,0.678,0.666,0.598,0.598,0.636
312.804,0.459,0.663,0.666,0.598,0.598,0.644
312.815,0.956,0.663,0.665,0.618,0.617,0.653
312.826,2.298,0.671,0.666,0.665,0.665,0.675
312.837,0.979,0.679,0.667,0.655,0.655,0.692
312.848,1.368,0.687,0.671,0.680,0.680,0.708
312.859,1.129,0.695,0.676,0.689,0.688,0.723
312.870,1.028,0.669,0.677,0.700,0.700,0.735
312.881,1.349,0.668,0.675,0.721,0.721,0.750
312.892,-0.000,0.651,0.671,0.700,0.700,0.756
312.903,-0.869,0.656,0.668,0.678,0.678,0.750
312.914,-1.626,0.665,0.667,0.653,0.652,0.737
312.925,-1.120,0.670,0.667,0.658,0.657,0.727
312.936,-0.831,0.704,0.671,0.655,0.654,0.719
312.947,-1.131,0.695,0.675,0.649,0.648,0.713
312.958,0.057,0.681,0.677,0.665,0.665,0.707
312.969,0.666,0.698,0.680,0.675,0.674,0.711
312.981,0.028,0.705,0.683,0.669,0.668,0.716
312.992,-0.111,0.674,0.685,0.674,0.674,0.718
313.003,-0.540,0.671,0.683,0.662,0.661,0.714
313.014,-0.704,0.665,0.681,0.658,0.658,0.710
313.025,0.217,0.680,0.679,0.673,0.673,0.708
313.036,-0.973,0.687,0.680,0.641,0.641,0.701
313.047,-0.488,0.675,0.681,0.638,0.638,0.693
313.058,-0.367,0.671,0.679,0.637,0.636,0.691
313.069,-0.795,0.656,0.675,0.619,0.619,0.685
313.080,-0.146,0.656,0.672,0.644,0.643,0.684
313.091,1.138,0.657,0.669,0.670,0.670,0.691
313.102,1.223,0.663,0.667,0.688,0.688,0.703
313.113,0.524,0.671,0.667,0.684,0.683,0.710
313.124,1.146,0.669,0.667,0.719,0.719,0.724
313.135,0.357,0.672,0.668,0.711,0.711,0.734
313.146,0.698,0.678,0.669,0.725,0.724,0.741
313.157,0.718,0.677,0.672,0.724,0.723,0.745
313.168,-0.161,0.680,0.673,0.721,0.721,0.750
313.179,-0.995,0.691,0.675,0.692,0.691,0.741
313.190,0.043,0.708,0.680,0.701,0.700,0.733
313.201,-0.149,0.690,0.682,0.688,0.687,0.727
313.212,0.852,0.694,0.686,0.707,0.706,0.731
313.223,1.744,0.704,0.688,0.737,0.737,0.746
313.235,1.161,0.688,0.689,0.749,0.749,0.762
313.246,-0.837,0.695,0.689,0.714,0.713,0.765
313.257,-0.038,0.681,0.688,0.720,0.719,0.762
313.268,0.478,0.674,0.685,0.733,0.733,0.767
313.279,0.205,0.658,0.683,0.728,0.728,0.768
313.290,0.208,0.653,0.678,0.735,0.735,0.773
313.300,0.087,0.642,0.674,0.728,0.728,0.774
313.311,0.019,0.654,0.671,0.736,0.736,0.777
313.321,0.260,0.650,0.670,0.736,0.736,0.776
313.331,0.126,0.662,0.668,0.730,0.730,0.778
313.341,-0.275,0.660,0.667,0.727,0.726,0.779
313.352,-0.375,0.665,0.667,0.732,0.732,0.779
313.362,-1.081,0.644,0.666,0.718,0.718,0.776
313.372,-1.484,0.649,0.664,0.690,0.690,0.760
313.383,-1.065,0.639,0.661,0.683,0.683,0.746
313.393,-0.214,0.631,0.658,0.703,0.703,0.741
313.403,-0.280,0.635,0.655,0.694,0.694,0.737
313.415,-0.114,0.636,0.651,0.691,0.692,0.735
313.427,-0.547,0.625,0.649,0.671,0.672,0.729
313.438,0.327,0.622,0.645,0.704,0.705,0.731
313.448,-0.043,0.688,0.648,0.710,0.709,0.735
313.458,-0.601,0.774,0.658,0.704,0.702,0.735
313.469,0.255,0.745,0.668,0.726,0.725,0.735
313.479,0.613,0.844,0.691,0.741,0.738,0.742
313.489,-0.295,0.763,0.699,0.708,0.707,0.741
313.499,0.725,0.919,0.724,0.753,0.749,0.747
313.510,-0.035,0.930,0.745,0.736,0.732,0.749
313.520,0.650,0.927,0.769,0.751,0.747,0.751
313.531,-0.330,0.929,0.788,0.721,0.716,0.753
313.541,-0.659,0.976,0.809,0.714,0.709,0.752
313.551,-1.281,0.966,0.829,0.703,0.698,0.747
313.562,-1.212,0.838,0.850,0.679,0.676,0.732
313.572,-1.381,0.635,0.840,0.656,0.656,0.718
313.582,-0.334,0.132,0.779,0.667,0.676,0.710
313.593,-0.891,0.013,0.715,0.659,0.670,0.708
313.603,0.265,0.131,0.633,0.681,0.689,0.703
313.613,-1.733,0.382,0.586,0.631,0.636,0.695
313.623,-0.401,0.638,0.567,0.674,0.674,0.690
313.633,-0.494,0.739,0.580,0.668,0.667,0.686
313.644,0.122,0.848,0.621,0.685,0.682,0.686
313.654,0.771,0.731,0.675,0.712,0.711,0.695
313.664,1.008,0.895,0.712,0.753,0.748,0.711
313.674,0.329,0.899,0.734,0.745,0.740,0.719
313.684,0.038,1.208,0.771,0.744,0.734,0.721
313.695,-0.676,1.166,0.799,0.716,0.705,0.716
313.705,-0.075,1.439,0.855,0.713,0.698,0.707
313.715,-1.151,1.263,0.901,0.673,0.660,0.700
313.725,-0.972,1.112,0.929,0.666,0.657,0.692
313.735,-0.287,0.693,0.909,0.673,0.669,0.686
313.745,0.730,0.710,0.868,0.708,0.705,0.692
313.755,0.749,0.382,0.791,0.710,0.712,0.698
313.766,0.479,0.437,0.717,0.713,0.715,0.704
313.776,-0.721,0.415,0.677,0.669,0.671,0.698
313.786,-0.075,0.481,0.648,0.675,0.675,0.692
313.797,-0.108,0.330,0.604,0.674,0.677,0.692
313.807,-0.155,0.361,0.563,0.680,0.682,0.691
313.817,0.417,0.176,0.537,0.703,0.708,0.696
313.827,0.610,-0.017,0.484,0.711,0.719,0.699
313.837,1.188,0.069,0.443,0.750,0.756,0.713
313.849,0.247,0.149,0.408,0.721,0.726,0.714
313.861,0.785,0.322,0.400,0.747,0.748,0.721
313.873,1.846,0.431,0.397,0.787,0.786,0.736
313.885,2.075,0.793,0.445,0.830,0.823,0.765
313.895,1.712,0.990,0.509,0.830,0.820,0.782
313.905,2.526,1.263,0.597,0.869,0.855,0.803
313.915,2.815,1.104,0.691,0.920,0.907,0.835
313.925,2.715,1.286,0.778,0.960,0.944,0.867
313.935,1.302,1.093,0.851,0.935,0.922,0.884
313.945,2.376,1.450,0.931,0.982,0.965,0.903
313.956,1.998,1.098,0.982,0.998,0.983,0.927
313.966,0.928,1.446,1.037,1.003,0.983,0.945
313.976,0.983,1.243,1.079,1.018,1.001,0.958
313.986,0.883,1.487,1.088,1.037,1.014,0.970
313.998,-0.093,1.861,1.144,1.017,0.988,0.972
314.010,0.225,1.650,1.201,1.042,1.017,0.980
314.021,0.451,1.713,1.229,1.057,1.035,0.989
314.031,2.762,0.782,1.185,1.126,1.117,1.009
314.042,0.983,0.803,1.150,1.100,1.094,1.030
314.053,-2.149,1.862,1.193,1.045,1.026,1.033
314.064,0.895,1.950,1.254,1.104,1.082,1.022
314.074,-0.149,1.492,1.284,1.104,1.092,1.040
314.085,2.343,0.403,1.240,1.159,1.163,1.049
314.096,0.008,0.039,1.148,1.118,1.130,1.065
314.107,1.832,0.259,1.024,1.168,1.175,1.072
314.118,-1.069,0.989,1.004,1.098,1.097,1.071
314.129,-2.594,1.849,1.059,1.048,1.033,1.053
314.140,-2.905,2.561,1.159,0.994,0.977,1.020
314.151,-1.216,2.255,1.258,1.017,1.008,1.000
314.162,-1.566,1.926,1.344,0.994,0.995,0.988
314.173,-0.649,0.853,1.304,1.004,1.020,0.983
314.184,1.400,0.054,1.208,1.050,1.077,0.984
314.195,-0.111,-0.285,1.060,1.014,1.046,0.991
314.206,0.464,-1.222,0.854,1.016,1.067,0.988
314.216,-0.692,-0.906,0.679,0.977,1.030,0.984
314.227,-0.349,0.334,0.610,0.994,1.033,0.979
314.237,-2.444,1.823,0.718,0.931,0.952,0.958
314.247,-3.798,2.923,0.907,0.878,0.890,0.932
314.258,-4.819,2.990,1.140,0.809,0.828,0.892
314.269,-5.658,2.851,1.304,0.722,0.754,0.842
314.279,-4.622,1.974,1.403,0.680,0.736,0.793
314.290,-8.531,0.862,1.378,0.496,0.566,0.722
314.300,-12.305,-0.820,1.215,0.255,0.350,0.609
314.311,-17.856,-1.339,0.965,-0.051,0.054,0.448
314.321,-27.769,0.359,0.832,-0.550,-0.457,0.203
314.332,-31.734,0.729,0.794,-1.009,-0.922,-0.127
314.342,-34.193,0.142,0.754,-1.399,-1.303,-0.460
314.353,-36.933,0.129,0.675,-1.850,-1.754,-0.837
314.363,-39.145,0.159,0.629,-2.300,-2.204,-1.234
314.374,-41.307,0.741,0.597,-2.798,-2.711,-1.666
314.384,-39.239,0.564,0.595,-3.146,-3.061,-2.084
314.395,-35.038,0.641,0.560,-3.416,-3.332,-2.462
314.405,-28.608,-0.721,0.483,-3.609,-3.503,-2.793
314.416,-22.396,-2.264,0.245,-3.705,-3.575,-3.056
314.427,-16.145,-1.681,0.006,-3.734,-3.616,-3.252
314.439,-4.878,-1.249,-0.206,-3.557,-3.439,-3.357
314.450,6.008,-2.532,-0.498,-3.275,-3.131,-3.327
314.462,16.837,-3.147,-0.911,-2.856,-2.704,-3.173
314.474,26.180,-2.818,-1.217,-2.339,-2.202,-2.906
314.486,35.901,-2.891,-1.538,-1.708,-1.584,-2.529
314.498,44.857,-2.102,-1.738,-0.958,-0.853,-2.032
314.510,54.963,-3.264,-1.979,-0.092,0.010,-1.426
314.522,62.101,-3.909,-2.330,0.802,0.897,-0.723
314.534,68.988,-3.891,-2.583,1.754,1.843,0.052
314.544,68.452,-3.781,-2.750,2.417,2.504,0.730
314.554,68.555,-3.398,-2.826,3.112,3.190,1.414
314.564,64.916,-3.337,-2.909,3.692,3.764,2.083
314.575,62.174,-2.140,-2.881,4.264,4.325,2.725
314.585,56.157,-2.067,-2.810,4.699,4.766,3.319
314.595,50.925,-3.251,-2.837,5.080,5.180,3.850
314.605,39.863,-2.821,-2.845,5.225,5.324,4.293
