R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,32.0,0.000100,0.003000,20,70,10,70,10,50,500,0,0
sysTime,GRawX,GPT1X,aRawR,aPT1R,aKFRawR,aKFPT10R,aKFPT11R
61.533,-0.842,-0.414,-0.290,-0.035,-0.038,-0.038,-0.029
61.544,-2.307,-0.713,-0.208,-0.033,-0.042,-0.042,-0.033
61.556,-1.697,-1.353,-0.247,-0.046,-0.075,-0.075,-0.048
61.567,-4.016,-1.531,0.127,-0.027,-0.092,-0.092,-0.063
61.578,-3.406,-1.084,-0.122,-0.028,-0.097,-0.097,-0.076
61.589,0.988,-1.220,0.002,-0.018,-0.114,-0.114,-0.090
61.601,-1.697,-1.100,0.002,-0.015,-0.112,-0.113,-0.100
61.612,-3.406,-0.376,0.170,-0.013,-0.114,-0.114,-0.109
61.623,-1.819,0.465,0.002,-0.024,-0.081,-0.082,-0.102
61.634,0.255,-0.118,0.044,-0.030,-0.089,-0.089,-0.100
61.645,10.754,1.306,-0.039,-0.024,-0.037,-0.037,-0.088
61.657,4.406,1.218,0.085,-0.014,-0.026,-0.026,-0.074
61.668,0.377,1.502,-0.039,-0.019,-0.017,-0.017,-0.062
61.679,-0.232,0.391,-0.165,-0.040,-0.044,-0.043,-0.057
61.690,-6.580,-0.330,-0.246,-0.061,-0.074,-0.072,-0.058
61.702,4.406,-0.369,-0.373,-0.053,-0.083,-0.082,-0.066
61.713,-1.209,-0.492,-0.123,-0.046,-0.095,-0.094,-0.070
61.724,-4.260,-0.622,-0.039,-0.043,-0.101,-0.101,-0.074
61.735,-3.162,-0.332,0.210,-0.029,-0.104,-0.104,-0.080
61.746,5.993,0.608,0.044,-0.024,-0.086,-0.087,-0.078
61.758,-2.063,0.579,0.044,-0.040,-0.089,-0.089,-0.074
61.769,-0.232,1.133,-0.081,-0.041,-0.077,-0.077,-0.067
61.780,-1.209,0.812,0.212,-0.038,-0.070,-0.069,-0.056
61.792,-1.941,0.881,0.127,-0.034,-0.051,-0.051,-0.043
61.803,-0.232,0.903,-0.039,-0.039,-0.032,-0.032,-0.031
61.814,-3.406,0.351,-0.206,-0.039,-0.025,-0.024,-0.020
61.825,-4.749,-0.427,0.086,-0.024,-0.037,-0.037,-0.018
61.836,-7.434,-1.249,-0.165,-0.043,-0.072,-0.072,-0.029
61.848,-4.016,-0.745,-0.248,-0.050,-0.073,-0.072,-0.039
61.859,0.011,-0.768,0.169,-0.029,-0.075,-0.075,-0.046
61.870,4.772,0.621,-0.165,-0.044,-0.057,-0.057,-0.049
61.881,3.429,-0.156,0.002,-0.045,-0.075,-0.075,-0.051
61.893,-5.603,-0.609,0.002,-0.035,-0.081,-0.081,-0.053
61.904,-0.720,-0.935,0.044,-0.033,-0.100,-0.100,-0.063
61.915,2.575,0.287,-0.164,-0.047,-0.084,-0.083,-0.067
61.926,-0.720,0.088,0.086,-0.036,-0.073,-0.073,-0.062
61.938,-3.772,0.589,0.002,-0.037,-0.059,-0.059,-0.056
61.949,-4.016,-0.516,-0.123,-0.030,-0.082,-0.082,-0.056
61.960,1.110,0.370,0.002,-0.031,-0.054,-0.054,-0.053
61.971,0.500,0.104,-0.123,-0.050,-0.058,-0.057,-0.051
61.982,-4.382,-1.303,-0.163,-0.049,-0.086,-0.085,-0.056
61.994,-3.040,-1.670,0.044,-0.040,-0.109,-0.108,-0.072
62.005,-0.110,-1.078,-0.291,-0.049,-0.123,-0.122,-0.090
62.016,-4.138,-0.160,0.002,-0.054,-0.108,-0.107,-0.093
62.027,1.476,-0.184,-0.081,-0.055,-0.107,-0.106,-0.095
62.039,2.331,-0.507,-0.080,-0.064,-0.124,-0.123,-0.101
62.050,7.458,0.572,0.044,-0.052,-0.106,-0.105,-0.103
62.061,8.434,0.919,0.044,-0.042,-0.092,-0.091,-0.097
62.072,2.209,0.766,0.086,-0.031,-0.095,-0.095,-0.090
62.083,1.720,0.523,-0.039,-0.034,-0.085,-0.085,-0.082
62.095,-4.871,-0.809,0.002,-0.027,-0.111,-0.112,-0.082
62.106,-0.110,-0.162,0.086,-0.021,-0.097,-0.097,-0.085
62.117,0.622,-0.368,0.044,-0.011,-0.102,-0.103,-0.086
62.128,-2.063,0.894,0.170,0.008,-0.089,-0.091,-0.086
62.140,1.720,0.737,-0.080,-0.011,-0.083,-0.084,-0.076
62.151,0.988,1.018,0.128,-0.024,-0.058,-0.058,-0.064
62.162,-3.650,1.109,0.253,-0.027,-0.053,-0.053,-0.053
62.173,3.307,0.734,-0.246,-0.014,-0.051,-0.052,-0.044
62.184,0.866,1.278,-0.039,-0.019,-0.026,-0.027,-0.030
62.196,-2.429,-0.059,-0.165,-0.013,-0.049,-0.050,-0.023
62.207,-1.575,-0.469,0.128,-0.008,-0.059,-0.060,-0.025
62.218,-3.284,0.314,0.044,-0.019,-0.041,-0.041,-0.022
62.229,-4.016,-0.019,0.002,-0.033,-0.046,-0.046,-0.020
62.241,1.598,-0.808,-0.291,-0.033,-0.071,-0.071,-0.027
62.252,-1.086,-1.276,0.002,-0.039,-0.098,-0.098,-0.041
62.263,2.453,-0.946,-0.122,-0.043,-0.106,-0.105,-0.054
62.274,0.988,-0.059,0.044,-0.015,-0.094,-0.095,-0.058
62.285,4.650,0.300,0.169,-0.010,-0.077,-0.078,-0.057
62.295,-2.918,0.306,-0.164,-0.017,-0.067,-0.068,-0.052
62.305,-9.265,-0.958,-0.247,-0.030,-0.102,-0.102,-0.054
62.316,5.260,-0.399,0.044,-0.034,-0.089,-0.089,-0.061
62.326,-2.063,0.240,0.002,-0.026,-0.066,-0.066,-0.059
62.336,-3.894,-0.527,0.044,-0.016,-0.086,-0.086,-0.059
62.347,0.988,-0.341,0.044,-0.018,-0.083,-0.084,-0.063
62.357,5.260,0.882,-0.122,-0.032,-0.042,-0.042,-0.058
62.367,-7.923,-0.643,-0.206,-0.037,-0.078,-0.078,-0.057
62.378,-2.063,-0.948,-0.207,-0.049,-0.093,-0.092,-0.065
62.388,-0.842,-0.837,0.128,-0.043,-0.092,-0.091,-0.072
62.398,-4.138,-0.605,-0.039,-0.035,-0.097,-0.097,-0.079
62.408,0.622,-1.225,0.128,-0.032,-0.140,-0.140,-0.094
62.419,5.627,-0.274,-2.872,-0.094,-0.140,-0.138,-0.104
62.429,7.702,0.227,0.085,-0.015,-0.140,-0.141,-0.109
62.439,2.697,0.146,0.340,0.097,-0.136,-0.142,-0.107
62.450,-4.993,-0.553,2.424,0.065,-0.149,-0.154,-0.106
62.460,-1.453,-0.438,1.919,0.080,-0.152,-0.157,-0.111
62.470,8.923,0.053,1.035,0.088,-0.145,-0.150,-0.116
62.480,-16.956,-1.683,-2.460,0.141,-0.174,-0.182,-0.117
62.491,-2.795,-0.669,-4.332,0.127,-0.157,-0.164,-0.126
62.501,-3.284,-0.549,1.834,-0.071,-0.189,-0.187,-0.136
62.511,5.749,-0.081,-6.225,-0.260,-0.207,-0.197,-0.144
62.522,0.622,-0.611,0.686,-0.458,-0.248,-0.226,-0.151
62.532,7.580,-0.627,0.780,-0.300,-0.264,-0.250,-0.162
62.542,-1.697,0.934,6.365,-0.073,-0.220,-0.216,-0.160
62.553,-5.237,0.768,10.500,0.096,-0.192,-0.193,-0.145
62.563,-5.847,-0.032,1.023,-0.001,-0.191,-0.187,-0.135
62.573,1.232,-1.014,-2.930,0.011,-0.222,-0.218,-0.141
62.583,0.133,-0.546,-3.117,0.124,-0.216,-0.217,-0.148
62.594,1.842,-0.478,11.783,0.051,-0.217,-0.215,-0.153
62.604,5.993,-0.601,3.122,0.200,-0.235,-0.240,-0.162
62.614,5.382,-0.403,-8.534,0.038,-0.246,-0.243,-0.167
62.625,-7.190,-0.880,1.479,-0.041,-0.254,-0.248,-0.169
62.635,-2.063,-0.204,-7.072,0.074,-0.228,-0.228,-0.170
62.645,-6.946,0.396,6.875,0.388,-0.173,-0.187,-0.159
62.656,3.796,1.374,2.702,0.549,-0.142,-0.164,-0.149
62.666,2.697,1.234,5.393,0.504,-0.140,-0.161,-0.135
62.676,5.627,0.540,-1.670,0.085,-0.184,-0.186,-0.130
62.686,5.505,1.354,1.669,-0.338,-0.176,-0.161,-0.123
62.697,5.627,0.916,6.689,-0.389,-0.155,-0.140,-0.111
