R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,32.0,0.000100,0.003000,20,50,5,50,5,50,500,0,0
sysTime,GRawX,GPT1X,aRawR,aPT1R,aKFRawR,aKFPT10R,aKFPT11R
205.692,-3.406,-0.677,0.339,0.372,0.346,0.346,0.373
205.703,-7.312,-0.809,0.170,0.379,0.343,0.343,0.370
205.715,-1.331,-0.266,0.378,0.397,0.351,0.351,0.367
205.726,2.697,0.204,0.380,0.391,0.356,0.356,0.366
205.737,4.406,0.172,0.461,0.390,0.363,0.363,0.369
205.749,2.331,0.120,0.296,0.377,0.370,0.370,0.373
205.760,4.406,-0.010,0.337,0.340,0.364,0.366,0.371
205.771,1.476,0.244,0.381,0.352,0.364,0.366,0.371
205.782,4.406,-0.172,0.336,0.339,0.357,0.358,0.371
205.793,2.941,-0.914,0.381,0.345,0.316,0.318,0.358
205.805,1.964,-0.592,0.295,0.322,0.311,0.314,0.348
205.816,0.622,-0.317,0.294,0.321,0.317,0.320,0.347
205.827,-0.354,-1.052,0.419,0.330,0.287,0.289,0.335
205.838,5.260,-0.069,0.418,0.339,0.297,0.299,0.327
205.850,-0.842,-0.245,0.338,0.346,0.292,0.293,0.325
205.861,2.819,-0.353,0.421,0.355,0.288,0.289,0.322
205.872,1.964,0.085,0.336,0.353,0.299,0.300,0.321
205.884,0.622,1.570,0.335,0.344,0.334,0.335,0.331
205.895,-5.481,0.839,0.422,0.346,0.347,0.348,0.351
205.906,2.575,0.381,0.252,0.344,0.353,0.355,0.359
205.917,-3.162,-0.444,0.253,0.337,0.339,0.341,0.361
205.928,6.115,1.053,0.253,0.339,0.372,0.374,0.365
205.940,-2.673,-0.826,0.587,0.348,0.329,0.330,0.363
205.951,-4.749,-0.646,0.461,0.349,0.318,0.320,0.356
205.962,4.284,0.322,0.420,0.345,0.319,0.321,0.351
205.974,-5.481,0.508,0.504,0.344,0.332,0.334,0.361
205.985,4.406,0.503,0.294,0.340,0.323,0.325,0.362
205.996,-6.091,0.625,0.295,0.352,0.335,0.336,0.373
206.007,-1.819,-0.388,0.212,0.354,0.311,0.312,0.371
206.019,5.627,-0.506,0.505,0.365,0.309,0.309,0.368
206.030,0.133,-1.414,0.463,0.391,0.287,0.286,0.359
206.041,-1.575,-0.612,0.421,0.402,0.301,0.300,0.353
206.052,1.354,-1.197,0.170,0.387,0.283,0.282,0.343
206.063,2.819,-0.119,0.295,0.377,0.286,0.287,0.334
206.075,0.133,0.156,0.294,0.379,0.303,0.303,0.339
206.086,-0.110,0.860,0.253,0.363,0.324,0.325,0.346
206.097,4.894,0.107,0.545,0.373,0.317,0.317,0.349
206.109,1.964,0.747,0.212,0.349,0.337,0.339,0.356
206.120,1.232,0.465,0.419,0.344,0.334,0.336,0.361
206.131,1.964,0.852,0.335,0.329,0.340,0.342,0.367
206.142,5.627,0.561,0.545,0.337,0.343,0.345,0.374
206.154,-0.598,-0.397,0.127,0.323,0.315,0.317,0.373
206.165,3.551,-0.545,0.295,0.344,0.310,0.311,0.368
206.176,-0.354,-0.655,0.381,0.352,0.297,0.298,0.359
206.187,-2.307,-0.660,0.462,0.371,0.297,0.297,0.355
206.199,0.133,-0.376,0.380,0.375,0.296,0.296,0.350
206.210,0.133,-0.371,0.382,0.375,0.302,0.302,0.350
206.221,-2.307,-1.551,0.421,0.372,0.274,0.274,0.343
206.232,-12.439,-2.008,0.252,0.376,0.251,0.251,0.328
206.244,1.232,-1.193,0.463,0.382,0.255,0.254,0.313
206.255,3.307,-0.285,0.253,0.360,0.264,0.264,0.308
206.266,-0.232,-0.739,0.379,0.358,0.259,0.260,0.304
206.277,-0.110,-0.243,0.211,0.345,0.261,0.262,0.299
206.289,5.382,0.863,0.461,0.371,0.299,0.299,0.306
206.300,3.063,0.454,0.086,0.345,0.304,0.306,0.315
206.311,4.162,0.475,0.377,0.335,0.303,0.305,0.321
206.323,0.133,0.721,0.337,0.347,0.317,0.319,0.330
206.334,-2.429,0.286,0.252,0.349,0.316,0.317,0.336
206.345,-0.476,-0.055,0.337,0.336,0.301,0.303,0.335
206.357,3.307,-0.450,0.377,0.339,0.289,0.290,0.331
206.367,-0.232,0.537,0.169,0.328,0.316,0.318,0.334
206.377,-2.918,0.536,0.253,0.346,0.331,0.332,0.343
206.388,8.312,1.144,0.294,0.351,0.342,0.343,0.348
206.398,0.255,1.390,0.170,0.360,0.367,0.368,0.364
206.408,1.842,-0.267,0.295,0.363,0.317,0.318,0.365
206.419,-2.673,-0.723,0.545,0.360,0.297,0.297,0.359
206.429,-5.237,-1.048,0.503,0.365,0.289,0.289,0.354
206.440,2.575,-0.903,0.337,0.363,0.281,0.281,0.343
206.450,-3.894,-0.248,0.338,0.369,0.302,0.302,0.342
206.460,3.063,-0.643,0.336,0.380,0.284,0.284,0.336
206.470,1.964,-0.003,0.379,0.378,0.303,0.303,0.335
206.481,-3.162,-0.143,0.170,0.388,0.299,0.299,0.337
206.491,0.622,-0.509,0.253,0.393,0.287,0.287,0.334
206.501,10.632,0.525,0.463,0.392,0.315,0.315,0.335
206.512,-4.016,-0.888,-0.866,0.388,0.273,0.273,0.333
206.522,4.894,-0.111,-0.616,0.356,0.276,0.277,0.325
206.533,-2.429,0.008,3.715,0.241,0.276,0.281,0.326
206.543,-4.138,-0.402,-1.534,0.316,0.266,0.268,0.325
206.553,2.819,-0.106,-1.813,0.156,0.265,0.274,0.323
206.564,-7.678,-0.355,-7.151,0.022,0.257,0.271,0.324
206.574,1.232,-1.178,0.898,-0.080,0.219,0.238,0.313
206.584,0.133,-0.194,-0.273,-0.139,0.252,0.272,0.309
206.595,7.702,0.731,0.625,0.077,0.295,0.305,0.312
206.605,-0.354,0.799,2.662,0.165,0.317,0.323,0.322
206.615,0.622,0.436,-1.964,0.106,0.314,0.322,0.327
206.626,-2.795,-0.399,-0.193,-0.016,0.265,0.278,0.321
206.636,0.377,0.401,-0.077,-0.029,0.293,0.307,0.323
206.646,-3.406,-0.668,3.780,0.199,0.268,0.272,0.318
206.657,1.232,-0.034,5.724,0.370,0.280,0.277,0.313
206.667,6.847,1.653,0.964,0.275,0.328,0.328,0.322
206.677,7.580,1.572,-11.951,0.065,0.331,0.342,0.337
206.688,7.214,1.462,-10.040,0.203,0.356,0.360,0.353
206.698,-0.354,0.291,4.450,0.128,0.326,0.334,0.359
206.708,-0.598,-0.323,-6.094,0.565,0.324,0.314,0.359
206.719,0.011,-0.434,-0.489,0.647,0.319,0.305,0.357
206.729,-0.476,-0.055,4.102,0.740,0.318,0.299,0.352
