R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,32.0,0.000000,0.000300,75,250,1,250,1,50,500,0,0
sysTime,GPT1X,aPT1R,aPT2R,aKFRawR,aKFPT10R,aKFPT11R
384.896,-0.437,0.336,0.341,0.616,0.615,0.660
384.907,-0.184,0.341,0.341,0.613,0.612,0.656
384.918,0.461,0.350,0.342,0.617,0.615,0.652
384.929,1.540,0.336,0.342,0.644,0.643,0.661
384.940,0.359,0.345,0.341,0.621,0.619,0.667
384.951,-0.643,0.349,0.342,0.591,0.589,0.662
384.962,-0.769,0.346,0.344,0.589,0.588,0.655
384.973,-0.627,0.329,0.343,0.578,0.577,0.644
384.983,-0.444,0.314,0.339,0.568,0.567,0.632
384.994,-0.684,0.323,0.337,0.554,0.553,0.622
385.005,-1.744,0.310,0.333,0.507,0.506,0.603
385.016,-0.322,0.309,0.330,0.519,0.518,0.590
385.027,0.069,0.320,0.328,0.519,0.518,0.585
385.038,-0.197,0.327,0.328,0.501,0.500,0.579
385.049,-0.336,0.332,0.328,0.487,0.486,0.571
385.060,-0.262,0.326,0.330,0.480,0.479,0.563
385.071,0.313,0.314,0.328,0.498,0.497,0.566
385.082,1.222,0.352,0.329,0.522,0.521,0.572
385.093,0.447,0.349,0.332,0.523,0.522,0.581
385.104,0.299,0.345,0.335,0.520,0.518,0.583
385.115,-0.260,0.348,0.337,0.509,0.507,0.581
385.126,-1.554,0.370,0.342,0.479,0.477,0.568
385.137,-0.803,0.373,0.347,0.490,0.488,0.559
385.148,-0.662,0.346,0.348,0.481,0.480,0.549
385.159,-0.346,0.363,0.348,0.482,0.481,0.543
385.170,-0.153,0.354,0.350,0.490,0.488,0.542
385.181,0.070,0.358,0.351,0.488,0.487,0.539
385.192,-0.328,0.364,0.352,0.479,0.477,0.536
385.203,-0.438,0.346,0.352,0.472,0.470,0.532
385.214,0.098,0.337,0.350,0.476,0.475,0.530
385.225,-0.297,0.357,0.351,0.483,0.482,0.534
385.236,0.286,0.332,0.349,0.492,0.491,0.532
