R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,32.0,0.000100,0.003000,20,50,10,50,10,50,500,0,0
sysTime,GRawX,GPT1X,aRawR,aPT1R,aKFRawR,aKFPT10R,aKFPT11R
86.954,7.214,1.552,0.549,0.604,0.707,0.696,0.640
86.966,-2.185,0.548,0.631,0.614,0.712,0.701,0.655
86.977,1.110,0.828,0.462,0.603,0.712,0.701,0.659
86.988,-2.673,0.987,0.549,0.605,0.726,0.716,0.671
86.999,-1.453,0.345,0.589,0.604,0.726,0.716,0.681
87.011,-1.209,0.538,0.629,0.607,0.748,0.737,0.689
87.022,-4.627,-0.162,0.545,0.612,0.735,0.724,0.693
87.033,-0.598,-0.340,0.631,0.598,0.728,0.718,0.690
87.044,-4.382,-0.327,0.670,0.608,0.723,0.713,0.688
87.056,0.866,0.297,0.502,0.607,0.725,0.714,0.687
87.067,-8.777,-1.531,0.878,0.623,0.686,0.675,0.681
87.078,-1.453,-1.166,0.843,0.617,0.677,0.666,0.666
87.089,-0.232,-0.814,0.502,0.614,0.683,0.673,0.658
87.101,-4.016,-1.070,0.633,0.604,0.663,0.653,0.647
87.112,4.772,0.084,0.633,0.610,0.674,0.664,0.639
87.123,-0.232,-0.423,0.587,0.619,0.667,0.657,0.638
87.134,0.744,-0.269,0.796,0.634,0.663,0.651,0.631
87.146,6.603,-0.222,0.713,0.645,0.663,0.652,0.627
87.157,2.819,0.000,0.675,0.651,0.671,0.659,0.628
87.168,-4.382,-0.978,0.589,0.640,0.645,0.634,0.623
87.179,2.453,0.433,0.633,0.617,0.666,0.655,0.621
87.191,-6.824,-0.242,0.715,0.630,0.654,0.643,0.625
87.202,12.707,1.025,0.588,0.613,0.677,0.667,0.627
87.213,0.133,0.327,0.588,0.619,0.665,0.655,0.633
87.224,-5.481,-0.928,0.460,0.615,0.636,0.626,0.629
87.236,-8.167,-1.345,0.716,0.612,0.616,0.606,0.618
87.247,-1.941,-1.894,0.339,0.617,0.587,0.577,0.601
87.258,5.627,-0.814,0.380,0.595,0.580,0.571,0.581
87.269,-0.232,-0.539,0.630,0.581,0.586,0.578,0.575
87.281,-0.720,-0.413,0.504,0.589,0.589,0.580,0.572
87.292,0.744,-0.268,0.591,0.603,0.590,0.581,0.570
87.303,0.133,-0.418,0.711,0.584,0.581,0.573,0.566
87.314,-0.476,-0.038,0.628,0.592,0.591,0.582,0.567
87.326,0.866,1.213,0.631,0.593,0.629,0.621,0.577
87.337,-4.627,0.286,0.758,0.602,0.617,0.608,0.585
87.348,-3.284,0.542,0.500,0.603,0.632,0.623,0.594
87.359,-0.842,-0.579,0.633,0.605,0.620,0.611,0.597
87.371,2.819,-0.043,0.506,0.588,0.635,0.626,0.596
87.382,-3.406,0.110,0.631,0.616,0.637,0.628,0.598
87.393,-0.110,0.966,0.588,0.588,0.663,0.654,0.608
87.404,-1.819,0.596,0.631,0.584,0.653,0.645,0.614
87.416,-0.964,0.900,0.585,0.601,0.677,0.668,0.627
87.427,6.359,1.435,0.506,0.607,0.692,0.683,0.637
87.438,1.720,1.402,0.673,0.604,0.695,0.686,0.650
87.449,5.627,0.555,0.799,0.617,0.686,0.676,0.659
87.461,-0.720,1.138,0.506,0.617,0.713,0.704,0.671
87.472,-0.476,1.218,0.588,0.615,0.730,0.721,0.686
87.483,6.847,1.174,0.626,0.627,0.740,0.731,0.698
87.494,4.894,1.041,0.712,0.625,0.746,0.736,0.706
87.506,0.133,-0.465,0.588,0.625,0.711,0.702,0.705
87.517,2.453,-0.673,0.632,0.612,0.699,0.690,0.697
87.528,0.500,0.016,0.501,0.610,0.713,0.704,0.694
87.539,2.086,0.503,0.505,0.599,0.721,0.713,0.697
87.551,1.964,-0.076,0.712,0.611,0.705,0.696,0.696
87.562,5.138,0.520,0.381,0.597,0.711,0.703,0.696
87.573,2.331,0.567,0.840,0.613,0.711,0.703,0.699
87.584,1.110,0.013,0.712,0.605,0.698,0.690,0.699
87.596,5.260,0.895,0.507,0.593,0.708,0.701,0.700
87.607,-5.237,0.978,0.713,0.598,0.718,0.711,0.712
87.618,-7.434,0.319,0.591,0.581,0.722,0.715,0.724
87.629,1.232,0.470,0.717,0.595,0.730,0.722,0.728
87.641,-0.842,-0.047,0.711,0.594,0.715,0.708,0.728
87.653,2.697,0.258,0.631,0.607,0.727,0.719,0.729
87.665,2.941,0.349,0.337,0.586,0.736,0.729,0.733
87.677,-3.528,-0.271,0.170,0.570,0.726,0.719,0.736
87.689,1.110,0.631,0.588,0.583,0.747,0.740,0.736
87.699,-0.720,-0.353,0.549,0.584,0.713,0.706,0.734
87.711,-1.086,-0.821,0.798,0.593,0.704,0.697,0.729
87.722,-2.795,-1.404,0.506,0.583,0.692,0.685,0.720
87.734,0.866,-0.523,0.464,0.574,0.709,0.703,0.710
87.746,-3.894,-0.927,0.628,0.569,0.692,0.686,0.701
87.758,2.453,-0.005,-0.207,0.573,0.702,0.696,0.693
87.770,0.988,0.808,1.510,0.623,0.742,0.734,0.702
87.782,2.209,0.530,-2.455,0.561,0.739,0.733,0.709
87.793,2.819,0.570,6.372,0.728,0.752,0.739,0.714
87.803,-1.819,0.634,-0.603,0.425,0.747,0.747,0.719
87.813,0.011,0.497,2.380,0.616,0.763,0.753,0.725
87.824,2.209,1.245,-1.977,0.643,0.789,0.778,0.734
87.834,-1.453,1.030,2.799,0.725,0.793,0.779,0.744
87.844,1.354,-0.090,-1.671,0.628,0.749,0.739,0.745
87.856,-2.795,0.279,3.704,0.584,0.757,0.749,0.747
87.868,6.237,0.903,2.057,0.530,0.776,0.770,0.752
87.880,2.819,0.764,-0.951,0.457,0.777,0.775,0.759
87.890,-4.993,0.422,-9.501,0.285,0.765,0.771,0.765
87.902,-4.260,0.760,-6.569,0.078,0.766,0.781,0.770
87.914,-1.086,1.165,4.439,0.441,0.795,0.794,0.779
87.924,8.434,1.804,4.667,0.842,0.840,0.820,0.792
87.935,0.744,1.011,-6.862,0.863,0.839,0.815,0.808
87.945,-6.091,-0.226,4.475,0.955,0.811,0.782,0.812
87.955,-4.993,-0.007,21.625,1.271,0.838,0.794,0.815
87.966,-5.481,-0.201,12.042,1.774,0.851,0.786,0.818
87.976,-1.331,-0.390,6.456,1.556,0.841,0.785,0.821
87.986,-5.359,-0.178,8.914,1.757,0.853,0.787,0.822
87.996,-2.307,-0.181,9.674,1.430,0.858,0.800,0.826
88.007,3.307,-0.616,8.309,0.985,0.827,0.789,0.822
88.019,-7.434,-1.407,7.715,0.672,0.783,0.758,0.809
88.031,3.796,-0.791,0.125,0.678,0.802,0.771,0.798
88.041,7.824,0.411,4.224,0.980,0.829,0.785,0.794
88.053,4.772,0.604,-8.019,0.800,0.838,0.800,0.802
88.063,8.190,0.969,-2.589,1.246,0.871,0.809,0.809
88.073,6.725,1.131,-5.190,1.142,0.867,0.812,0.819
88.084,-8.167,0.944,7.656,1.247,0.891,0.830,0.836
88.094,-3.406,0.478,16.515,1.928,0.924,0.831,0.849
88.106,5.749,0.832,2.617,1.755,0.930,0.844,0.861
88.116,4.284,1.068,20.630,2.142,0.963,0.859,0.873
88.126,5.382,0.719,10.934,1.885,0.949,0.855,0.885
88.136,4.162,0.931,12.666,2.078,0.976,0.874,0.899
88.146,5.382,0.537,12.074,2.165,0.980,0.875,0.911
88.158,2.086,1.925,-9.364,1.718,1.019,0.933,0.935
88.170,2.331,1.580,11.539,1.609,1.031,0.952,0.961
88.182,0.255,0.179,8.611,1.679,1.001,0.919,0.972
88.194,-0.720,-0.281,6.369,1.540,0.992,0.918,0.976
88.206,2.697,0.959,-8.639,1.246,1.015,0.956,0.984
88.218,1.598,1.328,0.851,1.350,1.047,0.984,1.001
88.230,7.580,1.322,-9.388,1.082,1.052,1.001,1.019
88.242,6.969,0.660,4.330,0.982,1.048,1.002,1.029
88.254,-0.720,0.162,-1.838,0.899,1.025,0.984,1.031
88.264,0.011,0.253,-9.440,0.909,1.020,0.979,1.033
88.276,0.866,-0.847,-3.865,0.853,0.973,0.936,1.025
88.288,5.993,-0.432,4.329,0.695,0.956,0.926,1.013
88.298,-6.336,-0.527,8.903,0.508,0.938,0.917,1.007
88.310,11.852,0.394,-6.516,0.198,0.938,0.932,0.999
88.320,0.500,0.775,-2.169,0.184,0.948,0.941,1.001
88.331,-3.284,0.720,5.201,0.073,0.950,0.947,1.004
88.341,-1.209,0.835,1.189,0.103,0.975,0.970,1.009
88.353,-2.918,0.864,6.493,0.252,0.982,0.971,1.012
88.364,3.673,0.844,-12.083,-0.074,0.966,0.968,1.013
88.375,2.331,0.769,-8.788,0.041,0.983,0.976,1.019
88.387,1.842,0.260,-3.065,0.173,0.977,0.964,1.020
