R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,32.0,0.000100,0.003000,20,45,5,45,5,50,500,0,0
sysTime,GRawX,GPT1X,aRawR,aPT1R,aKFRawR,aKFPT10R,aKFPT11R
332.575,9.411,-1.718,-15.910,0.487,0.303,0.288,0.396
332.587,-4.993,-2.037,-2.090,0.247,0.284,0.280,0.382
332.599,-6.824,-1.647,19.476,0.746,0.288,0.262,0.359
332.611,3.796,-1.299,-14.923,0.328,0.261,0.252,0.338
332.623,-12.928,-1.326,-7.428,0.351,0.290,0.278,0.335
332.635,-3.894,0.944,15.641,0.648,0.369,0.340,0.339
332.645,7.824,1.767,9.330,0.601,0.402,0.374,0.352
332.657,9.045,0.468,-1.828,0.601,0.370,0.342,0.360
332.669,-5.969,1.131,-1.897,0.481,0.412,0.389,0.377
332.681,-10.852,-0.773,10.915,0.644,0.370,0.336,0.378
332.693,-7.312,-0.308,4.371,0.732,0.414,0.372,0.382
332.705,-8.045,-1.329,-7.544,0.522,0.380,0.342,0.375
332.717,-4.627,-1.068,-8.314,0.298,0.377,0.343,0.366
332.729,-6.702,-1.053,9.103,0.343,0.381,0.338,0.355
332.741,-1.819,0.065,-9.549,0.010,0.404,0.369,0.352
332.751,4.162,0.825,-4.154,-0.158,0.450,0.415,0.359
332.762,-1.819,1.238,-3.590,-0.385,0.468,0.444,0.370
332.774,7.580,3.364,2.379,-0.436,0.556,0.534,0.398
332.786,8.434,2.333,1.599,-0.265,0.558,0.529,0.422
332.798,-2.673,1.200,6.919,-0.163,0.553,0.515,0.434
332.810,-4.260,-0.151,-0.178,0.003,0.532,0.483,0.436
332.822,-9.387,-0.755,-5.326,-0.086,0.525,0.475,0.433
332.834,-3.650,0.889,8.283,0.260,0.579,0.513,0.436
332.846,5.749,1.755,-12.084,0.079,0.602,0.548,0.451
332.858,-4.993,1.792,1.582,0.109,0.613,0.561,0.470
332.868,-4.627,1.205,2.133,0.126,0.612,0.558,0.483
332.880,-1.209,1.213,5.595,0.283,0.609,0.550,0.487
332.892,-17.322,-0.266,-0.788,0.241,0.593,0.537,0.497
332.904,15.637,1.214,-9.572,-0.021,0.597,0.551,0.491
332.916,18.200,1.321,11.723,0.530,0.609,0.534,0.490
332.928,-3.650,1.467,14.742,0.856,0.641,0.549,0.505
332.940,7.092,3.260,-4.777,0.065,0.665,0.609,0.529
