R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,32.0,0.000010,0.000030,75,250,1,250,1,50,500,0,0
sysTime,GPT1X,aPT1R,aPT2R,aKFRawR,aKFPT10R,aKFPT11R
439.814,0.053,0.005,0.016,0.054,0.057,0.074
439.825,0.035,0.013,0.016,0.059,0.063,0.077
439.836,0.318,0.025,0.017,0.059,0.062,0.076
439.847,1.029,0.023,0.018,0.071,0.074,0.081
439.857,0.612,0.036,0.020,0.073,0.076,0.090
439.869,-0.913,0.036,0.023,0.050,0.053,0.092
439.879,-0.249,0.034,0.025,0.058,0.061,0.086
439.890,-1.950,0.026,0.026,0.011,0.014,0.073
439.901,-1.234,0.008,0.024,0.012,0.015,0.058
439.912,-1.374,0.020,0.022,-0.000,0.002,0.047
439.923,-0.714,0.018,0.022,0.000,0.003,0.034
439.934,-1.431,0.002,0.020,-0.025,-0.022,0.021
439.945,-0.926,0.007,0.017,-0.025,-0.022,0.012
439.956,-0.026,0.000,0.014,-0.002,0.001,0.013
439.967,-0.578,0.012,0.013,-0.013,-0.009,0.010
439.977,-0.012,0.016,0.013,0.000,0.003,0.008
439.988,-0.683,0.017,0.014,-0.022,-0.019,0.002
439.999,-0.480,0.022,0.015,-0.013,-0.009,0.001
440.010,-0.801,0.036,0.019,-0.025,-0.022,-0.005
440.021,0.105,0.024,0.020,-0.016,-0.013,-0.012
440.032,-0.253,0.015,0.019,-0.013,-0.010,-0.010
440.043,-0.005,0.017,0.018,-0.005,-0.002,-0.011
440.054,0.148,0.022,0.019,0.001,0.004,-0.008
440.065,0.554,0.026,0.020,0.020,0.023,-0.002
440.076,-0.842,0.030,0.022,-0.014,-0.011,-0.008
440.087,-1.394,0.033,0.024,-0.043,-0.040,-0.025
440.097,-0.599,0.037,0.026,-0.046,-0.043,-0.037
440.108,0.184,0.040,0.028,-0.036,-0.033,-0.041
440.119,0.726,0.047,0.029,-0.013,-0.010,-0.033
440.130,0.137,0.055,0.033,-0.025,-0.022,-0.031
440.141,0.287,0.049,0.036,-0.011,-0.008,-0.026
440.152,-0.528,0.050,0.038,-0.027,-0.025,-0.027
440.163,-0.475,0.073,0.043,-0.026,-0.024,-0.032
440.174,-0.324,0.043,0.045,-0.036,-0.033,-0.043
440.185,0.060,0.031,0.044,-0.023,-0.020,-0.041
440.196,1.078,0.016,0.041,0.004,0.007,-0.034
440.207,0.884,0.026,0.037,0.018,0.021,-0.021
440.217,0.593,0.024,0.034,0.008,0.011,-0.018
440.228,0.432,0.030,0.033,0.013,0.016,-0.012
440.239,0.749,0.035,0.033,0.027,0.030,-0.008
440.250,-0.264,0.046,0.033,0.007,0.010,-0.009
440.261,0.339,0.044,0.036,0.028,0.031,-0.006
440.272,-0.772,0.050,0.037,0.013,0.015,-0.007
440.283,-0.585,0.054,0.040,0.008,0.011,-0.015
440.294,-0.126,0.057,0.043,-0.000,0.001,-0.022
440.305,-0.121,0.054,0.044,-0.006,-0.003,-0.026
440.316,0.146,0.044,0.045,0.004,0.007,-0.023
440.327,0.905,0.048,0.045,0.020,0.023,-0.019
440.337,-0.103,0.055,0.046,0.013,0.016,-0.013
440.349,-0.227,0.056,0.048,0.008,0.010,-0.018
440.359,-0.429,0.057,0.049,-0.000,0.002,-0.022
440.370,0.140,0.053,0.049,-0.004,-0.002,-0.028
440.381,-0.181,0.053,0.049,-0.020,-0.018,-0.034
440.392,0.466,0.041,0.048,0.000,0.003,-0.030
440.403,-0.227,0.030,0.046,-0.015,-0.012,-0.031
440.414,0.245,0.023,0.042,-0.002,0.000,-0.029
440.425,0.046,0.006,0.037,0.002,0.005,-0.025
440.436,0.360,0.015,0.033,0.012,0.015,-0.023
440.447,0.600,0.023,0.029,0.029,0.033,-0.014
440.458,-0.185,0.009,0.027,0.025,0.028,-0.011
440.469,0.485,0.015,0.024,0.038,0.041,-0.008
440.480,1.059,0.015,0.022,0.059,0.062,0.000
440.491,1.764,0.027,0.022,0.092,0.095,0.017
440.502,1.572,0.021,0.022,0.107,0.110,0.035
440.513,1.161,0.014,0.021,0.117,0.120,0.050
440.524,-0.496,-0.007,0.017,0.097,0.101,0.056
440.535,0.520,0.008,0.015,0.109,0.112,0.054
440.546,1.096,0.005,0.014,0.140,0.144,0.068
440.557,1.141,0.000,0.011,0.153,0.157,0.080
440.568,2.264,-0.000,0.010,0.189,0.192,0.098
440.579,2.224,0.014,0.010,0.210,0.213,0.120
440.590,1.013,0.019,0.012,0.205,0.208,0.137
440.601,0.827,0.012,0.012,0.200,0.203,0.145
440.612,1.061,0.008,0.012,0.222,0.226,0.156
440.623,1.002,0.026,0.013,0.242,0.245,0.169
440.634,0.382,0.008,0.013,0.240,0.243,0.176
440.645,0.654,0.036,0.016,0.250,0.253,0.180
