R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,32.0,0.000010,0.000300,50,250,1,250,1,50,500,0,0
sysTime,GPT1X,aPT1R,aPT2R,aKFRawR,aKFPT10R,aKFPT11R
180.705,1.171,0.664,0.671,0.910,0.955,0.976
180.716,1.996,0.671,0.670,0.935,0.980,0.989
180.727,1.413,0.665,0.669,0.938,0.983,1.005
180.738,1.176,0.663,0.668,0.940,0.985,1.014
180.749,2.564,0.661,0.668,0.987,1.032,1.035
180.760,1.380,0.669,0.668,0.980,1.025,1.053
180.771,0.712,0.663,0.667,0.961,1.006,1.056
180.782,0.658,0.663,0.666,0.963,1.008,1.061
180.793,1.131,0.674,0.665,0.982,1.026,1.069
180.803,1.258,0.689,0.668,0.993,1.037,1.077
180.814,0.552,0.685,0.672,0.999,1.043,1.090
180.825,-0.106,0.675,0.673,0.982,1.026,1.087
180.836,0.406,0.661,0.672,0.993,1.038,1.087
180.847,-0.464,0.658,0.670,0.970,1.014,1.081
180.858,-0.713,0.651,0.666,0.943,0.988,1.069
180.869,-0.279,0.638,0.662,0.945,0.989,1.061
180.880,0.030,0.655,0.660,0.941,0.985,1.052
180.891,1.272,0.662,0.661,0.976,1.020,1.060
180.902,0.200,0.658,0.662,0.965,1.008,1.068
180.913,-0.192,0.669,0.662,0.950,0.993,1.062
180.924,-0.647,0.664,0.663,0.928,0.971,1.052
180.935,0.557,0.652,0.662,0.949,0.992,1.050
180.946,-1.109,0.663,0.662,0.918,0.961,1.044
180.957,0.419,0.680,0.663,0.944,0.987,1.040
180.968,0.452,0.669,0.665,0.949,0.993,1.043
180.979,-0.018,0.686,0.668,0.934,0.977,1.039
180.989,-0.961,0.682,0.671,0.907,0.950,1.030
181.000,-0.084,0.697,0.675,0.918,0.960,1.026
181.011,-0.585,0.700,0.678,0.903,0.945,1.020
181.022,-0.196,0.691,0.681,0.902,0.944,1.012
181.033,0.642,0.686,0.683,0.906,0.948,1.009
181.044,0.836,0.680,0.682,0.905,0.947,1.015
181.055,0.363,0.683,0.683,0.906,0.949,1.021
181.066,0.348,0.682,0.684,0.909,0.952,1.024
181.077,0.657,0.682,0.683,0.920,0.962,1.027
181.088,-0.125,0.687,0.683,0.912,0.954,1.029
181.099,-0.047,0.665,0.681,0.913,0.955,1.026
181.110,0.232,0.666,0.678,0.915,0.957,1.025
181.121,0.679,0.665,0.676,0.921,0.963,1.025
181.131,1.698,0.671,0.674,0.951,0.993,1.037
181.143,0.782,0.675,0.676,0.953,0.995,1.050
181.153,1.300,0.663,0.674,0.977,1.019,1.062
181.164,0.273,0.677,0.673,0.964,1.005,1.066
181.175,-0.405,0.671,0.673,0.957,0.998,1.063
181.186,0.761,0.640,0.670,0.976,1.018,1.060
181.197,0.874,0.640,0.665,0.984,1.026,1.066
181.208,-0.558,0.668,0.663,0.962,1.003,1.068
181.219,-0.087,0.670,0.663,0.958,1.000,1.057
181.230,-0.138,0.680,0.665,0.954,0.995,1.051
181.241,0.667,0.680,0.668,0.970,1.011,1.053
181.252,0.757,0.675,0.669,0.978,1.019,1.058
181.263,-0.587,0.665,0.669,0.959,1.000,1.059
181.274,-0.704,0.669,0.669,0.955,0.995,1.051
181.285,-0.027,0.651,0.668,0.965,1.007,1.046
181.296,0.364,0.645,0.664,0.981,1.022,1.049
181.307,0.240,0.639,0.660,0.971,1.012,1.047
181.318,0.196,0.642,0.657,0.975,1.016,1.048
181.328,0.517,0.626,0.653,0.974,1.015,1.046
181.339,1.713,0.619,0.647,1.004,1.045,1.056
181.350,1.336,0.627,0.643,1.023,1.064,1.073
181.361,1.226,0.640,0.641,1.039,1.080,1.087
181.372,0.929,0.657,0.643,1.043,1.084,1.094
181.383,0.104,0.675,0.647,1.034,1.074,1.101
181.394,0.623,0.674,0.652,1.046,1.086,1.103
181.405,1.702,0.673,0.655,1.076,1.116,1.113
181.416,1.493,0.670,0.658,1.106,1.146,1.133
181.427,0.273,0.658,0.659,1.093,1.133,1.138
181.438,0.416,0.668,0.660,1.101,1.141,1.139
181.449,-0.240,0.669,0.661,1.078,1.118,1.133
181.460,0.300,0.676,0.663,1.087,1.126,1.132
181.471,-0.202,0.660,0.665,1.073,1.113,1.129
