R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,32.0,0.000100,0.003000,20,50,20,50,20,50,500,0,0
sysTime,GRawX,GPT1X,aRawR,aPT1R,aKFRawR,aKFPT10R,aKFPT11R
159.533,0.744,0.333,0.211,0.090,0.008,0.009,0.001
159.544,-2.673,-0.546,0.253,0.098,0.003,0.003,0.003
159.555,-1.331,-0.475,0.044,0.093,-0.004,-0.003,-0.002
159.566,7.092,0.981,0.253,0.102,0.028,0.028,-0.001
159.578,6.359,1.263,-0.039,0.094,0.040,0.041,0.009
159.589,5.993,1.041,-0.039,0.096,0.040,0.040,0.017
159.600,6.481,2.204,0.086,0.086,0.075,0.075,0.033
159.611,3.185,1.663,0.086,0.083,0.084,0.085,0.054
159.623,-2.551,0.749,0.086,0.091,0.084,0.085,0.068
159.634,-0.964,0.885,0.002,0.090,0.099,0.100,0.078
159.645,-4.749,0.301,0.086,0.090,0.094,0.094,0.086
159.656,6.359,-0.371,-0.080,0.107,0.068,0.068,0.078
159.668,1.232,-0.641,0.086,0.112,0.057,0.057,0.071
159.679,-3.894,-1.044,0.169,0.113,0.029,0.029,0.060
159.690,2.209,-1.234,0.169,0.118,-0.006,-0.006,0.040
159.701,-2.307,-0.716,-0.039,0.132,-0.004,-0.005,0.029
159.713,5.871,0.520,0.086,0.113,0.008,0.008,0.024
159.724,-4.627,0.660,0.128,0.124,0.037,0.036,0.036
159.735,-0.476,0.471,-0.081,0.112,0.042,0.042,0.045
159.746,-2.918,-1.144,0.085,0.107,0.010,0.010,0.040
159.757,0.744,0.248,-0.081,0.109,0.028,0.028,0.035
159.769,6.481,0.851,0.044,0.103,0.039,0.040,0.038
159.780,4.162,0.996,0.044,0.098,0.059,0.059,0.051
159.791,2.819,1.960,0.169,0.103,0.083,0.083,0.065
159.803,1.476,0.940,0.086,0.098,0.071,0.071,0.078
159.814,-1.575,1.509,0.085,0.092,0.105,0.105,0.096
159.825,-2.795,-0.191,0.044,0.079,0.081,0.082,0.102
159.836,0.133,0.270,0.002,0.083,0.092,0.093,0.106
159.847,3.307,-0.368,0.294,0.107,0.080,0.080,0.104
159.859,1.476,-0.215,0.211,0.105,0.077,0.077,0.100
159.870,-0.110,0.152,0.086,0.100,0.076,0.076,0.098
159.881,0.500,0.825,0.086,0.083,0.090,0.091,0.102
159.892,-0.720,1.464,0.002,0.065,0.113,0.115,0.116
159.904,-2.673,-0.503,0.128,0.073,0.094,0.096,0.124
159.915,-0.842,0.843,0.211,0.071,0.122,0.124,0.127
159.926,-1.697,0.881,-0.080,0.078,0.129,0.131,0.135
159.937,0.255,1.491,-0.164,0.080,0.141,0.142,0.144
159.949,1.964,1.151,0.128,0.087,0.159,0.160,0.160
159.960,1.720,0.550,0.252,0.088,0.154,0.155,0.167
159.971,-0.598,-0.320,0.044,0.089,0.139,0.139,0.168
159.982,-1.819,-1.162,0.211,0.095,0.114,0.114,0.158
159.994,-2.307,-0.661,0.085,0.101,0.114,0.114,0.146
160.005,-3.406,0.090,-0.080,0.121,0.125,0.124,0.143
160.016,2.941,0.622,0.169,0.108,0.144,0.144,0.149
160.027,-0.110,0.415,0.212,0.106,0.136,0.136,0.151
160.039,-4.627,-0.720,0.044,0.110,0.115,0.115,0.150
