R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,32.0,0.000100,0.003000,20,70,10,70,10,50,500,0,0
sysTime,GPT1X,aPT1R,aPT2R,aKFRawR,aKFPT10R,aKFPT11R
295.172,1.660,0.891,0.901,0.826,0.816,0.748
295.183,1.124,0.885,0.899,0.831,0.821,0.763
295.194,0.727,0.885,0.896,0.835,0.825,0.774
295.205,0.289,0.886,0.894,0.834,0.824,0.781
295.216,0.058,0.885,0.893,0.829,0.819,0.782
295.227,-0.055,0.866,0.890,0.832,0.823,0.786
295.238,1.216,0.885,0.887,0.861,0.851,0.793
295.249,1.092,0.885,0.887,0.878,0.868,0.808
295.261,1.415,0.877,0.886,0.890,0.880,0.819
295.272,1.312,0.893,0.886,0.900,0.890,0.832
295.283,1.993,0.878,0.886,0.929,0.919,0.849
295.294,1.467,0.875,0.884,0.943,0.933,0.872
295.305,0.066,0.868,0.882,0.922,0.912,0.879
295.316,-0.683,0.885,0.882,0.906,0.896,0.877
295.327,0.539,0.890,0.882,0.942,0.932,0.880
295.338,0.261,0.926,0.887,0.930,0.918,0.881
295.349,-0.854,0.913,0.892,0.906,0.895,0.877
295.360,-0.685,0.918,0.896,0.906,0.895,0.870
295.371,-0.363,0.934,0.901,0.910,0.898,0.866
295.382,0.734,0.929,0.906,0.920,0.908,0.864
295.393,-0.115,0.915,0.909,0.903,0.892,0.865
295.404,-0.665,0.917,0.910,0.890,0.879,0.862
295.415,-0.393,0.913,0.911,0.889,0.878,0.857
295.426,-0.608,0.922,0.912,0.873,0.861,0.851
295.437,-0.612,0.932,0.914,0.869,0.856,0.844
295.448,0.251,0.929,0.916,0.888,0.876,0.844
295.459,1.023,0.947,0.921,0.898,0.886,0.845
295.470,1.342,0.949,0.925,0.922,0.909,0.858
295.482,0.669,0.952,0.929,0.924,0.911,0.870
295.493,0.414,0.943,0.932,0.927,0.914,0.878
295.504,-0.491,0.943,0.935,0.907,0.894,0.874
295.515,0.879,0.949,0.936,0.935,0.922,0.876
295.526,0.788,0.939,0.937,0.938,0.925,0.885
295.537,0.272,0.914,0.935,0.946,0.935,0.895
295.548,-0.189,0.937,0.934,0.932,0.920,0.892
295.559,-0.121,0.950,0.936,0.937,0.924,0.892
295.570,-1.670,0.937,0.935,0.902,0.890,0.883
295.581,0.091,0.936,0.935,0.919,0.906,0.872
295.592,0.901,0.908,0.933,0.930,0.919,0.876
295.603,-0.689,0.947,0.933,0.900,0.887,0.873
295.614,-0.467,0.945,0.935,0.897,0.885,0.865
295.625,-0.110,0.966,0.940,0.900,0.886,0.863
295.636,-0.250,0.967,0.944,0.903,0.890,0.864
295.648,0.120,0.964,0.947,0.907,0.893,0.862
295.659,0.764,0.973,0.952,0.930,0.916,0.869
295.670,0.223,0.972,0.956,0.928,0.914,0.877
295.681,-0.911,0.966,0.959,0.918,0.904,0.878
295.692,-0.381,0.948,0.958,0.917,0.905,0.870
295.703,0.595,0.938,0.954,0.925,0.913,0.866
295.714,0.298,0.923,0.948,0.929,0.918,0.874
295.725,1.444,0.907,0.941,0.959,0.948,0.883
295.736,0.760,0.879,0.933,0.963,0.953,0.899
295.747,-0.036,0.873,0.923,0.960,0.950,0.906
295.758,-0.358,0.879,0.915,0.960,0.950,0.906
295.769,-0.479,0.884,0.909,0.940,0.930,0.898
295.780,0.276,0.890,0.905,0.956,0.946,0.898
295.791,0.115,0.871,0.899,0.961,0.952,0.902
295.802,-0.738,0.893,0.898,0.935,0.924,0.895
295.813,0.237,0.895,0.898,0.951,0.940,0.894
295.824,-0.319,0.886,0.897,0.945,0.935,0.897
295.836,1.567,0.884,0.895,0.986,0.976,0.903
295.847,1.208,0.884,0.893,0.993,0.983,0.916
295.858,0.203,0.891,0.892,0.995,0.985,0.927
295.868,-0.275,0.893,0.892,0.980,0.970,0.927
295.880,-1.540,0.889,0.892,0.931,0.921,0.913
295.892,-1.318,0.881,0.891,0.916,0.906,0.894
295.903,-0.956,0.889,0.890,0.901,0.891,0.875
295.915,-1.269,0.905,0.891,0.879,0.868,0.862
295.927,-0.612,0.890,0.892,0.878,0.868,0.850
295.938,-0.577,0.898,0.892,0.864,0.854,0.841
295.950,-0.211,0.903,0.893,0.858,0.848,0.835
295.962,-1.458,0.913,0.896,0.835,0.824,0.829
295.974,-1.140,0.900,0.896,0.830,0.819,0.814
295.985,-0.779,0.915,0.897,0.824,0.813,0.802
295.997,-0.008,0.885,0.899,0.836,0.826,0.799
296.009,0.207,0.977,0.883,0.837,0.824,0.797
296.021,1.172,0.964,0.909,0.861,0.849,0.808
296.033,-1.094,0.941,0.916,0.809,0.798,0.807
296.044,-0.869,0.995,0.915,0.806,0.793,0.798
296.056,0.102,0.810,0.896,0.816,0.812,0.794
296.068,0.503,0.881,0.894,0.824,0.818,0.796
296.080,-1.104,0.748,0.873,0.772,0.772,0.790
296.091,0.095,0.746,0.857,0.787,0.788,0.783
296.103,-0.528,0.642,0.839,0.768,0.773,0.782
296.115,1.180,0.490,0.803,0.796,0.809,0.782
296.127,0.838,0.445,0.760,0.820,0.834,0.798
296.139,0.742,0.510,0.707,0.815,0.827,0.800
296.150,-0.689,0.563,0.678,0.795,0.804,0.803
296.162,1.145,0.440,0.656,0.827,0.842,0.801
296.174,0.465,0.755,0.651,0.830,0.830,0.806
296.186,0.351,0.712,0.651,0.821,0.823,0.806
296.197,-1.257,0.851,0.684,0.773,0.769,0.797
296.209,-1.358,0.985,0.707,0.765,0.755,0.782
296.221,-2.483,1.119,0.754,0.718,0.702,0.759
296.232,-2.729,1.097,0.810,0.682,0.668,0.728
296.244,-3.320,0.980,0.853,0.628,0.621,0.693
296.256,-2.011,0.801,0.838,0.623,0.623,0.659
296.268,-3.047,0.790,0.833,0.572,0.574,0.629
296.280,-2.190,0.700,0.796,0.565,0.571,0.601
296.291,-1.819,0.509,0.764,0.534,0.550,0.576
296.303,-0.449,0.568,0.731,0.564,0.576,0.565
296.315,-0.711,0.473,0.719,0.558,0.573,0.561
296.327,-1.358,0.424,0.701,0.532,0.550,0.549
296.338,-1.874,0.276,0.670,0.506,0.532,0.535
296.350,-0.813,0.229,0.598,0.517,0.544,0.516
296.362,-0.670,0.013,0.504,0.508,0.544,0.507
296.374,-0.363,-0.026,0.435,0.509,0.545,0.498
296.384,-0.071,0.072,0.410,0.525,0.555,0.495
296.396,1.544,0.029,0.403,0.562,0.594,0.501
296.408,0.954,-0.050,0.363,0.574,0.610,0.518
296.420,-0.710,0.433,0.337,0.551,0.568,0.516
296.431,-1.349,0.350,0.328,0.505,0.525,0.497
296.443,-0.174,0.336,0.344,0.529,0.551,0.489
296.455,-1.266,0.350,0.370,0.489,0.513,0.477
296.467,0.018,0.563,0.360,0.516,0.532,0.468
296.478,0.453,0.474,0.358,0.523,0.542,0.468
296.490,0.978,0.562,0.404,0.544,0.560,0.473
296.502,-0.182,0.759,0.470,0.522,0.530,0.478
296.514,0.448,0.563,0.519,0.540,0.552,0.482
296.524,0.722,0.379,0.483,0.544,0.563,0.485
296.534,-0.080,0.389,0.451,0.521,0.538,0.484
296.547,-1.059,0.684,0.450,0.486,0.491,0.470
296.558,0.119,0.688,0.474,0.503,0.513,0.464
296.568,-0.256,0.767,0.479,0.501,0.508,0.465
296.580,-0.602,0.962,0.528,0.486,0.492,0.457
296.592,-1.374,0.622,0.563,0.442,0.457,0.446
296.604,-1.426,0.205,0.562,0.414,0.439,0.429
296.616,-2.734,0.796,0.574,0.362,0.379,0.406
296.627,0.148,1.014,0.619,0.447,0.455,0.401
296.639,-3.338,2.067,0.729,0.383,0.342,0.383
296.649,-5.704,1.553,0.878,0.241,0.253,0.349
296.660,-6.464,1.173,0.905,0.109,0.173,0.288
296.670,-7.088,1.175,0.958,-0.009,0.072,0.215
296.681,-8.969,2.147,1.063,-0.153,-0.070,0.138
296.691,-8.918,1.927,1.164,-0.220,-0.120,0.066
296.701,-10.046,1.162,1.217,-0.322,-0.223,-0.019
296.711,-14.578,1.744,1.249,-0.555,-0.490,-0.146
296.722,-18.407,1.435,1.303,-0.857,-0.751,-0.308
296.732,-20.176,1.818,1.334,-1.037,-0.960,-0.487
296.744,-21.364,1.263,1.310,-1.266,-1.207,-0.724
296.754,-24.138,0.323,1.218,-1.570,-1.464,-0.937
296.766,-33.984,0.674,1.141,-2.115,-2.031,-1.271
296.776,-34.656,0.425,1.090,-2.462,-2.354,-1.601
296.787,-33.807,1.009,1.045,-2.750,-2.659,-1.939
296.797,-33.927,0.380,0.996,-3.113,-2.998,-2.271
296.808,-32.594,0.037,0.888,-3.419,-3.278,-2.601
296.818,-28.553,0.600,0.834,-3.619,-3.486,-2.902
296.828,-23.764,0.050,0.763,-3.784,-3.619,-3.156
296.839,-14.307,-1.011,0.601,-3.788,-3.551,-3.333
296.849,-7.017,-0.072,0.489,-3.659,-3.443,-3.416
296.859,-2.349,0.041,0.441,-3.595,-3.369,-3.443
296.870,2.186,-0.721,0.337,-3.508,-3.218,-3.418
296.880,3.507,0.365,0.289,-3.403,-3.141,-3.369
296.890,2.948,0.848,0.340,-3.337,-3.087,-3.304
296.901,3.007,0.094,0.314,-3.292,-3.013,-3.241
296.911,1.334,1.053,0.350,-3.229,-3.013,-3.194
296.922,2.492,-0.348,0.339,-3.190,-2.933,-3.150
296.932,4.480,-0.698,0.247,-3.083,-2.817,-3.091
296.942,7.095,0.089,0.202,-2.889,-2.666,-3.011
296.953,9.148,0.418,0.193,-2.714,-2.518,-2.907
296.963,12.340,-0.130,0.157,-2.526,-2.298,-2.773
296.974,17.456,-1.143,0.062,-2.263,-1.983,-2.598
296.984,23.034,-0.618,-0.016,-1.862,-1.610,-2.368
296.995,22.914,0.306,-0.019,-1.560,-1.363,-2.109
297.005,23.319,0.103,-0.021,-1.313,-1.123,-1.861
297.015,27.006,-0.101,-0.038,-0.935,-0.740,-1.580
297.026,29.958,-0.926,-0.097,-0.577,-0.345,-1.269
297.036,33.789,-0.851,-0.209,-0.143,0.089,-0.934
297.047,36.328,0.900,-0.153,0.361,0.514,-0.560
297.057,38.566,-0.213,-0.116,0.778,0.969,-0.163
297.067,39.942,-0.867,-0.170,1.194,1.407,0.240
297.078,39.124,-0.666,-0.221,1.578,1.767,0.640
297.088,36.430,-0.304,-0.252,1.908,2.078,1.029
297.099,34.687,0.416,-0.235,2.233,2.373,1.388
297.109,32.021,-1.513,-0.304,2.417,2.652,1.733
297.120,31.428,-3.475,-0.553,2.655,2.950,2.037
297.130,27.791,-2.321,-0.768,2.856,3.126,2.314
297.141,23.018,-0.485,-0.811,3.042,3.238,2.556
297.151,18.177,0.290,-0.734,3.130,3.307,2.755
297.161,13.783,-0.246,-0.666,3.092,3.328,2.897
297.172,10.325,-0.274,-0.626,3.092,3.334,3.000
297.182,2.897,-0.104,-0.576,2.966,3.196,3.044
297.192,-3.076,0.221,-0.517,2.820,3.023,3.023
297.203,-7.883,-0.942,-0.505,2.605,2.837,2.948
297.213,-12.019,-2.104,-0.610,2.339,2.610,2.815
297.224,-16.281,-0.865,-0.657,2.098,2.325,2.638
297.234,-22.076,0.906,-0.528,1.772,1.944,2.414
297.245,-29.203,1.449,-0.326,1.319,1.475,2.132
297.255,-36.122,3.084,-0.036,0.811,0.923,1.781
297.265,-43.387,3.245,0.307,0.185,0.309,1.364
297.276,-48.589,0.999,0.466,-0.545,-0.315,0.879
297.286,-51.097,0.215,0.464,-1.166,-0.899,0.354
297.297,-53.490,0.160,0.433,-1.784,-1.512,-0.194
297.307,-53.284,-1.591,0.306,-2.404,-2.039,-0.747
297.318,-52.651,-2.093,0.087,-2.953,-2.563,-1.303
297.328,-52.672,-0.502,-0.035,-3.430,-3.104,-1.851
297.339,-50.739,-0.054,-0.036,-3.883,-3.575,-2.383
297.349,-43.153,-0.826,-0.093,-4.203,-3.846,-2.857
297.360,-39.005,1.019,-0.035,-4.420,-4.129,-3.257
297.370,-33.899,2.698,0.199,-4.565,-4.319,-3.594
297.380,-29.473,2.954,0.487,-4.722,-4.485,-3.880
297.391,-25.803,3.243,0.763,-4.856,-4.623,-4.116
297.401,-22.523,3.047,1.006,-5.006,-4.758,-4.324
297.412,-18.636,2.059,1.155,-5.130,-4.837,-4.496
297.422,-11.538,1.779,1.222,-5.103,-4.796,-4.616
297.433,-5.290,2.095,1.280,-4.994,-4.697,-4.659
297.443,-0.906,2.295,1.342,-4.890,-4.584,-4.643
297.454,4.669,1.923,1.340,-4.754,-4.422,-4.592
297.465,13.334,1.417,1.273,-4.401,-4.033,-4.445
297.477,21.808,1.386,1.203,-3.948,-3.555,-4.201
297.488,31.520,1.457,1.208,-3.317,-2.923,-3.852
297.499,39.614,1.396,1.246,-2.642,-2.242,-3.405
297.510,46.234,1.202,1.286,-1.955,-1.527,-2.880
