R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,32.0,0.000010,0.000100,20,250,1,250,1,50,500,0,0
sysTime,GPT1X,aPT1R,aPT2R,aKFRawR,aKFPT10R,aKFPT11R
591.657,1.683,0.407,0.402,0.277,0.271,0.227
591.668,-0.234,0.406,0.404,0.244,0.238,0.235
591.679,0.474,0.380,0.402,0.262,0.256,0.238
591.690,0.278,0.379,0.399,0.256,0.251,0.241
591.701,0.123,0.388,0.397,0.260,0.255,0.244
591.712,0.051,0.397,0.396,0.244,0.239,0.238
591.723,-0.045,0.398,0.395,0.233,0.227,0.236
591.734,-0.497,0.382,0.395,0.213,0.208,0.230
591.745,-0.314,0.379,0.392,0.225,0.220,0.233
591.756,0.119,0.386,0.390,0.235,0.229,0.233
591.767,0.499,0.381,0.390,0.242,0.237,0.236
591.778,0.957,0.396,0.390,0.261,0.256,0.246
591.789,1.354,0.410,0.393,0.285,0.279,0.262
591.800,-0.260,0.418,0.397,0.260,0.254,0.267
591.811,-0.254,0.423,0.401,0.266,0.260,0.267
591.822,0.505,0.415,0.404,0.292,0.286,0.272
591.833,0.860,0.414,0.406,0.286,0.280,0.272
591.844,-0.338,0.417,0.407,0.268,0.262,0.275
591.855,-0.269,0.400,0.407,0.268,0.263,0.273
591.866,0.960,0.381,0.404,0.299,0.294,0.281
591.877,0.359,0.376,0.399,0.293,0.288,0.289
591.888,0.273,0.384,0.397,0.295,0.290,0.291
591.899,0.198,0.396,0.396,0.308,0.303,0.298
591.910,-0.319,0.395,0.397,0.301,0.296,0.299
591.921,-0.302,0.392,0.395,0.293,0.288,0.296
591.932,0.590,0.383,0.394,0.303,0.298,0.296
591.943,0.051,0.383,0.392,0.298,0.293,0.301
591.954,-0.177,0.388,0.391,0.294,0.288,0.299
591.966,-0.414,0.391,0.391,0.287,0.282,0.294
591.977,-0.034,0.379,0.390,0.292,0.287,0.292
591.988,0.779,0.397,0.390,0.311,0.306,0.297
591.999,-0.200,0.395,0.392,0.287,0.282,0.298
592.010,0.223,0.379,0.391,0.290,0.285,0.296
592.021,-0.086,0.386,0.389,0.276,0.271,0.294
592.032,-0.782,0.384,0.388,0.261,0.256,0.290
592.043,-1.624,0.400,0.390,0.234,0.229,0.277
592.054,-0.589,0.405,0.391,0.239,0.234,0.266
592.065,0.129,0.414,0.394,0.257,0.251,0.266
592.076,0.270,0.417,0.399,0.261,0.256,0.271
592.087,0.096,0.412,0.401,0.266,0.260,0.276
592.098,-0.356,0.430,0.405,0.263,0.257,0.277
592.109,-0.117,0.434,0.409,0.267,0.262,0.276
592.120,-0.094,0.434,0.414,0.273,0.268,0.277
592.131,0.265,0.432,0.418,0.287,0.282,0.282
592.142,0.914,0.429,0.420,0.305,0.300,0.291
592.153,0.353,0.418,0.420,0.315,0.310,0.302
592.164,1.114,0.417,0.419,0.341,0.336,0.310
592.175,1.269,0.435,0.421,0.355,0.350,0.323
592.186,1.501,0.439,0.423,0.374,0.368,0.338
592.197,0.286,0.434,0.425,0.355,0.349,0.346
592.208,0.207,0.413,0.424,0.350,0.345,0.345
592.219,-0.131,0.417,0.423,0.351,0.346,0.347
592.230,-0.032,0.434,0.424,0.355,0.349,0.347
592.241,0.475,0.430,0.425,0.358,0.353,0.347
592.252,0.309,0.431,0.427,0.357,0.352,0.351
592.263,-1.049,0.428,0.426,0.338,0.333,0.349
592.274,-0.525,0.422,0.426,0.335,0.330,0.341
592.285,-1.556,0.448,0.428,0.306,0.301,0.330
592.296,-0.671,0.438,0.430,0.308,0.302,0.315
592.307,-0.641,0.433,0.431,0.295,0.289,0.306
592.318,-1.416,0.426,0.432,0.261,0.256,0.291
592.329,0.202,0.419,0.431,0.283,0.279,0.285
592.340,0.585,0.404,0.428,0.306,0.301,0.293
592.351,0.714,0.404,0.424,0.316,0.312,0.303
592.362,-0.721,0.403,0.421,0.288,0.284,0.303
592.373,0.775,0.398,0.417,0.316,0.312,0.305
592.384,0.867,0.415,0.416,0.337,0.333,0.318
592.395,0.780,0.413,0.416,0.362,0.358,0.335
592.406,0.784,0.407,0.414,0.366,0.362,0.342
592.417,1.778,0.398,0.412,0.395,0.391,0.355
592.428,-0.003,0.392,0.410,0.377,0.373,0.368
592.439,-0.364,0.409,0.409,0.362,0.358,0.364
592.451,0.125,0.387,0.407,0.367,0.363,0.359
592.462,0.141,0.389,0.404,0.361,0.356,0.355
592.474,0.485,0.404,0.403,0.383,0.379,0.365
592.486,0.654,0.391,0.403,0.393,0.389,0.372
592.498,0.952,0.394,0.401,0.412,0.408,0.380
592.510,-0.371,0.395,0.401,0.381,0.377,0.382
592.522,-0.693,0.413,0.401,0.370,0.365,0.375
592.533,-1.091,0.414,0.403,0.349,0.344,0.363
592.545,-0.948,0.424,0.405,0.336,0.331,0.348
592.557,-0.909,0.421,0.406,0.324,0.320,0.337
592.569,-0.105,0.486,0.409,0.335,0.329,0.329
592.581,-1.054,0.241,0.392,0.301,0.300,0.323
592.593,0.679,0.485,0.405,0.321,0.316,0.315
592.604,-1.251,0.181,0.367,0.279,0.278,0.315
592.616,-0.023,0.335,0.375,0.297,0.293,0.306
592.628,-0.905,0.396,0.346,0.259,0.254,0.296
592.640,-1.249,0.263,0.340,0.258,0.256,0.294
592.652,-0.882,0.349,0.320,0.250,0.246,0.278
592.664,-1.629,0.209,0.316,0.225,0.223,0.266
592.675,-1.181,0.378,0.313,0.220,0.215,0.249
592.687,-1.088,0.203,0.309,0.188,0.185,0.229
592.699,-1.980,0.202,0.308,0.141,0.138,0.210
592.711,-0.955,0.216,0.279,0.152,0.149,0.194
592.723,-0.472,0.297,0.318,0.146,0.141,0.185
