R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,32.0,0.000001,0.000300,50,250,1,250,1,50,500,0,0
sysTime,GPT1X,aPT1R,aPT2R,aKFRawR,aKFPT10R,aKFPT11R
226.304,0.936,0.325,0.325,0.359,0.353,0.340
226.315,0.734,0.318,0.324,0.368,0.362,0.350
226.326,-0.911,0.325,0.323,0.337,0.330,0.349
226.337,-0.000,0.317,0.322,0.364,0.358,0.347
226.348,-0.699,0.323,0.322,0.346,0.340,0.342
226.360,0.195,0.318,0.321,0.345,0.338,0.331
226.371,-0.219,0.314,0.321,0.346,0.340,0.330
226.382,0.877,0.309,0.319,0.363,0.357,0.332
226.393,1.077,0.308,0.318,0.375,0.369,0.341
226.404,1.203,0.310,0.316,0.393,0.387,0.352
226.415,1.394,0.304,0.315,0.419,0.413,0.366
226.426,0.653,0.294,0.313,0.408,0.402,0.373
226.437,-0.694,0.302,0.310,0.389,0.383,0.373
226.448,-0.885,0.317,0.310,0.384,0.377,0.365
226.459,-0.989,0.313,0.311,0.374,0.368,0.355
226.470,0.908,0.323,0.313,0.398,0.392,0.352
226.481,0.392,0.320,0.315,0.391,0.385,0.354
226.492,0.724,0.298,0.314,0.405,0.399,0.361
226.503,0.540,0.312,0.312,0.396,0.389,0.361
226.514,0.322,0.323,0.313,0.397,0.391,0.364
226.525,-0.346,0.323,0.314,0.382,0.375,0.362
226.536,1.153,0.325,0.315,0.408,0.402,0.367
226.547,0.626,0.299,0.314,0.402,0.397,0.374
226.558,0.588,0.305,0.314,0.405,0.399,0.378
226.569,1.270,0.333,0.316,0.422,0.416,0.386
226.581,0.937,0.326,0.317,0.422,0.416,0.393
226.592,0.443,0.331,0.320,0.425,0.418,0.402
226.603,0.194,0.317,0.320,0.431,0.425,0.407
226.614,-0.519,0.320,0.320,0.425,0.419,0.408
226.625,-0.249,0.327,0.321,0.431,0.424,0.403
226.636,1.078,0.318,0.321,0.460,0.454,0.407
226.647,1.223,0.324,0.321,0.472,0.466,0.417
226.658,0.483,0.315,0.321,0.460,0.454,0.423
226.669,0.058,0.303,0.319,0.455,0.450,0.425
226.680,-0.276,0.307,0.317,0.449,0.443,0.421
226.691,-0.821,0.316,0.316,0.434,0.428,0.414
226.702,-2.005,0.339,0.318,0.394,0.388,0.397
226.713,-0.913,0.349,0.323,0.397,0.390,0.379
226.724,-0.423,0.321,0.325,0.408,0.402,0.372
226.735,-0.241,0.339,0.326,0.406,0.400,0.366
226.747,-1.110,0.327,0.327,0.392,0.386,0.361
226.758,-0.201,0.328,0.327,0.398,0.392,0.353
226.769,0.427,0.310,0.326,0.400,0.394,0.351
226.780,0.229,0.290,0.322,0.396,0.390,0.351
226.791,-0.086,0.302,0.318,0.379,0.374,0.349
226.802,-0.522,0.320,0.318,0.363,0.357,0.342
226.813,0.593,0.326,0.320,0.380,0.374,0.338
226.824,-0.234,0.324,0.320,0.366,0.360,0.337
226.835,-0.402,0.330,0.320,0.356,0.350,0.331
226.846,-0.632,0.330,0.321,0.338,0.331,0.324
226.857,0.005,0.316,0.321,0.350,0.344,0.319
226.868,1.009,0.288,0.317,0.363,0.357,0.319
226.879,0.768,0.285,0.311,0.371,0.366,0.327
226.890,0.312,0.302,0.308,0.365,0.359,0.331
226.901,-0.469,0.310,0.308,0.356,0.350,0.330
