R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,32.0,0.000100,0.000300,50,250,1,250,1,50,500,0,0
sysTime,GPT1X,aPT1R,aPT2R,aKFRawR,aKFPT10R,aKFPT11R
139.360,0.981,0.386,0.384,0.450,0.450,0.428
139.371,1.635,0.395,0.385,0.473,0.473,0.441
139.382,0.010,0.403,0.387,0.455,0.455,0.451
139.393,-0.830,0.391,0.389,0.443,0.443,0.448
139.404,0.072,0.381,0.388,0.458,0.458,0.443
139.415,-0.355,0.369,0.385,0.451,0.452,0.444
139.426,-0.281,0.363,0.382,0.442,0.442,0.439
139.437,1.000,0.370,0.379,0.470,0.470,0.444
139.448,0.708,0.375,0.378,0.477,0.477,0.454
139.459,-0.046,0.388,0.379,0.470,0.470,0.459
139.470,-0.329,0.402,0.382,0.467,0.467,0.458
139.481,0.634,0.388,0.385,0.492,0.492,0.461
139.492,0.563,0.392,0.386,0.492,0.492,0.467
139.503,-0.542,0.400,0.387,0.467,0.467,0.465
139.514,0.242,0.369,0.386,0.482,0.482,0.464
139.525,-0.883,0.363,0.383,0.465,0.466,0.463
139.536,0.465,0.360,0.381,0.485,0.485,0.459
139.547,-0.926,0.375,0.379,0.455,0.455,0.455
139.558,-0.218,0.379,0.378,0.463,0.463,0.450
139.569,0.723,0.385,0.378,0.495,0.495,0.457
139.580,1.080,0.402,0.380,0.515,0.515,0.468
139.590,0.518,0.400,0.384,0.514,0.514,0.476
139.601,-0.072,0.415,0.388,0.512,0.512,0.481
139.612,0.412,0.395,0.390,0.517,0.517,0.481
139.623,0.181,0.378,0.390,0.516,0.516,0.483
139.634,-0.395,0.391,0.389,0.501,0.501,0.481
139.645,-0.471,0.406,0.391,0.493,0.493,0.473
139.656,-1.952,0.404,0.392,0.456,0.456,0.460
139.667,-1.065,0.402,0.394,0.450,0.450,0.443
139.678,-0.752,0.384,0.393,0.440,0.440,0.432
139.689,-0.502,0.382,0.392,0.438,0.438,0.426
139.700,-0.069,0.366,0.388,0.446,0.446,0.422
139.711,-0.161,0.362,0.384,0.433,0.434,0.418
139.722,-0.589,0.377,0.382,0.428,0.428,0.416
139.733,-0.520,0.363,0.380,0.425,0.426,0.411
139.744,0.165,0.371,0.377,0.430,0.430,0.408
139.754,0.824,0.386,0.378,0.444,0.444,0.411
139.765,0.538,0.366,0.378,0.444,0.444,0.416
139.776,0.564,0.360,0.375,0.455,0.456,0.424
139.787,0.639,0.368,0.373,0.454,0.454,0.426
139.798,0.487,0.374,0.373,0.462,0.462,0.435
139.809,0.441,0.363,0.373,0.476,0.476,0.442
139.820,-0.189,0.354,0.370,0.474,0.474,0.446
139.831,-0.538,0.348,0.368,0.457,0.457,0.438
139.842,-1.455,0.343,0.364,0.433,0.434,0.428
139.853,-1.354,0.359,0.362,0.434,0.434,0.419
139.864,-0.385,0.366,0.362,0.445,0.445,0.410
139.875,-0.150,0.373,0.364,0.436,0.436,0.405
139.886,1.333,0.370,0.366,0.463,0.463,0.409
139.897,1.817,0.368,0.367,0.487,0.487,0.426
139.908,0.886,0.383,0.368,0.486,0.486,0.442
139.919,0.231,0.387,0.372,0.475,0.475,0.447
139.930,0.303,0.370,0.373,0.474,0.474,0.445
139.941,-0.252,0.355,0.371,0.467,0.467,0.446
139.952,0.819,0.366,0.369,0.479,0.479,0.444
139.963,1.218,0.387,0.370,0.493,0.493,0.454
139.974,2.053,0.385,0.373,0.527,0.527,0.471
139.985,1.428,0.388,0.375,0.531,0.531,0.489
139.996,0.271,0.398,0.378,0.517,0.517,0.498
140.007,0.198,0.389,0.381,0.527,0.526,0.500
140.018,1.406,0.388,0.382,0.562,0.562,0.511
140.029,1.001,0.393,0.384,0.576,0.576,0.528
140.040,0.334,0.401,0.386,0.572,0.571,0.536
140.051,0.506,0.401,0.388,0.563,0.562,0.535
140.062,0.044,0.406,0.392,0.555,0.555,0.535
140.073,0.958,0.401,0.393,0.575,0.575,0.540
140.084,0.310,0.406,0.394,0.569,0.569,0.546
140.095,-0.715,0.397,0.396,0.540,0.540,0.540
140.106,-0.795,0.392,0.396,0.520,0.520,0.527
140.117,-0.966,0.389,0.394,0.515,0.514,0.519
140.129,-0.958,0.381,0.393,0.514,0.514,0.512
140.140,-0.938,0.394,0.393,0.499,0.499,0.500
140.151,0.818,0.396,0.393,0.529,0.528,0.499
140.162,1.054,0.396,0.393,0.545,0.545,0.511
140.173,-0.012,0.389,0.393,0.531,0.530,0.516
140.184,-0.600,0.392,0.393,0.522,0.522,0.513
140.195,-0.134,0.376,0.391,0.521,0.521,0.506
140.206,-0.267,0.369,0.387,0.509,0.509,0.500
140.217,-0.832,0.373,0.385,0.486,0.486,0.492
140.228,-1.192,0.361,0.382,0.473,0.473,0.483
140.239,-1.008,0.374,0.380,0.447,0.447,0.465
140.250,0.636,0.383,0.380,0.474,0.474,0.464
140.261,-0.043,0.372,0.379,0.464,0.464,0.466
140.272,0.468,0.346,0.375,0.477,0.478,0.470
140.283,0.358,0.366,0.373,0.486,0.486,0.478
140.294,0.198,0.377,0.373,0.484,0.484,0.478
140.305,-0.151,0.383,0.376,0.473,0.473,0.476
140.316,-0.204,0.390,0.377,0.461,0.461,0.472
140.327,0.187,0.370,0.377,0.474,0.474,0.473
140.338,-0.348,0.363,0.375,0.458,0.458,0.469
140.349,0.592,0.378,0.375,0.469,0.469,0.468
140.360,0.325,0.381,0.376,0.471,0.471,0.473
140.372,-0.454,0.378,0.377,0.452,0.452,0.472
140.383,0.808,0.365,0.376,0.488,0.489,0.478
140.394,0.523,0.378,0.376,0.486,0.486,0.483
140.405,-0.203,0.376,0.375,0.469,0.469,0.481
140.416,0.216,0.369,0.375,0.479,0.479,0.482
140.427,-0.969,0.379,0.375,0.447,0.447,0.475
140.438,-0.890,0.375,0.375,0.438,0.438,0.464
140.449,-0.883,0.384,0.375,0.430,0.430,0.454
140.460,0.048,0.381,0.377,0.434,0.434,0.446
140.471,0.567,0.366,0.376,0.439,0.439,0.445
140.482,0.014,0.361,0.374,0.433,0.433,0.450
140.493,-0.471,0.365,0.371,0.414,0.414,0.446
140.504,-0.536,0.362,0.372,0.394,0.394,0.435
140.515,0.045,0.359,0.370,0.408,0.409,0.436
140.526,-0.896,0.374,0.370,0.386,0.386,0.432
140.537,0.332,0.372,0.371,0.395,0.395,0.425
140.548,0.857,0.372,0.370,0.401,0.401,0.426
140.560,-0.227,0.376,0.371,0.388,0.388,0.431
140.571,-0.120,0.389,0.373,0.400,0.400,0.434
140.582,-0.215,0.395,0.377,0.400,0.400,0.430
140.593,0.279,0.408,0.380,0.409,0.409,0.428
140.603,0.562,0.414,0.384,0.412,0.412,0.431
140.613,0.375,0.397,0.385,0.415,0.415,0.436
140.625,0.100,0.398,0.387,0.419,0.419,0.441
140.637,-0.122,0.381,0.387,0.414,0.414,0.441
140.649,1.723,0.365,0.385,0.467,0.467,0.449
140.661,0.707,0.363,0.382,0.467,0.468,0.464
140.672,0.712,0.378,0.381,0.488,0.488,0.477
140.684,0.619,0.393,0.382,0.496,0.496,0.485
140.696,0.041,0.376,0.382,0.484,0.484,0.487
140.708,0.420,0.376,0.382,0.489,0.489,0.487
140.718,0.802,0.486,0.389,0.509,0.507,0.495
140.728,0.515,0.388,0.393,0.509,0.509,0.502
140.738,1.114,0.663,0.409,0.528,0.524,0.507
140.748,-0.059,0.342,0.409,0.497,0.498,0.512
140.758,0.010,0.581,0.425,0.501,0.497,0.513
140.768,-1.914,0.115,0.404,0.427,0.431,0.500
140.778,-0.086,0.515,0.403,0.481,0.479,0.494
140.789,-0.803,0.363,0.392,0.456,0.456,0.489
140.799,0.430,0.444,0.401,0.481,0.480,0.487
140.809,-0.609,0.370,0.403,0.442,0.443,0.482
140.819,0.474,0.642,0.417,0.471,0.467,0.482
140.829,-1.233,0.560,0.441,0.419,0.417,0.476
140.839,-0.712,0.367,0.432,0.427,0.429,0.468
140.849,-0.909,0.351,0.418,0.406,0.408,0.457
140.859,-0.385,0.181,0.401,0.407,0.411,0.450
140.869,-0.251,0.095,0.382,0.410,0.416,0.448
140.881,0.041,0.100,0.335,0.415,0.421,0.448
140.893,-0.535,0.054,0.328,0.390,0.396,0.440
140.903,0.299,-0.053,0.309,0.414,0.421,0.441
140.914,1.110,0.089,0.258,0.451,0.455,0.449
140.924,-0.274,0.206,0.224,0.420,0.421,0.449
140.936,-1.759,0.285,0.226,0.373,0.373,0.434
140.948,-2.153,0.357,0.251,0.345,0.342,0.412
140.959,-0.250,0.434,0.290,0.379,0.375,0.400
140.971,0.336,0.547,0.339,0.391,0.384,0.400
140.981,0.101,0.605,0.383,0.389,0.381,0.403
140.991,-0.554,0.723,0.448,0.376,0.366,0.402
141.003,-0.406,0.770,0.522,0.374,0.363,0.396
141.015,-0.841,0.670,0.540,0.369,0.360,0.393
141.027,-0.306,0.587,0.519,0.370,0.362,0.384
141.038,0.349,0.720,0.500,0.387,0.376,0.384
141.050,1.266,0.882,0.536,0.424,0.409,0.396
141.062,1.958,1.231,0.631,0.459,0.438,0.415
141.074,1.098,1.236,0.683,0.452,0.431,0.432
141.086,0.240,1.016,0.744,0.419,0.402,0.436
141.097,0.463,0.952,0.781,0.440,0.424,0.446
141.109,0.742,0.668,0.807,0.443,0.432,0.453
141.121,1.607,0.587,0.804,0.474,0.465,0.465
141.132,0.359,0.577,0.759,0.463,0.454,0.478
141.144,-0.027,0.384,0.701,0.456,0.450,0.478
141.156,-0.403,0.424,0.647,0.460,0.454,0.479
141.168,0.403,0.337,0.601,0.478,0.475,0.479
141.180,-0.402,0.377,0.571,0.462,0.458,0.481
141.190,0.534,0.280,0.524,0.487,0.483,0.481
141.200,1.002,0.287,0.473,0.482,0.478,0.482
141.210,-0.417,-0.202,0.415,0.432,0.436,0.481
141.220,1.040,0.059,0.363,0.473,0.473,0.483
141.231,0.216,-0.418,0.303,0.459,0.466,0.490
141.241,-0.039,0.014,0.274,0.450,0.447,0.487
141.251,1.388,-0.367,0.242,0.486,0.491,0.495
141.261,-1.580,0.210,0.184,0.423,0.413,0.491
141.271,-2.929,-0.496,0.138,0.355,0.357,0.469
141.281,-0.866,-0.486,0.045,0.382,0.385,0.447
141.291,0.153,0.250,0.055,0.411,0.403,0.440
141.301,1.724,-0.235,0.038,0.466,0.469,0.454
141.312,2.923,0.300,0.019,0.527,0.521,0.474
141.322,2.040,0.833,0.100,0.530,0.520,0.496
141.332,4.448,-0.894,0.071,0.621,0.636,0.533
141.342,0.401,-0.747,-0.012,0.541,0.561,0.553
141.352,0.176,1.114,0.021,0.573,0.565,0.558
141.362,-0.694,1.208,0.127,0.542,0.537,0.551
141.373,-0.042,-0.975,0.080,0.528,0.547,0.542
141.383,-4.102,-0.826,0.019,0.381,0.402,0.512
141.393,-3.762,1.156,0.070,0.347,0.346,0.467
141.403,-2.043,1.671,0.191,0.363,0.359,0.440
141.413,-3.305,1.312,0.316,0.294,0.304,0.411
141.424,-5.036,-0.712,0.265,0.193,0.227,0.370
141.434,-5.357,-0.648,0.205,0.116,0.164,0.318
141.444,-6.073,-0.194,0.175,0.039,0.082,0.254
141.454,-7.400,0.769,0.170,-0.076,-0.033,0.181
141.464,-8.377,2.021,0.323,-0.153,-0.127,0.109
141.475,-9.220,0.856,0.399,-0.265,-0.210,0.028
141.485,-13.253,-0.417,0.338,-0.481,-0.405,-0.079
141.495,-20.818,-0.326,0.279,-0.851,-0.775,-0.258
141.505,-24.221,-1.798,0.097,-1.215,-1.108,-0.499
141.515,-23.599,-0.975,-0.018,-1.461,-1.355,-0.747
141.525,-26.521,0.043,-0.057,-1.754,-1.666,-0.994
141.536,-25.568,1.416,0.070,-2.003,-1.922,-1.263
141.546,-26.258,-0.302,0.079,-2.269,-2.160,-1.514
141.556,-22.066,-1.237,-0.045,-2.375,-2.269,-1.749
141.566,-18.861,-0.542,-0.149,-2.513,-2.416,-1.959
141.577,-16.045,-0.758,-0.201,-2.612,-2.509,-2.134
141.587,-10.929,-1.835,-0.358,-2.623,-2.502,-2.264
141.597,-5.852,-1.109,-0.458,-2.570,-2.467,-2.346
141.607,-4.031,0.409,-0.391,-2.534,-2.477,-2.393
141.617,1.582,-0.238,-0.351,-2.380,-2.318,-2.390
141.628,7.678,1.984,-0.203,-2.129,-2.098,-2.327
141.638,13.335,0.910,-0.051,-1.872,-1.834,-2.206
141.648,22.315,-0.341,-0.048,-1.446,-1.398,-2.008
141.658,31.598,-0.689,-0.117,-0.924,-0.871,-1.723
141.669,38.923,-0.502,-0.150,-0.380,-0.331,-1.362
141.679,44.533,0.250,-0.147,0.189,0.231,-0.929
141.689,49.052,0.621,-0.095,0.801,0.841,-0.437
141.699,50.099,0.009,-0.084,1.335,1.384,0.072
141.711,48.907,-0.332,-0.123,1.909,1.972,0.669
141.723,45.954,-0.846,-0.280,2.411,2.488,1.235
141.735,40.988,-1.451,-0.521,2.791,2.873,1.738
141.747,36.828,-0.784,-0.691,3.158,3.234,2.193
141.759,33.401,0.373,-0.591,3.502,3.558,2.605
141.771,27.426,-0.271,-0.407,3.671,3.742,2.952
141.783,17.381,-1.320,-0.388,3.676,3.767,3.212
141.795,3.959,-1.613,-0.414,3.480,3.556,3.318
141.806,-11.815,-1.226,-0.423,3.045,3.091,3.242
141.818,-26.092,-2.163,-0.507,2.470,2.527,2.997
141.830,-38.583,-3.911,-0.789,1.713,1.780,2.570
141.842,-51.468,-5.496,-1.321,0.849,0.931,2.013
141.854,-65.040,-4.955,-1.857,-0.147,-0.081,1.302
141.866,-74.268,-4.511,-2.250,-1.187,-1.146,0.451
141.878,-78.718,-4.482,-2.672,-2.198,-2.165,-0.482
141.890,-76.586,-4.547,-2.926,-3.109,-3.081,-1.431
141.902,-70.224,-3.867,-2.979,-3.901,-3.878,-2.331
141.914,-60.781,-2.294,-2.855,-4.418,-4.424,-3.113
141.926,-47.664,-1.848,-2.763,-4.698,-4.714,-3.746
141.938,-33.478,-1.526,-2.611,-4.848,-4.861,-4.219
141.949,-15.633,-1.180,-2.418,-4.736,-4.760,-4.504
141.961,5.561,-0.197,-2.142,-4.226,-4.270,-4.532
141.973,25.088,0.048,-1.905,-3.538,-3.587,-4.324
141.984,38.525,0.044,-1.676,-2.854,-2.909,-3.981
141.994,51.383,-0.452,-1.526,-2.031,-2.082,-3.497
142.004,61.950,0.129,-1.369,-1.155,-1.211,-2.894
142.014,70.151,0.094,-1.217,-0.275,-0.326,-2.211
142.024,76.293,-1.747,-1.222,0.624,0.604,-1.454
142.035,83.569,-4.047,-1.441,1.619,1.628,-0.628
142.045,85.207,-3.550,-1.631,2.498,2.494,0.218
142.055,84.279,-1.144,-1.615,3.341,3.308,1.078
142.065,79.063,0.614,-1.495,4.033,3.973,1.899
142.076,71.401,0.436,-1.323,4.538,4.491,2.647
142.086,60.810,-2.347,-1.322,4.891,4.880,3.304
142.096,46.285,-2.792,-1.438,5.038,5.036,3.831
142.106,31.205,-2.294,-1.520,5.001,4.992,4.200
142.117,14.651,-1.935,-1.549,4.746,4.730,4.396
142.127,0.679,-2.278,-1.573,4.423,4.405,4.441
142.137,-17.834,-1.479,-1.561,3.841,3.792,4.319
142.147,-32.797,0.883,-1.350,3.186,3.079,4.025
142.158,-45.264,-0.247,-1.180,2.429,2.324,3.601
142.168,-57.163,-0.540,-1.099,1.558,1.451,3.050
142.178,-62.900,-1.171,-1.041,0.781,0.683,2.421
142.188,-66.267,-2.029,-1.116,0.058,-0.041,1.755
142.198,-66.935,-1.538,-1.189,-0.592,-0.700,1.080
142.209,-68.864,-1.277,-1.248,-1.292,-1.400,0.388
142.219,-68.182,0.245,-1.169,-1.946,-2.076,-0.322
142.229,-64.832,0.082,-1.077,-2.518,-2.648,-0.993
142.239,-62.613,0.256,-0.945,-3.128,-3.262,-1.643
142.250,-53.223,1.409,-0.688,-3.459,-3.610,-2.219
142.260,-45.083,2.252,-0.361,-3.759,-3.926,-2.705
142.271,-31.774,3.293,0.096,-3.909,-4.085,-3.145
142.283,-17.729,2.745,0.433,-3.816,-3.981,-3.408
142.294,-5.128,2.161,0.728,-3.655,-3.804,-3.513
142.304,7.755,1.896,0.958,-3.314,-3.458,-3.482
142.314,21.093,1.245,1.061,-2.842,-2.978,-3.324
142.326,34.512,2.120,1.143,-2.113,-2.262,-2.948
142.336,42.320,2.103,1.247,-1.488,-1.636,-2.530
142.346,50.506,2.309,1.358,-0.789,-0.938,-2.040
142.356,58.158,1.626,1.459,-0.004,-0.148,-1.464
142.367,64.399,3.796,1.626,0.829,0.661,-0.815
142.377,68.646,3.316,1.835,1.625,1.465,-0.120
142.387,71.020,2.542,1.949,2.383,2.237,0.599
142.397,70.849,2.478,2.015,3.112,2.965,1.326
142.408,65.383,3.170,2.099,3.673,3.516,2.022
142.418,58.733,1.895,2.135,4.115,3.993,2.663
142.428,51.616,1.449,2.059,4.468,4.358,3.216
142.438,42.033,-0.348,1.866,4.653,4.577,3.683
142.449,28.774,-2.819,1.468,4.615,4.576,4.029
142.459,16.487,-2.955,1.015,4.509,4.464,4.233
142.469,3.145,-2.939,0.636,4.225,4.173,4.300
142.479,-11.204,-2.700,0.242,3.774,3.720,4.226
142.490,-25.959,-1.733,0.010,3.185,3.111,4.003
142.500,-38.326,-0.929,-0.114,2.518,2.427,3.648
142.510,-52.998,-0.263,-0.220,1.670,1.570,3.161
142.520,-63.672,-0.880,-0.261,0.762,0.673,2.540
142.530,-70.559,-0.538,-0.385,-0.098,-0.186,1.844
142.540,-74.939,-0.665,-0.475,-0.963,-1.039,1.089
142.551,-78.020,-0.889,-0.565,-1.851,-1.920,0.288
142.561,-74.985,-1.126,-0.678,-2.550,-2.597,-0.488
142.571,-67.291,-3.483,-0.918,-3.123,-3.133,-1.218
142.581,-61.338,-4.861,-1.290,-3.647,-3.606,-1.870
142.592,-49.690,-4.542,-1.651,-3.940,-3.888,-2.441
142.602,-36.648,-1.950,-1.815,-3.986,-3.987,-2.872
142.612,-25.163,-1.494,-1.818,-3.969,-3.987,-3.174
142.622,-11.236,-2.638,-1.877,-3.780,-3.776,-3.342
142.633,1.725,-2.091,-1.908,-3.468,-3.458,-3.373
142.643,14.496,-0.320,-1.792,-3.028,-3.033,-3.277
142.653,28.462,0.318,-1.565,-2.391,-2.424,-3.036
142.663,40.910,-0.383,-1.375,-1.707,-1.728,-2.664
142.674,53.135,-0.124,-1.201,-0.882,-0.919,-2.162
142.684,62.050,1.024,-1.014,-0.005,-0.088,-1.559
142.694,68.426,0.869,-0.806,0.855,0.766,-0.876
142.704,73.760,0.020,-0.710,1.707,1.625,-0.147
142.714,73.886,1.087,-0.570,2.490,2.390,0.613
142.725,75.286,-0.384,-0.444,3.250,3.175,1.371
142.735,73.551,-1.472,-0.503,3.920,3.875,2.119
142.745,67.656,-0.249,-0.503,4.475,4.421,2.827
142.755,58.590,-0.284,-0.482,4.867,4.813,3.452
142.766,50.149,-1.007,-0.518,5.202,5.167,4.004
142.776,36.133,-0.634,-0.547,5.261,5.220,4.419
142.786,20.156,-0.827,-0.550,5.108,5.065,4.673
142.796,2.817,0.430,-0.519,4.792,4.708,4.758
142.806,-19.133,1.178,-0.378,4.102,3.998,4.639
142.817,-37.819,-0.190,-0.302,3.271,3.177,4.310
142.827,-53.658,-0.859,-0.384,2.319,2.245,3.804
142.837,-65.440,0.764,-0.324,1.373,1.278,3.168
142.847,-75.554,-0.436,-0.251,0.371,0.296,2.437
142.857,-82.593,-1.499,-0.337,-0.583,-0.651,1.627
142.868,-83.800,0.329,-0.351,-1.464,-1.558,0.759
142.878,-79.794,1.499,-0.157,-2.157,-2.272,-0.080
142.888,-76.157,1.725,0.027,-2.873,-2.981,-0.876
142.898,-72.650,2.605,0.309,-3.520,-3.644,-1.614
142.909,-60.964,1.292,0.460,-3.891,-4.012,-2.292
142.919,-50.583,0.695,0.532,-4.175,-4.291,-2.865
142.930,-37.210,-0.307,0.494,-4.271,-4.367,-3.332
142.942,-22.062,-0.913,0.375,-4.165,-4.258,-3.647
142.953,-6.395,-0.321,0.301,-3.843,-3.960,-3.786
142.964,7.337,-0.326,0.245,-3.409,-3.524,-3.751
142.975,16.963,1.426,0.304,-2.950,-3.089,-3.587
142.986,19.699,3.507,0.589,-2.577,-2.742,-3.343
142.998,22.736,3.092,0.880,-2.221,-2.392,-3.082
143.009,19.332,1.955,1.053,-2.075,-2.222,-2.827
143.020,8.407,2.237,1.191,-2.241,-2.380,-2.675
143.031,-5.594,2.088,1.328,-2.593,-2.728,-2.647
143.042,-23.974,1.529,1.406,-3.297,-3.426,-2.823
143.054,-46.753,1.925,1.464,-4.366,-4.502,-3.235
143.065,-73.086,2.561,1.612,-5.801,-5.930,-3.915
143.076,-100.451,1.889,1.723,-7.534,-7.644,-4.879
143.087,-129.741,1.448,1.786,-9.668,-9.755,-6.177
143.099,-150.106,0.932,1.799,-11.936,-11.986,-7.805
143.111,-165.066,0.499,1.734,-14.286,-14.292,-9.666
143.122,-172.099,0.303,1.630,-16.510,-16.473,-11.619
143.134,-169.718,0.733,1.563,-18.454,-18.393,-13.588
143.146,-154.186,1.752,1.611,-19.841,-19.806,-15.429
143.157,-125.459,2.066,1.723,-20.551,-20.521,-16.987
143.169,-84.041,2.168,1.759,-20.442,-20.414,-18.099
