R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha,iRelaxX,IRelaxY,DmaxR,DmaxE,DMx,DMy
58,80,47,58,80,47,250,0,0,0,400,0,500000,15000000,10,1,1000,0,0,0,0,0,0,0,0,0.995,1024,4096,0,0,0,0
sysTickMs,PIDRefXi,PIDSensXi,PIDPoutXi,PIDFFoutXi,PIDUXi
63625,0,-983040,222720,0,315934
63635,0,-983040,222720,0,315934
63645,0,-983040,222720,0,315934
63655,0,-983040,222720,0,315934
63665,0,-983040,222720,0,315934
63675,0,-983040,222720,0,315934
63685,0,-983040,222720,0,315934
63695,0,-983040,222720,0,315934
63705,0,-983040,222720,0,315934
63715,0,-983040,222720,0,315934
63725,0,-983040,222720,0,315934
63736,0,-983040,222720,0,315934
63746,0,-983040,222720,0,315934
63756,0,-983040,222720,0,315934
63766,0,-983040,222720,0,315934
63776,0,-983040,222720,0,315934
63786,0,-983040,222720,0,315934
63796,0,-983040,222720,0,315934
63806,0,-983040,222720,0,315934
63816,0,-983040,222720,0,315934
63826,0,-983040,222720,0,315934
63836,0,-983040,222720,0,315934
63846,0,-983040,222720,0,315934
63856,0,-983040,222720,0,315934
63866,0,-983040,222720,0,315934
63876,0,-983040,222720,0,315934
63886,0,-983040,222720,0,315934
63896,0,-983040,222720,0,315934
63906,0,-983040,222720,0,315934
63916,0,-983040,222720,0,315934
63926,0,-983040,222720,0,315934
63936,0,-983040,222720,0,315934
63946,0,-983040,222720,0,315934
63956,0,10240,-2320,0,-8812
63966,0,1024,-232,0,3281
63976,0,7168,-1624,0,-2668
63986,0,4096,-928,0,-206
63996,0,12288,-2784,0,-7790
64006,0,9216,-2088,0,-2952
64016,0,8192,-1856,0,-718
64026,0,7168,-1624,0,1524
64036,0,6144,-1392,0,-373
64046,0,10240,-2320,0,-4224
64056,0,9216,-2088,0,-3437
64066,0,7168,-1624,0,-1810
64076,0,10240,-2320,0,-4938
64086,0,-9216,2088,0,20418
64096,0,-1024,232,0,-7216
64106,0,4096,-928,0,6735
64116,0,18432,-4176,0,-19452
64126,0,25600,-6496,0,-11499
64136,0,3072,-696,0,-2196
64146,0,28672,-6496,0,-13639
64156,0,12288,-2784,0,-9367
64166,0,8192,-1856,0,2649
64176,0,22528,-5104,0,-8049
64186,0,75776,-17168,0,-47974
64196,0,44032,-9976,0,-10725
64206,0,12288,-2784,0,4039
64216,0,-6144,1392,0,5703
64226,0,6144,-1392,0,-19543
64236,0,43008,-9744,0,-51293
64246,0,21504,-4872,0,-17421
64256,0,12288,-2784,0,-7299
64266,0,7168,-1624,0,-1632
64276,0,17408,-3944,0,-11475
64286,0,-6144,1392,0,6686
64296,0,-23552,5336,0,14889
64306,0,46080,-10440,0,-50437
64316,0,-66560,15080,0,62964
64326,0,-81920,18560,0,54839
64336,0,22528,-5104,0,-38066
64346,0,-112640,25520,0,71181
64356,0,-73728,16704,0,22124
64366,0,-93184,21112,0,25952
64376,0,-122880,27840,0,42360
64386,0,-110592,25056,0,13653
64396,0,-57344,12992,0,-46194
64406,0,-51200,11600,0,-55465
64416,0,-25600,5800,0,-63285
64426,0,-46080,13456,0,-16520
64436,0,22528,-5104,0,-77962
64446,0,-15360,3480,0,6580
64456,0,-14336,3248,0,24215
64466,0,57344,-12992,0,-34014
64476,0,2048,2088,0,28598
64486,0,-47104,10672,0,54666
64496,0,51200,-11600,0,-69317
64506,0,-101376,22968,0,52751
64516,6144,-218112,50808,2600,114679
64526,6144,-333824,77024,598,189000
64536,12288,-186368,45008,2099,38323
64546,12288,-131072,32480,476,-7848
64556,12288,-122880,30624,61,7678
64566,21504,-286720,69832,2624,166137
64576,21504,-336896,81200,671,207089
64586,52224,-194560,55912,13220,89313
64596,55296,-209920,61480,4211,102160
64606,76800,-238592,71456,13757,160711
64616,86016,55296,6960,7189,-82802
64626,86016,-2048,19952,1916,190
64636,178176,-63488,54752,35559,129745
64646,178176,87040,20648,9106,-34524
64656,266240,96256,38512,40075,23628
64666,266240,-28672,66816,10253,157511
64676,266240,125952,31784,2746,33835
64686,318464,189440,29232,15771,38049
64696,369664,145408,50808,30541,144708
64706,369664,90112,63336,8325,193915
64716,428032,194560,52896,29016,151812
64726,435200,316416,26912,11889,49254
64736,435200,338944,21808,3002,47703
64746,483328,453632,6728,13781,-17783
64756,483328,484352,-232,3723,26505
64766,579584,441344,31320,36999,104992
64776,579584,482304,22040,9472,71370
64786,579584,532480,10672,2563,59400
64796,579584,645120,-14848,585,1236
64806,707584,695296,2784,43041,57312
64816,707584,663552,9976,11010,89857
64826,707584,1026048,-72152,2746,-187125
64837,904192,1088512,-41760,54089,-60843
64847,1062912,1149952,-19720,90966,41820
64857,1084416,1172480,-19952,30944,20361
64867,1084416,1219584,-30624,8435,1660
64877,1084416,1388544,-68904,2087,-128019
64887,1084416,1269760,-41992,476,-10516
64897,1084416,1289216,-46400,73,-54299
64907,1084416,1274880,-43152,0,-80558
64917,1084416,1140736,-12760,0,-1964
64927,1258496,1028096,52200,116723,229537
64937,1284096,1015808,60784,41674,145893
64947,1310720,1069056,54752,20764,73987
64957,1324032,1171456,34568,3271,-18464
64967,1324032,1152000,38976,781,34923
64977,1310720,1156096,35032,-4236,46157
64987,1310720,1278976,7192,-1160,-35680
64997,1284096,1287168,-3944,-11719,-48320
65007,1284096,1201152,18792,-3296,70247
65017,1042432,1282048,-54288,-152845,-203948
65027,1042432,1249280,-46864,-42115,-86813
65037,752640,1169408,-94424,-100501,-169954
65047,620544,1076224,-103240,-103821,-202913
65057,579584,835584,-58000,-47254,-58562
65067,579584,585728,-1392,-12244,65665
65077,458752,486400,-6264,-30494,-17312
65087,458752,320512,31320,-7923,51136
65097,372736,206848,37584,-28687,43184
65107,355328,166912,42688,-11854,61450
65117,305152,123904,41064,-24524,69829
65127,301056,122880,51736,-7569,126806
65137,301056,90112,47792,-2137,101456
65147,294912,117760,40136,-3077,56512
65157,285696,74752,47792,-3528,55276
65167,272384,120832,34336,-8875,22941
65177,269312,145408,28072,-3577,-717
65187,275456,128000,33408,732,24627
65197,249856,132096,26680,-10865,-1932
