R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha,iRelaxX,IRelaxY,DmaxR,DmaxE,DMx,DMy
58,80,47,58,80,47,250,0,0,0,110,0,500000,15000000,10,1,1000,0,0,0,0,0,0,0,0,0.995,1024,4096,0,0,0,0
sysTickMs,PIDRefXi,PIDSensXi,PIDPoutXi,PIDFFoutXi,PIDUXi
44603,0,210944,-47792,0,18559
44613,0,210944,-47792,0,18559
44623,0,210944,-47792,0,18559
44633,0,210944,-47792,0,18559
44643,0,210944,-47792,0,18559
44653,0,210944,-47792,0,18559
44663,0,210944,-47792,0,18559
44673,0,210944,-47792,0,18559
44683,0,210944,-47792,0,18559
44693,0,210944,-47792,0,18559
44703,0,210944,-47792,0,18559
44713,0,210944,-47792,0,18559
44723,0,210944,-47792,0,18559
44733,0,210944,-47792,0,18559
44743,0,210944,-47792,0,18559
44753,0,210944,-47792,0,18559
44763,0,210944,-47792,0,18559
44773,0,210944,-47792,0,18559
44783,0,210944,-47792,0,18559
44793,0,210944,-47792,0,18559
44803,0,210944,-47792,0,18559
44813,0,210944,-47792,0,18559
44823,0,210944,-47792,0,18559
44833,0,210944,-47792,0,18559
44843,0,210944,-47792,0,18559
44853,0,210944,-47792,0,18559
44863,0,210944,-47792,0,18559
44873,0,210944,-47792,0,18559
44883,0,210944,-47792,0,18559
44893,0,210944,-47792,0,18559
44903,0,210944,-47792,0,18559
44913,0,210944,-47792,0,18559
44923,0,210944,-47792,0,18559
44933,0,210944,-47792,0,18559
44943,0,210944,-47792,0,18559
44953,0,210944,-47792,0,18559
44964,0,210944,-47792,0,18559
44974,0,210944,-47792,0,18559
44984,0,210944,-47792,0,18559
44994,0,210944,-47792,0,18559
45004,0,210944,-47792,0,18559
45014,0,210944,-47792,0,18559
45024,0,210944,-47792,0,18559
45034,0,210944,-47792,0,18559
45044,0,210944,-47792,0,18559
45054,0,210944,-47792,0,18559
45064,0,210944,-47792,0,18559
45074,0,210944,-47792,0,18559
45084,0,210944,-47792,0,18559
45094,0,210944,-47792,0,18559
45104,0,210944,-47792,0,18559
45114,0,210944,-47792,0,18559
45124,0,210944,-47792,0,18559
45134,0,210944,-47792,0,18559
45144,0,210944,-47792,0,18559
45154,0,210944,-47792,0,18559
45164,0,210944,-47792,0,18559
45174,0,210944,-47792,0,18559
45184,0,210944,-47792,0,18559
45194,0,210944,-47792,0,18559
45204,0,210944,-47792,0,18559
45214,0,210944,-47792,0,18559
45224,0,210944,-47792,0,18559
45234,0,210944,-47792,0,18559
45244,0,210944,-47792,0,18559
45254,0,210944,-47792,0,18559
45264,0,5120,-1160,0,-3289
45274,0,4096,-928,0,-1276
45284,0,13312,-3016,0,-8579
45294,0,4096,-928,0,-2802
45304,0,8192,-1856,0,-2138
45314,0,9216,-2088,0,-2874
45324,0,13312,-3016,0,-6483
45334,0,7168,-1624,0,-1139
45344,0,4096,-928,0,63
45354,0,6144,-1392,0,-2039
45364,0,4096,-928,0,537
45374,0,6144,-1392,0,-317
45384,0,9216,-2088,0,-2717
45394,0,-2048,464,0,6114
45404,0,29696,-6728,0,-17160
45414,0,-1024,232,0,12634
45424,0,11264,-2552,0,-8032
45434,0,15360,-3480,0,-8562
45444,0,-15360,3480,0,13803
45454,0,12288,-2784,0,-10998
45464,0,5120,-1160,0,1589
45474,0,19456,-4408,0,-14110
45484,0,25600,-5800,0,-18627
45494,0,47104,-10672,0,-15194
45504,0,23552,-5336,0,-5664
45514,0,58368,-13224,0,-28174
45524,0,11264,-2552,0,13335
45534,0,36864,-8352,0,-6457
45544,0,-2048,464,0,19499
45554,0,-6144,1392,0,6929
45564,0,8192,-1856,0,-15206
45574,0,-24576,5568,0,12677
45584,0,-14336,3248,0,-626
45594,0,14336,-3248,0,-22123
45604,0,-37888,9744,0,34405
45614,0,-17408,3944,0,5143
45624,0,-26624,6032,0,14503
45634,0,1024,-232,0,-12615
45644,0,-81920,18560,0,65539
45654,3072,0,-3248,352,-35034
45664,6144,-50176,12760,339,28085
45674,6144,-36864,9744,67,14957
45684,9216,6144,696,386,-21598
45694,9216,-75776,19256,80,64894
45704,12288,44032,-7192,181,-35054
45714,12288,-18432,6960,33,12237
45724,24576,-52224,17400,1033,52611
45734,33792,-27648,13920,832,22759
45744,52224,-22528,16936,2359,16955
45754,52224,-52224,23664,590,21106
45764,67584,-130048,44776,1705,91396
45774,73728,-97280,38744,1097,65427
45784,76800,0,17400,540,-18373
45794,79872,-11264,20648,302,10443
45804,92160,24576,15312,1413,1584
45814,92160,67584,5568,369,-15822
45824,92160,34816,12992,80,26132
45834,110592,-45056,35264,2030,83307
45844,122880,-53248,39904,1795,103363
45854,122880,-135168,58464,469,128479
45864,122880,-184320,69600,100,161822
45874,122880,-160768,64264,10,142653
45884,129024,-72704,45704,866,76120
45894,129024,-37888,37816,201,46714
45904,144384,-17408,36656,1597,32560
45914,144384,53248,20648,396,-26210
45924,172032,92160,18096,2944,-29092
45934,175104,103424,16240,1349,-8105
45944,178176,181248,-696,768,-12236
45954,181248,139264,9512,506,4839
45964,184320,38912,32944,715,101709
45974,184320,-11264,44312,164,134460
45984,184320,-18432,45936,30,130379
45994,196608,20480,39904,1205,94065
46004,196608,22528,39440,308,92532
46014,259072,77824,41064,6099,75182
46024,358400,147456,47792,19869,73840
46034,379904,238592,32016,8315,21468
46044,379904,373760,1392,2124,-67622
46054,379904,377856,464,570,-43956
46064,379904,370688,2088,130,-20611
46074,594944,342016,57304,19510,86205
46084,713728,364544,79112,21856,105151
46094,713728,403456,70296,5616,67436
46104,713728,496640,49184,1430,14099
46114,713728,575488,31320,375,-15635
46124,2124800,601088,345216,176742,499788
46134,2341888,719872,367488,69592,396511
46144,2974720,1173504,408088,59478,303563
46154,3464192,1754112,387440,76595,241784
46164,3464192,2365440,248936,21051,40450
46174,4539392,2942976,361688,86330,254792
46184,4443136,3477504,218776,10950,38199
46195,3697664,3999744,-68440,-64598,-309752
46205,3502080,4236288,-166344,-28716,-277913
46215,2419712,4151296,-392312,-143422,-485731
46225,2102272,3909632,-409480,-63984,-381847
46235,1184768,3300352,-479312,-165219,-394105
46245,1184768,2569216,-313664,-45463,15786
46255,615424,1901568,-291392,-60140,20147
46265,405504,1367040,-217848,-35067,54511
46275,405504,843776,-99296,-9064,148250
46285,150528,402432,-57072,-24029,132432
46295,113664,115712,-464,-8900,159567
46305,-4096,38912,-9744,-16137,23774
46315,-4096,-17408,3016,-4180,-8827
46325,0,-91136,20648,-910,8873
46335,0,-106496,24128,-252,-17500
