R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha,iRelaxX,IRelaxY,DmaxR,DmaxE,DMx,DMy
58,80,47,58,80,47,250,0,0,0,350,0,500000,15000000,10,1,1000,0,0,0,0,0,0,0,0,0.995,1024,1024,0,0,0,0
sysTickMs,PIDRefXi,PIDSensXi,PIDPoutXi,PIDFFoutXi,PIDUXi
13850,0,0,0,0,0
13860,0,0,0,0,0
13870,0,0,0,0,0
13880,0,0,0,0,0
13890,0,0,0,0,0
13900,0,0,0,0,0
13910,0,0,0,0,0
13920,0,0,0,0,0
13930,0,0,0,0,0
13940,0,0,0,0,0
13950,0,0,0,0,0
13960,0,0,0,0,0
13970,0,0,0,0,0
13980,0,0,0,0,0
13990,0,0,0,0,0
14000,0,0,0,0,0
14010,0,0,0,0,0
14020,0,0,0,0,0
14030,0,0,0,0,0
14040,0,0,0,0,0
14050,0,0,0,0,0
14060,0,0,0,0,0
14070,0,0,0,0,0
14080,0,0,0,0,0
14090,0,0,0,0,0
14100,0,0,0,0,0
14110,0,0,0,0,0
14120,0,0,0,0,0
14130,0,0,0,0,0
14140,0,0,0,0,0
14150,0,0,0,0,0
14160,0,0,0,0,0
14170,0,0,0,0,0
14180,0,0,0,0,0
14190,0,0,0,0,0
14200,0,0,0,0,0
14210,0,0,0,0,0
14220,0,0,0,0,0
14230,0,0,0,0,0
14240,0,0,0,0,0
14250,0,0,0,0,0
14260,0,0,0,0,0
14270,0,0,0,0,0
14280,0,6144,-1392,0,-3110
14290,0,9216,-2088,0,-3889
14300,0,6144,-1392,0,378
14310,0,11264,-2552,0,-4086
14320,0,8192,-1856,0,-2220
14330,0,6144,-1392,0,-1867
14340,0,4096,-928,0,-801
14350,0,6144,-1392,0,-1857
14360,0,5120,-1160,0,90
14370,0,7168,-1624,0,-1640
14380,0,9216,-2088,0,-2952
14390,0,8192,-1856,0,-3237
14400,0,9216,-2088,0,-3468
14410,0,7168,-1624,0,-428
14420,0,3072,-696,0,421
14430,0,35840,-8120,0,-19450
14440,0,-10240,2320,0,15951
14450,0,45056,-10208,0,-34373
14460,0,-6144,1392,0,17348
14470,9216,11264,-464,4528,26
14480,9216,9216,0,1196,-807
14490,9216,2048,1624,256,2823
14500,30720,11264,3016,4806,-2061
14510,30720,14336,3712,1260,8374
14520,49152,11264,8584,5928,13172
14530,43008,28672,3248,-2115,-2166
14540,39936,26624,3016,-2030,-7134
14550,39936,-9216,11136,-588,24700
14560,6144,12288,-1392,-8983,-13627
14570,6144,-29696,8120,-2382,11393
14580,3072,4096,-232,-1624,-16112
14591,0,8192,-1856,-2318,-12982
14601,0,45056,-10208,-663,-25414
14611,0,12288,-2784,-246,8409
14621,0,34816,-7888,-161,-19029
14631,0,-17408,3944,-161,21225
14641,0,8192,-1856,-161,-8524
14651,0,9216,-2088,-161,-9120
14661,0,20480,-4640,-161,-20532
14671,0,9216,-2088,-161,1101
14681,0,24576,-5568,-161,-15332
14691,0,9216,-2088,-161,-3501
14701,0,8192,-1856,-161,-5669
14711,0,5120,-1160,-161,2429
14721,0,28672,-6496,-161,-23174
14731,0,10240,-2320,-161,-4640
14741,0,-3072,696,-161,6359
14751,0,-19456,4408,-161,17602
14761,0,-12288,2784,-161,10059
14771,0,-2048,464,-161,-2184
14781,0,-1024,232,-161,-6182
14791,0,-39936,9048,-161,20586
14801,0,-31744,7192,-161,1295
14811,0,1024,-232,-161,-32462
14821,0,-96256,21808,-161,60023
14831,0,-80896,18328,-161,27452
14841,0,-78848,17864,-161,20518
14851,0,-91136,20648,-161,18485
14861,0,-176128,39904,-161,72552
14871,0,-123904,28072,-161,24101
14881,0,-156672,35496,-161,48766
14891,0,-78848,17864,-161,-30131
14901,0,-178176,40368,-161,73385
14911,0,-146432,33176,-161,35310
14921,0,-207872,47096,-161,82340
14931,0,-185344,41992,-161,62061
14941,0,-223232,50576,-161,98255
14951,0,-162816,36888,-161,44558
14961,0,-209920,47560,-161,88500
14971,0,-164864,37352,-161,50903
14981,0,-147456,33408,-161,36817
14991,0,-171008,38744,-161,52019
15001,0,-174080,39440,-161,56757
15011,0,-197632,44776,-161,81290
15021,0,-87040,19720,-161,-13166
15031,3072,-18432,4872,1762,-49055
15041,6144,-65536,16240,1708,19029
15051,6144,-143360,33872,416,93758
15061,58368,-140288,45008,15039,110419
15071,58368,-100352,35960,3813,65717
15081,122880,-123904,55912,19535,124386
15091,129024,-112640,54752,6686,105074
15101,147456,-100352,56144,9004,105493
15111,168960,-90112,58696,9025,107075
15121,196608,22528,39440,13853,33017
15131,208896,108544,22736,8406,5348
15141,215040,233472,-4176,4016,-45118
15151,256000,192512,14384,14772,79542
15161,256000,208896,10672,3749,44213
15171,269312,132096,31088,4817,155839
15181,275456,156672,26912,2392,117631
15191,275456,239616,8120,598,23964
