R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha,FFDTermC,IRelaxR,IRelaxE,DmaxR,DmaxE,DMx,DMy
175,0,1900,200,0,2100,500,150,0,0,0,0,7,75,10,10.0,64.0,0.000100,0.003000,50,30,0,30,0,75,300,0,0,0.995,10.000,300,100,300,100,1900,2100
sysTime,PIDRefX,PIDRefY,PIDRefZ,PIDSensX,PIDSensY,PIDSensZ
134.390,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.395,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.401,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.406,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.411,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.416,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.421,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.426,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.431,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.436,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.441,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.446,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.452,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.457,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.462,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.467,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.472,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.477,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.482,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.487,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.492,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.498,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.503,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.508,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.513,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.518,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.523,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.528,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.533,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.538,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.544,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.549,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.554,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.559,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.564,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.569,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.574,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.579,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.584,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.589,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.595,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.600,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.605,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.610,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.615,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.620,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.625,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.630,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.635,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.640,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.646,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.651,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.656,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.661,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.666,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.671,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.676,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.681,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.686,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.691,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.697,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.702,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.707,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.712,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.717,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.722,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.727,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.732,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.737,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.743,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.748,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.753,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.758,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.763,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.768,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.773,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.778,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.783,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.789,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.794,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.799,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.804,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.809,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.814,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.819,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.824,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.829,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.834,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.840,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.845,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.850,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.855,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.860,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.865,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.870,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.875,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.880,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.885,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.891,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.896,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.901,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.906,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.911,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.916,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.921,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.926,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.931,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.936,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.942,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.947,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.952,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.957,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.962,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.967,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.972,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.977,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.982,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.987,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.993,0.000,-54.380,2.000,1.043,-82.498,-0.891
134.998,0.000,-54.380,2.000,1.043,-82.498,-0.891
135.003,0.000,-54.380,2.000,1.043,-82.498,-0.891
135.008,0.000,-54.380,2.000,1.043,-82.498,-0.891
135.013,0.000,-54.380,2.000,1.043,-82.498,-0.891
135.018,0.000,-54.380,2.000,1.043,-82.498,-0.891
135.023,0.000,-54.380,2.000,1.043,-82.498,-0.891
135.028,0.000,-54.380,2.000,1.043,-82.498,-0.891
135.033,0.000,-54.380,2.000,1.043,-82.498,-0.891
135.038,0.000,-54.380,2.000,1.043,-82.498,-0.891
135.044,0.000,-54.380,2.000,1.043,-82.498,-0.891
135.049,0.000,-54.380,2.000,1.043,-82.498,-0.891
135.054,0.000,-54.380,2.000,1.043,-82.498,-0.891
135.059,0.000,-54.380,2.000,1.043,-82.498,-0.891
135.064,0.000,-54.380,2.000,1.043,-82.498,-0.891
135.069,0.000,-54.380,2.000,1.043,-82.498,-0.891
135.074,0.000,-54.380,2.000,1.043,-82.498,-0.891
135.079,0.000,-54.380,2.000,1.043,-82.498,-0.891
135.084,0.000,-54.380,2.000,1.043,-82.498,-0.891
135.089,0.000,-54.380,2.000,1.043,-82.498,-0.891
135.094,0.000,-54.380,2.000,1.043,-82.498,-0.891
135.100,0.000,-54.380,2.000,1.043,-82.498,-0.891
135.105,0.000,-54.380,2.000,1.043,-82.498,-0.891
135.110,0.000,-54.380,2.000,1.043,-82.498,-0.891
135.115,0.000,-54.380,2.000,1.043,-82.498,-0.891
135.120,0.000,-54.380,2.000,1.043,-82.498,-0.891
135.125,0.000,-54.380,2.000,1.043,-82.498,-0.891
135.130,0.000,-54.380,2.000,1.043,-82.498,-0.891
135.135,0.000,-54.380,2.000,1.043,-82.498,-0.891
135.141,0.000,-0.297,1.000,-0.454,-0.232,1.667
135.147,0.000,-0.297,1.000,-0.400,-0.478,1.823
135.154,0.000,-0.297,1.000,-0.159,-0.967,0.672
135.160,0.000,-0.297,1.000,0.317,-0.761,1.455
135.166,0.000,-0.297,1.000,0.135,-0.587,-0.487
135.172,0.000,-0.297,1.000,-0.088,-0.586,0.910
135.178,0.000,-0.297,1.000,0.191,-0.133,1.277
135.184,0.000,-0.297,1.000,0.410,0.544,1.500
135.191,0.000,-0.297,1.000,0.335,0.421,1.903
135.197,0.000,-0.297,1.000,0.518,0.142,1.467
135.203,0.000,-0.297,1.000,0.166,0.744,1.061
135.209,0.000,-0.297,1.000,-0.169,0.425,1.438
135.215,0.000,-0.297,1.000,-0.813,0.117,0.981
135.222,0.000,-0.297,1.000,-1.405,0.264,0.597
135.228,0.000,-0.297,1.000,-1.255,-0.632,0.282
135.234,0.000,-0.297,1.000,-0.786,-0.613,0.314
135.240,0.000,-0.297,1.000,-1.278,0.123,-0.471
135.246,0.000,-0.297,1.000,-0.637,-0.248,0.759
135.252,0.000,-0.297,1.000,-0.053,-0.598,0.578
135.259,0.000,-0.297,1.000,-0.011,0.042,-0.799
135.265,0.000,-0.297,1.000,0.411,0.183,-1.128
135.271,0.000,-0.297,1.000,-0.323,-0.076,-2.181
135.277,0.000,-0.297,1.000,0.055,-0.171,-2.475
135.283,0.000,-0.297,1.000,-0.103,-0.595,-2.248
135.290,0.000,-0.297,1.000,-0.001,-0.631,-2.112
135.296,0.000,-0.297,1.000,-0.088,-0.627,-1.067
135.302,0.000,-0.297,1.000,-0.438,-0.279,-0.497
135.308,0.000,-0.297,1.000,-0.368,-0.766,-1.151
135.314,0.000,-0.297,1.000,0.116,-0.701,-0.264
135.320,0.000,-0.297,1.000,0.331,-0.793,0.427
135.327,0.000,-0.297,1.000,-0.087,-1.355,0.451
135.333,0.000,-0.297,1.000,0.404,-0.416,1.629
135.339,0.000,-0.297,1.000,0.055,0.292,0.562
135.345,0.000,-0.297,1.000,0.010,0.386,-0.032
135.351,0.000,-0.297,1.000,-0.535,0.201,-1.069
135.358,0.000,-0.297,1.000,-0.408,0.266,-0.643
135.364,0.000,-0.297,1.000,-1.038,0.349,-1.269
135.370,0.000,-0.297,1.000,-1.771,1.677,-2.559
135.376,0.000,-0.297,1.000,-0.748,0.966,-2.136
135.382,0.000,-0.297,1.000,0.078,0.951,-0.269
135.388,0.000,-0.297,1.000,0.690,0.775,-0.528
135.395,0.000,-0.297,1.000,0.294,1.060,-0.381
135.401,0.000,-0.297,1.000,0.798,0.767,0.778
