R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha,FFDTermC,IRelaxR,IRelaxE,DmaxR,DmaxE,DMx,DMy
42,5,42,40,5,30,350,10,0,0,0,0,7,105,10,10.0,64.0,0.000100,0.003000,50,30,0,30,0,75,300,0,0,0.995,10.000,300,100,300,100,25,25
sysTime,PIDRefX,PIDRefY,PIDRefZ,PIDSensX,PIDSensY,PIDSensZ,PIDPoutX,PIDIoutX,PIDDoutX
40.928,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
40.934,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
40.939,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
40.945,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
40.951,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
40.958,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
40.964,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
40.970,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
40.976,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
40.982,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
40.987,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
40.993,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
40.999,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
41.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
41.012,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
41.018,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
41.024,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
41.030,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
41.036,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
41.041,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
41.047,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
41.053,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
41.059,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
41.066,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
41.072,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
41.078,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
41.084,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
41.089,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
41.095,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
41.101,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
41.107,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
41.113,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
