R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha,FFDTermC,IRelaxR,IRelaxE,DmaxR,DmaxE,DMx,DMy
50,5,30,43,5,25,350,10,0,0,0,0,7,200,10,10.0,64.0,0.000100,0.003000,50,30,0,30,0,75,300,0,0,0.995,10.000,300,100,300,100,25,25
sysTime,PIDRefX,PIDRefY,PIDRefZ,PIDSensX,PIDSensY,PIDSensZ,PIDPoutX,PIDIoutX,PIDDoutX
36.275,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.281,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.286,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.292,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.298,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.304,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.310,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.317,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.323,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.329,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.334,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.340,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.346,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.352,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.358,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.365,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.371,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.377,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.383,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.388,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.394,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.400,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.406,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.413,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.419,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.425,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.431,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.436,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.442,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.448,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.454,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.461,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.467,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.473,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.479,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.485,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.490,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.496,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.502,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.509,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.515,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.521,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.527,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.533,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.538,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.544,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.550,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.557,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.563,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.569,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.575,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.581,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.586,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.592,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.598,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.605,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.611,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.617,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.623,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.629,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.635,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.640,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.646,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.653,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.659,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.665,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.671,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.677,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.683,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.688,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.694,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.701,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.707,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.713,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.719,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.725,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.731,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.737,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.742,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.749,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.755,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.761,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.767,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.773,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.779,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.785,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.790,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.797,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.803,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.809,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.815,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.821,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.827,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.833,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.838,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.844,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.851,0.000,-0.446,0.000,-0.927,0.462,-0.395,0.046,0.000,-0.208
36.856,0.000,-0.446,0.000,-1.371,0.839,-1.109,0.069,0.000,-0.226
36.861,0.000,-0.446,0.000,-1.001,1.200,-0.351,0.050,0.001,-0.103
36.866,0.000,-0.446,0.000,-0.141,1.620,-0.223,0.007,0.001,0.038
36.871,0.000,-0.446,0.000,0.761,1.053,-0.652,-0.038,0.001,0.154
