R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha,FFDTermC,IRelaxR,IRelaxE,DmaxR,DmaxE,DMx,DMy
48,5,35,43,5,25,350,10,0,0,0,0,7,200,10,10.0,64.0,0.000100,0.003000,50,30,0,30,0,75,300,0,0,0.995,10.000,300,100,300,100,25,25
sysTime,PIDRefX,PIDRefY,PIDRefZ,PIDSensX,PIDSensY,PIDSensZ,PIDPoutX,PIDIoutX,PIDDoutX
333.198,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.204,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.209,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.215,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.221,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.227,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.233,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.240,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.246,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.252,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.257,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.263,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.269,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.275,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.281,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.288,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.294,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.299,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.305,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.311,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.317,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.323,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.330,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.336,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.342,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.347,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.353,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.359,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.365,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.371,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.378,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.384,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.390,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.395,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.401,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.407,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.413,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.420,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.426,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.432,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.437,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.443,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.449,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.455,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.461,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.468,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.474,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.480,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.485,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.491,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.497,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.503,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.510,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.516,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.522,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.527,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.533,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.539,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.545,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.551,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.558,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.564,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.570,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.575,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.581,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.587,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.593,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.600,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.606,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.612,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.618,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.623,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.629,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.635,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.641,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.648,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.654,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.660,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.665,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.671,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.677,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.683,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.689,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.696,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.702,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.708,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.713,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.719,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.725,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.731,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.737,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.744,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.750,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.756,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.761,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.767,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.773,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.779,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.786,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.792,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.798,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.803,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.809,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.815,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.821,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.828,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.834,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.840,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.846,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.851,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
333.857,0.000,-0.297,0.000,52.702,51.891,1.475,-2.899,0.219,-0.636
