R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,GparamC,AparamC,KFQAng,KFQbias,KFRmeas
40,1,40,40,1,40,200,0,0,0,0,0,2147483648,10000000,10.0,64.0,0.000100,0.003000,50,
sysTickMs,GRawXi,PIDRefXi,PIDSensXi,PIDPoutXi,PIDIoutXi,PIDDoutXi
78788,-8.423,6506496,8887296,-186000,9366,-31020
78793,2.441,6506496,8887296,-186000,9366,-31020
78798,-3.662,6506496,8887296,-186000,9366,-31020
78803,-0.977,6506496,8887296,-186000,9366,-31020
78808,-0.732,6506496,8887296,-186000,9366,-31020
78813,-5.615,6506496,8887296,-186000,9366,-31020
78818,1.099,6506496,8887296,-186000,9366,-31020
78823,0.610,6506496,8887296,-186000,9366,-31020
78828,4.028,6506496,8887296,-186000,9366,-31020
78833,2.441,6506496,8887296,-186000,9366,-31020
78838,4.517,6506496,8887296,-186000,9366,-31020
78843,-0.977,6506496,8887296,-186000,9366,-31020
78848,-6.592,6506496,8887296,-186000,9366,-31020
78853,-1.465,6506496,8887296,-186000,9366,-31020
78858,5.859,6506496,8887296,-186000,9366,-31020
78863,-4.883,6506496,8887296,-186000,9366,-31020
78868,-4.395,6506496,8887296,-186000,9366,-31020
78873,-0.122,6506496,8887296,-186000,9366,-31020
78879,0.488,6506496,8887296,-186000,9366,-31020
78884,-1.099,6506496,8887296,-186000,9366,-31020
78889,1.709,6506496,8887296,-186000,9366,-31020
78894,-6.104,6506496,8887296,-186000,9366,-31020
78899,1.343,6506496,8887296,-186000,9366,-31020
78904,1.587,6506496,8887296,-186000,9366,-31020
78909,0.244,6506496,8887296,-186000,9366,-31020
78914,-0.366,6506496,8887296,-186000,9366,-31020
78919,-4.761,6506496,8887296,-186000,9366,-31020
78924,7.812,6506496,8887296,-186000,9366,-31020
78929,2.563,6506496,8887296,-186000,9366,-31020
78934,6.226,6506496,8887296,-186000,9366,-31020
78939,2.319,6506496,8887296,-186000,9366,-31020
78944,-4.028,6506496,8887296,-186000,9366,-31020
78949,-0.122,6506496,8887296,-186000,9366,-31020
78954,-1.709,6506496,8887296,-186000,9366,-31020
78959,1.465,6506496,8887296,-186000,9366,-31020
78964,0.732,6506496,8887296,-186000,9366,-31020
78969,1.099,6506496,8887296,-186000,9366,-31020
78974,-0.122,6506496,8887296,-186000,9366,-31020
78979,-2.319,6506496,8887296,-186000,9366,-31020
78984,-4.028,6506496,8887296,-186000,9366,-31020
78989,4.517,6506496,8887296,-186000,9366,-31020
78994,-3.296,6506496,8887296,-186000,9366,-31020
78999,-0.610,6506496,8887296,-186000,9366,-31020
79004,-3.174,6506496,8887296,-186000,9366,-31020
79009,-1.709,6506496,8887296,-186000,9366,-31020
79014,5.981,6506496,8887296,-186000,9366,-31020
79019,3.906,6506496,8887296,-186000,9366,-31020
79024,1.343,6506496,8887296,-186000,9366,-31020
79029,-2.930,6506496,8887296,-186000,9366,-31020
79034,-4.395,6506496,8887296,-186000,9366,-31020
79039,-1.465,6506496,8887296,-186000,9366,-31020
79044,-0.122,6506496,8887296,-186000,9366,-31020
79049,-4.883,6506496,8887296,-186000,9366,-31020
79054,-1.343,6506496,8887296,-186000,9366,-31020
79059,-1.709,6506496,8887296,-186000,9366,-31020
79064,1.465,6506496,8887296,-186000,9366,-31020
79069,-5.005,6506496,8887296,-186000,9366,-31020
79074,-0.854,6506496,8887296,-186000,9366,-31020
79079,3.052,6506496,8887296,-186000,9366,-31020
79084,4.517,6506496,8887296,-186000,9366,-31020
79089,1.343,6506496,8887296,-186000,9366,-31020
79094,2.441,6506496,8887296,-186000,9366,-31020
79099,0.000,6506496,8887296,-186000,9366,-31020
79104,-1.099,6506496,8887296,-186000,9366,-31020
79109,-2.930,6506496,8887296,-186000,9366,-31020
79114,4.028,6506496,8887296,-186000,9366,-31020
79119,-3.662,6506496,8887296,-186000,9366,-31020
79124,3.662,6506496,8887296,-186000,9366,-31020
79129,-2.197,6506496,8887296,-186000,9366,-31020
79134,0.732,6506496,8887296,-186000,9366,-31020
79139,-3.906,6506496,8887296,-186000,9366,-31020
79144,-0.122,6506496,8887296,-186000,9366,-31020
79149,2.930,6506496,8887296,-186000,9366,-31020
79154,-2.930,6506496,8887296,-186000,9366,-31020
79159,-0.732,6506496,8887296,-186000,9366,-31020
79164,-8.789,6506496,8887296,-186000,9366,-31020
79169,2.075,6506496,8887296,-186000,9366,-31020
79174,7.690,6506496,8887296,-186000,9366,-31020
79179,-8.057,6506496,8887296,-186000,9366,-31020
79184,-1.099,6506496,8887296,-186000,9366,-31020
79189,-4.639,6506496,8887296,-186000,9366,-31020
79194,-6.958,6506496,8887296,-186000,9366,-31020
79199,0.000,6506496,8887296,-186000,9366,-31020
79204,-3.662,6506496,8887296,-186000,9366,-31020
79209,2.197,6506496,8887296,-186000,9366,-31020
79214,-4.395,6506496,8887296,-186000,9366,-31020
79219,-2.319,6506496,8887296,-186000,9366,-31020
79224,-2.563,6506496,8887296,-186000,9366,-31020
79229,3.296,6506496,8887296,-186000,9366,-31020
79234,0.977,6506496,8887296,-186000,9366,-31020
79239,0.244,6506496,8887296,-186000,9366,-31020
79244,4.517,6506496,8887296,-186000,9366,-31020
79249,2.319,6506496,8887296,-186000,9366,-31020
79254,2.197,6506496,8887296,-186000,9366,-31020
79259,4.639,6506496,8887296,-186000,9366,-31020
79264,-1.465,6506496,8887296,-186000,9366,-31020
79269,3.296,6506496,8887296,-186000,9366,-31020
79274,-6.470,6506496,8887296,-186000,9366,-31020
79279,-4.150,6506496,8887296,-186000,9366,-31020
79284,1.099,6506496,8887296,-186000,9366,-31020
79290,-1.099,6506496,8887296,-186000,9366,-31020
79295,-2.441,6506496,8887296,-186000,9366,-31020
79300,-0.122,6506496,8887296,-186000,9366,-31020
79305,-3.418,6506496,8887296,-186000,9366,-31020
79310,5.981,6506496,8887296,-186000,9366,-31020
79315,-1.709,6506496,8887296,-186000,9366,-31020
79320,3.174,6506496,8887296,-186000,9366,-31020
79325,6.348,6506496,8887296,-186000,9366,-31020
79330,-9.033,6506496,8887296,-186000,9366,-31020
79335,0.732,6506496,8887296,-186000,9366,-31020
79340,3.662,6506496,8887296,-186000,9366,-31020
79345,2.930,6506496,8887296,-186000,9366,-31020
79350,2.563,6506496,8887296,-186000,9366,-31020
79355,5.005,6506496,8887296,-186000,9366,-31020
79360,2.197,6506496,8887296,-186000,9366,-31020
79365,-1.343,6506496,8887296,-186000,9366,-31020
79370,2.930,6506496,8887296,-186000,9366,-31020
79375,1.343,6506496,8887296,-186000,9366,-31020
79380,1.343,6506496,8887296,-186000,9366,-31020
79385,-2.930,6506496,8887296,-186000,9366,-31020
79390,0.244,6506496,8887296,-186000,9366,-31020
79395,2.930,6506496,8887296,-186000,9366,-31020
79400,0.488,6506496,8887296,-186000,9366,-31020
79405,5.981,6506496,8887296,-186000,9366,-31020
79410,2.197,6506496,8887296,-186000,9366,-31020
79415,3.052,6506496,8887296,-186000,9366,-31020
79420,0.366,6506496,8887296,-186000,9366,-31020
79425,1.831,6506496,8887296,-186000,9366,-31020
79430,-2.441,6506496,8887296,-186000,9366,-31020
79435,4.028,6506496,8887296,-186000,9366,-31020
79440,-1.831,6506496,8887296,-186000,9366,-31020
79445,-1.587,6506496,8887296,-186000,9366,-31020
79450,1.099,6506496,8887296,-186000,9366,-31020
79455,3.052,6506496,8887296,-186000,9366,-31020
79460,1.831,6506496,8887296,-186000,9366,-31020
79465,-3.174,6506496,8887296,-186000,9366,-31020
79470,-7.446,6506496,8887296,-186000,9366,-31020
79475,3.662,6506496,8887296,-186000,9366,-31020
79480,5.249,6506496,8887296,-186000,9366,-31020
79485,-0.366,6506496,8887296,-186000,9366,-31020
79490,-2.686,6506496,8887296,-186000,9366,-31020
79495,-1.221,6506496,8887296,-186000,9366,-31020
79500,-1.221,6506496,8887296,-186000,9366,-31020
79505,-1.953,6506496,8887296,-186000,9366,-31020
79510,-1.587,6506496,8887296,-186000,9366,-31020
79515,-3.540,6506496,8887296,-186000,9366,-31020
79520,1.343,6506496,8887296,-186000,9366,-31020
79525,-3.906,6506496,8887296,-186000,9366,-31020
79530,0.732,6506496,8887296,-186000,9366,-31020
79535,3.052,6506496,8887296,-186000,9366,-31020
79540,-0.366,6506496,8887296,-186000,9366,-31020
79545,-4.028,6506496,8887296,-186000,9366,-31020
79550,-2.930,6506496,8887296,-186000,9366,-31020
79555,1.343,6506496,8887296,-186000,9366,-31020
79560,-0.488,6506496,8887296,-186000,9366,-31020
79565,-1.709,6506496,8887296,-186000,9366,-31020
79570,-2.319,6506496,8887296,-186000,9366,-31020
79575,0.977,0,8192,-640,-3,2347
79580,-0.488,0,8192,-640,-8,940
79585,3.174,0,8192,-640,-11,-193
79590,-3.418,0,12288,-960,-16,1741
79595,-1.831,0,11264,-880,-19,1797
79600,-0.732,0,12288,-960,-23,2464
79605,-1.709,0,10240,-800,-27,622
79610,2.441,0,7168,-560,-31,-1476
79615,-0.977,0,9216,-720,-35,-841
79620,9.033,0,2048,-160,-38,-4042
79625,-5.615,0,15360,-1200,-42,1384
79630,-2.808,0,12288,-960,-46,-46
79635,-0.732,0,9216,-720,-50,-1018
79640,-6.226,0,12288,-960,-53,1090
79645,3.174,0,9216,-720,-57,-20
79650,-1.099,0,9216,-720,-61,657
79655,-1.343,0,12288,-960,-64,1746
79660,-6.470,0,12288,-960,-68,1528
79665,3.296,0,6144,-480,-72,-1389
79670,-0.977,0,11264,-880,-76,776
79675,3.906,0,11264,-880,-80,-183
79680,-4.272,0,10240,-800,-84,-455
79685,-3.906,0,13312,-1040,-88,1312
79690,1.587,0,9216,-720,-92,-179
79695,0.854,0,11264,-880,-97,252
79700,-2.686,0,9216,-720,-100,189
79706,1.343,0,5120,-400,-104,-1918
79711,-2.930,0,11264,-880,-107,1664
79716,-3.540,0,3072,-240,-110,-2025
79721,-6.836,0,4096,-320,-112,-1101
79726,0.366,0,-1024,80,-114,-3160
79731,-4.517,0,9216,-720,-119,-390
79736,-2.686,0,-5120,400,-122,-4904
79741,1.587,0,6144,-480,-124,1063
79746,0.122,0,21504,-1680,-131,4838
79751,5.859,0,23552,-1840,-140,3082
79756,-6.104,0,0,0,-142,-4685
79761,1.221,0,-4096,320,-137,-865
79766,-6.714,0,15360,-1200,-136,8708
79771,-5.615,0,28672,-2240,-144,9631
79776,-4.028,0,12288,-960,-152,628
79781,-3.906,0,14336,-1120,-155,2716
79786,-7.202,0,7168,-560,-159,-727
79791,8.057,0,27648,-2160,-168,4220
79796,-2.197,0,-10240,800,-171,-11391
79801,-3.296,0,2048,-160,-169,-1454
79806,-1.343,0,-7168,560,-165,-2049
79811,-7.812,0,22528,-1760,-169,9723
79816,-6.104,0,14336,-1120,-176,2166
79821,1.831,0,12288,-960,-179,3199
79826,-16.357,0,-8192,640,-177,-2944
79831,-0.244,0,19456,-1520,-181,4600
79836,-8.301,0,7168,-560,-184,155
79841,3.540,0,-3072,240,-185,-3190
79846,-5.005,0,1024,-80,-185,-1746
79851,-1.343,0,29696,-2320,-191,9925
79856,2.441,0,12288,-960,-198,-232
79861,-4.883,0,26624,-2080,-205,5919
79866,10.132,0,8192,-640,-212,-4685
79871,0.977,0,22528,-1760,-223,-2116
79876,-17.456,0,31744,-2480,-230,4572
79881,0.122,0,7168,-560,-238,-5821
79886,-7.812,0,-1024,80,-241,-6851
79891,1.953,0,-2048,160,-241,-4177
79896,-13.916,0,13312,-1040,-240,4764
79901,0.488,0,3072,-240,-239,1242
79906,-4.150,0,13312,-1040,-239,6347
79911,-3.418,0,3072,-240,-241,597
79916,2.808,0,5120,-400,-243,523
79921,-3.174,0,13312,-1040,-246,5261
79926,9.644,0,0,0,-251,-4581
79931,-2.441,0,12288,-960,-255,992
79936,-0.244,0,10240,-800,-258,427
79941,-2.075,0,7168,-560,-261,-909
79946,-1.953,0,9216,-720,-265,17
79951,2.441,0,5120,-400,-268,-695
79956,2.930,0,1024,-80,-269,-1062
79961,0.488,0,2048,-160,-270,1604
79966,1.587,0,18432,-1440,-272,8377
79971,1.099,0,23552,-1840,-276,8266
79976,1.221,0,13312,-1040,-282,1027
79981,-3.296,0,12288,-960,-286,1669
79986,-6.348,0,13312,-1040,-289,2378
79991,-4.150,0,10240,-800,-292,1595
79996,4.272,0,5120,-400,-296,-1755
80001,4.883,0,1024,-80,-297,-2300
80006,-0.244,0,6144,-480,-299,170
80011,5.127,0,-1024,80,-301,-4470
80016,0.610,0,5120,-400,-304,-938
80021,2.808,0,4096,-320,-306,-877
80026,5.005,0,5120,-400,-309,-717
80031,-1.953,0,10240,-800,-311,1674
80036,-1.343,0,14336,-1120,-314,3130
80041,5.249,0,-5120,400,-318,-5746
80046,-4.761,0,19456,-1520,-320,5901
80051,10.986,0,-1024,80,-324,-5058
80056,-1.709,0,17408,-1360,-328,2192
80061,4.639,0,8192,-640,-334,-2861
80066,-9.521,0,16384,-1280,-336,4037
80071,6.226,0,9216,-720,-342,-821
80076,1.343,0,1024,-80,-344,-3720
80081,1.465,0,10240,-800,-350,-99
80086,0.854,0,4096,-320,-352,-2298
80091,1.099,0,15360,-1200,-356,2768
80096,-6.104,0,3072,-240,-358,-1269
80101,-3.784,0,19456,-1520,-362,5071
80106,1.343,0,-5120,400,-365,-5638
80111,-2.930,0,15360,-1200,-368,3636
80117,-5.737,0,2048,-160,-371,-1831
80122,-5.493,0,23552,-1840,-374,7775
80127,9.033,0,-9216,720,-378,-8513
80132,-13.184,0,21504,-1680,-380,6761
80137,0.122,0,1024,-80,-386,-4032
80142,-1.465,0,15360,-1200,-388,3167
80147,8.545,0,-3072,240,-392,-6850
80152,-3.906,0,5120,-400,-393,-810
80157,5.859,0,-2048,160,-397,-5655
80162,-9.888,0,20480,-1600,-399,6344
80167,12.695,0,-9216,720,-404,-9273
80172,-9.399,0,11264,-880,-403,2656
80177,7.568,0,1024,-80,-407,-4090
80182,-3.418,0,11264,-880,-408,2363
80187,4.517,0,2048,-160,-414,-4369
80192,1.221,0,13312,-1040,-417,2527
80197,7.446,0,1024,-80,-423,-6413
80202,-8.423,0,19456,-1520,-425,5818
80207,9.277,0,-17408,1360,-429,-11999
80212,-11.230,0,19456,-1520,-430,6207
80217,1.831,0,-15360,1200,-431,-9716
80222,2.930,0,10240,-800,-434,1221
80227,-5.737,0,-3072,240,-433,-2060
80232,4.639,0,-2048,160,-436,-3939
80237,-4.883,0,20480,-1600,-436,7355
80242,-7.080,0,2048,-160,-440,328
80247,-6.470,0,3072,-240,-441,-1518
80252,-1.831,0,-6144,480,-442,-6846
80257,-0.244,0,2048,-160,-443,-1729
80262,-3.418,0,11264,-880,-442,4227
80267,6.470,0,-6144,480,-443,-3577
80272,3.418,0,12288,-960,-446,3505
80277,-3.052,0,-3072,240,-445,-3067
80282,16.724,0,-20480,1600,-447,-15593
80287,-1.465,0,14336,-1120,-446,4298
80292,3.174,0,-10240,800,-441,-2433
80297,12.573,0,-34816,2720,-439,-13148
80302,0.732,0,7168,-560,-434,7783
80307,-6.348,0,-11264,880,-429,-279
80312,6.836,0,-15360,1200,-430,-5559
80317,-5.981,0,17408,-1360,-426,11997
80322,-10.864,0,-15360,1200,-422,-3089
80327,-1.343,0,-8192,640,-422,-1226
80332,-3.540,0,8192,-640,-415,11768
80337,-4.395,0,-24576,1920,-408,-2038
80342,8.789,0,-27648,2160,-406,-9494
80347,-0.366,0,5120,-400,-400,7996
80352,-7.080,0,-18432,1440,-389,1260
80357,11.597,0,-58368,4560,-383,-18903
80362,10.864,0,-22528,1760,-372,346
80367,-10.254,0,-25600,2000,-351,6124
80372,1.221,0,-81920,6400,-330,-16442
80377,23.193,0,-82944,6480,-312,-20612
80382,14.893,0,-29696,2320,-287,11799
80387,-12.329,0,-28672,2240,-257,19455
80392,-4.517,0,-92160,7200,-234,-12927
80397,22.949,0,-106496,8320,-214,-23091
80402,19.409,0,-50176,3920,-185,6335
80407,-8.911,0,-34816,2720,-147,21669
80412,-7.324,0,-113664,8880,-110,-12500
80417,25.024,0,-159744,12480,-75,-41321
80422,28.198,0,-111616,8720,-38,-16178
80427,23.560,0,-76800,6000,3,9387
80432,-4.272,0,-40960,3200,48,32101
80437,-24.780,0,-88064,6880,93,11460
80442,-3.784,0,-159744,12480,135,-21095
80447,14.893,0,-181248,14160,178,-31349
80452,33.203,0,-161792,12640,228,-19962
80457,26.855,0,-119808,9360,287,4829
80462,4.517,0,-107520,8400,353,17955
80467,-29.053,0,-129024,10080,422,17888
80472,-25.513,0,-194560,15200,492,-12754
80477,0.244,0,-228352,17840,564,-29943
80482,14.893,0,-243712,19040,638,-38562
80487,34.058,0,-253952,19840,712,-37726
80492,50.049,0,-212992,16640,786,-17391
80497,26.733,0,-154624,12080,859,13715
80502,5.493,0,-112640,8800,927,29905
80507,5.005,0,-97280,7600,989,36457
80513,-8.057,0,-97280,7600,1044,26937
80518,-22.217,0,-104448,8160,1098,17540
80523,-20.752,0,-154624,12080,1154,-1941
80528,6.592,0,-202752,15840,1214,-23797
80533,7.690,0,-217088,16960,1277,-29692
80538,33.203,0,-214016,16720,1341,-28221
80543,37.720,0,-198656,15520,1407,-17448
80548,26.001,0,-180224,14080,1481,1199
80553,30.151,0,-176128,13760,1562,14267
80558,18.799,0,-191488,14960,1651,15735
80563,12.939,0,-194560,15200,1742,16993
80568,-0.244,0,-212992,16640,1842,16143
80573,-8.545,0,-275456,21520,1952,-6629
80578,0.366,0,-331776,25920,2074,-21322
80583,29.541,0,-405504,31680,2209,-44147
80588,19.897,0,-442368,34560,2360,-45177
80593,48.706,0,-494592,38640,2526,-52668
80598,60.669,0,-488448,38160,2703,-35345
80603,55.420,0,-505856,39520,2889,-24267
80608,51.025,0,-492544,38480,3082,-10028
80613,45.654,0,-473088,36960,3278,7283
80618,28.320,0,-452608,35360,3477,22475
80623,7.080,0,-438272,34240,3673,27205
80628,10.864,0,-465920,36400,3864,14790
80633,3.784,0,-479232,37440,4054,1337
80638,4.883,0,-498688,38960,4240,-12544
80643,20.386,0,-490496,38320,4421,-13599
80648,36.133,0,-481280,37600,4599,-12173
80653,31.860,0,-456704,35680,4775,-2632
80658,35.156,0,-428032,33440,4943,5690
80663,22.705,0,-397312,31040,5107,14488
80668,13.184,0,-375808,29360,5261,17294
80673,19.409,0,-360448,28160,5403,13520
80678,31.128,0,-337920,26400,5529,1910
80683,38.940,0,-291840,22800,5644,12484
80688,34.912,0,-254976,19920,5747,17042
80693,12.451,0,-191488,14960,5838,34882
80698,17.700,0,-143360,11200,5916,40544
80703,-3.540,0,-100352,7840,5982,48987
80708,-20.020,0,-91136,7120,6037,40469
80713,-25.269,0,-98304,7680,6079,22671
80718,-21.240,0,-126976,9920,6112,-9275
80723,-0.244,0,-118784,9280,6138,-19592
80728,30.518,0,-118784,9280,6159,-27131
80733,34.058,0,-74752,5840,6178,-10164
80738,25.269,0,-11264,880,6194,14972
80743,6.836,0,25600,-2000,6207,34787
80748,-12.451,0,22528,-1760,6220,29549
80753,-29.785,0,-15360,1200,6237,12782
80758,-5.371,0,-99328,7760,6259,-28178
80763,-3.784,0,-128000,10000,6286,-38709
80768,12.817,0,-156672,12240,6319,-42669
80773,32.104,0,-147456,11520,6355,-35693
80778,41.138,0,-113664,8880,6397,-16180
80783,18.677,0,-60416,4720,6440,16118
80788,-8.179,0,-40960,3200,6487,31521
80794,-35.156,0,-58368,4560,6533,24732
80799,-20.142,0,-112640,8800,6577,-2539
80804,-21.362,0,-117760,9200,6618,-11349
80809,1.831,0,-157696,12320,6657,-33937
80814,20.508,0,-171008,13360,6696,-34481
80819,29.541,0,-142336,11120,6737,-21089
80824,37.354,0,-105472,8240,6781,-4290
80829,6.836,0,-67584,5280,6830,21469
80834,-8.789,0,-76800,6000,6882,20626
80839,-19.287,0,-104448,8160,6936,12046
80844,-22.339,0,-126976,9920,6993,3992
80849,-7.568,0,-156672,12240,7048,-7119
80854,0.977,0,-169984,13280,7099,-14918
80859,23.193,0,-161792,12640,7146,-17922
80864,25.513,0,-116736,9120,7189,587
80869,16.602,0,-59392,4640,7229,22698
80874,-3.174,0,-40960,3200,7268,42127
80879,-15.869,0,-50176,3920,7305,29048
80884,-19.775,0,-84992,6640,7340,3455
80889,-15.137,0,-105472,8240,7374,-10940
80894,2.441,0,-142336,11120,7407,-26148
80899,21.973,0,-149504,11680,7442,-29462
80904,41.504,0,-128000,10000,7479,-19906
80909,19.287,0,-66560,5200,7518,11398
80914,4.517,0,-36864,2880,7558,28861
80919,-14.893,0,-57344,4480,7603,26530
80924,-12.329,0,-82944,6480,7650,14822
80929,-16.968,0,-131072,10240,7700,-3125
80934,-1.465,0,-178176,13920,7752,-23771
80939,15.991,0,-204800,16000,7807,-39621
80944,29.785,0,-192512,15040,7864,-27568
80949,25.391,0,-149504,11680,7923,-3839
80954,23.804,0,-118784,9280,7982,10201
80959,11.475,0,-95232,7440,8039,27417
80964,-3.906,0,-83968,6560,8092,30009
80969,-6.226,0,-97280,7600,8140,17390
80974,0.977,0,-101376,7920,8182,9120
80979,-2.686,0,-93184,7280,8218,6354
