R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,GparamC,AparamC,KFQAng,KFQbias,KFRmeas
40,1,48,40,1,40,200,0,0,0,0,0,2147483648,10000000,10.0,64.0,0.000100,0.003000,50,
sysTickMs,GRawXi,PIDRefXi,PIDSensXi,PIDPoutXi,PIDIoutXi,PIDDoutXi
170967,-3.296,0,1038336,-81120,15999,-169072
170972,-5.371,0,1038336,-81120,15999,-169072
170977,1.099,0,1038336,-81120,15999,-169072
170982,-3.540,0,1038336,-81120,15999,-169072
170987,7.324,0,1038336,-81120,15999,-169072
170992,-2.808,0,1038336,-81120,15999,-169072
170997,3.540,0,1038336,-81120,15999,-169072
171002,-2.075,0,1038336,-81120,15999,-169072
171007,0.610,0,1038336,-81120,15999,-169072
171012,-5.615,0,1038336,-81120,15999,-169072
171017,5.249,0,1038336,-81120,15999,-169072
171022,12.085,0,1038336,-81120,15999,-169072
171027,-2.563,0,1038336,-81120,15999,-169072
171032,1.221,0,1038336,-81120,15999,-169072
171037,-2.197,0,1038336,-81120,15999,-169072
171042,-0.122,0,7168,-560,-1,4002
171047,2.686,0,7168,-560,-4,1795
171052,-8.789,0,12288,-960,-7,3641
171057,-3.052,0,7168,-560,-9,198
171062,3.418,0,9216,-720,-13,573
171067,2.441,0,6144,-480,-16,-762
171072,4.028,0,6144,-480,-20,-479
171077,-3.052,0,9216,-720,-23,935
171082,-4.517,0,11264,-880,-26,3062
171087,-3.052,0,4096,-320,-28,206
171092,1.343,0,8192,-640,-32,667
171097,1.831,0,7168,-560,-35,-794
171102,1.465,0,7168,-560,-39,-758
171107,-3.418,0,8192,-640,-42,-80
171112,0.977,0,10240,-800,-46,1639
171117,-2.930,0,9216,-720,-49,1140
171122,-3.418,0,7168,-560,-53,-629
171127,1.343,0,8192,-640,-56,-541
171132,3.906,0,5120,-400,-60,-3272
171137,3.906,0,9216,-720,-63,-1160
171142,1.343,0,10240,-800,-67,549
171147,-3.540,0,9216,-720,-71,-5
171152,-3.784,0,10240,-800,-74,1016
171157,4.517,0,4096,-320,-77,-3210
171162,-3.418,0,12288,-960,-81,792
171167,11.597,0,11264,-880,-87,-867
171172,3.784,0,12288,-960,-94,-5017
171177,-5.615,0,-6144,480,-96,-10621
171182,-2.563,0,-6144,480,-93,-5761
171187,-4.395,0,12288,-960,-92,6233
171192,1.831,0,12288,-960,-98,3036
171197,5.249,0,-2048,160,-100,-4060
171202,-3.418,0,-19456,1520,-95,-8871
171207,-3.418,0,0,0,-91,4454
171212,-6.226,0,20480,-1600,-94,12535
171217,0.000,0,22528,-1760,-104,6206
171222,5.005,0,1024,-80,-109,-7285
171227,-6.470,0,-12288,960,-105,-6793
171232,-2.808,0,9216,-720,-103,6163
171237,0.366,0,26624,-2080,-111,9727
171242,7.202,0,10240,-800,-118,-2347
171247,7.568,0,-6144,480,-118,-8027
171252,1.587,0,-4096,320,-116,-3576
171257,-1.099,0,6144,-480,-119,-272
171262,5.493,0,7168,-560,-126,-2137
171267,1.343,0,2048,-160,-128,-2302
171272,0.610,0,10240,-800,-130,3273
171277,0.488,0,-10240,800,-131,-7902
171282,1.221,0,19456,-1520,-133,7981
171287,10.010,0,20480,-1600,-138,6280
171292,-5.371,0,29696,-2320,-143,10743
171297,3.540,0,7168,-560,-148,-2769
171302,-9.399,0,12288,-960,-149,4463
171308,0.122,0,11264,-880,-151,5185
171313,-1.099,0,-7168,560,-152,-4363
171318,-5.249,0,24576,-1920,-152,13953
171323,-15.991,0,15360,-1200,-153,8262
171328,5.493,0,20480,-1600,-159,7393
171333,-5.371,0,2048,-160,-161,-1643
171338,-5.371,0,23552,-1840,-166,8516
171343,2.930,0,24576,-1920,-177,4083
171348,5.859,0,6144,-480,-184,-6002
171353,-11.963,0,6144,-480,-185,-1876
171358,-1.709,0,29696,-2320,-192,8547
171363,-0.610,0,8192,-640,-201,-4277
171368,-13.428,0,24576,-1920,-205,6728
171373,-6.104,0,23552,-1840,-212,5224
171378,-3.052,0,17408,-1360,-219,1688
171383,-2.441,0,20480,-1600,-225,5334
171388,-4.517,0,13312,-1040,-230,1082
171393,0.366,0,8192,-640,-233,-965
171398,-3.540,0,18432,-1440,-236,5302
171403,3.662,0,12288,-960,-241,267
171408,4.028,0,4096,-320,-245,-3096
171413,8.301,0,4096,-320,-249,-4496
171418,0.977,0,0,0,-254,-7012
171423,-5.981,0,16384,-1280,-258,2803
171428,-10.254,0,31744,-2480,-265,11394
171433,2.441,0,20480,-1600,-271,3605
171438,5.249,0,21504,-1680,-277,3793
171443,-5.005,0,18432,-1440,-283,3475
171448,5.981,0,25600,-2000,-288,9346
171453,6.836,0,22528,-1760,-294,6643
171458,-4.517,0,21504,-1680,-301,4965
171463,2.319,0,20480,-1600,-307,3253
171468,1.709,0,15360,-1200,-315,-97
171473,5.615,0,6144,-480,-321,-5247
171478,-3.174,0,15360,-1200,-327,170
171483,0.732,0,14336,-1120,-333,730
171488,3.418,0,8192,-640,-338,-2465
171493,-3.662,0,19456,-1520,-343,4584
171498,5.005,0,11264,-880,-349,-1873
171503,-6.226,0,12288,-960,-353,999
171508,3.662,0,15360,-1200,-359,1265
171513,-6.836,0,3072,-240,-364,-4844
171518,5.249,0,16384,-1280,-370,1457
171523,-0.854,0,9216,-720,-378,-3228
171528,3.540,0,18432,-1440,-385,1788
171533,-0.854,0,10240,-800,-392,-2434
171538,-3.662,0,16384,-1280,-398,-397
171543,2.808,0,11264,-880,-406,-5176
171548,1.099,0,13312,-1040,-410,-1333
171553,-3.296,0,9216,-720,-418,-4457
171558,-2.197,0,29696,-2320,-424,7499
171563,-0.977,0,3072,-240,-432,-9295
171568,-7.080,0,24576,-1920,-438,4552
171573,-7.080,0,19456,-1520,-444,1703
171578,14.526,0,8192,-640,-450,-5943
