R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha,iRelaxX,IRelaxY,DmaxR,DmaxE,DMx,DMy
58,80,47,58,80,47,250,0,0,0,100,0,500000,3000000,10,1,1000,0,0,0,0,0,0,0,0,0.995,1020,1024,0,0,0,0
sysTickMs,PIDRefXi,PIDSensXi,PIDPoutXi,PIDIoutXi,PIDDoutXi,PIDFFoutXi
47518,6144,-33536000,7599392,500000,-173,-954
47528,6144,-33536000,7599392,500000,-173,-954
47538,6144,-33536000,7599392,500000,-173,-954
47548,6144,-33536000,7599392,500000,-173,-954
47558,6144,-33536000,7599392,500000,-173,-954
47568,6144,-33536000,7599392,500000,-173,-954
47578,6144,-33536000,7599392,500000,-173,-954
47588,6144,-33536000,7599392,500000,-173,-954
47598,6144,-33536000,7599392,500000,-173,-954
47608,6144,-33536000,7599392,500000,-173,-954
47618,6144,-33536000,7599392,500000,-173,-954
47628,6144,-33536000,7599392,500000,-173,-954
47638,6144,-33536000,7599392,500000,-173,-954
47648,6144,-33536000,7599392,500000,-173,-954
47658,6144,-33536000,7599392,500000,-173,-954
47668,6144,-33536000,7599392,500000,-173,-954
47678,6144,-33536000,7599392,500000,-173,-954
47688,6144,-33536000,7599392,500000,-173,-954
47698,6144,-33536000,7599392,500000,-173,-954
47708,6144,-33536000,7599392,500000,-173,-954
47718,6144,-33536000,7599392,500000,-173,-954
47728,6144,-33536000,7599392,500000,-173,-954
47738,6144,-33536000,7599392,500000,-173,-954
47748,6144,-33536000,7599392,500000,-173,-954
47758,6144,-33536000,7599392,500000,-173,-954
47768,6144,-33536000,7599392,500000,-173,-954
47778,6144,-33536000,7599392,500000,-173,-954
47788,6144,-33536000,7599392,500000,-173,-954
47798,6144,-33536000,7599392,500000,-173,-954
47808,6144,-33536000,7599392,500000,-173,-954
47818,6144,-33536000,7599392,500000,-173,-954
47828,6144,-33536000,7599392,500000,-173,-954
47838,6144,-33536000,7599392,500000,-173,-954
47848,6144,-33536000,7599392,500000,-173,-954
47858,6144,-33536000,7599392,500000,-173,-954
47868,6144,-33536000,7599392,500000,-173,-954
47878,6144,-33536000,7599392,500000,-173,-954
47888,6144,-33536000,7599392,500000,-173,-954
47898,6144,-33536000,7599392,500000,-173,-954
47908,6144,-33536000,7599392,500000,-173,-954
47918,6144,-33536000,7599392,500000,-173,-954
47928,6144,-33536000,7599392,500000,-173,-954
47938,6144,-33536000,7599392,500000,-173,-954
47948,6144,-33536000,7599392,500000,-173,-954
47958,6144,-33536000,7599392,500000,-173,-954
47968,6144,-33536000,7599392,500000,-173,-954
47978,6144,-33536000,7599392,500000,-173,-954
47988,6144,-33536000,7599392,500000,-173,-954
47998,6144,-33536000,7599392,500000,-173,-954
48008,6144,-33536000,7599392,500000,-173,-954
48018,6144,-33536000,7599392,500000,-173,-954
48028,6144,-33536000,7599392,500000,-173,-954
48038,6144,-33536000,7599392,500000,-173,-954
48048,6144,-33536000,7599392,500000,-173,-954
48058,6144,-33536000,7599392,500000,-173,-954
48068,6144,-33536000,7599392,500000,-173,-954
48078,6144,-33536000,7599392,500000,-173,-954
48088,6144,-33536000,7599392,500000,-173,-954
48098,6144,-33536000,7599392,500000,-173,-954
48108,0,11264,-2552,-19,7665,-2778
48118,0,8192,-1856,-93,883,-733
48128,0,5120,-1160,-155,-1653,-217
48138,0,8192,-1856,-227,-276,-77
48148,0,5120,-1160,-294,-2731,-46
48158,0,11264,-2552,-368,1778,-46
48168,0,4096,-928,-439,-3431,-46
48178,0,4096,-928,-498,-2892,-46
48188,0,6144,-1392,-553,-769,-46
48198,0,8192,-1856,-607,722,-46
48208,0,7168,-1624,-655,849,-46
48218,0,7168,-1624,-696,1319,-46
48228,0,5120,-1160,-728,11,-46
48238,0,32768,-7424,-862,13069,-46
48248,0,-2048,464,-890,-7861,-46
48258,0,32768,-7424,-773,19185,-46
48268,0,-1024,232,-976,-14103,-46
48278,0,0,0,-1053,-9582,-46
48288,0,-15360,3480,-1080,-17029,-46
48298,0,21504,-4872,-1177,-3707,-46
48308,0,-10240,2320,-1068,-9800,-46
48318,0,30720,-6960,-1175,13012,-46
48328,0,-3072,696,-1241,-9616,-46
48338,0,13312,-3016,-1352,-276,-46
48348,0,-1024,1392,-1489,-16444,-46
48358,0,-2048,464,-1528,-8870,-46
48368,0,24576,-5568,-1646,7378,-46
48378,0,-17408,3944,-1464,-13288,-46
48388,0,2048,-464,-1290,3442,-46
48398,0,4096,-928,-1151,4601,-46
48408,0,8192,-1856,-799,12564,-46
48418,0,-1024,232,-696,2409,-46
48428,0,-16384,3712,-647,-10442,-46
48438,0,-19456,4408,-589,-17637,-46
48448,0,-27648,6264,-375,-24338,-46
48458,0,-26624,6032,-171,-22342,-46
48468,0,13312,-3016,-73,9260,-46
48478,0,19456,-4408,-41,11382,-46
48488,0,-48128,10904,80,-28744,-46
48498,0,-24576,5568,160,-1871,-46
48508,0,55296,-12528,19,59208,-46
48518,0,16384,-3712,-142,10900,-46
48528,0,-56320,12760,70,-38360,-46
48539,0,6144,-1392,53,4853,-46
48549,0,43008,-9744,-72,29615,-46
48559,0,9216,4408,-47,-19875,-46
48569,0,-71680,16240,239,-36616,-46
48579,0,-45056,10208,265,-11326,-46
48589,0,-134144,30392,1039,-38899,-46
48599,0,-76800,17400,1614,-3810,-46
48609,0,14336,-3248,2100,55697,-46
48619,0,-94208,21344,2082,-45463,-46
48629,0,-1024,232,1964,13895,-46
48639,0,-3072,696,2242,26150,-46
48649,0,-113664,25752,2714,-40403,-46
48659,0,-123904,28072,3452,-27069,-46
48669,0,-172032,38976,4155,-61172,-46
48679,0,-162816,36888,4501,-69135,-46
48689,0,-98304,22272,4484,-38968,-46
48699,0,-117760,26680,4476,-60586,-46
48709,3072,-97280,22736,4765,-36949,360
48719,3072,-74752,17632,5553,-16616,79
48729,6144,-147456,34800,6552,-26897,552
48739,6144,-171008,40136,7695,-33449,128
48749,9216,-196608,46632,8747,-52394,305
48759,12288,-81920,21344,9791,28204,271
48769,33792,9216,5568,10297,109112,2661
