R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha,iRelaxX,IRelaxY,DmaxR,DmaxE,DMx,DMy
58,80,47,58,80,47,250,0,0,0,50,0,500000,3000000,10,1,1000,0,0,0,0,0,0,0,0,0.995,1024,1024,0,0,0,0
sysTickMs,PIDRefXi,PIDSensXi,PIDPoutXi,PIDIoutXi,PIDDoutXi,PIDFFoutXi
16732,0,0,0,0,0,0
16742,0,0,0,0,0,0
16752,0,0,0,0,0,0
16762,0,0,0,0,0,0
16772,0,0,0,0,0,0
16782,0,0,0,0,0,0
16792,0,0,0,0,0,0
16802,0,0,0,0,0,0
16812,0,0,0,0,0,0
16822,0,0,0,0,0,0
16832,0,0,0,0,0,0
16842,0,0,0,0,0,0
16852,0,0,0,0,0,0
16862,0,0,0,0,0,0
16872,0,0,0,0,0,0
16882,0,0,0,0,0,0
16892,0,0,0,0,0,0
16902,0,0,0,0,0,0
16912,0,0,0,0,0,0
16922,0,0,0,0,0,0
16932,0,0,0,0,0,0
16942,0,0,0,0,0,0
16952,0,0,0,0,0,0
16962,0,0,0,0,0,0
16972,0,0,0,0,0,0
16982,0,0,0,0,0,0
16992,0,0,0,0,0,0
17002,0,0,0,0,0,0
17012,0,0,0,0,0,0
17022,0,0,0,0,0,0
17032,0,0,0,0,0,0
17042,0,0,0,0,0,0
17052,0,0,0,0,0,0
17062,0,0,0,0,0,0
17072,0,0,0,0,0,0
17082,0,0,0,0,0,0
17092,0,0,0,0,0,0
17102,0,0,0,0,0,0
17112,0,0,0,0,0,0
17122,0,0,0,0,0,0
17132,0,0,0,0,0,0
17142,0,0,0,0,0,0
17152,0,0,0,0,0,0
17162,0,0,0,0,0,0
17172,0,0,0,0,0,0
17182,0,0,0,0,0,0
17192,0,0,0,0,0,0
17202,0,0,0,0,0,0
17212,0,0,0,0,0,0
17222,0,0,0,0,0,0
17232,0,0,0,0,0,0
17242,0,0,0,0,0,0
17252,0,0,0,0,0,0
17262,0,0,0,0,0,0
17272,0,0,0,0,0,0
17282,0,0,0,0,0,0
17292,0,0,0,0,0,0
17302,0,0,0,0,0,0
17312,0,0,0,0,0,0
17322,0,0,0,0,0,0
17332,0,0,0,0,0,0
17342,0,0,0,0,0,0
17352,0,0,0,0,0,0
17362,0,0,0,0,0,0
17372,0,0,0,0,0,0
17382,0,0,0,0,0,0
17392,0,0,0,0,0,0
17402,0,0,0,0,0,0
17412,0,0,0,0,0,0
17422,0,8192,-1856,-31,3798,0
17432,0,2048,-464,-87,-2536,0
17442,0,3072,-696,-129,-1595,0
17453,0,7168,-1624,-174,1067,0
17463,0,9216,-2088,-240,1021,0
17473,0,8192,-1856,-316,-609,0
17483,0,7168,-1624,-375,-482,0
17493,0,9216,-2088,-439,860,0
17503,0,11264,-2552,-510,2249,0
17513,0,4096,-928,-552,-1630,0
17523,0,6144,-1392,-590,906,0
17533,0,8192,-1856,-647,1193,0
17543,0,8192,-1856,-724,-505,0
17553,0,-4096,928,-760,-7482,0
17563,0,11264,-2552,-856,206,0
17573,0,-1024,232,-887,-7654,0
17583,0,17408,-3944,-951,5220,0
17593,0,-10240,2320,-943,-11051,0
17603,0,4096,-928,-957,-1894,0
17613,0,8192,-1856,-1073,-2686,0
17623,0,-7168,1624,-1064,-8549,0
17633,0,9216,-2088,-1069,826,0
17643,0,-3072,696,-1157,-8997,0
17653,0,35840,-5800,-1156,11256,0
17663,0,-2048,464,-1251,-9479,0
17673,0,8192,-1856,-1189,2294,0
17683,0,22528,-5104,-1366,3981,0
17693,0,7168,-1624,-1493,-7413,0
17703,0,25600,-5800,-1652,4566,0
17713,0,1024,-232,-1734,-7907,0
17723,0,-1024,232,-1787,-7241,0
17733,0,35840,-8120,-1647,22845,0
17743,0,36864,-8352,-1752,17452,0
17753,0,22528,-5104,-1746,10866,0
17763,0,9216,-2088,-1760,2650,0
17773,0,4096,-928,-1741,-1859,0
17783,0,-11264,-2552,-1746,1985,0
17793,0,-2048,464,-1840,-9915,0
17803,0,5120,-1160,-1990,-7000,0
17813,0,2048,-464,-2162,-12370,0
17823,0,100352,-22736,-2514,47895,0
17833,0,39936,2784,-2963,-48584,0
17843,0,-24576,5568,-2770,-41286,0
17853,0,35840,-8120,-2957,4566,0
17863,0,33792,-7656,-3136,4291,0
17873,0,34816,-7888,-3391,1790,0
17883,0,86016,-19488,-3953,-8859,0
17893,0,144384,-32712,-4642,48158,0
17903,0,122880,-27840,-5391,25209,0
17913,0,96256,-21808,-6118,2547,0
17923,0,34816,-7888,-6710,-32554,0
17933,0,40960,-9280,-7090,-13885,0
17943,0,52224,-11832,-7443,1514,0
17953,0,150528,-34104,-7861,68652,0
17963,0,68608,-15544,-8127,15330,0
17973,0,-24576,5568,-8095,-35285,0
17983,0,17408,-3944,-7654,13551,0
17993,0,-104448,23664,-5485,-44579,0
18003,0,-66560,15080,-3069,-3317,0
18013,0,44032,-9976,-2248,57946,0
18023,0,121856,-27608,-1613,92967,0
18033,0,19456,-4408,-1607,-13208,0
18043,0,-19456,4408,-1877,-49032,0
18053,0,9216,-2088,-1986,-12600,0
18063,0,-37888,8584,-1579,-39875,0
18073,0,30720,-6960,-899,29248,0
18083,0,114688,-25984,-937,65921,0
18093,0,63488,-14384,-1257,16098,0
18103,0,23552,-5336,-1573,-11188,0
18113,0,-34816,7888,-1410,37831,0
18123,0,53248,-12064,-955,33264,0
18133,0,-40960,9280,-234,-25600,0
18143,3072,-99328,23200,149,-58532,120
18153,6144,-98304,23664,550,-43501,108
18163,101376,-69632,38744,1575,-2525,5101
18173,135168,-44032,40600,3240,25255,2700
18183,208896,-66560,62408,4992,-2146,6118
18193,246784,-50176,67280,6784,-20219,3831
18203,246784,53248,43848,8234,10281,979
18213,327680,174080,34800,9654,50442,2998
18223,327680,200704,28768,10720,28020,814
18233,384000,187392,44544,11981,-8159,2377
18243,401408,254976,33176,13383,29225,1130
18253,401408,321536,18096,14616,57120,279
18263,432128,374784,12992,15721,75743,1176
18273,447488,339968,24360,16618,22398,1446
18283,447488,299008,33640,17472,-28779,364
18293,447488,316416,29696,18172,-49846,85
18303,545792,304128,54752,18771,-54643,7257
18313,545792,374784,38744,19939,-16903,1863
18323,631808,476160,35264,21359,35077,7102
18333,701440,584704,26448,22844,82181,4067
18343,701440,628736,16472,24178,76581,1040
18353,801792,678912,27840,25594,53896,3668
18363,912384,696320,48952,26874,32737,8641
18373,974848,713728,59160,28637,3407,5149
18383,1094656,730112,82592,30206,-22330,12835
18393,1094656,819200,62408,32283,2042,3302
18403,1094656,919552,39672,33785,32392,843
18413,1138688,1021952,26448,34671,45531,4423
18423,1138688,1098752,9048,35410,51784,1130
18433,1127424,1134592,-1624,35608,24245,-213
18443,1127424,1177600,-11368,35072,38875,-66
18453,1094656,1191936,-22040,33703,31589,-2149
18463,1094656,1207296,-25520,31207,14182,-565
18473,816128,1195008,-85840,27229,3121,-25066
18483,794624,1156096,-81896,13966,-38326,-7778
18493,801792,1090560,-65424,1689,-73897,-1810
18503,839680,1028096,-42688,-2420,-75848,732
18513,839680,1047552,-47096,-4061,-6220,180
18523,939008,989184,-11368,-4203,5530,4408
18533,939008,916480,5104,-2925,-6472,1129
18543,1003520,873472,29464,-361,-17809,4219
18553,1003520,845824,35728,910,-34987,1078
18563,984064,946176,8584,1354,20987,-313
18573,965632,939008,6032,1021,-7780,-1214
18583,929792,965632,-8120,-302,-10878,-1798
18593,787456,964608,-40136,-990,6288,-11654
18603,787456,993280,-46632,-2505,12243,-3214
18613,787456,966656,-40600,-3635,22145,-838
18623,636928,888832,-57072,-5203,10969,-4731
18633,560128,777216,-49184,-6699,-24855,-5602
18644,518144,749568,-52432,-8160,1009,-3394
18654,435200,641024,-46632,-9346,-25061,-7403
18664,435200,525312,-20416,-10454,-53357,-1915
18674,435200,439296,-928,-10975,-64247,-533
18684,337920,374784,-8352,-11087,-61895,-7790
18694,311296,306176,1160,-11715,-84683,-3666
18704,285696,291840,-1392,-12413,-70042,-2010
18714,259072,288768,-6728,-13065,-42743,-1272
18724,259072,254976,928,-13229,-39278,-359
18734,259072,268288,-2088,-12693,2042,-103
18744,147456,218112,-16008,-13297,9455,-3159
18754,92160,169984,-17632,-13781,-17924,-4026
18764,92160,131072,-8816,-14234,-19691,-1047
18774,52224,111616,-13456,-14065,-3489,-3434
18784,52224,55296,-696,-13585,-15985,-893
18794,49152,46080,696,-12440,-12359,-358
18804,43008,9216,7656,-10871,-1561,-280
18814,43008,-59392,23200,-8662,-36272,-83
18824,27648,-41984,15776,-6632,-18543,-625
18834,15360,-54272,15776,-4476,-21573,-1075
18844,15360,-11264,6032,-2610,15754,-303
18854,12288,-83968,21808,-314,-27390,-206
18864,12288,-136192,33640,785,-45256,-63
18874,12288,-134144,33176,1632,-27930,-23
18884,12288,-128000,31784,2510,-26048,-23
18894,6144,-123904,29464,3376,-18612,-174
18904,3072,-109568,25520,4273,-1733,-222
18914,0,-108544,24592,5232,4612,-359
18924,0,-143360,32480,6129,-18050,-109
18934,0,-143360,32480,7141,-12347,-39
18944,0,-123904,28072,8209,6494,-23
18954,0,-100352,22736,9230,24762,-23
18964,0,-40960,9280,10179,60838,-23
18974,0,-87040,19720,10953,17877,-23
18984,0,-114688,25984,11787,-2479,-23
18994,0,-120832,27376,12820,5783,-23
19004,0,-108544,24592,14017,31256,-23
19014,0,-99328,22504,15333,47642,-23
19024,0,-101376,22968,16605,44911,-23
19034,0,-182272,41296,17830,-14321,-23
19044,0,-153600,34800,19202,13000,-23
19054,0,-172032,38976,20576,4383,-23
19064,0,-150528,34104,21913,14377,-23
19074,0,-158720,35960,23082,-4315,-23
19084,0,-166912,37816,24081,-21997,-23
19094,0,-138240,31320,25094,-8056,-23
19104,0,-99328,22504,25989,13230,-23
19114,-4096,-114688,25056,26843,-4762,-210
19124,-4096,-99328,21576,27610,2398,-66
19134,-4096,-110592,24128,28472,-3925,-25
19144,-4096,-122880,26912,29324,-14034,-23
19154,-4096,-70656,15080,30155,25427,-23
19164,-4096,-49152,10208,31106,46001,-23
19174,-4096,-57344,12064,32048,45267,-23
19184,-4096,-80896,17400,33011,26942,-23
19194,-4096,-50176,10440,33960,36971,-23
19204,-4096,-51200,10672,34769,39208,-23
19214,-7168,-27648,4640,35430,44349,-115
19224,-7168,-60416,12064,35932,11417,-40
19234,-13312,-92160,17864,36416,-9375,-287
19244,-37888,-108544,16008,36859,-12749,-2143
19254,-50176,-129024,17864,36981,-22823,-1345
19264,-50176,-87040,8352,37360,15146,-355
19274,-68608,-104448,8120,37844,13379,-1047
19284,-68608,-120832,11832,38399,10005,-280
19294,-77824,-148480,16008,39045,1135,-461
19304,-87040,-138240,11600,39670,20700,-428
19314,-102400,-71680,-6960,40082,72358,-992
19324,-117760,-65536,-11832,40095,71268,-898
19334,-130048,-119808,-2320,40371,34630,-1284
19344,-130048,-187392,12992,40843,-4418,-341
19354,-133120,-214016,18328,41440,-9180,-229
19364,-133120,-216064,18792,42218,3981,-69
19374,-157696,-297984,31784,42987,-49502,-1427
19384,-166912,-369664,45936,43572,-96158,-780
19394,-191488,-356352,37352,44328,-67942,-2141
19404,-200704,-335872,30624,45058,-20219,-1053
19414,-200704,-277504,17400,45810,15249,-301
19424,-260096,-242688,-3944,46168,47516,-1748
19434,-292864,-264192,-6496,46404,33586,-2356
19444,-309248,-306176,-696,46264,2948,-1249
19454,-338944,-291840,-10672,45751,22123,-1163
19464,-363520,-329728,-7656,45477,13287,-1642
19474,-363520,-447488,19024,45828,-40047,-432
19484,-463872,-528384,14616,45201,-68022,-2936
19494,-541696,-571392,6728,44203,-63650,-4918
