R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha,iRelaxX,IRelaxY,DmaxR,DmaxE,DMx,DMy
58,80,47,58,80,47,250,0,0,0,100,0,500000,3000000,10,1,1000,0,0,0,0,0,0,0,0,0.995,1024,1024,0,0,0,0
sysTickMs,PIDRefXi,PIDSensXi,PIDPoutXi,PIDIoutXi,PIDDoutXi,PIDFFoutXi
88775,6144,-129024,30624,35481,-23707,48
88785,30720,-19456,11368,35972,34595,2154
88795,67584,78848,-2552,36279,78004,7168
88805,89088,65536,5336,36338,30086,4443
88815,89088,-10240,22504,36515,-38222,1126
88825,132096,66560,14848,36948,38049,2838
88835,132096,125952,1392,36993,38680,765
88845,181248,98304,18792,37412,-12,4232
88855,181248,131072,11368,37383,-38257,1074
88865,181248,137216,9976,36866,-23764,277
88875,196608,304128,-24360,35642,70373,1324
88885,202752,356352,-34800,32949,69582,714
88895,221184,278528,-12992,30010,-9031,2264
88905,224256,196608,6264,28279,-82859,805
88915,243712,128000,26216,27210,-92188,3262
88925,249856,225280,5568,26761,-5244,1522
88935,256000,273408,-3944,26550,29179,912
88945,259072,321536,-14152,26073,53299,390
88955,259072,222208,8352,25761,-22135,85
88965,259072,219136,9048,25986,-9329,6
88975,355328,194560,36424,26684,-8331,14178
88985,355328,187392,38048,28042,-5038,3637
88995,394240,197632,44544,29368,-8320,3988
89005,412672,408576,928,30316,105164,3070
89015,458752,435200,18560,30926,29088,5389
89025,458752,350208,24592,31459,-18394,1464
89035,625664,420864,46400,32185,16569,24951
89045,689152,424960,59856,33932,4991,13619
89055,689152,538624,34104,35834,68296,3497
89065,1003520,638976,82592,39305,84739,17379
89075,1310720,647168,150336,43001,20023,37545
89085,1513472,878592,143840,47269,87436,43612
89095,1577984,996352,131776,51324,52714,20141
89105,1577984,1175552,91176,54958,71624,5526
89115,1868800,1414144,103008,58416,124878,31680
89125,1868800,1507328,81896,61726,86518,8697
89135,1848320,1699840,33640,63888,106381,177
89145,1848320,1762304,19488,64720,21446,30
89155,1594368,1872896,-63104,61853,43270,-35084
89165,1594368,1963008,-83520,51503,57923,-9061
89175,1324032,1872896,-124352,35540,-8297,-22092
89185,1324032,1618944,-66816,20864,-128160,-5716
89195,1232896,1514496,-63800,9999,-90834,-10041
89205,1161216,1403904,-54984,2911,-65934,-16449
89215,1138688,1273856,-30624,-855,-67850,-7181
89225,1138688,1196032,-12992,-1529,-47528,-1993
89235,1062912,1140736,-17632,-1913,-22330,-9198
89245,1062912,1048576,3248,-2001,-25382,-2387
89255,780288,1049600,-61016,-2870,-5462,-27179
89265,713728,974848,-59160,-5015,-27563,-11261
89275,713728,838656,-28304,-6407,-63352,-3116
89286,713728,717824,-928,-6909,-66324,-824
89296,345088,692224,-78648,-8876,-14240,-27006
89306,345088,521216,-39904,-10767,-79084,-7441
89316,224256,346112,-27608,-12378,-120484,-12558
89326,175104,296960,-27608,-13597,-70799,-9876
89336,165888,259072,-21112,-14181,-14160,-3687
89346,165888,-30720,44544,-12574,-141012,-968
89356,141312,-1024,32248,-9795,-60323,-1847
89366,141312,78848,14152,-6469,26276,-495
89376,89088,6144,18792,-3478,-10787,-4746
89386,76800,-26624,23432,-451,-17121,-2018
89396,9216,-72704,18560,722,3614,-8741
89406,9216,-95232,23664,1337,-24143,-2417
