R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha,iRelaxX,IRelaxY,DmaxR,DmaxE,DMx,DMy
58,80,47,58,80,47,250,0,0,0,40,0,500000,3000000,10,1,1000,0,0,0,0,0,0,0,0,0.995,1022,1024,0,0,0,0
sysTickMs,PIDRefXi,PIDSensXi,PIDPoutXi,PIDIoutXi,PIDDoutXi,PIDFFoutXi
76128,569344,-333824,204624,4950,27481,-128
76138,569344,-333824,204624,4950,27481,-128
76148,569344,-333824,204624,4950,27481,-128
76158,569344,-333824,204624,4950,27481,-128
76168,569344,-333824,204624,4950,27481,-128
76178,569344,-333824,204624,4950,27481,-128
76188,569344,-333824,204624,4950,27481,-128
76198,569344,-333824,204624,4950,27481,-128
76208,569344,-333824,204624,4950,27481,-128
76218,569344,-333824,204624,4950,27481,-128
76228,569344,-333824,204624,4950,27481,-128
76238,569344,-333824,204624,4950,27481,-128
76248,569344,-333824,204624,4950,27481,-128
76258,569344,-333824,204624,4950,27481,-128
76268,569344,-333824,204624,4950,27481,-128
76278,569344,-333824,204624,4950,27481,-128
76288,569344,-333824,204624,4950,27481,-128
76298,569344,-333824,204624,4950,27481,-128
76308,569344,-333824,204624,4950,27481,-128
76318,569344,-333824,204624,4950,27481,-128
76328,569344,-333824,204624,4950,27481,-128
76338,569344,-333824,204624,4950,27481,-128
76348,569344,-333824,204624,4950,27481,-128
76358,569344,-333824,204624,4950,27481,-128
76368,569344,-333824,204624,4950,27481,-128
76378,569344,-333824,204624,4950,27481,-128
76388,569344,-333824,204624,4950,27481,-128
76398,569344,-333824,204624,4950,27481,-128
76408,569344,-333824,204624,4950,27481,-128
76418,569344,-333824,204624,4950,27481,-128
76428,569344,-333824,204624,4950,27481,-128
76438,569344,-333824,204624,4950,27481,-128
76448,569344,-333824,204624,4950,27481,-128
76458,569344,-333824,204624,4950,27481,-128
76468,569344,-333824,204624,4950,27481,-128
76478,569344,-333824,204624,4950,27481,-128
76488,569344,-333824,204624,4950,27481,-128
76498,569344,-333824,204624,4950,27481,-128
76508,569344,-333824,204624,4950,27481,-128
76518,569344,-333824,204624,4950,27481,-128
76528,569344,-333824,204624,4950,27481,-128
76538,569344,-333824,204624,4950,27481,-128
76548,569344,-333824,204624,4950,27481,-128
76558,569344,-333824,204624,4950,27481,-128
76568,569344,-333824,204624,4950,27481,-128
76578,569344,-333824,204624,4950,27481,-128
76588,569344,-333824,204624,4950,27481,-128
76598,569344,-333824,204624,4950,27481,-128
76608,569344,-333824,204624,4950,27481,-128
76618,569344,-333824,204624,4950,27481,-128
76629,569344,-333824,204624,4950,27481,-128
76639,569344,-333824,204624,4950,27481,-128
76649,569344,-333824,204624,4950,27481,-128
76659,569344,-333824,204624,4950,27481,-128
76669,569344,-333824,204624,4950,27481,-128
76679,569344,-333824,204624,4950,27481,-128
76689,569344,-333824,204624,4950,27481,-128
76699,569344,-333824,204624,4950,27481,-128
76709,569344,-333824,204624,4950,27481,-128
76719,569344,-333824,204624,4950,27481,-128
76729,0,13312,-3016,-30,7665,-15845
76739,0,3072,-696,-91,-2892,-4089
76749,0,6144,-1392,-157,-1515,-1127
76759,0,12288,-2784,-233,2489,-293
76769,0,6144,-1392,-290,-1010,-84
76779,0,8192,-1856,-339,1399,-26
76789,0,7168,-1624,-393,240,-10
76799,0,10240,-2320,-463,1170,-10
76809,0,3072,-696,-523,-3213,-10
76819,0,5120,-1160,-569,-999,-10
76829,0,9216,-2088,-634,1055,-10
76839,0,6144,-1392,-700,-4361,-10
76849,0,11264,-2552,-747,3465,-10
76859,0,6144,-1392,-800,-333,-10
76869,0,9216,-2088,-824,3155,-10
76879,0,15360,-3480,-858,6529,-10
76889,0,24576,-5568,-1088,1216,-10
76899,0,3072,-696,-1175,-7792,-10
76909,0,17408,-3944,-1188,7779,-10
76919,0,33792,-7656,-1319,14021,-10
76929,0,14336,-3248,-1284,6735,-10
76939,0,14336,-3248,-1303,4555,-10
76949,0,1024,-232,-1408,-8538,-10
76959,0,17408,-3944,-1595,-2261,-10
76969,0,18432,-4176,-1754,-2009,-10
76979,0,52224,-11832,-1958,20137,-10
76989,0,10240,-2320,-2139,-9788,-10
76999,0,-1024,232,-2039,-6805,-10
77009,0,-5120,1160,-1901,-4774,-10
77019,0,32768,-7424,-1857,17865,-10
77029,0,24576,-5568,-1829,12931,-10
77039,0,21504,-4872,-1815,11520,-10
77049,0,13312,-3016,-1880,2960,-10
77059,0,-12288,2784,-1919,-16834,-10
77069,0,-1024,232,-1601,-459,-10
77079,0,6144,-1392,-1480,917,-10
77089,0,-58368,13224,-1200,-46128,-10
77099,0,-15360,-8120,-540,31876,-10
77109,0,65536,-14848,-175,38887,-10
77119,0,-56320,12760,76,-41240,-10
77129,0,-41984,9512,72,-26059,-10
77139,0,9216,-2088,52,13907,-10
77149,0,-50176,11368,181,-22514,-10
77159,0,14336,-3248,350,32978,-10
77169,0,-57344,12992,343,-28618,-10
77179,0,6144,-1392,379,27171,-10
77189,0,-89088,20184,277,-46782,-10
77199,0,2048,-464,367,21927,-10
77209,0,44032,-9976,-24,32748,-10
77219,0,-63488,14384,209,-26036,-10
77229,0,-144384,32712,659,-48102,-10
77239,0,-135168,30624,1123,-55652,-10
77249,0,-122880,27840,1554,-47551,-10
77259,0,-81920,18560,1758,-29387,-10
77269,0,-75776,17168,1495,-41080,-10
77279,0,-76800,17400,1498,-39083,-10
77289,0,-99328,22504,1908,-39990,-10
77299,0,-74752,16936,2363,-17947,-10
77309,0,-67584,15312,2528,-21160,-10
77319,0,-101376,22968,2478,-44602,-10
77329,0,-87040,19720,2298,-27803,-10
77339,0,-133120,30160,2213,-58877,-10
77349,0,-94208,21344,2439,-28446,-10
77359,0,-11264,-10440,2003,46265,-10
77369,0,137216,-31088,-55,71234,-10
77379,0,208896,-47328,-1039,81423,-10
77389,0,144384,-32712,-1886,33609,-10
77399,0,23552,-5336,-2356,-29307,-10
77409,0,-93184,21112,-1895,-76444,-10
77419,0,-134144,30392,-415,-77661,-10
77429,0,-70656,16008,184,-19725,-10
77439,0,-16384,3712,71,5358,-10
77449,0,91136,-20648,-95,69272,-10
77459,0,110592,-25056,-174,67206,-10
77469,0,59392,-13456,-257,14607,-10
