R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha,iRelaxX,IRelaxY,DmaxR,DmaxE,DMx,DMy
58,80,47,58,80,47,250,0,0,0,300,0,500000,3000000,10,1,1000,0,0,0,0,0,0,0,0,0.995,1024,1024,0,0,0,0
sysTickMs,PIDRefXi,PIDSensXi,PIDPoutXi,PIDIoutXi,PIDDoutXi,PIDFFoutXi
81487,0,-3298304,747272,82486,-1379673,0
81497,0,-3298304,747272,82486,-1379673,0
81507,0,-3298304,747272,82486,-1379673,0
81517,0,-3298304,747272,82486,-1379673,0
81527,0,-3298304,747272,82486,-1379673,0
81537,0,-3298304,747272,82486,-1379673,0
81547,0,-3298304,747272,82486,-1379673,0
81557,0,-3298304,747272,82486,-1379673,0
81567,0,-3298304,747272,82486,-1379673,0
81577,0,-3298304,747272,82486,-1379673,0
81587,0,-3298304,747272,82486,-1379673,0
81597,0,-3298304,747272,82486,-1379673,0
81607,0,-3298304,747272,82486,-1379673,0
81617,0,-3298304,747272,82486,-1379673,0
81627,0,-3298304,747272,82486,-1379673,0
81637,0,-3298304,747272,82486,-1379673,0
81647,0,-3298304,747272,82486,-1379673,0
81657,0,-3298304,747272,82486,-1379673,0
81667,0,-3298304,747272,82486,-1379673,0
81677,0,-3298304,747272,82486,-1379673,0
81687,0,-3298304,747272,82486,-1379673,0
81697,0,-3298304,747272,82486,-1379673,0
81707,0,-3298304,747272,82486,-1379673,0
81717,0,-3298304,747272,82486,-1379673,0
81727,0,-3298304,747272,82486,-1379673,0
81737,0,-3298304,747272,82486,-1379673,0
81747,0,-3298304,747272,82486,-1379673,0
81757,0,-3298304,747272,82486,-1379673,0
81767,0,-3298304,747272,82486,-1379673,0
81777,0,-3298304,747272,82486,-1379673,0
81787,0,-3298304,747272,82486,-1379673,0
81797,0,-3298304,747272,82486,-1379673,0
