R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha,iRelaxX,IRelaxY,DmaxR,DmaxE,DMx,DMy
58,80,47,58,80,47,250,0,0,0,250,0,500000,3000000,10,1,1000,0,0,0,0,0,0,0,0,0.995,4096,1024,0,0,0,0
sysTickMs,PIDRefXi,PIDSensXi,PIDPoutXi,PIDIoutXi,PIDDoutXi,PIDFFoutXi
43557,0,200704,-45472,24355,80379,0
43567,0,200704,-45472,24355,80379,0
43577,0,200704,-45472,24355,80379,0
43587,0,200704,-45472,24355,80379,0
43597,0,200704,-45472,24355,80379,0
43607,0,200704,-45472,24355,80379,0
43617,0,200704,-45472,24355,80379,0
43627,0,200704,-45472,24355,80379,0
43637,0,200704,-45472,24355,80379,0
43647,0,200704,-45472,24355,80379,0
43657,0,200704,-45472,24355,80379,0
43667,0,200704,-45472,24355,80379,0
43677,0,200704,-45472,24355,80379,0
43687,0,200704,-45472,24355,80379,0
43697,0,200704,-45472,24355,80379,0
43707,0,200704,-45472,24355,80379,0
43717,0,200704,-45472,24355,80379,0
43727,0,200704,-45472,24355,80379,0
43737,0,200704,-45472,24355,80379,0
43747,0,200704,-45472,24355,80379,0
43757,0,200704,-45472,24355,80379,0
43767,0,200704,-45472,24355,80379,0
43777,0,200704,-45472,24355,80379,0
43787,0,200704,-45472,24355,80379,0
43797,0,200704,-45472,24355,80379,0
43807,0,200704,-45472,24355,80379,0
43817,0,200704,-45472,24355,80379,0
43827,0,200704,-45472,24355,80379,0
43837,0,200704,-45472,24355,80379,0
43847,0,200704,-45472,24355,80379,0
43857,0,200704,-45472,24355,80379,0
43867,0,200704,-45472,24355,80379,0
43877,0,200704,-45472,24355,80379,0
43887,0,200704,-45472,24355,80379,0
43897,0,200704,-45472,24355,80379,0
43907,0,200704,-45472,24355,80379,0
43917,0,200704,-45472,24355,80379,0
43927,0,200704,-45472,24355,80379,0
43937,0,200704,-45472,24355,80379,0
43947,0,200704,-45472,24355,80379,0
43957,0,200704,-45472,24355,80379,0
43967,0,200704,-45472,24355,80379,0
43977,0,200704,-45472,24355,80379,0
43987,0,200704,-45472,24355,80379,0
43997,0,200704,-45472,24355,80379,0
44007,0,8192,-1856,-72,1973,0
44017,0,9216,-2088,-144,1147,0
44027,0,13312,-3016,-207,3912,0
44037,0,8192,-1856,-275,-219,0
44047,0,3072,-696,-346,-4005,0
44057,0,11264,-2552,-395,3247,0
44067,0,5120,-1160,-445,-517,0
44077,0,7168,-1624,-492,895,0
44087,0,5120,-1160,-554,-1733,0
44097,0,12288,-2784,-621,2891,0
44107,0,5120,-1160,-693,-2663,0
44117,0,5120,-1160,-754,-2043,0
44127,0,9216,-928,-838,-4028,0
44137,0,-4096,928,-720,-2915,0
44147,0,28672,-6496,-754,13494,0
44157,0,14336,-3248,-886,550,0
44167,0,6144,-1392,-953,-8102,0
44177,0,-9216,2088,-1013,-17798,0
44187,0,24576,-5568,-725,17900,0
44197,0,22528,-5104,-909,5002,0
44207,0,2048,-464,-828,-1366,0
44217,0,24576,-5568,-902,9512,0
44227,0,-22528,5104,-783,-21550,0
44237,0,1024,-232,-685,-2927,0
44247,0,-20480,4640,-459,-13965,0
44257,0,-2048,464,94,11531,0
44267,0,3072,-696,-29,4314,0
44277,0,-12288,2784,86,-4774,0
44287,0,-9216,2088,-5,-8813,0
44297,0,-28672,6496,83,-19875,0
44307,0,18432,-4176,44,16225,0
44317,0,55296,-12528,-159,25588,0
44328,0,-44032,9976,-71,-51200,0
44338,0,72704,-16472,-248,29925,0
44348,0,57344,-12992,-555,13035,0
44358,0,-3072,696,-744,-24855,0
44368,0,-39936,9048,-247,-31579,0
44378,0,25600,-5800,-24,21228,0
44388,0,84992,-19256,-207,48078,0
44398,0,-55296,12528,33,-51223,0
44408,0,-39936,9048,-87,-47838,0
44418,0,71680,-16240,-95,52565,0
44428,0,57344,-12992,-33,40011,0
44438,0,58368,-13224,-124,27114,0
44448,0,79872,-18096,-209,39943,0
44458,0,8192,-1856,21,-10075,0
44468,0,-89088,20184,131,-34218,0
44478,0,-70656,16008,179,-50741,0
44488,0,-54272,12296,149,-29892,0
44498,0,-99328,12760,203,-18406,0
44508,0,-90112,20416,330,-39921,0
44518,0,-29696,6728,308,17498,0
44528,0,5120,-1160,408,53999,0
44538,0,-25600,5800,1161,54251,0
44548,0,-12288,2784,2113,71681,0
44558,0,-161792,36656,3239,-24981,0
44568,0,-128000,29000,4398,1973,0
44578,0,-178176,40368,5346,-43340,0
44588,0,9216,-2088,5848,64808,0
44598,0,-19456,4408,6168,20252,0
44608,0,-190464,43152,6608,-99394,0
44618,0,-126976,28768,7502,-12864,0
44628,0,-179200,40600,8742,-18245,0
44638,0,-53248,12064,10121,84992,0
44648,0,-194560,44080,11352,-33690,0
44658,0,-91136,20648,12392,34986,0
44668,0,-194560,44080,13731,-26071,0
44678,0,-177152,40136,15333,8066,0
44688,0,-261120,59160,17497,-7310,0
44698,0,-473088,107184,20234,-121528,0
44708,3072,-452608,103240,23088,-79497,526
44718,18432,-401408,95120,25753,-58957,5393
44728,33792,-204800,38976,27917,88102,4951
44738,150528,-100352,56840,29426,48216,46989
44748,202752,13312,42920,31304,79897,28976
44758,252928,-63488,71688,33270,-18819,20484
44768,337920,45056,66352,35198,26712,45768
