R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,Dz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas
175,25,1900,200,25,2100,100,10,0,0,0,0,7,75,10,10.0,16.0,0.001,0.003,0.03
sysTime,GPT1X,GPT1Z,aPT1R,aPT1P,aKFRawR,aKFRawP,aKFPT10R,aKFPT10P,aKFPT20R,aKFPT20P,aKFPT21R,aKFPT21P
475.970,0.005,0.070,-0.320,1.269,-0.279,1.873,-0.235,1.513,-0.245,1.372,-0.168,1.348
475.981,-1.013,-0.723,-0.307,1.257,-0.291,1.850,-0.249,1.497,-0.260,1.357,-0.175,1.349
475.991,-0.109,0.150,-0.300,1.238,-0.287,1.868,-0.246,1.522,-0.258,1.384,-0.187,1.351
476.002,0.324,-0.047,-0.298,1.251,-0.264,1.865,-0.222,1.521,-0.235,1.386,-0.184,1.354
476.013,0.016,0.912,-0.306,1.254,-0.277,1.891,-0.233,1.549,-0.246,1.417,-0.185,1.359
476.023,-0.111,0.800,-0.277,1.275,-0.261,1.905,-0.222,1.563,-0.236,1.431,-0.183,1.372
476.034,0.215,0.604,-0.279,1.279,-0.265,1.916,-0.225,1.578,-0.240,1.447,-0.187,1.385
476.045,-0.083,0.682,-0.329,1.239,-0.297,1.907,-0.247,1.580,-0.262,1.451,-0.192,1.392
476.055,1.168,-0.431,-0.303,1.193,-0.264,1.861,-0.220,1.547,-0.233,1.421,-0.189,1.391
476.066,1.545,0.253,-0.317,1.182,-0.239,1.864,-0.192,1.555,-0.205,1.434,-0.175,1.389
476.077,0.897,0.344,-0.281,1.223,-0.241,1.858,-0.200,1.545,-0.214,1.427,-0.168,1.388
476.087,0.762,-0.184,-0.271,1.226,-0.241,1.852,-0.201,1.542,-0.216,1.425,-0.163,1.389
476.098,-0.506,0.124,-0.268,1.207,-0.265,1.857,-0.225,1.554,-0.242,1.438,-0.164,1.390
476.109,-0.552,0.712,-0.271,1.210,-0.274,1.863,-0.234,1.564,-0.250,1.450,-0.172,1.392
476.120,0.472,0.431,-0.275,1.201,-0.252,1.839,-0.211,1.546,-0.228,1.435,-0.175,1.392
476.130,0.421,0.488,-0.309,1.197,-0.269,1.828,-0.221,1.539,-0.237,1.429,-0.175,1.393
476.141,0.789,0.425,-0.241,1.204,-0.246,1.826,-0.212,1.539,-0.227,1.432,-0.173,1.393
476.152,0.793,1.265,-0.294,1.231,-0.272,1.827,-0.227,1.540,-0.243,1.433,-0.173,1.393
476.162,0.020,0.543,-0.259,1.223,-0.275,1.821,-0.236,1.535,-0.252,1.429,-0.169,1.403
476.173,0.617,0.448,-0.254,1.247,-0.254,1.843,-0.216,1.554,-0.233,1.447,-0.167,1.411
476.184,0.736,0.253,-0.256,1.275,-0.246,1.855,-0.207,1.562,-0.224,1.453,-0.161,1.414
476.195,0.196,1.179,-0.286,1.285,-0.250,1.892,-0.205,1.599,-0.222,1.489,-0.155,1.419
