R
Px,I,D,Py,I,D,Pz,I,D,FFrx,y,FFdrx,y,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas
175,25,1900,200,25,2100,100,50,0,0,0,0,7,75,10,10.0,16.0,0.001,0.003,0.03
sysTime,aRawR,aRawP,aPT2R,aPT2P,aKFPT21R,aKFPT21P
194.724,-2.378,-1.126,-2.214,-0.886,-2.230,-0.833
194.734,-2.306,-0.754,-2.219,-0.893,-2.215,-0.839
194.744,-2.224,-0.923,-2.228,-0.896,-2.206,-0.848
194.755,-2.296,-1.001,-2.236,-0.897,-2.206,-0.853
194.765,-2.205,-0.915,-2.241,-0.893,-2.209,-0.863
194.775,-1.921,-0.835,-2.241,-0.890,-2.206,-0.863
194.786,-2.579,-0.499,-2.242,-0.888,-2.205,-0.862
194.796,-2.581,-0.624,-2.252,-0.871,-2.212,-0.859
194.806,-2.259,-0.794,-2.262,-0.850,-2.220,-0.856
194.817,-2.173,-0.710,-2.274,-0.839,-2.223,-0.858
194.827,-2.250,-0.666,-2.278,-0.827,-2.228,-0.861
194.837,-2.341,-1.086,-2.278,-0.829,-2.234,-0.862
194.848,-2.083,-0.624,-2.272,-0.838,-2.231,-0.864
194.858,-2.254,-0.667,-2.267,-0.845,-2.221,-0.869
194.868,-2.174,-0.961,-2.258,-0.854,-2.206,-0.873
194.879,-2.168,-0.833,-2.246,-0.859,-2.201,-0.872
194.889,-2.080,-0.998,-2.235,-0.863,-2.200,-0.866
194.899,-2.392,-0.671,-2.228,-0.861,-2.206,-0.857
194.910,-2.296,-0.960,-2.220,-0.859,-2.202,-0.848
194.920,-2.177,-0.963,-2.218,-0.854,-2.195,-0.848
194.930,-2.423,-0.960,-2.220,-0.842,-2.187,-0.857
194.941,-2.345,-0.669,-2.228,-0.831,-2.180,-0.869
194.951,-2.053,-1.089,-2.234,-0.823,-2.184,-0.882
194.961,-2.211,-0.834,-2.229,-0.818,-2.197,-0.883
194.972,-2.334,-1.000,-2.229,-0.820,-2.209,-0.884
194.982,-2.289,-0.998,-2.230,-0.832,-2.216,-0.882
194.992,-2.256,-0.877,-2.231,-0.844,-2.222,-0.876
195.003,-2.118,-0.789,-2.236,-0.850,-2.225,-0.870
195.013,-2.217,-0.836,-2.245,-0.848,-2.233,-0.865
195.023,-2.499,-0.749,-2.248,-0.843,-2.228,-0.860
195.034,-2.381,-0.877,-2.252,-0.843,-2.227,-0.866
195.044,-2.304,-1.005,-2.260,-0.845,-2.230,-0.874
195.054,-2.386,-0.921,-2.269,-0.854,-2.232,-0.880
195.065,-2.557,-0.964,-2.274,-0.862,-2.229,-0.889
195.075,-2.216,-1.003,-2.280,-0.866,-2.238,-0.903
195.085,-2.173,-0.501,-2.291,-0.863,-2.251,-0.910
195.096,-2.261,-0.502,-2.292,-0.847,-2.258,-0.913
195.106,-2.258,-0.961,-2.289,-0.830,-2.263,-0.918
195.116,-2.219,-1.046,-2.283,-0.823,-2.262,-0.920
195.127,-2.052,-1.046,-2.279,-0.813,-2.260,-0.915
195.137,-2.044,-0.751,-2.268,-0.811,-2.259,-0.910
195.147,-2.214,-0.919,-2.257,-0.812,-2.261,-0.908
195.158,-2.213,-0.876,-2.250,-0.812,-2.261,-0.909
195.168,-1.757,-0.795,-2.241,-0.813,-2.251,-0.913
195.178,-2.289,-0.957,-2.229,-0.818,-2.240,-0.909
195.189,-2.418,-0.583,-2.220,-0.825,-2.235,-0.894
195.199,-2.217,-0.794,-2.218,-0.825,-2.229,-0.873
195.210,-2.216,-1.128,-2.219,-0.821,-2.234,-0.856
195.220,-2.135,-1.004,-2.214,-0.818,-2.236,-0.849
195.230,-2.169,-0.792,-2.209,-0.814,-2.238,-0.849
195.241,-2.185,-0.798,-2.207,-0.806,-2.248,-0.847
195.251,-2.217,-0.962,-2.207,-0.801,-2.257,-0.847
195.261,-2.395,-0.630,-2.211,-0.804,-2.263,-0.836
195.272,-2.261,-0.502,-2.216,-0.792,-2.270,-0.832
195.282,-2.465,-1.044,-2.219,-0.778,-2.277,-0.829
195.292,-2.092,-0.795,-2.225,-0.779,-2.282,-0.830
195.303,-1.922,-0.793,-2.229,-0.783,-2.285,-0.836
195.313,-2.129,-1.001,-2.227,-0.788,-2.288,-0.832
195.323,-2.185,-0.966,-2.226,-0.791,-2.291,-0.835
195.334,-2.089,-0.668,-2.220,-0.796,-2.294,-0.839
195.344,-2.256,-0.584,-2.206,-0.799,-2.295,-0.847
195.354,-2.222,-0.964,-2.199,-0.801,-2.298,-0.847
195.365,-2.211,-0.709,-2.190,-0.806,-2.302,-0.848
195.375,-2.291,-0.624,-2.188,-0.806,-2.311,-0.851
195.385,-2.388,-0.628,-2.195,-0.804,-2.319,-0.847
195.397,-2.301,-0.585,-2.205,-0.796,-2.325,-0.836
195.409,-2.425,-0.418,-2.213,-0.788,-2.331,-0.827
195.421,-2.137,-0.670,-2.221,-0.777,-2.325,-0.811
195.431,-2.256,-0.919,-2.226,-0.771,-2.328,-0.805
195.443,-2.261,-0.711,-2.231,-0.769,-2.331,-0.795
195.455,-2.542,-1.000,-2.238,-0.771,-2.333,-0.790
195.467,-2.128,-0.834,-2.244,-0.781,-2.328,-0.792
195.479,-2.010,-0.711,-2.244,-0.789,-2.320,-0.795
195.491,-1.923,-0.836,-2.240,-0.798,-2.302,-0.793
195.503,-2.174,-0.919,-2.240,-0.805,-2.295,-0.795
