R
Px,I,D,Py,I,D,Pz,I,D,FFrx,y,FFdrx,y,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas
175,25,1900,200,25,2100,100,10,0,0,0,0,7,75,10,10.0,16.0,0.001,0.003,0.03
sysTime,GPT1X,GPT1Z,aPT1R,aPT1P,aKFRawR,aKFRawP,aKFPT10R,aKFPT10P,aKFPT20R,aKFPT20P,aKFPT21R,aKFPT21P
623.957,-1.699,-0.266,-0.339,0.673,-0.415,0.674,-0.416,0.666,-0.420,0.667,-0.373,0.687
623.968,-1.072,-0.357,-0.303,0.670,-0.393,0.676,-0.400,0.669,-0.404,0.667,-0.382,0.682
623.979,-0.747,-1.133,-0.292,0.665,-0.390,0.655,-0.399,0.650,-0.405,0.647,-0.387,0.672
623.989,0.428,-0.726,-0.284,0.621,-0.359,0.638,-0.369,0.641,-0.376,0.638,-0.383,0.660
624.000,-0.501,-0.252,-0.285,0.647,-0.370,0.645,-0.380,0.642,-0.387,0.641,-0.377,0.654
624.011,-0.171,0.251,-0.306,0.631,-0.360,0.648,-0.366,0.648,-0.373,0.647,-0.372,0.653
624.021,-0.425,0.454,-0.326,0.643,-0.368,0.661,-0.369,0.659,-0.375,0.658,-0.369,0.655
624.032,-0.528,0.472,-0.303,0.633,-0.353,0.661,-0.358,0.661,-0.364,0.661,-0.366,0.660
624.043,-1.295,-0.586,-0.282,0.609,-0.390,0.626,-0.399,0.630,-0.404,0.630,-0.374,0.656
624.053,-0.497,-0.842,-0.359,0.643,-0.395,0.626,-0.389,0.624,-0.393,0.624,-0.379,0.648
624.064,0.185,-1.553,-0.344,0.699,-0.359,0.625,-0.356,0.613,-0.358,0.611,-0.372,0.639
624.075,-0.323,-1.175,-0.336,0.692,-0.364,0.625,-0.363,0.615,-0.364,0.612,-0.367,0.627
624.085,-0.943,0.048,-0.351,0.690,-0.387,0.641,-0.383,0.632,-0.383,0.626,-0.369,0.622
624.096,-0.302,-0.529,-0.337,0.705,-0.367,0.624,-0.367,0.612,-0.366,0.605,-0.371,0.621
624.107,1.128,-0.206,-0.336,0.735,-0.320,0.649,-0.320,0.632,-0.319,0.623,-0.360,0.622
624.117,0.744,0.503,-0.337,0.729,-0.311,0.665,-0.310,0.650,-0.309,0.639,-0.346,0.627
624.128,0.197,-0.283,-0.357,0.733,-0.309,0.655,-0.304,0.640,-0.303,0.628,-0.335,0.633
624.139,0.078,0.353,-0.339,0.716,-0.299,0.690,-0.298,0.679,-0.297,0.667,-0.331,0.643
624.149,0.690,-0.086,-0.304,0.715,-0.279,0.692,-0.284,0.682,-0.284,0.670,-0.326,0.652
624.160,0.420,-0.164,-0.316,0.705,-0.298,0.682,-0.301,0.674,-0.302,0.663,-0.321,0.653
624.171,0.982,0.987,-0.309,0.696,-0.271,0.696,-0.275,0.690,-0.277,0.681,-0.308,0.659
624.181,-0.059,0.687,-0.351,0.699,-0.301,0.702,-0.298,0.695,-0.299,0.687,-0.302,0.672
624.192,0.248,-0.201,-0.370,0.725,-0.316,0.686,-0.309,0.675,-0.308,0.666,-0.304,0.676
624.203,1.303,-1.133,-0.349,0.711,-0.298,0.651,-0.295,0.643,-0.293,0.634,-0.298,0.669
624.213,1.487,0.853,-0.330,0.712,-0.278,0.689,-0.278,0.681,-0.277,0.672,-0.283,0.670
624.224,1.026,0.372,-0.333,0.727,-0.274,0.693,-0.274,0.683,-0.274,0.673,-0.270,0.681
624.234,-0.089,0.182,-0.305,0.706,-0.276,0.680,-0.281,0.674,-0.282,0.665,-0.265,0.685
624.245,0.670,0.710,-0.286,0.698,-0.268,0.706,-0.276,0.702,-0.279,0.693,-0.267,0.695
624.256,1.048,0.327,-0.301,0.736,-0.240,0.696,-0.245,0.686,-0.248,0.678,-0.256,0.699
624.266,0.221,0.453,-0.330,0.712,-0.263,0.704,-0.263,0.698,-0.266,0.691,-0.252,0.705
624.277,-0.503,0.143,-0.335,0.717,-0.297,0.695,-0.296,0.689,-0.298,0.682,-0.258,0.709
624.288,0.219,0.847,-0.324,0.699,-0.281,0.720,-0.282,0.717,-0.283,0.711,-0.263,0.717
624.298,0.803,0.485,-0.339,0.676,-0.269,0.713,-0.267,0.714,-0.268,0.710,-0.261,0.723
624.309,-0.260,-0.420,-0.315,0.647,-0.273,0.689,-0.276,0.695,-0.277,0.694,-0.258,0.723
624.320,-0.137,-0.281,-0.324,0.627,-0.281,0.679,-0.282,0.689,-0.283,0.690,-0.264,0.717
624.330,-0.101,0.352,-0.274,0.668,-0.276,0.701,-0.286,0.703,-0.289,0.704,-0.266,0.716
624.341,-0.903,-0.504,-0.267,0.697,-0.306,0.687,-0.316,0.684,-0.321,0.686,-0.275,0.712
624.352,-1.203,-0.612,-0.283,0.675,-0.326,0.671,-0.333,0.672,-0.338,0.673,-0.285,0.704
624.362,-0.282,-0.731,-0.273,0.693,-0.307,0.663,-0.316,0.661,-0.322,0.661,-0.290,0.695
624.374,-0.733,-1.526,-0.297,0.666,-0.326,0.618,-0.330,0.621,-0.336,0.621,-0.293,0.683
624.385,-1.515,-1.531,-0.279,0.667,-0.346,0.596,-0.353,0.598,-0.359,0.599,-0.303,0.665
624.396,-0.314,-1.018,-0.258,0.632,-0.329,0.592,-0.340,0.600,-0.347,0.603,-0.314,0.653
624.407,-0.085,-0.477,-0.255,0.651,-0.321,0.608,-0.332,0.613,-0.340,0.616,-0.314,0.646
624.418,0.326,0.254,-0.301,0.637,-0.304,0.630,-0.306,0.638,-0.313,0.642,-0.308,0.648
624.429,-0.050,0.656,-0.312,0.668,-0.318,0.646,-0.317,0.647,-0.324,0.651,-0.305,0.652
624.440,-0.825,0.320,-0.347,0.666,-0.339,0.646,-0.332,0.647,-0.336,0.651,-0.306,0.658
624.451,-0.155,-0.023,-0.357,0.648,-0.325,0.636,-0.316,0.641,-0.317,0.644,-0.308,0.663
624.462,-0.399,0.281,-0.344,0.682,-0.326,0.665,-0.320,0.663,-0.319,0.665,-0.307,0.668
624.474,-0.275,0.741,-0.327,0.712,-0.307,0.695,-0.305,0.687,-0.303,0.688,-0.308,0.676
624.485,0.050,0.825,-0.333,0.696,-0.283,0.705,-0.280,0.700,-0.278,0.700,-0.305,0.685
624.496,0.978,1.409,-0.407,0.617,-0.278,0.705,-0.260,0.717,-0.256,0.717,-0.301,0.697
624.508,1.090,-0.951,0.111,1.239,-0.144,0.770,-0.196,0.662,-0.216,0.648,-0.280,0.698
624.519,1.505,-1.750,-0.825,0.958,-0.409,0.669,-0.232,0.625,-0.226,0.609,-0.272,0.683
624.531,0.191,-1.241,-0.278,1.221,-0.316,0.792,-0.221,0.690,-0.215,0.647,-0.254,0.683
624.542,0.783,-1.193,-0.648,1.167,-0.356,0.740,-0.226,0.699,-0.203,0.630,-0.253,0.682
624.553,-0.374,-0.106,0.078,1.317,-0.202,0.847,-0.237,0.778,-0.230,0.702,-0.253,0.701
624.564,0.286,-1.015,-0.445,1.284,-0.300,0.844,-0.231,0.786,-0.224,0.701,-0.259,0.718
624.575,0.187,-0.131,-0.046,0.859,-0.205,0.793,-0.226,0.826,-0.229,0.754,-0.259,0.737
624.587,0.566,-0.335,-0.373,1.256,-0.266,0.896,-0.220,0.847,-0.223,0.781,-0.257,0.757
624.598,-0.596,-1.424,-0.191,0.985,-0.245,0.796,-0.237,0.810,-0.247,0.749,-0.256,0.763
624.609,-0.745,-0.166,-0.517,1.106,-0.323,0.860,-0.249,0.847,-0.249,0.791,-0.264,0.772
624.620,-1.356,-0.120,-0.391,1.188,-0.336,0.890,-0.291,0.861,-0.285,0.797,-0.277,0.786
624.632,-1.289,-0.213,-0.239,1.308,-0.294,0.927,-0.281,0.874,-0.279,0.805,-0.290,0.801
624.643,-0.618,-1.308,-0.319,1.335,-0.297,0.890,-0.267,0.833,-0.266,0.766,-0.299,0.808
624.654,0.291,-0.602,-0.258,1.599,-0.259,0.994,-0.243,0.883,-0.245,0.808,-0.302,0.822
624.666,-0.046,-0.284,-0.514,1.558,-0.314,1.020,-0.244,0.920,-0.242,0.839,-0.298,0.842
624.677,0.502,0.253,-0.641,1.692,-0.314,1.095,-0.220,0.979,-0.210,0.886,-0.292,0.870
624.688,1.039,0.151,-1.107,1.875,-0.406,1.203,-0.217,1.051,-0.179,0.929,-0.285,0.908
624.700,0.046,-0.111,-1.206,1.529,-0.503,1.167,-0.303,1.102,-0.235,0.953,-0.297,0.946
624.711,0.502,-0.158,-1.061,1.270,-0.499,1.126,-0.350,1.142,-0.248,0.992,-0.317,0.988
624.722,-0.459,-0.084,-0.452,0.625,-0.433,0.973,-0.413,1.126,-0.311,1.028,-0.346,1.021
624.734,0.248,-0.175,-0.424,0.556,-0.333,0.834,-0.370,1.046,-0.293,1.029,-0.365,1.032
624.745,-0.259,-0.787,-0.540,0.846,-0.371,0.812,-0.375,0.998,-0.337,1.020,-0.382,1.030
624.756,-0.258,-1.058,-0.588,0.520,-0.372,0.722,-0.372,1.006,-0.351,1.003,-0.391,1.021
624.767,0.899,-0.173,-0.926,-0.109,-0.441,0.567,-0.370,1.037,-0.326,1.021,-0.397,1.021
624.778,0.741,-0.290,-0.478,0.038,-0.311,0.431,-0.400,0.991,-0.330,1.036,-0.406,1.022
624.789,0.434,-0.234,-0.293,0.901,-0.267,0.442,-0.408,0.900,-0.374,1.010,-0.420,0.999
624.800,0.905,0.608,-0.541,1.655,-0.268,0.568,-0.369,0.963,-0.364,1.016,-0.415,0.986
624.811,1.498,0.324,-0.812,1.994,-0.297,0.649,-0.390,1.045,-0.348,1.010,-0.410,0.996
624.821,0.959,-0.349,-0.769,1.691,-0.251,0.475,-0.414,1.019,-0.351,0.984,-0.412,1.005
624.833,0.244,-0.119,-1.050,2.127,-0.284,0.438,-0.432,1.009,-0.389,0.981,-0.424,1.008
624.844,1.071,-0.304,-1.027,1.601,-0.197,0.276,-0.465,1.065,-0.395,0.981,-0.435,1.024
624.855,0.329,0.246,-1.107,1.285,-0.193,0.169,-0.505,1.093,-0.406,1.035,-0.449,1.051
624.866,0.137,0.913,-0.870,0.664,-0.000,-0.111,-0.476,1.061,-0.423,1.068,-0.468,1.066
624.877,0.028,-0.094,-0.507,0.106,0.219,-0.333,-0.497,1.026,-0.454,1.039,-0.484,1.071
624.887,1.792,0.648,0.142,-0.250,0.520,-0.577,-0.461,0.999,-0.409,1.064,-0.492,1.071
624.898,0.463,-0.162,-0.444,-0.362,0.558,-0.845,-0.426,0.858,-0.443,1.011,-0.490,1.044
624.909,0.554,-0.117,0.251,-0.932,0.848,-1.053,-0.377,0.820,-0.417,0.964,-0.476,1.008
624.920,-0.007,0.029,0.040,-0.487,0.893,-1.164,-0.372,0.720,-0.402,0.914,-0.466,0.966
624.931,0.348,-0.557,-0.448,-1.213,0.977,-1.567,-0.313,0.613,-0.394,0.861,-0.455,0.912
624.942,-0.072,0.010,-0.674,-0.845,1.024,-1.602,-0.360,0.586,-0.391,0.815,-0.443,0.855
624.953,-0.596,-0.304,-0.131,-0.352,1.233,-1.747,-0.379,0.500,-0.402,0.762,-0.448,0.798
624.964,0.983,1.142,-0.543,-1.021,1.360,-1.902,-0.318,0.517,-0.383,0.758,-0.443,0.746
624.975,-0.047,0.741,0.370,-1.268,1.583,-2.159,-0.353,0.460,-0.388,0.705,-0.432,0.704
624.986,0.430,0.750,-0.384,-1.263,1.641,-2.337,-0.306,0.344,-0.373,0.648,-0.427,0.644
624.997,1.022,1.528,-0.245,-1.852,1.760,-2.662,-0.262,0.321,-0.332,0.601,-0.403,0.587
625.008,1.324,2.212,-0.577,-0.940,1.766,-2.646,-0.245,0.271,-0.276,0.579,-0.382,0.539
625.019,0.771,1.265,0.023,-0.638,1.952,-2.753,-0.222,0.205,-0.305,0.493,-0.367,0.481
625.030,0.926,1.444,0.221,-0.227,2.019,-2.694,-0.223,0.240,-0.289,0.457,-0.348,0.438
625.042,1.001,0.136,-0.160,-0.354,2.104,-2.835,-0.188,0.154,-0.260,0.386,-0.329,0.391
625.052,0.814,0.391,-0.979,0.000,2.050,-2.868,-0.183,0.178,-0.263,0.356,-0.308,0.345
625.063,-0.376,0.363,-0.531,-0.125,2.077,-2.941,-0.261,0.213,-0.274,0.329,-0.301,0.317
625.074,-0.209,0.547,-0.572,0.337,2.017,-2.871,-0.281,0.168,-0.284,0.300,-0.313,0.287
625.085,-0.736,0.423,-0.596,0.850,1.955,-2.735,-0.302,0.206,-0.330,0.275,-0.322,0.267
625.096,-0.798,0.953,-0.701,1.551,1.923,-2.529,-0.387,0.319,-0.347,0.294,-0.341,0.274
625.108,-0.539,0.827,-0.359,1.321,1.987,-2.589,-0.394,0.316,-0.369,0.295,-0.368,0.284
625.119,0.324,0.502,-0.642,1.247,1.904,-2.602,-0.361,0.350,-0.370,0.300,-0.376,0.297
625.130,0.056,1.149,-0.871,1.488,1.736,-2.400,-0.415,0.453,-0.385,0.352,-0.383,0.326
625.142,0.877,0.872,-1.041,1.868,1.707,-2.294,-0.399,0.472,-0.370,0.391,-0.394,0.357
625.153,0.559,1.131,-1.031,1.676,1.678,-2.340,-0.442,0.544,-0.409,0.416,-0.403,0.389
625.164,1.021,0.241,-0.354,1.893,1.797,-2.200,-0.465,0.605,-0.400,0.443,-0.416,0.434
625.176,0.419,-1.089,-1.369,1.778,1.589,-2.225,-0.488,0.586,-0.437,0.441,-0.432,0.462
625.187,0.493,-0.416,-1.394,2.019,1.667,-2.065,-0.541,0.680,-0.447,0.480,-0.448,0.496
625.198,1.309,-0.827,-1.489,2.587,1.679,-1.876,-0.590,0.722,-0.446,0.518,-0.477,0.539
625.209,0.962,-0.023,-1.544,1.909,1.600,-2.048,-0.637,0.843,-0.502,0.599,-0.509,0.591
625.220,0.416,0.184,-0.684,2.491,1.871,-1.997,-0.656,0.951,-0.515,0.671,-0.539,0.662
625.231,0.439,1.179,-0.304,0.334,1.920,-1.919,-0.630,1.119,-0.559,0.781,-0.569,0.750
625.242,1.575,0.743,-0.764,0.227,1.831,-2.133,-0.539,1.057,-0.518,0.861,-0.574,0.827
625.253,1.064,-0.540,-1.050,0.578,1.830,-1.617,-0.552,0.956,-0.518,0.859,-0.566,0.862
625.264,1.332,-2.441,-0.068,-2.622,0.990,-2.242,-0.622,0.724,-0.548,0.822,-0.587,0.842
625.275,2.809,-2.626,-0.088,-0.762,1.524,-2.311,-0.560,0.582,-0.526,0.761,-0.588,0.783
625.286,3.014,-5.260,-1.464,1.649,0.781,-1.571,-0.551,0.468,-0.523,0.584,-0.576,0.700
625.297,4.067,-9.354,0.090,-1.497,1.176,-2.327,-0.510,0.278,-0.492,0.389,-0.557,0.594
625.309,7.290,-12.456,2.750,-3.265,1.161,-2.498,-0.271,-0.032,-0.338,0.204,-0.495,0.438
625.320,10.588,-14.616,3.388,-4.479,1.655,-3.067,0.082,-0.433,-0.146,-0.048,-0.371,0.217
625.332,14.874,-18.967,2.833,-3.899,1.964,-3.373,0.481,-1.028,0.141,-0.467,-0.170,-0.086
625.343,17.670,-27.025,1.463,-2.151,1.960,-3.537,0.800,-1.575,0.437,-1.048,0.071,-0.458
625.355,24.661,-32.101,-1.944,0.543,1.561,-3.275,1.212,-2.092,0.916,-1.609,0.365,-0.882
625.366,28.992,-38.310,-2.776,2.000,1.656,-3.628,1.402,-2.419,1.294,-2.189,0.661,-1.296
625.378,31.920,-44.494,-3.455,1.472,0.897,-4.379,1.603,-2.894,1.649,-2.736,0.950,-1.732
625.389,34.926,-42.556,-2.675,4.984,0.976,-3.631,1.750,-2.970,1.939,-3.036,1.212,-2.123
625.401,39.148,-40.434,-0.886,-2.074,1.687,-4.394,2.177,-3.096,2.315,-3.201,1.499,-2.434
625.412,40.657,-35.785,-0.546,1.467,2.117,-4.188,2.492,-3.311,2.636,-3.315,1.801,-2.706
625.423,34.591,-25.739,-0.753,-0.967,2.170,-4.994,2.631,-2.995,2.728,-3.142,2.070,-2.851
625.435,25.906,-11.367,-0.095,-1.200,2.132,-5.319,2.458,-2.811,2.554,-2.760,2.221,-2.881
625.446,16.367,5.401,0.301,-1.404,2.120,-4.452,2.325,-2.172,2.339,-2.144,2.285,-2.735
625.458,5.056,23.951,-2.821,-0.269,1.180,-3.268,1.898,-1.566,1.978,-1.377,2.225,-2.436
625.469,-10.440,43.416,-1.250,1.530,0.380,-1.721,1.176,-0.500,1.308,-0.435,1.994,-1.937
625.481,-28.906,64.997,0.873,-2.652,-0.419,-0.799,0.377,0.696,0.433,0.797,1.599,-1.231
625.492,-47.268,85.161,1.437,-1.200,-0.095,0.800,-0.602,1.944,-0.638,2.150,1.028,-0.348
625.504,-56.710,103.059,0.508,-1.059,-0.372,2.367,-1.378,3.357,-1.474,3.521,0.359,0.679
625.515,-67.791,121.279,-2.513,0.628,-1.845,4.261,-2.403,4.860,-2.422,5.074,-0.393,1.868
625.527,-80.113,135.388,-0.031,4.531,-2.934,6.402,-3.536,6.589,-3.515,6.585,-1.252,3.190
625.538,-90.831,142.922,0.133,-1.141,-4.146,7.387,-4.624,8.156,-4.654,8.053,-2.187,4.588
625.550,-94.087,145.784,-0.152,2.975,-5.178,9.203,-5.535,9.279,-5.559,9.321,-3.136,5.948
625.561,-96.862,135.640,-0.561,5.325,-6.051,10.794,-6.388,10.319,-6.418,10.091,-4.056,7.212
625.573,-54.101,92.221,-0.508,2.380,-5.598,9.947,-5.732,9.846,-5.807,9.645,-4.714,8.136
625.584,-14.246,48.226,-4.084,1.966,-4.580,8.920,-4.747,8.912,-4.697,8.681,-4.838,8.498
625.596,14.957,7.652,-3.120,5.824,-3.141,8.503,-3.933,7.709,-3.725,7.381,-4.637,8.387
625.607,42.319,-27.993,-1.912,5.725,-1.345,6.951,-2.786,6.369,-2.570,5.897,-4.154,7.892
625.619,64.101,-56.243,-4.567,5.590,-1.263,5.979,-1.567,5.048,-1.250,4.449,-3.424,7.114
625.630,77.099,-79.298,-1.115,0.750,0.346,3.995,-0.507,3.519,-0.165,2.926,-2.574,6.103
625.642,87.483,-95.167,0.608,1.534,2.397,2.716,0.690,1.865,0.910,1.435,-1.617,4.905
625.653,96.079,-106.653,-1.178,1.978,3.993,0.721,2.026,0.430,2.139,0.003,-0.582,3.624
625.665,100.817,-112.731,-0.916,-0.070,5.174,-1.911,2.936,-1.023,3.120,-1.304,0.444,2.294
625.676,105.231,-114.741,0.966,0.882,6.645,-3.834,4.106,-2.277,4.171,-2.485,1.493,0.980
625.688,105.767,-115.755,-1.403,-0.118,8.000,-4.839,5.071,-3.480,5.093,-3.619,2.521,-0.303
625.699,101.848,-111.368,1.986,1.990,9.566,-5.015,5.700,-4.451,5.712,-4.544,3.457,-1.503
625.711,98.848,-103.686,1.320,-0.342,10.516,-5.775,6.676,-5.108,6.453,-5.251,4.373,-2.585
625.723,92.793,-93.364,0.294,0.213,10.875,-6.095,7.156,-5.704,6.963,-5.717,5.177,-3.497
625.734,78.315,-85.199,2.654,0.864,11.795,-6.243,7.318,-6.128,7.037,-6.181,5.820,-4.265
625.745,63.851,-77.293,-2.811,-1.014,11.584,-6.877,7.333,-6.571,7.061,-6.477,6.282,-4.914
625.757,35.718,-57.699,2.697,2.030,11.412,-6.646,6.692,-6.460,6.457,-6.395,6.476,-5.393
625.768,-0.235,-26.368,7.297,-0.863,10.966,-6.394,5.722,-5.702,5.217,-5.602,6.321,-5.532
625.780,-27.837,-0.125,5.401,-2.248,9.721,-5.378,4.829,-4.813,4.112,-4.667,5.903,-5.361
625.791,-55.466,23.742,2.464,-1.644,7.824,-4.396,3.515,-3.900,2.778,-3.607,5.228,-4.948
625.803,-82.200,44.803,2.963,2.212,5.674,-3.204,1.803,-2.694,1.143,-2.489,4.269,-4.306
625.814,-101.960,64.686,3.986,-6.284,3.848,-3.005,0.314,-1.481,-0.420,-1.197,3.132,-3.486
625.826,-119.232,80.612,2.589,-1.191,2.105,-1.445,-1.267,-0.381,-1.937,0.103,1.864,-2.535
625.837,-132.219,94.227,2.826,-0.729,0.639,-0.098,-2.860,1.073,-3.495,1.403,0.477,-1.466
625.849,-139.211,108.142,0.026,-3.221,-1.311,0.262,-4.339,2.297,-4.856,2.827,-0.924,-0.335
625.860,-146.115,117.887,1.481,0.739,-3.045,1.474,-5.884,3.659,-6.282,4.106,-2.365,0.860
625.872,-147.569,129.422,0.247,-3.376,-4.822,1.491,-7.217,5.093,-7.571,5.469,-3.792,2.100
625.883,-146.671,136.938,-0.710,-2.175,-6.433,2.537,-8.544,6.165,-8.702,6.776,-5.168,3.356
625.895,-70.357,97.229,6.165,1.841,-4.766,2.512,-7.073,6.152,-7.397,6.555,-6.019,4.381
625.906,1.570,59.655,4.136,-2.273,-3.706,1.174,-4.714,5.589,-5.137,5.882,-5.895,4.940
625.918,57.541,33.006,4.529,-3.862,-1.591,-0.419,-2.317,4.637,-2.740,5.197,-5.067,5.068
625.929,96.903,11.569,7.631,-4.409,0.548,-1.548,0.165,3.771,-0.375,4.400,-3.717,4.891
625.941,117.593,-3.099,7.349,-6.097,2.693,-2.994,2.297,2.777,1.593,3.586,-2.097,4.468
625.952,131.796,-16.414,0.839,0.821,4.290,-3.425,4.266,1.963,3.670,2.711,-0.333,3.909
625.964,127.936,-26.304,0.559,-0.813,5.464,-4.449,5.339,1.417,4.994,1.870,1.326,3.294
625.975,117.934,-32.278,1.410,-4.032,6.331,-6.129,6.159,0.651,5.918,1.153,2.781,2.632
625.987,103.918,-39.034,1.476,-5.253,6.974,-6.446,6.839,-0.177,6.656,0.384,4.015,1.926
625.998,86.614,-44.690,-1.329,-2.196,6.591,-6.088,7.041,-1.141,6.987,-0.482,4.962,1.146
626.010,68.987,-50.488,-1.055,2.350,6.522,-5.945,6.946,-1.843,7.058,-1.402,5.634,0.361
626.021,42.095,-52.733,1.966,1.397,6.989,-6.908,6.410,-2.313,6.555,-2.125,5.991,-0.374
626.033,14.828,-54.482,7.334,1.755,7.063,-7.343,5.777,-2.868,5.761,-2.783,6.043,-1.057
626.044,-10.284,-54.433,7.204,1.048,5.710,-7.527,5.155,-3.228,4.881,-3.282,5.871,-1.677
626.056,-36.122,-58.487,7.448,2.364,4.736,-6.827,4.223,-3.790,3.765,-3.913,5.465,-2.266
626.067,-54.991,-59.838,5.124,6.054,3.703,-5.840,3.333,-4.035,2.763,-4.456,4.884,-2.809
626.079,-72.649,-56.850,2.393,3.576,1.464,-6.630,2.137,-4.178,1.652,-4.719,4.135,-3.257
626.090,-85.885,-53.650,1.132,3.216,-0.197,-6.903,0.872,-4.319,0.548,-4.889,3.232,-3.617
626.102,-99.282,-46.840,0.327,2.560,-1.823,-6.862,-0.516,-4.344,-0.692,-4.920,2.205,-3.894
626.113,-112.397,-38.037,-0.454,2.686,-3.277,-6.596,-2.090,-4.241,-2.120,-4.797,1.033,-4.060
626.124,-124.162,-23.609,0.222,3.010,-4.728,-5.950,-3.698,-3.817,-3.603,-4.407,-0.233,-4.073
626.136,-131.829,-4.322,1.522,1.689,-6.216,-5.162,-5.031,-3.088,-4.904,-3.630,-1.540,-3.886
626.147,-143.202,14.430,6.817,0.380,-7.661,-4.660,-6.330,-2.254,-6.353,-2.710,-2.858,-3.506
626.159,-151.120,36.856,5.850,-2.065,-9.448,-4.562,-7.507,-1.269,-7.720,-1.573,-4.175,-2.954
626.171,-154.965,59.787,3.277,-3.786,-10.963,-3.135,-8.659,-0.147,-8.896,-0.213,-5.469,-2.209
626.182,-152.097,78.806,2.083,-4.127,-12.975,-2.660,-9.681,0.922,-9.863,1.059,-6.673,-1.343
626.193,-139.494,98.003,-3.176,-6.202,-14.594,-1.628,-10.433,2.064,-10.422,2.437,-7.757,-0.368
626.205,-123.775,111.263,-3.431,-3.409,-15.166,0.065,-11.012,3.216,-10.727,3.740,-8.668,0.702
626.216,-106.462,123.309,-2.225,-3.159,-14.938,1.236,-11.327,4.521,-10.913,5.009,-9.394,1.828
626.228,-84.041,133.279,-4.249,0.640,-15.886,2.562,-11.283,5.735,-10.684,6.266,-9.891,3.004
