R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,Dz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas
175,25,1900,200,25,2100,200,80,0,0,0,0,7,75,10,10.0,16.0,0.001,0.003,0.03
sysTime,aRawR,aRawP,aPT2R,aPT2P,aKFRawR,aKFRawP,aKFPT20R,aKFPT20P,aKFPT21R,aKFPT21P
316.073,-2.995,4.581,-3.143,5.556,-3.200,5.605,-3.157,5.653,-3.136,5.637
316.084,-1.143,6.013,-3.184,5.513,-3.114,5.617,-3.101,5.682,-3.128,5.643
316.095,-4.229,5.910,-3.131,5.534,-3.041,5.641,-3.086,5.643,-3.116,5.643
316.105,-5.169,4.957,-3.145,5.577,-3.171,5.606,-3.135,5.594,-3.114,5.632
316.116,-3.689,3.517,-3.182,5.569,-3.200,5.531,-3.155,5.573,-3.122,5.613
316.127,-2.557,5.203,-3.208,5.543,-3.167,5.591,-3.132,5.621,-3.127,5.600
316.138,-2.089,6.154,-3.189,5.518,-3.149,5.586,-3.154,5.637,-3.133,5.596
316.149,0.044,3.355,-3.223,5.530,-3.228,5.600,-3.170,5.614,-3.144,5.591
316.160,1.457,1.538,-3.242,5.539,-3.151,5.616,-3.131,5.669,-3.149,5.600
316.171,3.186,3.143,-3.197,5.546,-3.063,5.681,-3.151,5.678,-3.156,5.612
316.182,-0.950,5.251,-3.175,5.703,-3.111,5.825,-3.141,5.700,-3.153,5.633
316.192,-3.492,13.056,-3.109,5.863,-3.020,5.915,-3.133,5.688,-3.157,5.647
316.203,-0.784,-15.453,-3.030,5.799,-3.043,5.483,-3.131,5.725,-3.146,5.665
316.214,3.502,-22.500,-2.939,5.693,-2.836,5.379,-3.189,5.819,-3.153,5.701
316.225,-9.715,6.909,-2.826,5.629,-3.047,5.456,-3.113,5.874,-3.143,5.740
316.236,-0.062,19.341,-2.880,5.530,-3.122,5.580,-3.139,5.912,-3.145,5.772
