R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,Dz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas
175,25,1900,200,25,2100,200,80,0,0,0,0,7,75,10,10.0,16.0,0.001,0.003,0.03
sysTime,aRawR,aRawP,aPT2R,aPT2P,aKFRawR,aKFRawP,aKFPT20R,aKFPT20P,aKFPT21R,aKFPT21P
318.279,-10.719,27.983,-5.096,-4.042,2.430,-1.028,1.529,-2.716,2.549,-1.715
318.291,-6.968,-43.750,-5.422,-3.560,1.919,-2.733,0.697,-3.181,1.918,-2.193
318.303,8.143,13.414,-5.562,-4.896,1.666,-3.237,0.039,-3.680,1.270,-2.688
318.315,29.225,-32.213,-5.273,-5.119,1.896,-3.499,-0.727,-4.376,0.635,-3.249
318.328,22.194,-14.507,-4.333,-5.830,2.728,-4.364,-1.169,-4.996,0.039,-3.875
318.338,-8.474,-1.613,-3.891,-5.098,2.638,-4.786,-1.231,-5.440,-0.325,-4.342
318.348,-18.807,40.146,-3.556,-5.679,2.031,-5.491,-1.614,-5.872,-0.666,-4.805
318.359,-5.363,7.981,-3.334,-5.816,1.928,-5.733,-1.872,-6.359,-0.994,-5.293
318.369,27.991,-61.542,-3.578,-4.940,2.019,-7.088,-2.146,-6.794,-1.286,-5.730
318.379,-30.956,43.855,-3.424,-5.436,1.354,-6.818,-2.478,-7.160,-1.622,-6.175
318.389,26.025,1.956,-3.535,-4.491,0.626,-6.609,-2.618,-7.490,-1.910,-6.572
318.400,-9.447,-62.349,-3.421,-3.521,0.097,-6.744,-2.903,-7.686,-2.173,-6.877
318.410,-0.820,42.882,-3.258,-3.359,0.185,-7.394,-3.116,-7.872,-2.438,-7.149
318.420,3.176,-65.085,-2.563,-1.293,0.252,-7.501,-3.404,-7.989,-2.675,-7.333
318.430,9.109,-1.453,-2.683,-0.797,0.309,-7.782,-3.382,-7.827,-2.867,-7.408
318.441,1.208,70.750,-1.811,-0.296,0.712,-7.005,-3.698,-7.886,-3.061,-7.458
318.451,-0.494,-71.012,-1.747,1.659,0.460,-6.393,-3.711,-7.612,-3.185,-7.392
318.461,-5.149,75.073,-1.695,1.294,0.176,-6.481,-3.848,-7.349,-3.313,-7.264
318.471,3.040,-34.660,-1.466,1.471,0.166,-6.423,-3.888,-6.987,-3.430,-7.100
318.482,17.313,36.813,-1.556,2.728,0.118,-5.978,-3.899,-6.605,-3.522,-6.845
318.492,-73.828,-16.118,-1.207,2.793,-1.051,-6.231,-4.175,-6.004,-3.648,-6.519
318.502,18.697,-46.146,-2.099,3.135,-1.208,-5.760,-4.304,-5.321,-3.790,-6.105
318.512,15.610,68.723,-1.809,3.383,-0.985,-4.566,-4.572,-4.866,-3.959,-5.657
318.525,5.816,75.227,-1.487,5.440,-1.125,-1.968,-4.854,-3.935,-4.160,-4.931
318.535,9.343,4.656,-1.116,6.556,-1.504,-1.317,-4.984,-3.127,-4.319,-4.281
318.545,-8.480,-8.200,-0.748,7.567,-1.844,-0.783,-5.168,-2.318,-4.463,-3.552
318.555,-57.090,-30.207,-0.486,7.203,-3.023,-0.962,-5.532,-1.478,-4.653,-2.803
318.565,-12.709,-41.912,-1.273,6.758,-4.322,-0.508,-5.722,-0.469,-4.873,-2.032
318.575,20.422,66.750,-1.454,5.731,-4.409,0.319,-6.010,0.260,-5.120,-1.285
318.586,19.346,-2.790,-1.357,5.860,-4.482,0.831,-6.199,1.012,-5.365,-0.562
318.596,-63.666,15.373,-1.143,5.039,-4.608,1.441,-6.222,1.871,-5.556,0.166
318.608,-22.990,46.693,-2.027,4.431,-5.592,1.886,-6.317,2.673,-5.765,1.038
318.620,8.257,18.747,-2.372,3.895,-5.085,2.191,-6.300,3.521,-5.911,1.856
318.633,0.606,-85.806,-1.681,2.916,-4.839,1.782,-6.268,4.320,-5.972,2.610
318.645,-10.377,-60.439,-1.236,0.856,-4.717,0.828,-6.119,5.108,-5.956,3.291
318.657,-3.188,80.452,-1.687,-1.554,-4.625,2.491,-5.870,5.718,-5.912,3.853
318.669,16.568,55.178,-2.112,-2.632,-4.188,4.110,-5.619,6.050,-5.834,4.303
318.681,27.741,24.597,-1.232,-2.158,-3.966,4.689,-5.463,6.283,-5.705,4.680
318.693,74.163,-15.668,0.844,-1.602,-2.628,5.018,-5.268,6.443,-5.480,5.000
318.704,59.441,22.146,3.089,-1.105,-1.540,5.331,-4.839,6.511,-5.108,5.295
318.716,10.940,5.592,4.569,0.206,-1.264,5.422,-4.286,6.671,-4.641,5.598
318.727,54.416,-22.837,6.086,1.287,-0.354,6.077,-3.778,6.964,-4.102,5.945
318.739,22.082,-50.374,7.345,2.427,0.085,6.400,-3.185,7.146,-3.511,6.331
318.751,-42.936,-29.456,7.570,3.711,0.000,5.952,-2.333,7.413,-2.859,6.769
318.761,47.274,28.365,7.181,3.974,0.304,6.288,-1.748,7.736,-2.358,7.170
318.771,-10.703,38.363,7.146,4.558,0.629,7.384,-1.128,8.058,-1.857,7.558
318.781,7.881,-66.447,6.797,4.299,0.778,7.321,-0.468,8.539,-1.318,7.950
318.791,-44.068,15.328,6.313,2.665,0.541,7.054,0.111,8.856,-0.805,8.269
318.801,52.488,32.950,5.642,2.109,1.179,7.373,0.685,8.786,-0.293,8.490
318.811,-10.440,38.125,5.285,1.955,1.460,7.952,1.307,8.746,0.213,8.648
318.821,0.785,-83.604,4.667,1.664,1.791,7.443,1.918,8.825,0.740,8.761
318.834,-1.110,-79.982,3.754,-0.218,1.913,5.708,2.517,8.713,1.350,8.756
318.844,-36.502,-10.355,2.635,-2.034,1.713,5.513,3.022,8.569,1.785,8.654
318.854,35.772,19.962,1.466,-3.029,2.051,5.364,3.558,8.148,2.202,8.449
318.864,-16.874,48.687,0.806,-3.135,2.262,5.819,3.870,7.547,2.554,8.148
318.874,34.158,-55.877,0.172,-2.717,2.551,5.275,3.936,7.049,2.846,7.798
318.884,6.556,-40.639,0.391,-3.555,3.247,3.909,4.205,6.546,3.117,7.401
318.895,-14.249,28.359,0.335,-3.880,3.586,3.573,4.594,5.961,3.400,6.944
318.904,9.145,-65.282,0.199,-3.896,3.667,1.983,4.506,5.227,3.626,6.417
318.915,9.366,20.086,0.111,-4.570,3.716,0.561,4.511,4.600,3.788,5.851
318.925,20.245,19.660,0.319,-4.535,3.892,0.163,4.616,3.987,3.943,5.265
318.935,-39.941,-41.797,0.620,-4.444,3.562,-0.356,4.557,3.432,4.062,4.687
318.945,-77.770,-8.406,0.086,-4.689,1.995,-0.765,4.462,2.922,4.119,4.125
318.955,43.796,26.045,-0.167,-4.509,2.726,-0.265,4.236,2.364,4.108,3.560
318.966,58.668,1.252,0.819,-4.042,3.169,-0.440,3.938,1.832,4.064,3.019
318.977,62.537,-0.524,2.117,-3.599,3.718,-0.697,3.787,1.321,4.012,2.415
318.990,78.938,-2.506,4.001,-3.261,5.049,-1.113,3.597,0.980,3.971,1.884
319.002,53.536,-32.760,6.388,-3.052,5.342,-1.613,3.341,0.684,3.971,1.422
319.014,20.884,-54.345,8.510,-2.931,5.419,-2.329,3.225,0.388,4.018,1.030
319.025,3.354,-66.481,10.056,-3.120,5.576,-3.187,3.159,0.064,4.119,0.678
319.037,41.888,-39.549,11.115,-3.086,5.885,-2.980,3.157,-0.165,4.229,0.384
319.047,31.566,21.189,11.655,-2.571,5.604,-2.687,3.338,-0.454,4.357,0.156
319.058,-10.741,50.374,11.074,-0.713,4.860,-1.911,3.541,-0.546,4.466,0.015
319.069,-2.933,40.488,9.140,2.416,4.271,-1.390,3.780,-0.421,4.506,0.056
319.081,-4.085,33.889,6.991,4.765,3.704,-1.647,3.605,-0.126,4.394,0.274
319.092,0.206,16.883,5.064,5.919,2.925,-2.056,3.395,0.306,4.172,0.600
319.102,10.438,-55.773,3.689,5.269,2.290,-3.636,2.895,0.849,3.835,0.961
319.113,18.548,-69.884,3.355,2.412,2.068,-4.651,2.355,1.295,3.407,1.243
319.124,13.990,-75.787,3.633,-0.578,1.576,-5.221,1.809,1.575,2.967,1.382
319.135,19.736,29.866,4.200,-2.649,1.769,-4.631,1.433,1.515,2.552,1.366
319.146,-6.006,34.893,4.248,-2.821,1.187,-3.708,1.342,1.320,2.211,1.292
319.157,6.784,20.832,3.365,-2.003,0.818,-3.557,1.388,1.278,1.926,1.242
319.168,-16.834,3.593,2.122,-1.245,0.186,-3.443,1.371,1.416,1.672,1.280
319.179,-56.346,-2.383,0.792,-1.142,-0.488,-3.553,1.168,1.534,1.404,1.355
319.190,-69.619,-0.558,0.051,-1.428,-0.421,-3.478,0.948,1.539,1.115,1.410
319.200,7.156,36.001,-0.569,-1.295,-0.291,-2.605,0.715,1.499,0.844,1.443
319.211,32.647,30.437,-0.329,-0.343,0.415,-1.229,0.650,1.745,0.633,1.557
319.222,-7.287,9.147,0.290,0.020,0.198,-1.572,0.516,2.042,0.483,1.743
319.233,-15.983,-72.070,0.653,-0.829,0.154,-2.601,0.201,2.280,0.336,1.906
319.244,51.871,-25.830,0.993,-1.858,0.637,-2.230,-0.002,2.479,0.200,2.031
319.254,58.272,14.292,1.492,-2.408,1.227,-1.850,-0.077,2.709,0.090,2.168
319.265,5.726,-8.523,2.236,-2.868,0.900,-1.978,-0.106,2.992,0.017,2.306
319.276,-21.136,-66.067,1.746,-4.215,0.380,-2.507,0.179,3.196,0.027,2.410
319.287,43.397,-18.108,0.591,-5.282,0.857,-2.047,0.562,3.403,0.092,2.510
319.298,17.050,6.673,0.675,-5.590,1.136,-1.428,0.808,3.553,0.201,2.613
319.309,-55.344,-34.568,0.465,-5.823,0.036,-1.423,1.066,3.479,0.348,2.678
319.320,7.371,10.187,-0.457,-5.738,0.517,-0.788,1.620,3.446,0.551,2.716
319.330,-24.489,11.700,-1.061,-5.009,0.695,-0.434,1.867,3.498,0.764,2.804
319.341,-70.912,-16.745,-2.483,-4.665,-0.194,-0.442,1.996,3.462,0.913,2.880
319.352,-9.173,25.546,-3.905,-4.163,0.281,0.034,2.119,3.289,1.004,2.935
319.363,17.807,28.484,-4.230,-2.699,0.676,0.393,1.953,3.243,1.026,3.013
319.374,-65.782,16.702,-3.806,-1.572,0.870,0.478,1.720,3.260,0.983,3.119
319.385,-24.348,40.561,-3.353,-0.758,1.048,0.789,1.671,3.259,0.953,3.225
319.396,-0.290,15.048,-3.273,0.240,1.149,0.783,1.614,3.314,0.937,3.350
319.407,23.442,-66.599,-2.723,-0.306,1.448,-0.358,1.143,3.417,0.862,3.463
319.418,40.637,23.390,-0.948,-1.661,2.016,-0.147,0.802,3.398,0.766,3.496
319.428,20.379,14.569,1.181,-2.247,2.127,-0.365,0.610,3.284,0.737,3.440
319.439,-23.928,-65.722,2.047,-3.261,1.010,-1.280,0.513,3.192,0.735,3.332
319.450,-12.768,-2.745,1.347,-4.380,0.391,-1.142,0.641,3.099,0.724,3.186
319.461,-7.194,10.811,0.187,-4.338,0.842,-1.641,0.737,2.924,0.694,3.032
319.472,-19.415,-20.385,-0.415,-4.297,0.881,-2.113,0.403,2.690,0.580,2.880
319.484,-42.218,47.702,-0.463,-4.286,0.491,-1.420,-0.027,2.466,0.373,2.698
319.496,31.403,27.426,-0.252,-3.465,0.589,-0.867,-0.175,2.191,0.185,2.527
319.507,50.261,4.787,0.203,-2.520,0.853,-0.601,-0.287,2.082,0.047,2.387
319.519,49.682,-23.026,0.717,-2.314,0.746,-1.053,-0.368,1.922,-0.076,2.279
319.531,-55.022,-7.715,1.023,-3.018,-0.428,-1.831,-0.465,1.808,-0.181,2.130
319.544,-45.522,-28.543,0.071,-3.723,-1.754,-2.068,-0.403,1.544,-0.283,1.912
319.556,-23.522,-64.269,-1.878,-4.530,-2.139,-2.814,-0.384,1.235,-0.425,1.640
319.568,-81.052,-6.696,-3.572,-5.572,-3.216,-2.269,-0.557,0.918,-0.656,1.316
319.580,-59.418,12.093,-4.943,-6.471,-3.832,-2.505,-0.945,0.476,-0.972,0.911
319.592,-35.976,-38.246,-5.839,-7.122,-3.560,-3.328,-1.411,-0.059,-1.349,0.434
319.605,18.772,-70.955,-6.481,-8.134,-3.954,-4.475,-1.935,-0.618,-1.786,-0.101
319.615,-18.341,34.199,-6.553,-9.443,-3.715,-5.161,-2.147,-1.059,-2.129,-0.549
319.625,23.587,-53.460,-6.666,-8.868,-3.752,-5.721,-2.430,-1.687,-2.430,-1.031
319.635,-72.714,13.352,-6.688,-9.145,-4.771,-5.999,-2.748,-2.283,-2.758,-1.537
319.645,41.301,-19.350,-6.554,-8.660,-4.866,-6.046,-2.975,-2.800,-3.047,-2.037
319.655,-35.755,4.431,-5.529,-8.699,-4.856,-6.411,-3.260,-3.420,-3.313,-2.555
319.666,-8.790,-49.624,-5.192,-8.375,-4.887,-7.015,-3.317,-4.040,-3.497,-3.086
319.676,-13.613,41.190,-4.983,-8.153,-5.192,-6.834,-3.265,-4.656,-3.635,-3.619
319.686,47.142,-42.396,-4.259,-7.614,-4.979,-7.523,-3.330,-5.248,-3.707,-4.150
319.696,-52.051,-28.941,-3.038,-8.579,-5.242,-8.607,-3.426,-5.757,-3.759,-4.703
319.707,6.840,9.920,-2.475,-8.749,-4.643,-8.774,-3.055,-6.289,-3.681,-5.251
319.717,-32.018,44.842,-1.851,-8.448,-4.626,-8.259,-2.941,-6.946,-3.572,-5.809
319.727,39.091,-49.838,-1.301,-8.157,-4.067,-9.111,-2.979,-7.523,-3.454,-6.357
319.738,-31.270,4.511,-0.088,-9.072,-3.850,-9.843,-2.939,-7.997,-3.333,-6.915
319.748,3.478,12.646,0.294,-8.715,-3.447,-10.068,-2.604,-8.594,-3.144,-7.463
319.758,-13.218,-41.082,0.884,-8.806,-3.451,-11.278,-2.629,-9.217,-2.975,-8.029
319.768,28.298,-1.623,1.299,-8.480,-3.542,-11.312,-2.406,-9.688,-2.777,-8.572
319.778,-22.928,21.663,2.154,-8.078,-3.055,-11.486,-2.216,-10.210,-2.557,-9.099
319.788,8.479,-21.513,2.096,-7.111,-2.611,-11.950,-1.990,-10.659,-2.326,-9.569
319.798,28.858,-53.279,2.727,-7.220,-2.341,-12.990,-2.258,-11.050,-2.191,-10.012
319.809,-15.743,33.690,3.120,-7.223,-2.401,-12.889,-2.090,-11.445,-2.069,-10.436
319.819,26.470,-63.460,2.895,-6.018,-2.469,-13.610,-2.101,-11.726,-1.960,-10.802
319.829,-19.926,-65.912,2.818,-6.153,-3.032,-15.259,-2.303,-12.083,-1.936,-11.145
319.839,32.855,-3.219,2.734,-6.281,-3.285,-15.220,-2.428,-12.336,-1.932,-11.481
319.849,-29.380,33.542,3.009,-6.265,-3.186,-15.107,-2.499,-12.592,-1.950,-11.788
319.860,39.582,-33.821,2.489,-5.372,-3.005,-15.526,-2.592,-12.793,-1.989,-12.038
319.870,13.202,-69.431,2.738,-5.737,-3.216,-16.662,-3.057,-12.940,-2.135,-12.267
319.882,-1.745,-76.819,2.340,-6.185,-3.422,-17.401,-2.975,-13.123,-2.259,-12.507
319.894,-36.988,-26.459,1.456,-6.316,-3.960,-17.655,-3.040,-13.295,-2.416,-12.713
319.905,6.113,-56.351,0.753,-6.702,-4.175,-17.781,-3.204,-13.474,-2.623,-12.937
319.917,8.566,-80.195,0.755,-8.171,-4.272,-18.396,-3.497,-13.580,-2.857,-13.207
319.929,-2.676,-81.803,0.875,-10.212,-4.388,-19.681,-3.600,-13.915,-3.081,-13.585
319.941,-27.496,-62.436,0.595,-12.515,-4.863,-21.143,-3.597,-14.422,-3.261,-14.091
319.954,-56.949,2.725,-0.207,-14.270,-5.722,-21.052,-3.630,-15.114,-3.437,-14.726
319.966,-25.577,30.918,-1.383,-14.567,-5.827,-20.682,-3.643,-15.909,-3.609,-15.423
319.979,-14.716,28.809,-2.350,-12.813,-5.117,-20.126,-3.669,-16.636,-3.758,-16.085
319.989,43.128,29.921,-2.658,-10.428,-4.519,-19.953,-3.709,-17.071,-3.850,-16.514
319.999,-63.084,-26.051,-2.358,-8.737,-5.032,-20.512,-3.822,-17.363,-3.941,-16.838
320.010,28.829,-37.846,-2.661,-7.688,-4.722,-20.257,-3.730,-17.415,-3.984,-17.059
320.020,58.960,8.384,-1.924,-7.386,-3.614,-20.026,-3.807,-17.492,-4.015,-17.228
320.030,-21.051,34.172,-1.757,-6.084,-3.195,-19.502,-3.286,-17.566,-3.937,-17.332
320.041,67.340,-1.230,-1.989,-3.964,-2.391,-18.636,-3.110,-17.456,-3.801,-17.317
320.051,-23.538,-64.603,-1.585,-2.952,-2.435,-19.410,-3.199,-17.217,-3.719,-17.207
320.061,-6.184,-5.618,-1.800,-2.776,-1.974,-18.960,-2.919,-16.808,-3.596,-17.025
320.072,53.985,21.848,-1.392,-2.263,-1.322,-18.047,-2.749,-16.520,-3.451,-16.786
320.082,-31.437,39.779,-0.821,-1.145,-1.094,-16.721,-2.432,-16.147,-3.266,-16.503
320.092,24.666,-62.608,-0.939,0.018,-0.917,-16.398,-2.197,-15.718,-3.032,-16.141
320.103,20.464,-67.131,-0.354,-0.358,-0.491,-17.178,-2.209,-15.207,-2.840,-15.749
320.113,-22.459,28.210,-0.399,-0.102,0.049,-16.206,-1.662,-14.599,-2.594,-15.316
320.123,32.242,28.934,-0.480,0.878,0.687,-15.920,-1.360,-14.149,-2.310,-14.846
320.133,6.369,-8.751,0.160,1.685,1.993,-15.436,-1.221,-13.609,-2.052,-14.328
320.144,-12.704,-39.469,0.274,2.016,1.869,-15.213,-0.835,-12.914,-1.768,-13.761
320.154,62.798,-13.523,0.749,1.437,2.649,-15.156,-0.665,-12.335,-1.492,-13.195
320.164,-27.749,42.090,1.390,1.362,2.858,-14.082,-0.185,-11.850,-1.165,-12.671
320.174,2.867,-76.800,1.411,0.994,3.147,-14.685,0.144,-11.286,-0.804,-12.154
320.187,5.395,-77.227,1.915,-1.277,3.639,-15.366,0.270,-10.541,-0.410,-11.535
320.198,3.249,-79.407,2.416,-3.944,3.606,-15.618,0.418,-10.033,-0.065,-11.066
320.210,-28.395,-57.746,2.548,-6.921,3.184,-16.513,0.731,-9.664,0.278,-10.742
320.221,-82.775,6.741,2.312,-8.849,2.109,-15.471,1.116,-9.520,0.614,-10.560
320.233,14.832,11.873,2.189,-9.853,2.818,-14.568,1.314,-9.397,0.918,-10.449
320.245,41.519,-45.372,3.032,-11.059,3.911,-14.874,1.464,-9.254,1.222,-10.381
320.256,22.985,-49.387,4.387,-12.623,4.213,-14.555,1.692,-9.157,1.545,-10.376
320.268,-5.499,-65.285,5.242,-13.845,4.774,-15.289,2.137,-9.107,1.919,-10.405
320.279,-65.263,-13.204,4.901,-14.381,3.872,-14.727,2.734,-9.179,2.316,-10.454
320.291,-46.407,11.762,4.288,-13.607,3.135,-13.593,3.214,-9.231,2.696,-10.473
320.302,27.326,-16.435,4.313,-12.483,3.692,-12.979,3.485,-9.285,3.040,-10.437
320.314,43.290,-38.246,5.584,-11.904,4.223,-12.522,3.670,-9.214,3.390,-10.355
320.325,29.498,-42.702,6.955,-11.678,4.307,-12.657,4.008,-9.178,3.779,-10.248
320.337,-5.422,15.722,7.677,-10.893,4.432,-12.195,4.528,-9.146,4.214,-10.126
320.349,-5.571,28.381,7.852,-9.241,4.067,-11.417,4.943,-9.116,4.654,-9.957
320.360,11.869,22.936,8.034,-7.409,4.287,-10.968,5.163,-8.993,5.047,-9.727
320.372,47.053,-18.378,8.733,-6.332,4.722,-11.282,5.289,-8.755,5.391,-9.437
320.383,46.289,-29.109,9.688,-6.178,4.831,-10.872,5.533,-8.519,5.737,-9.148
320.395,19.270,-5.158,10.351,-6.316,5.224,-10.617,5.869,-8.335,6.094,-8.893
320.406,-2.073,21.363,10.286,-5.962,4.971,-10.174,6.119,-8.302,6.426,-8.685
320.418,27.931,-2.203,10.091,-5.571,5.218,-10.637,6.252,-8.236,6.705,-8.501
320.430,43.909,-30.004,10.527,-6.083,5.212,-11.692,6.129,-8.181,6.907,-8.368
320.441,39.882,-41.478,11.159,-7.235,4.845,-11.729,6.151,-8.158,7.070,-8.322
320.453,29.069,-39.254,11.644,-8.657,4.916,-12.323,6.266,-8.227,7.231,-8.362
320.465,5.232,10.236,11.544,-9.490,4.868,-11.975,6.464,-8.488,7.384,-8.505
320.475,19.297,3.084,11.217,-9.474,4.619,-12.312,6.602,-8.656,7.493,-8.641
320.486,17.042,-72.990,11.200,-9.639,4.611,-13.309,6.439,-8.938,7.526,-8.801
320.496,-43.939,33.109,10.719,-10.026,3.259,-12.881,6.483,-9.156,7.531,-8.993
320.506,45.560,-11.958,9.595,-9.463,3.018,-12.778,6.432,-9.468,7.495,-9.191
320.517,32.793,9.228,9.336,-9.059,3.122,-12.410,6.222,-9.686,7.388,-9.380
320.527,9.691,17.904,8.980,-7.923,2.951,-12.619,6.183,-9.839,7.279,-9.525
320.537,-45.737,-37.807,8.557,-7.069,1.841,-13.457,5.934,-9.963,7.113,-9.634
320.547,-17.702,0.296,7.549,-6.533,1.160,-12.985,5.955,-9.921,6.950,-9.694
320.558,68.144,-17.486,7.292,-6.216,1.542,-12.932,5.621,-9.966,6.751,-9.727
320.568,-10.696,40.107,7.522,-5.624,1.546,-12.532,5.656,-10.025,6.567,-9.747
320.578,-15.934,-73.314,7.116,-4.233,1.367,-12.688,5.605,-9.899,6.424,-9.694
320.588,-50.702,-34.033,6.357,-4.244,0.271,-12.987,5.458,-9.588,6.235,-9.575
320.599,39.827,-44.519,5.596,-4.687,0.321,-12.933,5.352,-9.199,6.053,-9.411
320.609,-16.804,54.640,5.437,-5.293,1.279,-12.173,5.372,-9.018,5.879,-9.246
320.619,15.238,0.485,4.891,-4.703,1.456,-12.139,5.420,-8.814,5.753,-9.062
320.629,-23.459,-51.240,4.759,-4.886,1.147,-12.931,5.284,-8.538,5.615,-8.854
320.640,29.025,-48.941,4.475,-5.101,1.056,-12.368,5.192,-8.146,5.490,-8.622
320.650,-46.407,39.905,4.496,-5.814,0.754,-12.066,5.197,-7.801,5.382,-8.384
320.660,15.607,16.134,3.648,-4.985,0.685,-11.444,5.437,-7.521,5.340,-8.119
320.671,3.243,-16.564,3.460,-4.483,1.236,-11.238,5.362,-7.122,5.275,-7.807
320.683,-9.147,35.357,2.999,-3.824,1.050,-10.070,5.267,-6.583,5.181,-7.349
320.696,-0.687,28.315,3.163,-3.226,1.492,-9.532,5.098,-6.030,5.073,-6.841
320.706,36.424,-48.368,3.729,-2.990,2.051,-9.584,4.943,-5.539,5.024,-6.407
320.716,1.266,-13.739,4.202,-3.355,2.024,-9.558,4.964,-4.979,4.995,-5.956
320.729,34.299,-44.020,4.936,-4.187,2.117,-8.991,4.849,-4.397,4.987,-5.416
320.741,24.379,-57.700,6.226,-5.960,2.344,-8.965,4.778,-3.962,5.022,-4.964
320.754,-17.704,-65.067,7.303,-7.890,2.101,-8.789,4.805,-3.655,5.106,-4.647
320.766,-63.714,-15.816,7.239,-9.423,0.716,-8.149,5.179,-3.528,5.242,-4.447
320.776,40.693,-9.220,6.122,-10.066,1.226,-7.632,5.415,-3.443,5.355,-4.312
320.786,17.072,71.897,5.982,-10.074,2.124,-6.048,5.558,-3.614,5.451,-4.221
320.797,13.107,-21.434,5.832,-8.631,2.079,-4.483,5.741,-3.498,5.575,-4.102
320.807,-30.606,-59.160,5.844,-8.594,1.783,-5.321,5.884,-3.320,5.686,-3.953
320.817,17.654,21.382,5.621,-7.429,2.155,-4.858,6.197,-3.321,5.837,-3.794
320.829,48.113,-7.065,6.065,-5.778,2.381,-4.323,6.300,-3.343,6.016,-3.612
320.842,60.134,-17.482,7.043,-4.792,3.382,-4.142,6.406,-3.254,6.204,-3.407
320.853,-15.387,24.516,7.823,-4.138,3.501,-3.762,6.716,-3.232,6.431,-3.225
320.865,38.937,-28.932,8.098,-3.433,4.380,-4.294,6.757,-3.184,6.660,-3.069
320.876,34.953,-34.355,8.997,-3.890,4.676,-4.628,6.759,-3.100,6.851,-2.951
320.887,-3.933,86.091,9.804,-4.303,4.887,-3.308,7.135,-3.142,7.080,-2.886
320.899,-15.396,49.774,9.523,-3.195,4.883,-3.439,7.607,-3.345,7.358,-2.871
320.910,-12.417,42.216,8.320,-0.948,5.054,-3.788,7.913,-3.443,7.599,-2.801
320.922,8.740,32.445,6.627,1.676,4.819,-3.489,8.066,-3.300,7.747,-2.635
320.933,12.083,4.547,5.381,2.819,4.688,-4.023,8.057,-2.908,7.785,-2.364
320.945,-10.255,11.023,4.805,2.218,4.462,-4.579,7.819,-2.511,7.736,-2.076
320.956,-35.535,11.864,4.348,1.003,4.007,-5.294,7.496,-2.241,7.604,-1.871
320.968,-17.556,-5.731,3.150,-0.137,3.289,-6.091,7.096,-2.047,7.384,-1.732
320.979,-12.262,-9.028,2.030,-1.657,3.030,-6.815,6.768,-1.807,7.092,-1.635
320.991,-24.131,-53.014,1.600,-3.639,2.947,-7.867,6.260,-1.713,6.734,-1.601
321.002,-43.399,-25.943,1.560,-5.716,2.874,-8.281,5.777,-1.861,6.354,-1.696
321.014,1.488,-52.219,1.166,-7.570,2.612,-9.032,5.198,-2.012,5.954,-1.891
321.025,40.825,-48.580,1.527,-9.555,2.805,-9.425,4.575,-2.190,5.525,-2.155
321.037,67.737,5.881,2.851,-10.846,3.605,-9.047,4.024,-2.717,5.110,-2.535
321.048,44.274,17.243,4.154,-11.160,3.995,-8.629,3.869,-3.265,4.804,-2.975
321.060,4.614,-1.571,4.532,-10.644,3.723,-8.121,3.998,-3.675,4.625,-3.399
321.071,6.103,-29.429,3.886,-10.001,3.466,-7.801,4.286,-3.902,4.542,-3.741
321.083,-30.290,-14.266,3.069,-9.619,3.095,-7.627,4.394,-4.259,4.488,-4.039
321.095,-57.429,10.140,2.310,-9.148,4.017,-7.365,4.399,-4.800,4.433,-4.363
321.108,-50.608,7.166,1.159,-8.091,3.434,-6.312,4.424,-5.355,4.361,-4.719
321.120,67.796,14.581,0.210,-6.706,4.333,-6.464,4.448,-5.865,4.283,-5.048
321.132,17.139,54.577,0.186,-5.375,4.689,-5.670,4.611,-6.265,4.224,-5.339
321.142,24.639,-47.101,0.592,-4.500,4.843,-5.874,4.652,-6.501,4.232,-5.566
321.155,25.341,-64.094,1.311,-4.604,4.720,-7.186,4.489,-6.950,4.224,-5.874
321.165,3.521,11.755,1.723,-4.744,4.097,-7.177,4.625,-7.329,4.239,-6.185
321.175,13.955,-25.349,2.291,-4.412,4.008,-7.356,4.709,-7.744,4.329,-6.502
321.185,-66.216,23.794,2.197,-4.378,3.179,-7.416,5.099,-8.151,4.451,-6.847
321.195,55.187,-24.230,1.849,-3.736,3.423,-7.807,5.253,-8.499,4.595,-7.171
321.206,-65.745,-13.390,1.621,-4.162,2.787,-8.346,5.538,-8.686,4.746,-7.479
321.216,27.099,32.346,0.957,-3.321,3.169,-8.201,5.856,-8.922,4.927,-7.745
321.226,-41.211,-48.637,0.721,-2.792,2.813,-9.180,5.975,-9.076,5.078,-7.965
321.236,37.560,9.612,0.806,-2.167,3.014,-9.040,6.106,-9.169,5.245,-8.133
321.247,-66.366,14.695,0.793,-1.524,1.933,-8.734,6.203,-9.236,5.395,-8.260
321.257,59.088,-24.227,0.442,-0.980,2.843,-9.123,6.100,-9.190,5.495,-8.335
321.267,-32.274,21.769,0.668,-0.845,3.353,-9.003,6.295,-9.032,5.595,-8.357
321.277,26.367,-36.967,0.516,-0.589,3.770,-9.616,6.013,-8.940,5.627,-8.347
321.288,-7.895,24.187,0.707,-0.868,4.121,-9.367,6.251,-8.733,5.674,-8.301
321.298,-3.970,-38.011,0.680,-1.143,3.992,-10.155,6.115,-8.525,5.715,-8.232
321.308,14.488,24.239,0.576,-1.633,4.276,-9.403,6.293,-8.220,5.770,-8.133
