R
Px,I,D,Py,I,D,Pz,I,D,FFrx,y,FFdrx,y,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas
175,25,1900,200,25,2100,100,10,0,0,0,0,7,75,10,10.0,16.0,0.001,0.003,0.03
sysTime,GPT1X,GPT1Z,aPT1R,aPT1P,aKFRawR,aKFRawP,aKFPT10R,aKFPT10P,aKFPT20R,aKFPT20P,aKFPT21R,aKFPT21P
592.108,0.731,0.619,0.335,0.958,0.344,0.957,0.342,0.952,0.335,0.953,0.322,0.941
592.118,0.018,0.182,0.320,0.950,0.328,0.943,0.328,0.939,0.323,0.938,0.326,0.941
592.129,-0.481,0.310,0.307,0.920,0.302,0.937,0.305,0.939,0.302,0.939,0.325,0.945
592.139,-0.468,0.538,0.280,0.937,0.295,0.962,0.302,0.960,0.302,0.961,0.322,0.951
592.150,-0.702,-1.345,0.326,0.924,0.301,0.923,0.300,0.924,0.300,0.924,0.319,0.949
592.161,-0.301,-0.547,0.325,0.916,0.316,0.935,0.316,0.937,0.315,0.938,0.316,0.941
592.172,-0.960,-0.669,0.327,0.904,0.301,0.930,0.299,0.935,0.299,0.936,0.311,0.936
592.183,-1.978,-0.671,0.321,0.932,0.266,0.924,0.266,0.924,0.265,0.925,0.297,0.929
592.193,-1.178,-0.960,0.315,0.922,0.286,0.907,0.287,0.908,0.286,0.909,0.285,0.921
592.204,-1.320,-0.799,0.325,0.915,0.267,0.884,0.266,0.887,0.265,0.888,0.273,0.907
592.215,-0.156,-0.272,0.323,0.909,0.291,0.900,0.291,0.904,0.290,0.906,0.269,0.906
592.226,-0.629,1.019,0.327,0.916,0.284,0.951,0.283,0.953,0.282,0.955,0.268,0.913
592.237,0.150,0.330,0.335,0.877,0.306,0.928,0.303,0.938,0.303,0.940,0.267,0.920
592.249,-0.278,-0.248,0.336,0.862,0.303,0.907,0.301,0.919,0.299,0.924,0.271,0.921
592.260,-0.716,-0.839,0.349,0.873,0.309,0.898,0.304,0.908,0.302,0.913,0.273,0.918
592.271,-1.755,-1.731,0.358,0.885,0.277,0.877,0.270,0.884,0.267,0.890,0.264,0.905
592.282,-1.876,0.025,0.344,0.907,0.262,0.932,0.258,0.934,0.254,0.940,0.251,0.898
