R
Px,I,D,Py,I,D,Pz,I,D,FFrx,y,FFdrx,y,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas
175,25,1900,200,25,2100,100,50,0,0,0,0,7,75,10,10.0,16.0,0.001,0.003,0.03
sysTime,aRawR,aRawP,aPT2R,aPT2P,aKFPT21R,aKFPT21P
156.711,-3.001,0.249,-2.877,0.176,-2.900,0.162
156.721,-2.761,0.000,-2.881,0.181,-2.915,0.169
156.731,-2.983,0.168,-2.887,0.182,-2.933,0.175
156.742,-2.926,0.083,-2.897,0.176,-2.945,0.179
156.752,-2.755,0.125,-2.901,0.163,-2.957,0.181
156.762,-2.845,0.209,-2.905,0.158,-2.967,0.180
156.773,-2.935,-0.041,-2.914,0.155,-2.984,0.185
156.783,-3.272,0.293,-2.931,0.157,-2.996,0.198
156.793,-2.884,0.334,-2.939,0.161,-3.006,0.209
156.804,-2.757,0.250,-2.939,0.170,-3.009,0.215
156.814,-2.932,0.125,-2.937,0.177,-3.006,0.216
156.824,-2.899,0.252,-2.939,0.182,-2.996,0.217
156.835,-2.683,0.167,-2.929,0.186,-2.992,0.217
156.845,-3.091,0.208,-2.921,0.190,-2.999,0.220
156.855,-2.636,0.209,-2.915,0.198,-3.009,0.227
156.866,-2.767,0.041,-2.902,0.200,-3.015,0.230
156.876,-2.922,0.125,-2.891,0.195,-3.025,0.233
156.886,-2.932,0.293,-2.887,0.192,-3.029,0.237
156.897,-2.640,-0.125,-2.885,0.187,-3.031,0.235
156.907,-2.838,0.459,-2.882,0.179,-3.026,0.236
156.917,-2.932,0.418,-2.876,0.183,-3.025,0.231
156.928,-2.723,0.000,-2.871,0.188,-3.020,0.222
156.938,-2.895,0.125,-2.867,0.188,-3.013,0.216
156.948,-2.886,0.250,-2.860,0.182,-3.004,0.206
156.958,-3.125,0.041,-2.857,0.182,-2.997,0.196
156.969,-2.745,0.166,-2.862,0.188,-2.985,0.187
156.979,-2.893,0.041,-2.864,0.188,-2.973,0.179
156.989,-2.972,0.000,-2.866,0.195,-2.963,0.169
157.000,-2.765,0.167,-2.875,0.199,-2.963,0.165
157.010,-3.049,0.208,-2.888,0.199,-2.964,0.163
157.020,-2.805,0.251,-2.903,0.203,-2.957,0.167
157.031,-2.811,0.377,-2.910,0.210,-2.954,0.171
157.041,-2.751,0.083,-2.916,0.212,-2.950,0.174
157.051,-2.586,0.250,-2.918,0.208,-2.945,0.182
157.061,-3.144,0.167,-2.916,0.208,-2.945,0.195
157.072,-2.870,-0.253,-2.915,0.208,-2.944,0.201
157.082,-3.051,0.000,-2.917,0.205,-2.944,0.198
157.092,-3.018,0.125,-2.920,0.200,-2.947,0.197
157.103,-2.836,0.166,-2.924,0.194,-2.945,0.201
157.113,-2.968,0.250,-2.925,0.191,-2.941,0.207
157.124,-2.974,0.041,-2.922,0.186,-2.940,0.206
157.134,-2.749,0.291,-2.917,0.179,-2.948,0.197
157.144,-3.223,0.125,-2.911,0.175,-2.957,0.191
157.154,-2.968,0.125,-2.902,0.170,-2.964,0.183
157.165,-2.890,0.418,-2.895,0.167,-2.965,0.169
157.175,-2.791,0.166,-2.893,0.180,-2.962,0.164
157.185,-2.963,0.000,-2.887,0.187,-2.961,0.162
157.196,-2.972,0.041,-2.885,0.192,-2.959,0.171
157.206,-2.759,0.125,-2.883,0.198,-2.952,0.183
157.218,-2.845,0.083,-2.877,0.199,-2.950,0.192
157.228,-2.920,0.166,-2.872,0.198,-2.950,0.195
157.240,-2.966,0.292,-2.869,0.198,-2.945,0.199
157.252,-2.807,0.125,-2.867,0.200,-2.940,0.202
157.264,-3.058,0.628,-2.868,0.199,-2.944,0.202
157.276,-3.012,0.125,-2.869,0.198,-2.953,0.200
157.288,-2.799,0.250,-2.866,0.196,-2.950,0.195
157.300,-2.847,0.083,-2.864,0.197,-2.952,0.181
157.312,-3.009,0.083,-2.863,0.200,-2.951,0.166
157.324,-2.594,0.418,-2.866,0.198,-2.957,0.154
157.336,-3.007,0.292,-2.870,0.199,-2.958,0.149
157.348,-2.939,0.335,-2.872,0.196,-2.959,0.138
157.358,-2.797,0.208,-2.875,0.199,-2.962,0.115
157.370,2.252,3.596,-2.815,0.262,-2.970,0.092
157.382,-6.095,-2.741,-2.652,0.263,-3.005,0.095
157.394,4.203,-1.255,-2.596,0.189,-3.039,0.101
157.406,-11.133,-1.092,-2.722,0.085,-3.074,0.110
157.418,-1.360,1.117,-2.991,0.036,-3.113,0.121
157.430,-10.721,1.897,-3.162,0.100,-3.136,0.142
157.442,3.044,3.784,-3.252,0.260,-3.152,0.161
157.454,-11.710,4.137,-3.272,0.418,-3.159,0.193
157.466,0.890,5.996,-3.337,0.398,-3.187,0.228
157.478,-1.640,-1.093,-3.425,0.444,-3.215,0.255
157.488,-8.979,2.005,-3.448,0.518,-3.231,0.285
157.500,4.568,-12.590,-3.346,0.596,-3.232,0.326
157.512,-1.301,7.231,-3.015,0.577,-3.205,0.367
157.524,-4.967,-8.214,-3.130,0.707,-3.192,0.401
157.536,6.157,3.229,-2.990,0.521,-3.221,0.442
157.548,6.428,11.166,-2.901,0.746,-3.194,0.448
157.560,5.901,16.314,-3.199,0.661,-3.173,0.443
157.572,-5.551,5.473,-3.416,1.081,-3.201,0.467
157.584,2.571,22.677,-3.053,1.238,-3.211,0.516
157.596,9.984,-18.359,-2.273,1.101,-3.211,0.586
157.608,-12.836,-4.559,-1.979,1.308,-3.205,0.660
157.618,-19.391,4.732,-1.958,1.164,-3.203,0.733
157.630,4.296,25.111,-2.133,0.801,-3.199,0.820
157.642,-2.421,-2.989,-2.605,0.913,-3.188,0.893
157.654,-12.801,-13.576,-2.986,1.085,-3.168,0.962
157.666,5.382,13.187,-3.176,1.082,-3.145,1.004
157.678,-10.296,-1.315,-3.244,0.872,-3.137,1.012
157.690,-5.134,-7.647,-3.262,0.704,-3.135,0.991
157.702,-18.845,-5.414,-3.393,0.680,-3.146,0.970
157.714,1.315,4.811,-3.513,0.650,-3.166,0.943
157.726,-6.949,9.024,-3.797,0.690,-3.189,0.925
157.736,-8.693,-17.651,-4.014,0.740,-3.216,0.917
157.749,-0.842,6.245,-4.158,0.811,-3.253,0.920
157.761,-4.819,21.445,-4.194,0.842,-3.294,0.932
157.773,-14.195,-3.389,-4.094,0.820,-3.324,0.937
