R
Px,I,D,Py,I,D,Pz,I,D,FFrx,y,FFdrx,y,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas
175,25,1900,200,25,2100,100,50,0,0,0,0,7,75,10,10.0,16.0,0.001,0.003,0.03
sysTime,aRawR,aRawP,aPT2R,aPT2P,aKFPT21R,aKFPT21P
235.503,-1.549,1.005,-1.670,1.140,-1.693,1.126
235.513,-1.929,1.341,-1.673,1.150,-1.699,1.115
235.523,-1.670,1.043,-1.678,1.167,-1.709,1.102
235.534,-1.458,1.166,-1.680,1.183,-1.708,1.090
235.544,-1.761,1.300,-1.678,1.199,-1.706,1.082
235.554,-1.842,1.381,-1.677,1.208,-1.700,1.077
235.565,-1.503,1.085,-1.678,1.210,-1.694,1.083
235.575,-1.712,1.252,-1.676,1.211,-1.677,1.089
235.585,-1.681,1.218,-1.676,1.218,-1.661,1.102
235.596,-1.721,1.049,-1.673,1.223,-1.652,1.105
235.606,-1.723,1.387,-1.674,1.226,-1.639,1.110
235.616,-1.674,1.255,-1.676,1.232,-1.629,1.124
235.627,-1.840,1.003,-1.677,1.234,-1.629,1.129
235.637,-1.668,1.209,-1.677,1.227,-1.635,1.127
235.647,-1.756,1.379,-1.675,1.225,-1.639,1.126
235.658,-1.716,1.088,-1.672,1.228,-1.643,1.133
235.668,-1.588,1.211,-1.676,1.225,-1.641,1.144
235.679,-1.629,1.253,-1.677,1.222,-1.642,1.153
235.689,-1.626,1.209,-1.679,1.226,-1.648,1.159
235.699,-1.846,0.965,-1.672,1.223,-1.650,1.168
235.710,-1.710,1.168,-1.673,1.220,-1.646,1.180
235.720,-1.760,1.299,-1.675,1.219,-1.642,1.187
235.730,-1.501,1.125,-1.673,1.219,-1.641,1.182
235.741,-1.962,1.169,-1.672,1.216,-1.635,1.174
235.751,-1.716,0.962,-1.678,1.215,-1.626,1.172
235.761,-1.674,1.213,-1.681,1.201,-1.619,1.170
235.772,-1.760,1.424,-1.681,1.200,-1.615,1.165
235.782,-1.708,1.208,-1.688,1.202,-1.615,1.159
235.793,-1.545,1.252,-1.695,1.207,-1.609,1.166
235.803,-1.419,1.294,-1.692,1.210,-1.605,1.170
235.813,-1.844,1.131,-1.685,1.220,-1.596,1.171
235.824,-1.751,1.167,-1.684,1.225,-1.589,1.180
235.834,-1.794,1.376,-1.683,1.227,-1.595,1.189
235.844,-1.708,1.125,-1.689,1.221,-1.597,1.193
235.855,-1.585,1.001,-1.685,1.217,-1.602,1.197
235.865,-1.595,1.259,-1.682,1.216,-1.599,1.202
235.876,-1.340,1.214,-1.672,1.223,-1.596,1.215
