R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,Dz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas
175,25,1900,200,25,2100,100,10,0,0,0,0,7,75,10,10.0,16.0,0.001,0.003,0.03
sysTime,GPT1X,GPT1Z,aPT1R,aPT1P,aKFRawR,aKFRawP,aKFPT10R,aKFPT10P,aKFPT20R,aKFPT20P,aKFPT21R,aKFPT21P
532.916,-0.184,1.340,0.008,0.553,0.023,0.604,0.044,0.598,0.044,0.595,0.063,0.578
532.926,-0.199,0.319,0.017,0.593,0.035,0.587,0.056,0.576,0.056,0.572,0.062,0.580
532.937,-0.310,1.165,0.000,0.592,0.022,0.631,0.045,0.620,0.046,0.615,0.057,0.588
532.948,0.375,-0.478,0.003,0.583,0.029,0.601,0.052,0.592,0.053,0.586,0.055,0.589
532.958,0.077,0.001,0.013,0.597,0.032,0.603,0.054,0.592,0.055,0.585,0.059,0.584
532.969,0.736,0.768,0.058,0.592,0.057,0.622,0.071,0.612,0.071,0.605,0.062,0.588
532.980,1.127,0.709,-0.002,0.590,0.052,0.624,0.077,0.615,0.077,0.608,0.069,0.593
532.990,0.565,0.974,0.012,0.641,0.050,0.628,0.072,0.611,0.073,0.603,0.077,0.597
533.001,-0.833,-1.112,0.052,0.603,0.018,0.586,0.033,0.576,0.033,0.567,0.072,0.597
533.012,0.040,-0.140,0.069,0.620,0.034,0.606,0.047,0.593,0.045,0.584,0.066,0.589
533.022,0.293,-0.564,0.091,0.648,0.049,0.590,0.059,0.572,0.054,0.562,0.067,0.581
533.033,0.498,-1.400,0.096,0.620,0.059,0.558,0.069,0.545,0.063,0.535,0.072,0.571
533.044,1.229,-0.599,0.096,0.589,0.086,0.561,0.096,0.555,0.089,0.546,0.083,0.562
533.054,1.387,-0.626,0.096,0.579,0.101,0.551,0.111,0.546,0.104,0.539,0.096,0.557
533.065,1.524,-0.856,0.104,0.575,0.129,0.534,0.137,0.531,0.129,0.524,0.113,0.548
533.076,1.707,-1.123,0.125,0.575,0.156,0.532,0.162,0.529,0.152,0.524,0.130,0.541
