R
Px,I,D,Py,I,D,Pz,I,D,FFrx,y,FFdrx,y,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas
175,25,1900,200,25,2100,100,50,0,0,0,0,7,75,10,10.0,16.0,0.001,0.003,0.03
sysTime,aRawR,aRawP,aPT2R,aPT2P,aKFPT21R,aKFPT21P
130.010,-7.145,21.711,-4.717,0.912,-4.463,1.590
130.021,-13.665,17.278,-4.566,0.611,-4.476,1.566
130.031,-22.747,-2.582,-4.305,0.444,-4.461,1.524
130.042,14.949,-17.708,-4.250,0.473,-4.455,1.496
130.052,18.304,30.202,-4.404,0.390,-4.482,1.480
130.062,-20.813,-25.928,-4.318,0.423,-4.546,1.461
130.073,6.704,24.160,-4.187,0.639,-4.609,1.450
130.083,4.222,-6.832,-4.233,0.483,-4.663,1.436
130.094,-10.959,-49.499,-4.257,0.900,-4.708,1.427
130.104,-11.012,45.698,-4.006,0.637,-4.724,1.405
130.114,17.390,-64.761,-4.079,0.708,-4.732,1.378
130.125,-14.935,52.171,-4.054,0.700,-4.711,1.370
130.135,22.272,-59.290,-4.067,0.513,-4.683,1.352
130.146,-9.190,24.312,-3.836,0.584,-4.635,1.340
130.156,10.380,-59.012,-3.789,0.253,-4.583,1.280
130.166,-0.494,27.253,-3.501,0.459,-4.520,1.223
130.177,5.054,-31.807,-3.433,-0.110,-4.422,1.172
130.187,-15.007,71.620,-3.101,0.188,-4.300,1.128
130.198,-3.708,-35.917,-3.097,-0.078,-4.169,1.091
130.208,58.170,14.620,-2.584,-0.239,-4.053,1.028
130.219,-47.821,-4.545,-2.586,-0.174,-3.916,0.961
130.229,4.828,79.529,-2.719,-0.271,-3.802,0.912
130.239,45.806,7.062,-2.200,-0.077,-3.697,0.896
130.250,-13.427,-67.912,-1.911,-0.569,-3.591,0.930
130.260,-18.980,40.446,-2.203,-0.322,-3.529,0.973
130.271,6.416,44.109,-2.026,1.097,-3.502,1.085
130.281,-13.522,-71.297,-1.976,0.845,-3.495,1.251
130.292,16.172,20.708,-1.786,0.158,-3.465,1.382
130.302,24.186,21.642,-0.797,0.744,-3.368,1.544
130.313,-19.742,-64.131,-0.306,0.509,-3.209,1.745
130.323,-21.704,13.631,-0.765,0.063,-3.014,1.953
130.333,-15.038,52.786,-1.083,0.476,-2.819,2.148
130.344,41.699,20.563,-0.941,0.590,-2.643,2.336
130.354,33.686,-15.381,-0.437,0.096,-2.405,2.539
130.365,-12.105,-56.439,-0.115,-0.726,-2.124,2.703
130.375,-2.009,23.297,-0.077,-1.244,-1.829,2.800
130.385,20.103,29.134,0.059,-1.147,-1.546,2.825
130.396,-62.888,-21.860,-0.408,-1.473,-1.289,2.803
130.406,-43.439,29.472,-1.448,-1.659,-1.110,2.743
130.417,28.425,-17.486,-1.872,-1.636,-1.004,2.653
130.427,22.206,-64.785,-1.795,-2.127,-1.009,2.514
130.438,1.029,38.484,-1.808,-1.351,-1.011,2.336
130.448,-14.342,10.649,-2.017,-0.311,-1.070,2.148
130.459,-37.490,-50.386,-2.630,-0.594,-1.198,1.930
130.469,-2.958,31.624,-2.882,-0.549,-1.382,1.641
130.479,38.816,22.381,-2.392,-0.053,-1.603,1.316
130.490,3.585,-63.799,-1.759,-0.511,-1.804,0.971
130.501,3.150,-41.598,-1.712,-1.054,-1.970,0.561
