R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,64.0,0.000100,0.003000,50,40,120,30,100,155,300,0,0,0.995
sysTime,PIDRefX,PIDSensX,PIDPoutX,PIDIoutX,PIDDoutX,PIDUX
256.775,0.000,-1.939,0.033,0.024,-0.072,0.130
256.786,0.000,-0.958,0.016,0.027,0.031,0.013
256.798,0.000,-0.310,0.005,0.032,0.153,-0.115
256.808,0.000,-0.463,0.008,0.033,0.073,-0.032
256.819,0.000,0.240,-0.004,0.033,0.095,-0.065
256.830,0.000,-0.190,0.003,0.032,-0.016,0.052
256.841,0.000,0.227,-0.003,0.033,0.049,-0.020
256.852,0.000,0.954,-0.016,0.031,0.079,-0.064
256.863,0.000,-0.863,0.015,0.031,-0.091,0.138
256.874,0.000,-0.806,0.014,0.032,-0.081,0.128
256.885,0.000,-0.971,0.017,0.034,-0.080,0.132
256.896,0.000,-1.010,0.017,0.036,-0.051,0.106
256.907,0.000,-1.113,0.019,0.039,-0.047,0.106
256.918,0.000,-0.750,0.013,0.042,0.008,0.046
256.929,0.000,-0.172,0.003,0.043,0.054,-0.008
256.940,0.000,0.385,-0.006,0.043,0.101,-0.064
256.950,0.000,0.570,-0.009,0.042,0.072,-0.040
256.961,0.000,1.502,-0.026,0.040,0.127,-0.114
256.972,0.000,1.008,-0.017,0.036,0.036,-0.017
256.983,0.000,0.863,-0.015,0.034,0.007,0.011
256.994,0.000,-0.470,0.008,0.033,-0.131,0.173
257.005,0.000,0.210,-0.003,0.034,0.025,0.005
257.016,0.148,-0.698,0.014,0.035,-0.073,0.123
257.027,0.148,-1.168,0.023,0.039,-0.052,0.114
257.038,0.148,-2.215,0.041,0.044,-0.132,0.218
257.049,0.148,-1.323,0.025,0.049,0.006,0.069
257.060,0.148,-1.229,0.024,0.054,0.034,0.043
257.070,0.148,-0.989,0.019,0.058,0.052,0.025
257.081,0.148,-1.751,0.033,0.062,-0.031,0.126
257.092,0.148,0.150,-0.000,0.065,0.150,-0.084
257.103,0.148,-0.185,0.005,0.065,0.037,0.033
257.114,0.000,-0.728,0.012,0.067,-0.001,0.081
257.125,0.000,-0.293,0.005,0.068,0.002,0.070
257.136,0.000,-0.334,0.005,0.068,-0.028,0.102
257.147,0.000,-0.606,0.010,0.068,-0.057,0.137
257.158,0.000,-1.423,0.024,0.071,-0.102,0.199
257.169,0.000,-1.496,0.026,0.074,-0.104,0.205
257.180,0.000,-0.305,0.005,0.077,0.053,0.028
257.191,0.000,0.314,-0.005,0.076,0.065,0.005
257.201,0.000,-1.018,0.017,0.078,-0.039,0.135
257.212,0.000,-1.432,0.025,0.082,-0.054,0.161
257.223,0.000,-2.397,0.041,0.087,-0.123,0.252
257.234,0.000,-2.249,0.039,0.094,-0.017,0.151
257.245,0.000,-0.405,0.007,0.098,0.153,-0.048
257.256,0.000,-0.984,0.017,0.098,0.007,0.109
257.267,0.000,-0.576,0.010,0.101,0.057,0.053
257.278,0.000,0.029,-0.000,0.102,0.102,-0.000
257.289,0.000,1.386,-0.024,0.100,0.152,-0.076
257.300,0.000,0.991,-0.017,0.097,0.078,0.001
257.311,0.000,1.442,-0.025,0.094,0.070,-0.001
257.321,0.000,0.328,-0.005,0.092,-0.029,0.116
257.332,0.000,0.714,-0.012,0.091,0.008,0.070
257.343,0.000,0.165,-0.002,0.090,-0.037,0.124
