R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,64.0,0.000100,0.003000,20,30,0,0,0,75,300,0,0,0.995
sysTime,PIDRefX,PIDSensX,PIDPoutX,PIDIoutX,PIDDoutX,PIDUX
205.659,0.000,16.516,-0.289,-0.012,0.136,0.000
205.670,0.000,16.516,-0.289,-0.012,0.136,0.000
205.681,0.000,16.516,-0.289,-0.012,0.136,0.000
205.693,0.000,16.516,-0.289,-0.012,0.136,0.000
205.704,0.000,16.516,-0.289,-0.012,0.136,0.000
205.714,0.000,16.516,-0.289,-0.012,0.136,0.000
205.725,0.000,16.516,-0.289,-0.012,0.136,0.000
205.736,0.000,16.516,-0.289,-0.012,0.136,0.000
205.747,0.000,16.516,-0.289,-0.012,0.136,0.000
205.758,0.000,16.516,-0.289,-0.012,0.136,0.000
205.769,0.000,16.516,-0.289,-0.012,0.136,0.000
205.780,0.000,16.516,-0.289,-0.012,0.136,0.000
205.791,0.000,16.516,-0.289,-0.012,0.136,0.000
205.802,0.000,16.516,-0.289,-0.012,0.136,0.000
205.814,0.000,16.516,-0.289,-0.012,0.136,0.000
205.824,0.000,16.516,-0.289,-0.012,0.136,0.000
205.835,0.000,16.516,-0.289,-0.012,0.136,0.000
205.846,0.000,16.516,-0.289,-0.012,0.136,0.000
205.857,0.000,16.516,-0.289,-0.012,0.136,0.000
205.868,0.000,16.516,-0.289,-0.012,0.136,0.000
205.879,0.000,16.516,-0.289,-0.012,0.136,0.000
205.890,0.000,16.516,-0.289,-0.012,0.136,0.000
205.901,0.000,16.516,-0.289,-0.012,0.136,0.000
205.912,0.000,16.516,-0.289,-0.012,0.136,0.000
205.923,0.000,16.516,-0.289,-0.012,0.136,0.000
205.934,0.000,16.516,-0.289,-0.012,0.136,0.000
205.944,0.000,16.516,-0.289,-0.012,0.136,0.000
205.956,0.000,16.516,-0.289,-0.012,0.136,0.000
205.967,0.000,16.516,-0.289,-0.012,0.136,0.000
205.978,0.000,16.516,-0.289,-0.012,0.136,0.000
205.989,0.000,16.516,-0.289,-0.012,0.136,0.000
206.000,0.000,16.516,-0.289,-0.012,0.136,0.000
206.011,0.000,16.516,-0.289,-0.012,0.136,0.000
206.022,0.000,16.516,-0.289,-0.012,0.136,0.000
206.033,0.000,16.516,-0.289,-0.012,0.136,0.000
206.044,0.000,16.516,-0.289,-0.012,0.136,0.000
206.055,0.000,16.516,-0.289,-0.012,0.136,0.000
206.065,0.000,16.516,-0.289,-0.012,0.136,0.000
206.077,0.000,16.516,-0.289,-0.012,0.136,0.000
206.088,0.000,16.516,-0.289,-0.012,0.136,0.000
206.099,0.000,16.516,-0.289,-0.012,0.136,0.000
206.110,0.000,16.516,-0.289,-0.012,0.136,0.000
206.121,0.000,16.516,-0.289,-0.012,0.136,0.000
206.132,0.000,16.516,-0.289,-0.012,0.136,0.000
206.143,0.000,16.516,-0.289,-0.012,0.136,0.000
206.154,0.000,16.516,-0.289,-0.012,0.136,0.000
206.165,0.000,16.516,-0.289,-0.012,0.136,0.000
206.176,0.000,16.516,-0.289,-0.012,0.136,0.000
206.186,0.000,16.516,-0.289,-0.012,0.136,0.000
206.198,0.000,16.516,-0.289,-0.012,0.136,0.000
206.209,0.000,16.516,-0.289,-0.012,0.136,0.000
206.220,0.000,16.516,-0.289,-0.012,0.136,0.000
206.231,0.000,16.516,-0.289,-0.012,0.136,0.000
206.242,0.000,16.516,-0.289,-0.012,0.136,0.000
206.253,0.000,16.516,-0.289,-0.012,0.136,0.000
206.264,0.000,16.516,-0.289,-0.012,0.136,0.000
206.275,0.000,16.516,-0.289,-0.012,0.136,0.000
206.286,0.000,16.516,-0.289,-0.012,0.136,0.000
206.297,0.000,16.516,-0.289,-0.012,0.136,0.000
206.308,0.000,2.423,-0.042,-0.001,0.317,0.000
206.318,0.000,1.302,-0.022,-0.006,0.096,0.000
206.329,0.000,0.365,-0.006,-0.008,-0.022,0.000
206.340,0.000,0.882,-0.015,-0.010,0.021,0.000
206.351,0.000,0.045,-0.000,-0.010,-0.035,0.000
206.362,0.000,0.594,-0.010,-0.011,0.032,0.000
206.372,0.000,-0.534,0.009,-0.011,-0.078,0.000
206.383,0.000,0.084,-0.001,-0.011,-0.005,0.000
206.394,0.000,0.568,-0.009,-0.012,0.068,0.000
206.404,0.000,0.170,-0.002,-0.013,-0.002,0.000
206.415,0.000,2.570,-0.044,-0.017,0.172,0.000
206.426,0.000,0.677,-0.011,-0.021,-0.059,0.000
206.437,0.000,0.616,-0.010,-0.025,-0.103,0.000
206.448,0.000,0.053,-0.000,-0.025,-0.100,0.000
206.460,0.000,1.737,-0.030,-0.029,0.067,0.000
206.471,0.000,1.737,-0.030,-0.034,0.020,0.000
206.482,0.000,-0.252,0.004,-0.035,-0.132,0.000
206.493,0.000,-1.228,0.021,-0.032,-0.122,0.000
206.504,0.000,-1.602,0.028,-0.028,-0.092,0.000
206.515,0.000,-1.061,0.018,-0.024,0.027,0.000
206.526,0.000,-0.923,0.016,-0.022,-0.013,0.000
206.537,0.000,-0.906,0.015,-0.019,0.008,0.000
206.548,0.000,-0.436,0.007,-0.017,0.048,0.000
206.559,0.000,-1.366,0.023,-0.015,-0.057,0.000
206.570,0.000,-1.325,0.023,-0.012,-0.043,0.000
206.580,0.000,0.599,-0.010,-0.013,0.069,0.000
206.591,0.000,0.653,-0.011,-0.014,0.068,0.000
206.602,0.000,0.572,-0.010,-0.015,0.045,0.000
206.613,0.000,-0.028,0.000,-0.017,-0.064,0.000
206.624,0.000,0.759,-0.013,-0.018,0.013,0.000
206.634,0.000,-0.508,0.008,-0.018,-0.083,0.000
206.645,0.000,1.162,-0.020,-0.018,0.129,0.000
206.656,0.000,-0.717,0.012,-0.020,-0.137,0.000
206.667,0.000,0.120,-0.002,-0.019,-0.009,0.000
206.678,0.000,1.303,-0.022,-0.021,0.112,0.000
206.689,0.000,0.996,-0.017,-0.025,0.023,0.000
206.699,0.000,0.878,-0.015,-0.028,-0.035,0.000
206.710,0.000,-0.140,0.002,-0.029,-0.079,0.000
206.721,0.000,0.359,-0.006,-0.030,-0.033,0.000
206.732,0.000,-0.828,0.014,-0.030,-0.144,0.000
206.743,0.000,0.010,-0.000,-0.029,-0.024,0.000
206.753,0.000,0.702,-0.012,-0.030,0.046,0.000
206.764,0.000,0.578,-0.010,-0.030,0.070,0.000
206.775,0.000,-0.342,0.006,-0.031,-0.042,0.000
206.786,0.000,0.854,-0.014,-0.032,0.068,0.000
206.797,0.000,0.718,-0.012,-0.034,0.014,0.000
206.807,0.000,-0.218,0.003,-0.035,-0.066,0.000
206.818,0.000,0.231,-0.004,-0.035,0.019,0.000
206.829,0.000,-0.660,0.011,-0.036,-0.112,0.000
206.840,0.000,0.613,-0.010,-0.036,0.012,0.000
206.851,0.000,1.348,-0.023,-0.039,0.075,0.000
206.861,0.000,0.547,-0.009,-0.041,0.002,0.000
206.872,0.000,-0.359,0.006,-0.041,-0.064,0.000
206.883,0.000,-1.467,0.025,-0.040,-0.180,0.000
206.894,0.000,0.069,-0.001,-0.038,0.024,0.000
206.905,0.000,-0.659,0.011,-0.037,-0.022,0.000
206.916,0.000,-0.878,0.015,-0.034,-0.028,0.000
206.926,0.000,-0.698,0.012,-0.033,-0.027,0.000
206.937,0.000,-1.434,0.025,-0.030,-0.064,0.000
206.948,0.000,-1.027,0.017,-0.026,0.014,0.000
206.959,0.000,-1.164,0.020,-0.022,0.026,0.000
206.970,0.000,0.027,-0.000,-0.020,0.112,0.000
206.980,0.000,1.064,-0.018,-0.022,0.138,0.000
206.991,0.000,1.294,-0.022,-0.023,0.150,0.000
207.002,0.000,1.460,-0.025,-0.026,0.129,0.000
207.013,0.000,0.504,-0.008,-0.029,-0.010,0.000
207.024,0.000,0.635,-0.011,-0.032,-0.043,0.000
207.034,0.000,-0.134,0.002,-0.033,-0.088,0.000
207.045,0.000,0.196,-0.003,-0.031,0.026,0.000
207.056,0.000,1.390,-0.024,-0.033,0.128,0.000
207.067,0.000,0.735,-0.012,-0.037,-0.012,0.000
207.078,0.000,1.585,-0.027,-0.041,0.027,0.000
207.088,0.000,0.335,-0.005,-0.042,-0.035,0.000
207.099,0.000,0.777,-0.013,-0.043,0.047,0.000
207.110,0.000,-0.913,0.015,-0.042,-0.093,0.000
207.121,0.000,0.749,-0.013,-0.043,0.090,0.000
207.132,0.000,0.341,-0.005,-0.044,0.012,0.000
207.143,0.000,-1.588,0.027,-0.043,-0.168,0.000
207.154,0.000,-0.218,0.003,-0.041,-0.018,0.000
207.165,0.000,3.865,-0.067,-0.047,0.297,0.000
207.175,0.000,3.410,-0.059,-0.057,0.149,0.000
207.186,0.000,3.629,-0.063,-0.067,0.122,0.000
207.197,0.000,2.843,-0.049,-0.076,-0.011,0.000
207.208,0.000,0.903,-0.015,-0.082,-0.200,0.000
207.219,0.000,0.938,-0.016,-0.085,-0.119,0.000
207.230,0.000,-1.881,0.032,-0.084,-0.322,0.000
207.240,0.000,-2.160,0.037,-0.078,-0.211,0.000
207.251,0.000,-2.121,0.037,-0.074,-0.168,0.000
207.262,0.000,0.541,-0.009,-0.072,0.120,0.000
207.273,0.000,0.221,-0.003,-0.075,-0.007,0.000
207.284,0.000,0.566,-0.009,-0.076,-0.018,0.000
207.295,0.000,0.526,-0.009,-0.081,-0.105,0.000
207.306,0.000,4.342,-0.075,-0.090,0.173,0.000
207.317,0.000,7.543,-0.132,-0.108,0.314,0.000
207.327,0.000,11.622,-0.203,-0.133,0.519,0.000
207.338,0.000,12.800,-0.224,-0.165,0.489,0.000
207.349,0.000,11.570,-0.202,-0.196,0.234,0.000
207.360,0.000,12.784,-0.223,-0.230,0.205,0.000
207.371,0.000,9.859,-0.172,-0.262,-0.157,0.000
207.382,0.000,10.726,-0.187,-0.292,-0.064,0.000
207.393,0.000,11.679,-0.204,-0.322,0.070,0.000
207.403,0.000,12.896,-0.225,-0.356,0.129,0.000
207.414,0.000,16.142,-0.282,-0.397,0.283,0.000
207.425,0.000,14.376,-0.251,-0.438,0.034,0.000
207.436,0.000,14.678,-0.256,-0.478,0.023,0.000
207.447,0.000,14.922,-0.261,-0.518,0.025,0.000
207.458,0.000,12.892,-0.225,-0.555,-0.131,0.000
207.469,0.000,9.913,-0.173,-0.587,-0.335,0.000
207.479,0.000,9.359,-0.163,-0.615,-0.299,0.000
207.490,0.000,8.741,-0.152,-0.639,-0.216,0.000
207.501,0.000,7.389,-0.129,-0.661,-0.219,0.000
207.512,0.000,3.722,-0.065,-0.676,-0.410,0.000
207.523,0.000,2.849,-0.049,-0.684,-0.318,0.000
207.534,0.000,3.230,-0.056,-0.693,-0.147,0.000
207.545,0.000,1.668,-0.029,-0.701,-0.259,0.000
207.556,0.000,0.662,-0.011,-0.706,-0.281,0.000
207.567,0.000,-0.380,0.006,-0.706,-0.233,0.000
207.578,0.000,-1.124,0.019,-0.704,-0.209,0.000
207.589,0.000,-3.454,0.060,-0.698,-0.303,0.000
207.599,0.000,-4.950,0.086,-0.686,-0.309,0.000
207.610,0.000,-4.425,0.077,-0.674,-0.150,0.000
207.621,0.000,-3.856,0.067,-0.665,-0.101,0.000
207.632,0.000,-5.796,0.101,-0.652,-0.251,0.000
207.643,0.000,-11.479,0.200,-0.628,-0.572,0.000
207.654,0.000,-11.254,0.196,-0.598,-0.354,0.000
207.665,0.000,-9.068,0.158,-0.566,0.010,0.000
207.677,0.000,-13.402,0.234,-0.531,-0.242,0.000
207.689,0.000,-13.145,0.230,-0.491,-0.097,0.000
207.700,0.000,-14.416,0.252,-0.448,-0.075,0.000
207.712,0.000,-14.059,0.246,-0.406,0.001,0.000
207.723,0.000,-12.665,0.221,-0.366,0.142,0.000
207.735,0.000,-10.962,0.191,-0.331,0.263,0.000
207.745,0.000,-9.845,0.172,-0.303,0.291,0.000
207.756,0.000,-8.786,0.153,-0.275,0.295,0.000
207.768,0.000,-8.241,0.144,-0.249,0.244,0.000
207.779,0.000,-7.478,0.130,-0.225,0.223,0.000
207.791,0.000,-7.367,0.128,-0.203,0.160,0.000
207.802,0.000,-4.897,0.085,-0.185,0.300,0.000
207.814,0.000,-3.405,0.059,-0.175,0.250,0.000
207.826,0.000,-4.592,0.080,-0.162,0.086,0.000
207.836,0.000,-3.823,0.066,-0.150,0.138,0.000
207.846,0.000,-4.041,0.070,-0.138,0.135,0.000
207.858,0.000,-4.884,0.085,-0.124,0.028,0.000
207.868,0.000,-4.012,0.070,-0.112,0.115,0.000
207.879,0.000,-4.844,0.084,-0.101,-0.040,0.000
207.891,0.000,-5.979,0.104,-0.087,-0.150,0.000
207.902,0.000,-7.442,0.130,-0.071,-0.288,0.000
207.912,0.000,-9.351,0.163,-0.051,-0.396,0.000
207.923,0.000,-9.384,0.164,-0.031,-0.339,0.000
207.933,0.000,-7.348,0.128,-0.009,-0.030,0.000
