R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,64.0,0.000100,0.003000,20,30,0,30,0,75,300,0,0,0.995
sysTime,GRawX,GPT1X,aPT1R,aKFRawR,aKFPT10R,aKFPT11R,aCFRawR,aCFPT10R,aCFPT11R
217.944,4.499,10.208,1.943,-0.126,1.687,1.501,0.269,2.047,1.782
217.955,-3.923,7.966,1.543,-0.116,1.747,1.611,0.169,2.092,1.880
217.966,2.057,4.832,1.320,-0.145,1.758,1.688,0.047,2.085,1.941
217.977,8.283,4.900,1.268,-0.162,1.777,1.736,-0.052,2.085,1.970
217.988,-13.567,2.187,1.647,-0.147,1.788,1.793,-0.031,2.079,2.011
217.999,3.156,0.182,2.196,-0.169,1.740,1.807,0.005,2.024,2.016
218.010,-6.975,0.126,2.660,-0.148,1.747,1.824,0.065,2.031,2.032
218.021,4.865,0.183,2.326,-0.199,1.735,1.830,-0.056,2.020,2.037
218.032,-16.009,-2.329,1.769,-0.285,1.703,1.836,-0.251,1.982,2.035
218.043,8.771,-1.337,1.348,-0.329,1.690,1.812,-0.357,1.952,1.993
218.054,-6.121,-3.716,1.417,-0.363,1.637,1.795,-0.351,1.883,1.957
218.065,-4.168,-2.470,1.885,-0.295,1.636,1.769,-0.135,1.871,1.920
218.076,-27.118,-6.113,2.099,-0.312,1.573,1.745,-0.049,1.804,1.889
218.087,6.208,-3.259,1.811,-0.351,1.536,1.685,-0.090,1.762,1.821
218.098,-4.656,-4.532,1.711,-0.341,1.533,1.660,-0.053,1.752,1.788
218.108,-20.648,-5.600,1.700,-0.362,1.502,1.630,-0.055,1.714,1.750
218.119,2.545,-6.404,1.548,-0.485,1.388,1.563,-0.198,1.595,1.675
218.129,-13.201,-8.202,1.814,-0.575,1.276,1.493,-0.240,1.479,1.599
218.139,-7.342,-10.373,2.166,-0.677,1.136,1.402,-0.256,1.344,1.508
218.150,-16.131,-12.350,1.724,-0.845,1.004,1.294,-0.490,1.218,1.403
218.161,-21.014,-11.882,0.808,-0.995,0.911,1.180,-0.767,1.117,1.277
218.172,-0.261,-12.197,0.844,-1.134,0.746,1.045,-0.851,0.941,1.127
218.182,-7.219,-13.133,1.521,-1.231,0.561,0.910,-0.757,0.758,0.989
218.193,-25.042,-14.080,1.849,-1.301,0.447,0.791,-0.727,0.656,0.877
218.203,-19.915,-12.478,1.460,-1.407,0.372,0.673,-0.891,0.590,0.765
218.214,5.719,-10.945,1.137,-1.545,0.270,0.552,-1.097,0.495,0.648
218.224,6.574,-9.721,1.823,-1.612,0.169,0.449,-1.080,0.406,0.553
218.235,-2.825,-9.081,2.598,-1.676,0.063,0.361,-1.030,0.327,0.489
218.245,-32.611,-12.193,2.564,-1.786,-0.038,0.290,-1.128,0.262,0.450
218.256,-10.515,-9.233,0.874,-1.979,-0.095,0.191,-1.595,0.220,0.363
218.266,-8.196,-8.959,0.306,-2.108,-0.177,0.102,-1.820,0.136,0.270
218.277,15.974,-5.563,0.799,-2.098,-0.225,0.019,-1.677,0.090,0.186
218.287,-8.196,-8.806,1.300,-2.209,-0.370,-0.045,-1.699,-0.042,0.129
218.298,-7.830,-7.023,1.486,-2.180,-0.351,-0.098,-1.632,-0.008,0.089
218.308,-9.661,-7.722,0.838,-2.283,-0.410,-0.158,-1.816,-0.055,0.040
218.319,-14.666,-7.097,0.511,-2.260,-0.383,-0.202,-1.796,-0.025,-0.001
218.330,-0.261,-6.060,0.572,-2.274,-0.428,-0.260,-1.738,-0.070,-0.060
218.340,-4.656,-3.901,1.696,-2.193,-0.405,-0.284,-1.517,-0.032,-0.068
218.351,-1.238,-3.846,2.752,-2.149,-0.435,-0.302,-1.287,-0.031,-0.055
218.362,6.330,-2.492,3.765,-2.038,-0.418,-0.303,-0.939,0.030,-0.012
218.373,-3.069,-1.363,4.228,-2.011,-0.391,-0.285,-0.865,0.114,0.064
218.383,4.987,3.102,4.026,-1.896,-0.235,-0.230,-0.795,0.324,0.173
218.394,4.987,5.147,3.512,-1.856,-0.126,-0.151,-0.867,0.478,0.300
218.405,12.189,9.014,2.946,-1.736,0.062,-0.041,-0.866,0.697,0.444
218.415,9.137,11.983,1.960,-1.649,0.230,0.092,-0.934,0.882,0.598
218.426,13.776,13.502,0.850,-1.513,0.438,0.249,-0.951,1.082,0.754
218.436,3.278,11.895,-0.395,-1.512,0.561,0.393,-1.233,1.172,0.870
218.447,1.569,9.741,-1.735,-1.547,0.643,0.506,-1.549,1.204,0.937
218.457,3.156,7.505,-2.837,-1.612,0.665,0.579,-1.847,1.154,0.941
218.467,0.104,5.763,-3.962,-1.728,0.659,0.621,-2.259,1.056,0.893
218.478,8.405,5.094,-4.999,-1.845,0.640,0.638,-2.652,0.934,0.811
218.489,0.592,4.910,-4.670,-1.787,0.644,0.655,-2.544,0.831,0.721
218.499,11.091,5.527,-4.341,-1.719,0.668,0.672,-2.447,0.752,0.636
218.510,10.847,5.052,-3.898,-1.662,0.679,0.694,-2.351,0.673,0.569
218.520,1.569,4.950,-3.339,-1.604,0.669,0.712,-2.197,0.584,0.508
218.530,10.847,6.416,-3.088,-1.507,0.727,0.741,-2.065,0.567,0.464
218.541,-2.092,6.558,-3.820,-1.460,0.796,0.790,-2.119,0.561,0.439
218.551,13.654,7.920,-4.533,-1.403,0.879,0.830,-2.181,0.558,0.395
218.562,5.964,6.086,-4.584,-1.373,0.881,0.867,-2.160,0.470,0.344
218.573,-5.755,4.435,-3.523,-1.282,0.891,0.899,-1.956,0.403,0.299
218.583,13.898,4.584,-3.155,-1.206,0.930,0.924,-1.845,0.380,0.265
218.594,-3.679,3.596,-2.963,-1.170,0.934,0.945,-1.790,0.322,0.225
218.604,-4.900,3.215,-2.765,-1.149,0.919,0.954,-1.735,0.257,0.185
218.614,13.654,3.353,-2.497,-1.106,0.912,0.958,-1.627,0.201,0.139
218.625,1.325,1.228,-2.226,-1.093,0.890,0.966,-1.574,0.141,0.109
218.635,0.348,2.234,-1.933,-1.032,0.917,0.969,-1.478,0.129,0.075
218.646,-3.069,-0.886,-1.714,-1.060,0.851,0.960,-1.455,0.034,0.036
218.656,-0.383,-0.705,-1.289,-1.057,0.820,0.936,-1.406,-0.018,-0.011
218.667,-22.479,-7.105,-1.052,-1.204,0.636,0.884,-1.495,-0.218,-0.081
218.677,-22.479,-7.569,-1.073,-1.269,0.563,0.802,-1.563,-0.301,-0.176
218.688,-7.464,-8.905,-1.210,-1.361,0.475,0.713,-1.683,-0.399,-0.277
218.698,-0.261,-5.988,-1.236,-1.409,0.422,0.621,-1.738,-0.464,-0.383
218.708,-0.383,-4.649,-0.926,-1.430,0.381,0.557,-1.731,-0.509,-0.453
218.719,-21.502,-7.729,-0.133,-1.469,0.261,0.493,-1.597,-0.625,-0.515
218.729,3.644,-4.166,0.104,-1.521,0.212,0.418,-1.658,-0.660,-0.578
218.740,-25.897,-6.137,-0.350,-1.563,0.179,0.382,-1.721,-0.681,-0.604
218.750,13.654,-4.570,-0.793,-1.683,0.123,0.312,-1.990,-0.732,-0.672
218.761,3.644,-2.047,-1.071,-1.598,0.182,0.283,-1.857,-0.673,-0.700
218.771,6.452,-0.829,-0.009,-1.523,0.164,0.261,-1.584,-0.684,-0.716
218.782,-12.835,-0.066,0.656,-1.394,0.210,0.274,-1.275,-0.619,-0.683
218.792,8.771,1.039,0.273,-1.374,0.209,0.273,-1.206,-0.597,-0.660
218.803,1.081,-0.751,0.226,-1.365,0.205,0.283,-1.174,-0.586,-0.635
218.813,-20.281,-3.503,0.373,-1.372,0.174,0.280,-1.132,-0.597,-0.618
218.824,-16.253,-3.339,1.059,-1.336,0.081,0.242,-0.814,-0.666,-0.633
218.834,12.311,-2.049,0.715,-1.293,0.083,0.217,-0.682,-0.628,-0.623
218.845,-1.482,-3.247,1.056,-1.266,0.045,0.198,-0.523,-0.642,-0.619
218.855,-18.939,-4.139,0.881,-1.284,0.043,0.186,-0.579,-0.611,-0.597
218.866,6.940,-2.788,0.270,-1.388,0.010,0.147,-0.852,-0.624,-0.618
218.877,-1.848,-5.335,1.207,-1.422,-0.047,0.119,-0.839,-0.659,-0.623
218.887,-6.609,-5.037,1.826,-1.414,-0.045,0.091,-0.807,-0.615,-0.611
218.898,1.325,-5.388,0.534,-1.601,-0.065,0.055,-1.355,-0.608,-0.619
218.908,-9.783,-5.060,1.095,-1.620,-0.086,0.020,-1.362,-0.605,-0.629
218.919,-18.694,-4.880,1.659,-1.642,-0.125,-0.009,-1.327,-0.602,-0.618
218.929,-12.957,-1.972,0.154,-1.700,-0.032,-0.013,-1.711,-0.487,-0.599
218.940,-7.586,-0.029,0.480,-1.646,0.011,-0.010,-1.633,-0.435,-0.585
218.950,-3.435,2.202,1.502,-1.526,0.056,0.012,-1.329,-0.362,-0.531
218.961,6.086,5.491,1.579,-1.406,0.165,0.066,-1.169,-0.222,-0.444
218.971,-1.848,6.911,1.417,-1.293,0.287,0.152,-1.064,-0.074,-0.328
218.982,24.275,9.666,0.939,-1.219,0.397,0.236,-1.060,0.055,-0.221
218.992,24.885,10.626,0.672,-1.148,0.504,0.342,-1.064,0.172,-0.101
219.002,4.499,8.758,2.270,-1.011,0.538,0.449,-0.688,0.229,0.031
219.013,22.444,7.246,2.392,-0.932,0.610,0.546,-0.570,0.339,0.169
219.023,19.148,7.856,1.247,-0.886,0.741,0.641,-0.704,0.488,0.284
219.034,15.485,5.961,0.702,-0.851,0.814,0.726,-0.760,0.565,0.376
219.044,-3.557,5.529,0.881,-0.779,0.867,0.796,-0.649,0.619,0.450
219.055,-3.435,4.980,1.145,-0.747,0.864,0.846,-0.541,0.623,0.507
219.065,18.171,3.749,1.201,-0.715,0.874,0.887,-0.464,0.641,0.556
219.076,28.181,4.647,0.934,-0.660,0.945,0.931,-0.446,0.715,0.606
219.086,-14.666,0.615,0.672,-0.660,0.957,0.980,-0.486,0.725,0.654
219.096,13.288,4.250,1.096,-0.528,1.058,1.012,-0.294,0.825,0.685
219.107,2.423,1.468,1.887,-0.518,0.998,1.040,-0.130,0.775,0.723
219.117,-0.872,-0.229,1.781,-0.527,1.004,1.061,-0.171,0.796,0.760
219.128,12.311,0.210,1.142,-0.575,1.003,1.060,-0.325,0.802,0.766
219.139,-17.107,-3.226,0.129,-0.668,0.987,1.062,-0.605,0.777,0.760
219.149,17.439,0.906,0.263,-0.596,1.044,1.046,-0.517,0.823,0.732
219.159,-7.586,-3.533,0.951,-0.694,0.899,1.025,-0.519,0.676,0.708
219.170,-6.975,-0.171,1.406,-0.580,0.982,1.024,-0.338,0.765,0.713
219.180,9.382,1.182,1.091,-0.606,0.993,1.027,-0.447,0.781,0.721
219.191,-7.097,2.440,0.509,-0.534,1.105,1.068,-0.477,0.889,0.759
219.201,9.260,3.117,0.325,-0.513,1.136,1.093,-0.491,0.910,0.775
219.212,9.382,3.927,0.480,-0.425,1.199,1.131,-0.363,0.962,0.805
219.222,-19.671,-0.784,0.669,-0.465,1.147,1.158,-0.389,0.902,0.826
219.233,5.841,1.022,1.221,-0.409,1.176,1.160,-0.282,0.930,0.827
219.243,-15.276,-0.171,1.763,-0.399,1.164,1.175,-0.221,0.926,0.851
219.254,3.278,-2.060,1.309,-0.481,1.109,1.162,-0.363,0.880,0.847
219.264,15.974,-1.776,0.784,-0.521,1.091,1.138,-0.458,0.861,0.822
219.275,7.917,-1.212,0.638,-0.510,1.104,1.126,-0.460,0.871,0.807
219.285,-9.539,-2.830,0.327,-0.547,1.088,1.112,-0.555,0.847,0.785
219.297,-3.557,-0.466,-0.340,-0.545,1.138,1.096,-0.679,0.880,0.754
219.308,-4.778,-0.862,-0.813,-0.622,1.100,1.079,-0.870,0.818,0.713
219.319,-0.627,-3.963,-1.228,-0.785,0.984,1.035,-1.161,0.671,0.638
219.329,4.132,-4.972,-2.379,-0.948,0.897,0.965,-1.534,0.537,0.521
219.340,7.062,-5.612,-2.840,-1.141,0.766,0.876,-1.906,0.353,0.376
219.350,-7.097,-8.263,-3.010,-1.310,0.596,0.771,-2.113,0.129,0.215
219.361,-0.261,-8.425,-3.263,-1.487,0.455,0.647,-2.407,-0.067,0.032
219.372,-16.375,-6.554,-3.162,-1.515,0.397,0.543,-2.409,-0.181,-0.128
219.383,-8.684,-6.697,-2.957,-1.586,0.301,0.448,-2.458,-0.325,-0.272
219.394,-5.388,-6.638,-2.792,-1.691,0.194,0.353,-2.587,-0.474,-0.411
219.405,7.062,-3.199,-2.034,-1.617,0.195,0.286,-2.376,-0.505,-0.512
219.415,11.335,-0.887,-2.037,-1.632,0.205,0.248,-2.464,-0.519,-0.573
219.426,0.104,-1.695,-1.650,-1.647,0.149,0.218,-2.402,-0.596,-0.625
219.436,2.668,-1.666,-1.124,-1.648,0.123,0.192,-2.351,-0.634,-0.662
219.447,7.795,-0.605,-0.733,-1.568,0.161,0.180,-2.180,-0.599,-0.677
219.458,-17.107,-4.800,-0.067,-1.634,0.041,0.149,-2.121,-0.708,-0.698
219.468,-23.455,-10.193,0.285,-1.767,-0.126,0.077,-2.161,-0.857,-0.753
219.479,-20.159,-10.773,1.146,-1.802,-0.222,-0.016,-2.032,-0.920,-0.816
219.489,-2.825,-8.210,1.608,-1.781,-0.243,-0.098,-1.889,-0.896,-0.855
219.499,-12.102,-8.461,2.273,-1.809,-0.298,-0.160,-1.816,-0.897,-0.864
219.510,-9.783,-8.305,2.761,-1.857,-0.385,-0.229,-1.727,-0.920,-0.870
219.520,7.062,-5.121,3.195,-1.861,-0.398,-0.278,-1.659,-0.862,-0.851
219.531,-4.656,-3.403,4.107,-1.785,-0.396,-0.291,-1.356,-0.781,-0.785
219.541,-5.144,-0.192,4.865,-1.661,-0.306,-0.264,-1.087,-0.601,-0.667
219.552,5.353,1.226,5.277,-1.520,-0.205,-0.204,-0.784,-0.403,-0.509
219.563,14.020,3.196,5.499,-1.416,-0.117,-0.136,-0.574,-0.215,-0.341
219.574,-2.214,0.925,5.543,-1.422,-0.094,-0.066,-0.573,-0.097,-0.175
219.584,-15.154,-4.382,5.687,-1.494,-0.184,-0.037,-0.534,-0.093,-0.052
219.595,-11.370,-7.787,6.005,-1.534,-0.278,-0.053,-0.378,-0.088,0.028
219.606,-18.939,-9.073,6.026,-1.591,-0.362,-0.093,-0.304,-0.074,0.083
219.617,-13.445,-10.340,5.898,-1.682,-0.445,-0.150,-0.343,-0.061,0.118
219.628,-19.793,-10.432,5.769,-1.783,-0.529,-0.214,-0.414,-0.051,0.144
219.639,6.818,-10.573,5.846,-1.876,-0.638,-0.292,-0.402,-0.067,0.155
219.650,-20.648,-10.696,5.702,-1.911,-0.680,-0.345,-0.358,-0.019,0.188
219.661,11.213,-4.747,5.611,-1.828,-0.594,-0.382,-0.222,0.150,0.232
219.672,-4.778,-2.152,6.026,-1.700,-0.488,-0.355,0.015,0.337,0.340
219.683,3.400,-0.817,5.908,-1.668,-0.444,-0.323,0.076,0.465,0.454
219.693,-21.014,1.030,4.991,-1.583,-0.299,-0.252,0.073,0.679,0.596
219.704,6.574,2.622,3.648,-1.577,-0.202,-0.192,-0.091,0.820,0.701
219.714,22.077,4.285,2.978,-1.519,-0.108,-0.132,-0.099,0.939,0.788
219.725,0.104,3.735,2.875,-1.430,-0.018,-0.048,-0.001,1.048,0.894
219.735,13.532,4.757,2.599,-1.384,0.048,0.018,0.000,1.129,0.978
219.746,3.888,2.036,2.704,-1.356,0.069,0.083,0.048,1.161,1.055
219.756,-11.370,2.854,2.910,-1.268,0.138,0.143,0.180,1.244,1.130
219.767,16.950,-0.057,2.597,-1.324,0.102,0.173,0.086,1.219,1.173
219.777,6.818,2.636,2.354,-1.222,0.214,0.219,0.162,1.336,1.223
219.788,-8.806,-0.210,2.584,-1.230,0.166,0.253,0.240,1.292,1.262
219.798,-9.539,-1.632,2.592,-1.232,0.137,0.265,0.296,1.271,1.282
219.809,11.701,1.210,1.996,-1.181,0.218,0.285,0.269,1.352,1.301
219.819,-20.892,-3.196,2.410,-1.197,0.148,0.304,0.365,1.280,1.318
219.830,-16.375,-5.571,2.193,-1.300,0.075,0.281,0.187,1.211,1.299
219.840,5.231,-2.825,2.003,-1.290,0.099,0.255,0.154,1.233,1.268
219.851,2.790,1.435,2.010,-1.154,0.225,0.276,0.302,1.355,1.287
219.861,-1.970,2.951,0.827,-1.159,0.342,0.327,0.003,1.456,1.324
219.872,-13.445,-0.835,0.588,-1.235,0.292,0.350,-0.159,1.376,1.317
219.883,-10.638,-2.230,0.289,-1.266,0.272,0.345,-0.244,1.328,1.284
219.894,3.400,0.494,-0.579,-1.284,0.353,0.348,-0.516,1.367,1.247
219.905,-10.638,-1.889,-0.189,-1.302,0.312,0.348,-0.520,1.282,1.205
219.915,4.499,-3.503,-0.040,-1.365,0.230,0.316,-0.572,1.165,1.137
219.926,-3.191,-2.885,1.428,-1.294,0.208,0.293,-0.314,1.120,1.092
219.936,15.607,1.295,2.101,-1.159,0.291,0.300,-0.066,1.203,1.099
219.947,7.917,4.514,2.206,-0.993,0.432,0.361,0.150,1.342,1.161
219.957,-7.830,1.186,2.488,-0.997,0.402,0.413,0.201,1.316,1.219
219.968,-2.825,-0.603,1.932,-1.096,0.384,0.434,-0.083,1.298,1.241
219.978,-3.801,-1.382,1.974,-1.117,0.371,0.441,-0.127,1.282,1.245
219.988,-7.464,0.947,1.875,-1.054,0.440,0.464,-0.081,1.347,1.265
219.999,-8.440,-1.941,1.995,-1.035,0.426,0.486,0.003,1.327,1.282
220.010,-4.290,-1.833,1.725,-1.095,0.405,0.480,-0.150,1.303,1.271
220.021,6.696,-1.477,1.262,-1.184,0.408,0.474,-0.455,1.292,1.252
220.031,-1.848,-1.760,0.888,-1.240,0.396,0.469,-0.619,1.263,1.230
220.043,2.057,2.976,0.591,-1.120,0.517,0.487,-0.515,1.360,1.225
220.054,2.545,6.133,-0.157,-1.011,0.677,0.557,-0.547,1.482,1.260
220.065,-6.243,-0.851,-0.687,-1.204,0.527,0.578,-0.867,1.292,1.242
220.075,10.602,0.413,0.282,-1.125,0.536,0.574,-0.653,1.270,1.206
220.085,-5.022,0.963,0.833,-1.033,0.614,0.602,-0.543,1.328,1.216
220.095,-6.853,-0.340,0.672,-1.089,0.576,0.612,-0.651,1.271,1.206
220.105,6.330,1.310,0.580,-1.030,0.623,0.624,-0.581,1.297,1.199
220.116,9.137,3.232,0.677,-0.911,0.728,0.662,-0.443,1.380,1.216
220.126,-17.962,-0.419,1.578,-0.891,0.655,0.688,-0.228,1.294,1.230
220.136,4.865,2.578,2.188,-0.727,0.740,0.715,0.102,1.378,1.256
220.146,13.410,4.450,1.527,-0.651,0.844,0.766,0.110,1.475,1.302
220.157,9.382,5.853,1.241,-0.572,0.959,0.835,0.095,1.575,1.358
220.167,2.301,5.440,1.734,-0.496,1.002,0.903,0.229,1.607,1.417
220.177,3.766,4.897,1.274,-0.477,1.052,0.967,0.165,1.645,1.470
220.188,23.298,8.688,0.708,-0.356,1.210,1.042,0.185,1.781,1.526
220.198,31.233,13.644,0.609,-0.107,1.469,1.171,0.387,2.012,1.631
220.209,-0.261,10.016,0.764,-0.083,1.499,1.299,0.375,2.014,1.734
220.219,3.278,6.931,0.919,-0.089,1.491,1.385,0.347,1.980,1.797
220.229,10.480,8.974,0.929,0.035,1.618,1.471,0.446,2.082,1.859
220.241,2.423,9.363,0.889,0.159,1.753,1.588,0.514,2.180,1.943
220.253,5.109,11.883,1.079,0.384,1.948,1.724,0.770,2.337,2.044
220.265,34.407,9.897,1.289,0.415,1.960,1.831,0.811,2.316,2.121
220.277,-1.970,8.251,1.481,0.518,2.040,1.946,0.937,2.374,2.216
220.287,2.912,4.905,2.100,0.574,2.054,2.023,1.062,2.370,2.276
220.298,-5.999,2.597,2.424,0.624,2.067,2.076,1.180,2.376,2.323
220.308,-8.318,2.742,3.233,0.704,2.123,2.122,1.302,2.431,2.367
220.319,-6.365,4.585,3.483,0.805,2.224,2.183,1.403,2.538,2.436
220.329,-11.248,3.244,3.563,0.824,2.256,2.249,1.398,2.583,2.514
220.340,-8.318,0.978,3.584,0.792,2.226,2.289,1.364,2.563,2.565
220.350,30.500,3.408,2.765,0.764,2.287,2.320,1.139,2.622,2.593
220.362,19.880,5.201,2.674,0.818,2.346,2.370,1.171,2.672,2.632
220.372,0.104,5.028,2.851,0.910,2.438,2.436,1.253,2.750,2.685
220.383,-13.811,3.550,3.487,1.048,2.512,2.504,1.523,2.818,2.748
220.393,-0.505,3.519,4.161,1.159,2.569,2.561,1.754,2.887,2.818
220.404,4.132,4.489,4.162,1.188,2.645,2.623,1.688,2.977,2.894
220.414,-4.168,1.877,3.457,1.141,2.650,2.679,1.536,2.990,2.957
220.425,10.847,-0.138,2.885,0.991,2.614,2.695,1.136,2.950,2.968
220.435,-12.957,-3.320,3.295,0.897,2.517,2.690,1.050,2.848,2.956
220.446,-14.666,-4.884,3.400,0.787,2.391,2.649,0.983,2.725,2.913
220.456,-7.708,-7.808,3.228,0.625,2.236,2.584,0.812,2.573,2.845
220.467,-16.741,-13.155,3.725,0.479,2.054,2.494,0.756,2.396,2.756
220.477,-30.414,-14.965,3.323,0.247,1.885,2.367,0.404,2.239,2.634
220.488,-36.273,-22.156,2.434,-0.201,1.546,2.175,-0.272,1.900,2.432
220.499,-46.161,-26.968,2.301,-0.543,1.188,1.915,-0.564,1.540,2.160
220.510,-35.907,-29.584,1.488,-0.973,0.849,1.614,-1.178,1.197,1.843
220.521,-37.494,-30.103,1.255,-1.277,0.553,1.301,-1.494,0.891,1.508
220.533,-14.422,-23.341,1.196,-1.360,0.442,1.016,-1.502,0.772,1.208
220.544,-12.224,-20.466,0.964,-1.538,0.290,0.781,-1.729,0.608,0.955
220.554,-22.601,-18.316,1.699,-1.575,0.164,0.603,-1.560,0.487,0.778
220.564,-10.882,-16.191,1.840,-1.655,0.062,0.445,-1.577,0.391,0.621
220.575,-7.952,-15.771,1.453,-1.824,-0.106,0.290,-1.728,0.235,0.475
220.585,-12.957,-16.993,0.255,-2.129,-0.293,0.130,-2.279,0.043,0.307
220.595,-0.994,-15.589,-0.105,-2.230,-0.434,-0.035,-2.288,-0.105,0.130
220.606,-15.032,-12.089,0.009,-2.257,-0.451,-0.157,-2.337,-0.131,-0.003
220.616,-2.581,-9.076,-0.070,-2.231,-0.456,-0.251,-2.238,-0.141,-0.103
220.626,-7.464,-6.021,0.006,-2.188,-0.442,-0.313,-2.135,-0.138,-0.175
220.636,12.189,-4.660,0.176,-2.218,-0.471,-0.363,-2.161,-0.170,-0.227
220.647,-0.627,-1.880,0.011,-2.201,-0.359,-0.370,-2.346,-0.065,-0.239
220.657,33.064,7.296,0.319,-1.931,-0.092,-0.328,-2.062,0.192,-0.202
220.669,10.969,10.019,0.532,-1.656,0.130,-0.196,-1.674,0.406,-0.070
220.679,39.290,16.644,0.483,-1.357,0.427,-0.049,-1.371,0.694,0.074
220.689,51.009,25.194,0.503,-0.901,0.882,0.185,-0.921,1.132,0.302
220.700,70.785,38.968,0.794,-0.179,1.571,0.533,-0.144,1.800,0.642
220.710,62.118,48.560,0.692,0.551,2.299,1.003,0.569,2.496,1.099
220.720,70.541,54.430,0.472,1.217,2.989,1.540,1.148,3.144,1.614
220.730,71.884,59.571,0.363,1.898,3.691,2.122,1.742,3.795,2.166
220.741,61.385,60.013,0.850,2.540,4.299,2.735,2.406,4.345,2.742
220.751,74.935,64.416,1.286,3.333,5.029,3.371,3.280,5.018,3.342
220.761,74.203,67.907,1.761,4.101,5.769,4.047,4.048,5.698,3.980
220.772,91.782,77.855,1.016,5.028,6.788,4.809,4.712,6.643,4.692
220.782,103.134,84.993,0.122,5.967,7.775,5.626,5.461,7.532,5.437
220.792,98.129,87.496,-0.331,6.895,8.704,6.487,6.278,8.342,6.207
220.803,114.609,94.660,-0.609,7.971,9.799,7.391,7.190,9.305,7.007
220.813,109.116,98.183,0.219,9.074,10.799,8.333,8.373,10.166,7.838
220.823,102.280,101.366,1.125,10.244,11.860,9.322,9.633,11.090,8.720
220.833,109.971,102.474,1.471,11.308,12.892,10.322,10.621,11.980,9.608
220.844,109.604,105.714,2.006,12.452,13.972,11.345,11.748,12.915,10.516
220.854,102.646,102.474,2.384,13.416,14.922,12.386,12.582,13.714,11.433
220.865,96.298,101.678,2.439,14.366,15.878,13.378,13.353,14.513,12.295
220.875,87.997,98.564,1.558,15.162,16.768,14.356,13.777,15.230,13.125
220.886,75.790,94.260,1.084,15.987,17.633,15.338,14.331,15.902,13.938
220.897,65.536,88.625,0.786,16.709,18.410,16.267,14.736,16.476,14.684
220.908,55.159,81.844,0.962,17.372,19.075,17.119,15.196,16.934,15.348
220.920,44.661,73.653,1.733,17.970,19.616,17.887,15.706,17.271,15.925
220.931,33.919,63.454,1.860,18.325,19.969,18.552,15.867,17.423,16.400
220.942,21.955,52.334,2.240,18.547,20.165,19.081,15.947,17.425,16.740
220.953,20.246,42.217,2.625,18.683,20.278,19.490,15.941,17.352,16.965
220.964,-8.074,29.727,3.085,18.635,20.206,19.776,15.761,17.103,17.070
220.975,-41.644,13.959,3.117,18.352,19.928,19.908,15.297,16.659,17.027
220.985,-33.221,-1.718,2.307,17.786,19.470,19.846,14.353,16.039,16.791
220.995,-42.011,-13.548,2.346,17.291,18.981,19.651,13.690,15.392,16.419
221.007,-52.021,-28.607,2.579,16.525,18.192,19.290,12.834,14.464,15.897
221.018,-65.083,-40.927,3.056,15.712,17.349,18.789,11.961,13.501,15.250
221.029,-86.812,-53.313,3.543,14.785,16.386,18.163,11.005,12.438,14.493
221.040,-88.887,-64.509,3.738,13.733,15.326,17.406,9.887,11.299,13.622
221.051,-83.760,-72.187,3.583,12.679,14.279,16.553,8.751,10.188,12.668
221.062,-96.700,-76.034,3.326,11.682,13.302,15.658,7.664,9.158,11.684
221.073,-82.783,-83.811,3.242,10.469,12.099,14.678,6.392,7.918,10.628
221.084,-99.019,-83.925,3.121,9.532,11.163,13.686,5.428,6.957,9.574
221.095,-78.633,-85.766,3.120,8.455,10.084,12.670,4.345,5.870,8.510
221.106,-96.700,-88.876,3.217,7.371,8.987,11.643,3.292,4.778,7.451
221.117,-101.949,-86.980,3.260,6.457,8.066,10.632,2.409,3.876,6.424
221.128,-99.385,-90.480,3.422,5.340,6.932,9.606,1.355,2.778,5.396
221.139,-96.211,-87.433,3.499,4.491,6.075,8.638,0.569,1.968,4.441
221.150,-82.417,-85.770,3.226,3.541,5.166,7.671,-0.407,1.117,3.498
221.161,-65.815,-81.432,2.900,2.678,4.352,6.726,-1.302,0.367,2.587
221.172,-61.054,-81.945,2.879,1.694,3.407,5.780,-2.286,-0.507,1.681
221.183,-81.318,-78.891,3.926,0.966,2.615,4.892,-2.799,-1.210,0.854
221.193,-94.502,-80.796,4.957,0.140,1.721,4.060,-3.380,-1.989,0.109
221.203,-51.899,-71.591,4.606,-0.415,1.216,3.292,-3.912,-2.373,-0.561
221.214,-47.870,-65.842,4.604,-0.924,0.729,2.611,-4.343,-2.738,-1.140
221.224,-60.810,-62.596,5.124,-1.394,0.204,1.989,-4.574,-3.131,-1.649
221.236,-43.964,-57.202,5.492,-1.895,-0.367,1.298,-4.766,-3.528,-2.188
221.246,-56.537,-56.964,5.847,-2.402,-0.928,0.736,-5.027,-3.938,-2.616
221.256,-28.216,-50.364,5.819,-2.782,-1.302,0.208,-5.274,-4.157,-3.005
221.267,-50.434,-44.776,5.441,-3.100,-1.563,-0.236,-5.555,-4.268,-3.310
