R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha,FFDTermC,IRelaxR,IRelaxE,DmaxR,DmaxE,DMx,DMy
45,15,25,45,5,25,350,10,0,0,0,0,35,200,10,10.0,64.0,0.000100,0.003000,50,30,0,30,0,75,300,0,0,0.995,10.000,6000,200,300,100,25,25
sysTime,PIDRefX,PIDRefY,PIDRefZ,PIDSensX,PIDSensY,PIDSensZ,PIDPoutX,PIDIoutX,PIDDoutX
401.958,0.000,-7.698,2.000,-73.913,194.481,-154.207,3.326,0.555,-6.417
401.964,0.000,-7.698,2.000,-73.913,194.481,-154.207,3.326,0.555,-6.417
401.969,0.000,-7.698,2.000,-73.913,194.481,-154.207,3.326,0.555,-6.417
401.975,0.000,-7.698,2.000,-73.913,194.481,-154.207,3.326,0.555,-6.417
401.981,0.000,-7.698,2.000,-73.913,194.481,-154.207,3.326,0.555,-6.417
401.988,0.000,-7.698,2.000,-73.913,194.481,-154.207,3.326,0.555,-6.417
401.994,0.000,-7.698,2.000,-73.913,194.481,-154.207,3.326,0.555,-6.417
402.000,0.000,-7.698,2.000,-73.913,194.481,-154.207,3.326,0.555,-6.417
402.006,0.000,-7.698,2.000,-73.913,194.481,-154.207,3.326,0.555,-6.417
402.011,0.000,-7.698,2.000,-73.913,194.481,-154.207,3.326,0.555,-6.417
402.017,0.000,-7.698,2.000,-73.913,194.481,-154.207,3.326,0.555,-6.417
402.023,0.000,-7.698,2.000,-73.913,194.481,-154.207,3.326,0.555,-6.417
402.029,0.000,-7.698,2.000,-73.913,194.481,-154.207,3.326,0.555,-6.417
402.036,0.000,-7.698,2.000,-73.913,194.481,-154.207,3.326,0.555,-6.417
402.042,0.000,-7.698,2.000,-73.913,194.481,-154.207,3.326,0.555,-6.417
402.048,0.000,-7.698,2.000,-73.913,194.481,-154.207,3.326,0.555,-6.417
402.053,0.000,-7.698,2.000,-73.913,194.481,-154.207,3.326,0.555,-6.417
402.059,0.000,-7.698,2.000,-73.913,194.481,-154.207,3.326,0.555,-6.417
402.065,0.000,-7.698,2.000,-73.913,194.481,-154.207,3.326,0.555,-6.417
402.071,0.000,-7.698,2.000,-73.913,194.481,-154.207,3.326,0.555,-6.417
402.077,0.000,-7.698,2.000,-73.913,194.481,-154.207,3.326,0.555,-6.417
402.084,0.000,-7.698,2.000,-73.913,194.481,-154.207,3.326,0.555,-6.417
402.090,0.000,-7.698,2.000,-73.913,194.481,-154.207,3.326,0.555,-6.417
402.095,0.000,-7.698,2.000,-73.913,194.481,-154.207,3.326,0.555,-6.417
402.101,0.000,-7.698,2.000,-73.913,194.481,-154.207,3.326,0.555,-6.417
