R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,32.0,0.000100,0.003000,10,250,1,250,1,50,500,0,0
sysTime,aRawR,aPT1R,aKFRawR,aKFPT10R,aKFPT11R
593.024,0.795,0.987,1.019,1.020,1.018
593.035,1.088,0.975,1.022,1.023,1.017
593.045,1.129,0.978,1.028,1.029,1.014
593.056,0.756,0.986,1.021,1.022,1.010
593.067,1.090,0.975,1.014,1.015,1.006
593.078,0.798,0.960,0.996,0.998,1.002
593.089,1.088,0.952,0.990,0.992,0.994
593.099,0.674,0.959,1.008,1.010,0.995
593.110,0.885,0.965,0.993,0.995,0.990
593.121,1.006,0.971,0.977,0.979,0.979
593.132,0.923,0.950,0.975,0.978,0.973
593.142,0.878,0.962,0.980,0.982,0.971
593.153,0.750,0.958,0.976,0.978,0.971
593.164,1.262,0.970,0.942,0.943,0.961
593.175,1.005,0.978,0.945,0.946,0.951
593.185,0.923,0.956,0.932,0.934,0.942
593.196,1.084,0.972,0.937,0.938,0.938
593.207,1.133,0.972,0.940,0.941,0.933
593.218,1.007,1.002,0.942,0.942,0.931
593.228,1.257,0.988,0.939,0.939,0.928
593.239,0.836,0.971,0.927,0.928,0.920
593.250,1.175,1.004,0.882,0.881,0.906
593.261,0.883,1.007,0.906,0.906,0.901
593.272,0.798,0.989,0.876,0.876,0.895
593.282,0.962,0.954,0.864,0.866,0.881
593.293,0.964,0.976,0.858,0.859,0.869
593.304,1.006,0.983,0.856,0.857,0.864
593.315,1.001,0.980,0.873,0.874,0.868
593.325,0.838,0.978,0.871,0.872,0.868
593.336,0.925,1.008,0.848,0.848,0.864
593.347,0.882,1.001,0.829,0.829,0.855
593.358,1.213,0.997,0.803,0.803,0.837
593.368,0.887,0.992,0.805,0.806,0.817
593.379,0.919,0.984,0.775,0.776,0.805
593.390,0.671,0.971,0.783,0.785,0.799
593.401,1.215,0.987,0.782,0.783,0.797
593.411,1.131,0.983,0.772,0.772,0.791
593.422,1.004,1.008,0.789,0.788,0.794
593.433,0.881,1.005,0.826,0.826,0.806
593.444,1.048,0.996,0.809,0.809,0.813
593.454,0.965,0.989,0.793,0.793,0.809
593.465,0.964,0.985,0.794,0.795,0.805
593.476,1.051,0.992,0.767,0.768,0.795
593.487,1.088,1.005,0.764,0.763,0.788
593.497,1.052,1.032,0.774,0.772,0.783
593.508,0.838,1.007,0.784,0.784,0.782
593.519,1.172,1.017,0.763,0.762,0.780
593.530,1.135,1.005,0.770,0.770,0.779
593.541,1.130,1.006,0.769,0.769,0.777
593.551,0.795,0.998,0.761,0.761,0.774
593.562,0.964,0.991,0.765,0.765,0.772
593.573,1.340,1.021,0.782,0.781,0.778
593.584,0.966,1.023,0.767,0.766,0.779
593.594,1.209,1.031,0.802,0.800,0.786
593.605,1.050,1.005,0.840,0.840,0.809
593.616,0.923,1.025,0.862,0.861,0.832
593.627,1.044,1.023,0.835,0.834,0.841
593.638,1.132,1.035,0.844,0.843,0.845
593.649,1.092,1.049,0.856,0.853,0.857
593.659,0.919,1.032,0.820,0.818,0.851
593.670,1.088,1.024,0.802,0.801,0.835
593.681,0.920,1.029,0.779,0.778,0.819
593.692,1.133,1.036,0.803,0.802,0.811
593.703,1.053,1.037,0.795,0.793,0.811
593.714,1.176,1.034,0.806,0.805,0.809
593.724,1.134,1.022,0.787,0.786,0.805
