R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,32.0,0.000010,0.003000,10,250,1,250,1,50,500,0,0
sysTime,aRawR,aPT1R,aKFRawR,aKFPT10R,aKFPT11R
769.399,0.211,0.401,0.303,0.301,0.343
769.410,0.462,0.400,0.302,0.300,0.331
769.421,0.378,0.405,0.311,0.309,0.323
769.432,0.418,0.397,0.307,0.305,0.320
769.442,0.378,0.380,0.317,0.316,0.320
769.453,0.252,0.374,0.342,0.341,0.329
769.464,0.252,0.369,0.355,0.354,0.335
769.475,0.169,0.354,0.358,0.358,0.343
769.485,0.462,0.371,0.376,0.375,0.356
769.496,0.295,0.373,0.389,0.388,0.365
769.507,0.461,0.374,0.402,0.401,0.380
769.518,0.296,0.359,0.380,0.380,0.383
769.528,0.334,0.360,0.381,0.381,0.383
769.539,0.169,0.357,0.399,0.399,0.389
769.550,0.462,0.365,0.407,0.407,0.390
769.561,0.419,0.380,0.385,0.384,0.388
769.571,0.377,0.367,0.404,0.403,0.389
769.582,0.211,0.338,0.415,0.416,0.395
769.593,0.504,0.342,0.395,0.396,0.393
769.604,0.170,0.335,0.384,0.385,0.388
769.615,0.461,0.358,0.391,0.392,0.382
769.625,0.377,0.350,0.385,0.386,0.383
769.636,0.294,0.330,0.366,0.367,0.378
769.647,0.462,0.345,0.368,0.369,0.367
769.658,0.377,0.352,0.403,0.404,0.370
769.668,0.587,0.353,0.422,0.423,0.381
769.679,0.379,0.344,0.434,0.435,0.390
769.690,0.586,0.346,0.452,0.452,0.402
769.701,0.336,0.328,0.469,0.471,0.416
769.711,0.295,0.332,0.455,0.456,0.424
769.722,0.376,0.333,0.466,0.467,0.431
769.733,0.086,0.324,0.469,0.471,0.438
769.744,0.462,0.326,0.478,0.479,0.441
769.755,0.295,0.329,0.481,0.483,0.446
769.765,0.169,0.328,0.460,0.462,0.445
769.776,0.253,0.314,0.470,0.472,0.443
769.787,0.127,0.301,0.448,0.451,0.439
769.798,0.421,0.307,0.461,0.463,0.439
769.808,0.503,0.321,0.455,0.457,0.440
769.819,0.253,0.324,0.426,0.428,0.435
769.830,0.211,0.336,0.412,0.414,0.424
769.841,0.211,0.315,0.446,0.448,0.428
769.852,0.420,0.335,0.474,0.475,0.438
769.862,0.377,0.340,0.468,0.469,0.443
769.873,0.421,0.346,0.467,0.467,0.450
769.884,0.421,0.360,0.473,0.473,0.447
769.895,0.336,0.347,0.476,0.477,0.451
769.906,0.377,0.359,0.481,0.481,0.453
769.917,0.463,0.353,0.484,0.484,0.456
769.927,0.293,0.360,0.504,0.504,0.464
769.938,0.211,0.347,0.510,0.510,0.472
769.949,0.254,0.360,0.504,0.504,0.476
769.960,0.378,0.345,0.486,0.487,0.471
769.971,0.422,0.346,0.486,0.486,0.468
769.982,0.127,0.330,0.489,0.491,0.471
769.992,0.296,0.319,0.480,0.482,0.473
770.003,0.378,0.329,0.461,0.462,0.465
770.014,0.211,0.324,0.467,0.468,0.466
770.025,0.418,0.342,0.456,0.457,0.466
770.036,0.502,0.328,0.471,0.472,0.469
770.046,0.212,0.325,0.483,0.484,0.476
770.057,0.461,0.328,0.475,0.477,0.481
770.068,0.170,0.305,0.474,0.476,0.483
770.079,0.377,0.314,0.461,0.463,0.479
770.090,0.419,0.319,0.468,0.470,0.479
770.101,0.295,0.328,0.452,0.453,0.475
770.111,0.673,0.352,0.468,0.468,0.477
770.122,0.419,0.362,0.456,0.455,0.474
770.133,0.253,0.360,0.459,0.459,0.477
770.144,0.296,0.356,0.449,0.449,0.477
770.155,0.211,0.355,0.448,0.448,0.474
770.166,0.334,0.344,0.448,0.449,0.473
770.176,0.295,0.360,0.481,0.481,0.481
770.187,0.378,0.349,0.454,0.454,0.482
770.198,0.420,0.340,0.487,0.488,0.489
770.209,0.211,0.354,0.494,0.494,0.502
770.220,0.546,0.365,0.511,0.510,0.511
770.231,0.337,0.370,0.461,0.460,0.507
770.241,0.296,0.358,0.381,0.381,0.475
770.252,0.421,0.375,0.373,0.372,0.445
770.263,0.423,0.376,0.356,0.355,0.422
770.274,0.421,0.355,0.330,0.330,0.400
770.285,0.211,0.344,0.312,0.312,0.377
770.296,0.711,0.362,0.333,0.332,0.368
770.306,0.378,0.356,0.300,0.300,0.359
770.317,0.379,0.336,0.303,0.304,0.347
770.328,0.252,0.331,0.300,0.302,0.343
770.339,0.461,0.328,0.309,0.311,0.336
770.350,0.378,0.346,0.276,0.277,0.326
770.361,0.334,0.371,0.295,0.295,0.322
770.371,0.628,0.364,0.299,0.298,0.325
770.382,0.420,0.367,0.310,0.310,0.324
770.393,0.421,0.367,0.260,0.259,0.314
770.404,0.127,0.350,0.263,0.263,0.300
770.415,0.294,0.356,0.266,0.266,0.296
770.426,0.335,0.355,0.269,0.269,0.294
770.436,0.294,0.362,0.267,0.267,0.289
770.447,0.212,0.347,0.249,0.250,0.284
770.458,0.127,0.316,0.270,0.272,0.284
770.469,0.296,0.320,0.273,0.274,0.291
770.480,0.545,0.333,0.287,0.289,0.291
770.491,0.251,0.342,0.260,0.260,0.287
770.501,0.378,0.336,0.235,0.236,0.279
770.512,0.379,0.343,0.273,0.274,0.279
770.523,0.294,0.343,0.291,0.291,0.289
770.533,0.504,0.343,0.264,0.265,0.288
770.545,0.377,0.347,0.263,0.263,0.283
770.556,0.418,0.353,0.262,0.262,0.280
770.568,0.547,0.363,0.275,0.275,0.279
770.580,0.379,0.360,0.283,0.283,0.286
770.591,0.252,0.366,0.256,0.255,0.280
770.603,0.211,0.368,0.225,0.224,0.265
770.615,0.461,0.372,0.222,0.221,0.257
770.626,0.211,0.365,0.221,0.220,0.247
770.638,0.253,0.350,0.188,0.189,0.233
770.650,0.335,0.363,0.239,0.239,0.231
770.661,0.334,0.385,0.240,0.238,0.241
770.673,0.211,0.360,0.255,0.255,0.247
770.684,0.627,0.381,0.242,0.240,0.250
