R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,32.0,0.000100,0.003000,20,250,1,250,1,50,500,0,0
sysTime,aRawR,aPT1R,aKFRawR,aKFPT10R,aKFPT11R
501.402,0.422,0.424,0.539,0.540,0.520
501.413,0.377,0.439,0.559,0.560,0.528
501.424,0.459,0.437,0.554,0.555,0.530
501.434,0.462,0.434,0.553,0.554,0.532
501.445,0.336,0.445,0.543,0.543,0.526
501.456,0.378,0.438,0.549,0.549,0.524
501.467,0.544,0.450,0.539,0.539,0.524
501.477,0.588,0.442,0.515,0.515,0.517
501.488,0.419,0.427,0.517,0.518,0.508
501.499,0.253,0.400,0.516,0.517,0.509
501.510,0.545,0.409,0.520,0.522,0.507
501.520,0.336,0.417,0.473,0.474,0.496
501.531,0.547,0.418,0.486,0.487,0.486
501.542,0.378,0.418,0.485,0.486,0.484
501.552,0.377,0.429,0.480,0.480,0.479
501.563,0.335,0.424,0.483,0.484,0.480
501.574,0.378,0.412,0.469,0.470,0.474
501.585,0.377,0.414,0.468,0.469,0.475
501.595,0.376,0.431,0.472,0.473,0.477
501.606,0.377,0.430,0.458,0.459,0.476
501.617,0.546,0.425,0.455,0.456,0.467
501.628,0.335,0.408,0.474,0.476,0.468
501.638,0.670,0.426,0.471,0.472,0.472
501.649,0.461,0.427,0.482,0.483,0.473
501.660,0.584,0.437,0.508,0.509,0.483
501.671,0.378,0.443,0.514,0.514,0.497
501.681,0.461,0.440,0.506,0.506,0.499
501.692,0.585,0.465,0.530,0.529,0.506
501.703,0.297,0.483,0.561,0.560,0.515
501.714,0.378,0.468,0.574,0.573,0.533
501.724,0.503,0.451,0.532,0.532,0.537
501.735,0.544,0.452,0.501,0.501,0.518
501.746,0.586,0.469,0.504,0.503,0.501
501.757,0.462,0.477,0.502,0.501,0.493
501.767,0.336,0.465,0.514,0.513,0.488
501.778,0.504,0.479,0.524,0.523,0.489
501.789,0.338,0.463,0.542,0.541,0.495
501.800,0.462,0.467,0.528,0.527,0.497
501.810,0.588,0.479,0.517,0.516,0.496
501.821,0.547,0.461,0.530,0.530,0.496
501.832,0.545,0.458,0.553,0.553,0.503
501.842,0.461,0.446,0.522,0.522,0.506
501.853,0.504,0.453,0.526,0.526,0.503
501.864,0.506,0.451,0.528,0.528,0.508
501.875,0.462,0.452,0.489,0.489,0.496
501.885,0.294,0.440,0.503,0.503,0.488
501.896,0.798,0.462,0.538,0.538,0.493
501.907,0.543,0.459,0.528,0.528,0.498
501.918,0.503,0.452,0.537,0.536,0.503
501.928,0.295,0.460,0.525,0.524,0.505
501.939,0.544,0.467,0.536,0.536,0.510
501.950,0.504,0.455,0.520,0.519,0.512
501.960,0.169,0.449,0.489,0.489,0.504
