R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry
175,25,1900,200,25,2100,500,100,0,0,0,0,7,75,10,10.0,32.0,0.000010,0.000300,20,0,0,0,0,10,75,0,0
sysTime,ARawX,ARawY,ARawZ,aPT1R,aPT2R,aKFRawR,aKFPT10R,aKFPT11R
338.392,-0.323,0.287,9.853,1.787,1.796,3.176,3.081,3.053
338.404,-0.352,0.287,9.817,1.785,1.794,3.175,3.080,3.051
338.415,-0.402,0.316,9.867,1.789,1.793,3.163,3.069,3.051
338.427,-0.388,0.316,9.839,1.797,1.793,3.176,3.083,3.052
338.437,-0.359,0.301,9.882,1.802,1.794,3.150,3.057,3.049
338.448,-0.373,0.294,9.889,1.800,1.796,3.157,3.065,3.043
338.460,-0.395,0.280,9.903,1.789,1.796,3.153,3.063,3.039
338.471,-0.344,0.316,9.824,1.792,1.795,3.156,3.066,3.035
338.483,-0.359,0.323,9.867,1.808,1.797,3.123,3.034,3.029
338.494,-0.323,0.287,9.867,1.807,1.799,3.099,3.011,3.014
338.506,-0.352,0.294,9.882,1.808,1.801,3.100,3.013,3.002
338.517,-0.388,0.323,9.875,1.821,1.804,3.080,2.994,2.991
338.528,-0.373,0.301,9.853,1.808,1.805,3.084,2.999,2.988
338.539,-0.352,0.323,9.846,1.795,1.804,3.100,3.016,2.990
338.550,-0.409,0.301,9.882,1.777,1.801,3.098,3.015,2.994
338.561,-0.366,0.309,9.918,1.791,1.799,3.093,3.010,2.996
338.573,-0.344,0.301,9.824,1.788,1.797,3.090,3.008,2.998
338.584,-0.352,0.309,9.860,1.803,1.797,3.115,3.033,3.000
338.596,-0.373,0.359,9.911,1.818,1.799,3.100,3.019,3.005
338.607,-0.388,0.309,9.925,1.824,1.802,3.084,3.004,3.005
338.619,-0.352,0.359,9.853,1.845,1.808,3.083,3.003,3.001
338.630,-0.380,0.287,9.875,1.830,1.813,3.109,3.031,3.006
338.640,-0.366,0.294,9.911,1.815,1.814,3.104,3.027,3.012
338.652,-0.373,0.294,9.860,1.781,1.811,3.119,3.043,3.024
338.663,-0.366,0.323,9.882,1.785,1.806,3.123,3.048,3.030
338.674,-0.366,0.294,9.860,1.795,1.804,3.105,3.030,3.030
338.686,-0.366,0.309,9.911,1.797,1.803,3.083,3.010,3.023
338.697,-0.402,0.316,9.882,1.806,1.803,3.093,3.020,3.016
338.709,-0.352,0.330,9.867,1.809,1.803,3.087,3.014,3.014
338.720,-0.359,0.287,9.839,1.797,1.803,3.117,3.045,3.012
338.732,-0.359,0.316,9.853,1.805,1.803,3.111,3.041,3.013
338.742,-0.402,0.316,9.860,1.806,1.803,3.136,3.066,3.014
338.753,-0.373,0.280,9.831,1.790,1.803,3.137,3.068,3.019
