R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,32.0,0.001000,0.003000,10,250,1,250,1,50,500,0,0
sysTime,aRawR,aPT1R,aKFRawR,aKFPT10R,aKFPT11R
657.914,0.170,0.269,0.386,0.385,0.381
657.925,0.086,0.258,0.359,0.359,0.375
657.936,0.460,0.263,0.347,0.347,0.362
657.947,0.253,0.264,0.351,0.350,0.358
657.959,0.211,0.257,0.344,0.344,0.353
657.971,0.127,0.252,0.336,0.336,0.349
657.982,0.254,0.262,0.335,0.335,0.339
657.994,0.002,0.246,0.329,0.330,0.334
658.005,0.465,0.239,0.350,0.351,0.332
658.017,-0.852,0.198,0.332,0.335,0.334
658.029,0.696,0.217,0.328,0.330,0.333
658.040,-1.366,0.089,0.350,0.360,0.331
658.052,4.611,0.069,0.352,0.362,0.335
658.063,-3.462,0.003,0.338,0.352,0.340
658.075,-2.019,-0.076,0.307,0.325,0.334
658.087,2.823,0.029,0.283,0.295,0.314
658.098,1.266,0.071,0.290,0.301,0.301
658.110,1.577,0.118,0.262,0.271,0.289
658.122,-4.348,0.063,0.264,0.275,0.277
658.133,-4.134,-0.102,0.263,0.283,0.269
658.145,0.683,-0.145,0.251,0.273,0.260
658.156,2.797,-0.038,0.243,0.258,0.250
658.168,-3.508,-0.078,0.227,0.244,0.240
658.179,-1.822,-0.143,0.218,0.239,0.234
658.191,3.092,0.051,0.228,0.237,0.229
658.203,1.107,0.134,0.261,0.265,0.230
658.214,3.862,0.078,0.241,0.247,0.230
658.226,11.361,0.160,0.249,0.250,0.233
658.238,8.947,0.138,0.266,0.267,0.235
658.249,-4.111,0.033,0.246,0.253,0.240
658.261,-4.667,0.211,0.276,0.270,0.243
658.272,-4.138,0.041,0.250,0.254,0.243
658.284,-8.228,0.045,0.241,0.243,0.244
658.296,13.961,0.176,0.247,0.240,0.238
