R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry
175,25,1900,200,25,2100,400,100,0,0,0,0,7,75,10,10.0,32.0,0.000010,0.000300,20,0,0,0,0,10,75,0,0
sysTime,ARawX,ARawY,ARawZ,aPT1R,aPT2R,aKFRawR,aKFPT10R,aKFPT11R
253.677,-0.086,0.366,9.810,1.850,1.835,9.049,9.188,9.294
253.689,-0.071,0.323,9.860,1.844,1.837,9.051,9.190,9.282
253.700,-0.100,0.323,9.846,1.839,1.837,9.019,9.157,9.272
253.712,-0.086,0.330,9.896,1.870,1.841,9.007,9.144,9.263
253.722,-0.064,0.337,9.839,1.871,1.845,9.003,9.139,9.255
253.733,-0.064,0.344,9.846,1.866,1.849,8.982,9.118,9.246
253.745,-0.064,0.316,9.839,1.883,1.854,8.963,9.099,9.230
253.756,-0.064,0.337,9.839,1.890,1.860,8.957,9.092,9.219
253.768,-0.071,0.316,9.853,1.884,1.864,8.974,9.109,9.216
253.779,-0.115,0.287,9.875,1.884,1.868,8.955,9.089,9.212
253.791,-0.100,0.301,9.882,1.877,1.871,8.939,9.072,9.203
253.802,-0.071,0.344,9.860,1.902,1.875,8.941,9.074,9.196
253.813,-0.057,0.323,9.867,1.893,1.879,8.945,9.078,9.196
253.823,-0.079,0.316,9.839,1.891,1.881,8.980,9.112,9.205
253.835,-0.100,0.323,9.860,1.879,1.880,8.963,9.094,9.209
253.846,-0.064,0.323,9.824,1.881,1.880,8.974,9.105,9.213
253.858,-0.050,0.316,9.839,1.872,1.880,8.968,9.099,9.217
253.869,-0.107,0.280,9.875,1.875,1.880,8.926,9.057,9.206
253.881,-0.086,0.316,9.867,1.858,1.876,8.930,9.061,9.190
253.892,-0.050,0.309,9.860,1.848,1.872,8.913,9.044,9.176
253.904,-0.064,0.301,9.860,1.863,1.870,8.914,9.043,9.163
253.915,-0.064,0.309,9.896,1.862,1.869,8.917,9.045,9.156
253.925,-0.071,0.366,9.839,1.871,1.868,8.930,9.058,9.154
253.937,-0.050,0.301,9.903,1.866,1.868,8.942,9.070,9.152
253.948,-0.093,0.323,9.817,1.858,1.867,8.938,9.065,9.152
253.960,-0.071,0.301,9.875,1.859,1.867,8.925,9.052,9.151
253.971,-0.057,0.287,9.896,1.855,1.866,8.913,9.040,9.145
253.982,-0.050,0.294,9.860,1.850,1.864,8.936,9.062,9.141
253.994,-0.086,0.323,9.846,1.845,1.862,8.922,9.048,9.141
254.005,-0.079,0.337,9.896,1.837,1.857,8.901,9.027,9.134
254.017,-0.050,0.323,9.867,1.826,1.853,8.911,9.036,9.133
254.028,-0.064,0.352,9.875,1.852,1.851,8.942,9.066,9.143
254.040,-0.071,0.280,9.867,1.841,1.850,8.941,9.066,9.151
254.051,-0.071,0.280,9.839,1.843,1.850,8.899,9.023,9.146
254.063,-0.086,0.323,9.889,1.840,1.848,8.883,9.007,9.134
254.074,-0.043,0.330,9.846,1.857,1.849,8.911,9.034,9.126
254.086,-0.079,0.287,9.860,1.852,1.851,8.880,9.002,9.118
254.097,-0.079,0.316,9.831,1.848,1.850,8.884,9.005,9.108
254.109,-0.079,0.330,9.860,1.847,1.849,8.907,9.028,9.106
254.120,-0.050,0.287,9.860,1.850,1.850,8.918,9.039,9.113
254.132,-0.064,0.337,9.853,1.857,1.850,8.898,9.018,9.110
254.143,-0.100,0.323,9.875,1.855,1.851,8.892,9.012,9.106
254.154,-0.057,0.301,9.875,1.850,1.851,8.924,9.044,9.109
254.166,-0.122,0.301,9.882,1.840,1.850,8.912,9.032,9.114
254.177,-0.100,0.301,9.875,1.830,1.848,8.886,9.005,9.107
254.189,-0.122,0.294,9.831,1.827,1.845,8.897,9.016,9.102
254.200,-0.064,0.309,9.853,1.827,1.842,8.868,8.986,9.088
254.212,-0.028,0.309,9.853,1.820,1.840,8.860,8.978,9.076
254.223,-0.043,0.323,9.839,1.821,1.836,8.881,8.998,9.074
254.233,-0.064,0.323,9.853,1.817,1.834,8.904,9.021,9.077
254.245,-0.043,0.323,9.831,1.830,1.832,8.881,8.997,9.072
254.256,-0.071,0.337,9.889,1.845,1.834,8.871,8.986,9.065
254.268,-0.086,0.316,9.839,1.847,1.836,8.853,8.968,9.051
254.279,-0.071,0.280,9.882,1.844,1.838,8.844,8.958,9.036
