R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry
175,25,1900,200,25,2100,400,100,0,0,0,0,7,75,10,10.0,32.0,0.000010,0.000300,20,0,0,0,0,10,75,0,0
sysTime,ARawX,ARawY,ARawZ,aPT1R,aPT2R,aKFRawR,aKFPT10R,aKFPT11R
216.682,-0.452,0.186,9.903,1.190,1.187,9.511,9.596,9.511
216.693,-0.438,0.215,9.867,1.181,1.186,9.514,9.599,9.532
216.705,-0.409,0.186,9.839,1.186,1.186,9.560,9.643,9.553
216.716,-0.438,0.215,9.839,1.202,1.187,9.558,9.640,9.573
216.728,-0.424,0.208,9.889,1.195,1.189,9.602,9.684,9.594
216.739,-0.402,0.237,9.846,1.205,1.190,9.629,9.709,9.618
216.751,-0.452,0.215,9.867,1.186,1.191,9.653,9.733,9.642
216.762,-0.438,0.194,9.839,1.171,1.189,9.665,9.744,9.662
216.774,-0.467,0.237,9.810,1.170,1.185,9.675,9.754,9.676
216.785,-0.452,0.208,9.846,1.181,1.184,9.726,9.803,9.698
216.796,-0.402,0.186,9.853,1.171,1.183,9.763,9.840,9.728
216.808,-0.431,0.208,9.846,1.166,1.181,9.817,9.893,9.765
216.819,-0.409,0.201,9.846,1.165,1.179,9.800,9.875,9.791
216.829,-0.416,0.222,9.839,1.164,1.175,9.848,9.922,9.816
216.841,-0.438,0.208,9.932,1.146,1.171,9.863,9.936,9.842
216.852,-0.409,0.215,9.867,1.162,1.168,9.877,9.949,9.870
216.864,-0.467,0.194,9.875,1.167,1.168,9.913,9.984,9.903
216.875,-0.459,0.179,9.867,1.151,1.166,9.913,9.983,9.928
216.886,-0.467,0.194,9.889,1.150,1.163,9.931,10.001,9.943
216.898,-0.438,0.208,9.867,1.152,1.161,9.952,10.021,9.957
216.909,-0.424,0.208,9.839,1.166,1.161,9.968,10.035,9.976
216.921,-0.438,0.186,9.882,1.163,1.162,9.997,10.063,9.998
216.931,-0.452,0.194,9.903,1.156,1.162,10.050,10.116,10.029
216.942,-0.452,0.230,9.875,1.174,1.162,10.075,10.140,10.063
216.954,-0.431,0.201,9.824,1.184,1.165,10.109,10.172,10.096
216.965,-0.452,0.186,9.824,1.176,1.167,10.140,10.203,10.125
216.977,-0.431,0.179,9.860,1.153,1.166,10.179,10.242,10.156
216.988,-0.431,0.201,9.810,1.159,1.165,10.241,10.302,10.192
216.999,-0.452,0.222,9.824,1.166,1.164,10.270,10.330,10.228
217.011,-0.431,0.215,9.867,1.170,1.165,10.294,10.353,10.260
217.021,-0.409,0.208,9.817,1.168,1.166,10.314,10.372,10.287
217.032,-0.467,0.186,9.846,1.175,1.167,10.354,10.412,10.314
217.044,-0.424,0.208,9.889,1.185,1.170,10.370,10.426,10.345
217.055,-0.431,0.201,9.860,1.192,1.174,10.369,10.424,10.364
217.067,-0.467,0.179,9.867,1.184,1.176,10.389,10.443,10.373
217.078,-0.431,0.244,9.867,1.188,1.176,10.397,10.451,10.382
217.090,-0.488,0.222,9.803,1.187,1.177,10.415,10.468,10.395
217.101,-0.424,0.215,9.896,1.204,1.181,10.429,10.480,10.407
217.113,-0.445,0.208,9.860,1.198,1.184,10.453,10.504,10.423
217.123,-0.431,0.165,9.896,1.198,1.187,10.458,10.508,10.439
217.134,-0.467,0.186,9.860,1.201,1.190,10.447,10.496,10.445
217.146,-0.474,0.179,9.817,1.198,1.192,10.443,10.492,10.447
217.157,-0.445,0.215,9.824,1.195,1.193,10.438,10.486,10.446
217.169,-0.452,0.186,9.875,1.181,1.192,10.461,10.508,10.445
217.180,-0.459,0.208,9.831,1.186,1.190,10.484,10.530,10.456
217.191,-0.452,0.172,9.846,1.186,1.190,10.487,10.532,10.467
217.203,-0.488,0.179,9.860,1.171,1.188,10.492,10.536,10.473
217.214,-0.388,0.244,9.839,1.189,1.187,10.500,10.544,10.474
217.224,-0.438,0.222,9.867,1.189,1.187,10.510,10.552,10.480
217.236,-0.409,0.208,9.875,1.198,1.188,10.501,10.542,10.476
217.247,-0.467,0.230,9.860,1.207,1.190,10.536,10.576,10.487
217.259,-0.445,0.208,9.839,1.197,1.192,10.540,10.580,10.497
217.270,-0.474,0.208,9.839,1.191,1.192,10.550,10.590,10.506
217.282,-0.445,0.222,9.817,1.204,1.193,10.589,10.628,10.529
217.293,-0.424,0.222,9.867,1.192,1.193,10.617,10.655,10.553
217.305,-0.467,0.215,9.875,1.183,1.192,10.639,10.676,10.580
217.315,-0.510,0.222,9.860,1.175,1.190,10.661,10.698,10.605
217.326,-0.481,0.222,9.860,1.165,1.186,10.666,10.702,10.632
217.338,-0.424,0.186,9.831,1.168,1.183,10.681,10.716,10.652
217.349,-0.416,0.208,9.846,1.160,1.179,10.708,10.743,10.674
217.361,-0.431,0.186,9.796,1.174,1.178,10.731,10.764,10.699
217.372,-0.438,0.186,9.860,1.177,1.177,10.747,10.779,10.718
