R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,32.0,0.005000,0.003000,10,250,1,250,1,50,500,0,0
sysTime,aRawR,aPT1R,aKFRawR,aKFPT10R,aKFPT11R
693.571,-0.039,-0.025,0.028,0.027,0.044
693.581,0.044,-0.009,0.057,0.055,0.052
693.592,0.044,-0.023,0.051,0.050,0.061
693.603,0.044,-0.024,0.060,0.059,0.070
693.614,0.002,-0.032,0.077,0.077,0.083
693.624,0.044,-0.032,0.086,0.085,0.096
693.635,-0.080,-0.025,0.075,0.074,0.103
693.646,-0.081,-0.035,0.069,0.069,0.103
693.657,-0.081,-0.040,0.072,0.071,0.106
693.667,-0.248,-0.048,0.074,0.074,0.108
693.678,0.295,-0.027,0.082,0.081,0.107
693.689,-0.039,-0.026,0.098,0.097,0.117
693.700,-0.290,-0.039,0.099,0.099,0.123
693.710,-0.122,-0.040,0.069,0.069,0.117
693.721,0.044,-0.012,0.063,0.061,0.113
693.732,-0.039,-0.018,0.028,0.026,0.094
693.742,0.044,-0.008,0.021,0.019,0.078
693.753,0.002,-0.029,0.051,0.050,0.076
693.764,0.044,-0.020,0.053,0.051,0.081
693.775,-0.039,-0.016,0.046,0.045,0.084
693.785,0.211,-0.022,0.050,0.049,0.084
693.796,0.211,-0.028,0.029,0.029,0.081
693.807,0.044,-0.034,-0.007,-0.007,0.062
693.818,0.128,-0.049,0.002,0.002,0.049
693.828,-0.039,-0.054,-0.024,-0.023,0.036
693.839,-0.081,-0.041,-0.039,-0.039,0.022
693.850,-0.164,-0.038,-0.039,-0.040,0.006
693.861,0.170,-0.041,-0.044,-0.044,-0.005
693.871,0.044,-0.040,-0.068,-0.068,-0.019
693.882,0.002,-0.036,-0.071,-0.072,-0.025
693.893,-0.039,-0.030,-0.059,-0.060,-0.027
693.904,0.086,-0.024,-0.049,-0.050,-0.023
693.914,-0.039,-0.026,-0.040,-0.040,-0.017
693.925,-0.122,-0.031,-0.070,-0.070,-0.020
693.936,0.044,-0.018,-0.086,-0.087,-0.029
693.947,-0.081,-0.037,-0.041,-0.042,-0.028
693.957,-0.123,-0.017,-0.045,-0.046,-0.029
693.968,-0.039,-0.027,-0.065,-0.066,-0.031
693.979,-0.122,-0.027,-0.074,-0.075,-0.038
693.990,0.127,-0.020,-0.073,-0.074,-0.047
694.000,0.127,-0.014,-0.100,-0.102,-0.062
694.011,-0.039,-0.003,-0.065,-0.067,-0.064
694.022,-0.081,-0.012,-0.047,-0.048,-0.056
694.033,0.044,-0.022,-0.073,-0.075,-0.055
694.044,-0.039,-0.026,-0.100,-0.101,-0.063
694.054,0.044,-0.019,-0.095,-0.096,-0.073
694.065,-0.206,-0.031,-0.091,-0.091,-0.073
694.076,0.044,-0.018,-0.093,-0.094,-0.076
694.086,0.044,-0.013,-0.095,-0.096,-0.080
694.097,0.002,-0.008,-0.059,-0.061,-0.074
694.108,-0.081,-0.000,-0.069,-0.072,-0.067
694.119,-0.122,-0.007,-0.091,-0.093,-0.070
694.129,-0.164,-0.000,-0.095,-0.097,-0.074
694.140,-0.081,-0.010,-0.099,-0.101,-0.082
694.151,-0.122,-0.015,-0.089,-0.090,-0.086
694.162,-0.039,-0.012,-0.079,-0.081,-0.082
694.173,-0.123,-0.042,-0.061,-0.061,-0.075
694.183,-0.373,-0.057,-0.049,-0.048,-0.062
694.194,-0.081,-0.064,-0.043,-0.041,-0.053
694.205,0.044,-0.065,-0.041,-0.039,-0.047
694.216,-0.164,-0.083,-0.025,-0.022,-0.038
694.227,-0.122,-0.072,-0.041,-0.039,-0.035
694.237,-0.080,-0.063,-0.031,-0.030,-0.032
694.248,0.002,-0.049,-0.050,-0.049,-0.041
694.259,0.044,-0.029,-0.065,-0.066,-0.049
694.270,-0.039,-0.024,-0.051,-0.052,-0.057
694.281,0.086,-0.040,-0.036,-0.036,-0.055
694.291,-0.081,-0.051,-0.039,-0.039,-0.051
694.302,-0.039,-0.054,-0.039,-0.038,-0.047
694.313,-0.165,-0.060,-0.056,-0.054,-0.049
694.324,-0.206,-0.055,-0.045,-0.044,-0.052
694.335,-0.039,-0.052,-0.077,-0.076,-0.060
694.345,-0.039,-0.052,-0.075,-0.074,-0.070
694.356,0.002,-0.044,-0.062,-0.062,-0.069
694.367,0.044,-0.024,-0.022,-0.022,-0.057
694.378,0.127,-0.017,-0.023,-0.024,-0.043
694.389,0.212,0.005,-0.020,-0.022,-0.034
694.399,-0.080,-0.025,-0.044,-0.045,-0.036
694.410,0.002,-0.025,-0.045,-0.046,-0.045
694.421,-0.039,-0.042,-0.014,-0.014,-0.042
694.432,0.002,-0.037,-0.010,-0.010,-0.034
694.442,0.002,-0.039,0.008,0.008,-0.025
694.453,0.085,-0.027,-0.020,-0.021,-0.026
694.464,0.002,-0.021,-0.013,-0.014,-0.028
694.475,0.002,-0.011,-0.031,-0.032,-0.033
694.485,-0.291,-0.008,-0.016,-0.018,-0.038
694.496,0.002,-0.026,-0.032,-0.033,-0.041
694.507,-0.164,-0.019,-0.047,-0.049,-0.050
694.518,0.044,-0.011,-0.063,-0.064,-0.063
694.528,0.002,-0.005,-0.057,-0.059,-0.067
694.539,0.002,-0.000,-0.051,-0.053,-0.070
694.550,-0.163,-0.017,-0.057,-0.058,-0.070
694.561,-0.080,-0.027,-0.034,-0.035,-0.065
694.571,-0.164,-0.026,-0.063,-0.063,-0.064
694.582,-0.081,-0.024,-0.054,-0.055,-0.066
694.593,0.086,-0.025,-0.057,-0.057,-0.067
694.604,0.212,-0.003,-0.051,-0.053,-0.074
694.614,0.127,0.005,-0.063,-0.066,-0.074
694.625,0.044,0.013,-0.049,-0.052,-0.076
694.636,0.044,-0.002,-0.064,-0.066,-0.073
694.647,-0.164,-0.006,-0.091,-0.093,-0.083
694.657,-0.039,0.004,-0.107,-0.109,-0.098
694.668,0.127,-0.000,-0.107,-0.109,-0.108
694.679,0.002,-0.005,-0.088,-0.090,-0.105
694.690,-0.164,-0.019,-0.094,-0.095,-0.106
694.701,0.169,-0.011,-0.081,-0.082,-0.105
694.711,0.127,-0.014,-0.073,-0.074,-0.099
694.722,0.044,-0.011,-0.067,-0.069,-0.096
694.733,0.002,0.007,-0.077,-0.079,-0.095
694.744,-0.121,0.012,-0.060,-0.062,-0.091
694.755,0.086,0.004,-0.061,-0.063,-0.088
694.765,-0.165,-0.013,-0.072,-0.073,-0.090
694.776,-0.164,-0.021,-0.110,-0.111,-0.102
694.787,-0.207,-0.025,-0.139,-0.140,-0.125
694.798,0.086,-0.031,-0.139,-0.140,-0.140
694.808,-0.164,-0.031,-0.168,-0.168,-0.160
694.819,-0.123,-0.034,-0.162,-0.162,-0.176
694.831,-0.247,-0.049,-0.180,-0.180,-0.193
694.843,0.086,-0.031,-0.161,-0.161,-0.198
694.854,0.002,-0.032,-0.146,-0.147,-0.194
694.866,-0.123,-0.039,-0.144,-0.144,-0.191
694.877,-0.247,-0.038,-0.138,-0.137,-0.180
694.889,-0.081,-0.038,-0.091,-0.091,-0.163
694.900,-0.080,-0.029,-0.112,-0.112,-0.153
694.912,0.086,-0.046,-0.082,-0.081,-0.145
694.924,-0.039,-0.047,-0.114,-0.113,-0.137
694.935,0.286,-0.061,-0.131,-0.130,-0.140
694.947,-0.941,0.057,-0.121,-0.127,-0.140
694.959,-0.267,-0.074,-0.122,-0.121,-0.142
694.970,1.676,0.152,-0.109,-0.122,-0.136
694.982,1.890,0.057,-0.143,-0.152,-0.143
694.993,-6.322,-0.082,-0.142,-0.142,-0.150
695.005,1.166,-0.051,-0.121,-0.123,-0.149
695.017,-2.293,-0.230,-0.118,-0.111,-0.145
695.028,0.606,-0.357,-0.138,-0.123,-0.144
695.040,3.032,-0.323,-0.121,-0.108,-0.142
695.051,-4.391,-0.356,-0.116,-0.102,-0.132
695.063,0.993,-0.239,-0.097,-0.090,-0.127
695.074,3.751,-0.257,-0.112,-0.104,-0.124
695.086,4.555,-0.319,-0.110,-0.100,-0.124
695.098,8.075,-0.132,-0.097,-0.101,-0.125
695.109,-9.884,-0.297,-0.083,-0.077,-0.124
695.121,9.012,-0.270,-0.052,-0.048,-0.110
695.133,-10.470,-0.483,-0.056,-0.040,-0.098
695.144,0.549,-0.490,-0.068,-0.052,-0.095
695.156,-1.723,-0.448,-0.058,-0.045,-0.091
695.167,-6.964,-0.340,-0.033,-0.027,-0.079
695.179,-1.972,-0.264,-0.044,-0.043,-0.076
695.191,2.367,-0.148,-0.046,-0.053,-0.081
695.202,-0.891,-0.087,-0.003,-0.014,-0.079
695.214,-3.082,-0.113,0.005,-0.004,-0.068
695.225,13.439,-0.021,0.024,0.008,-0.057
695.237,12.745,0.080,0.019,-0.003,-0.048
695.249,2.553,-0.336,0.009,0.011,-0.038
695.260,-0.610,-0.727,0.007,0.034,-0.034
695.272,2.306,-0.619,-0.004,0.015,-0.032
695.283,-0.829,-0.511,-0.033,-0.022,-0.040
695.295,-5.348,-0.391,-0.076,-0.074,-0.060
695.307,-7.395,-0.354,-0.070,-0.072,-0.081
695.318,2.398,-0.162,-0.064,-0.079,-0.097
695.330,2.635,0.041,0.003,-0.023,-0.092
695.341,-4.217,0.170,0.040,0.002,-0.074
695.353,-3.432,0.154,0.011,-0.026,-0.069
695.365,-11.129,0.140,-0.050,-0.088,-0.084
695.376,2.745,0.088,0.003,-0.032,-0.082
695.388,14.165,0.475,0.052,-0.010,-0.071
695.399,-7.380,0.064,0.057,0.018,-0.056
695.411,4.922,0.209,0.045,-0.002,-0.038
695.423,0.672,0.041,0.034,-0.001,-0.034
695.434,-3.330,-0.125,0.002,-0.021,-0.042
695.446,-1.551,-0.022,0.006,-0.024,-0.045
695.457,2.015,0.049,0.012,-0.025,-0.046
695.469,-5.666,0.011,0.010,-0.029,-0.046
695.481,2.889,0.233,0.014,-0.033,-0.049
695.492,7.993,0.117,-0.044,-0.084,-0.064
695.504,-12.423,-0.746,0.003,-0.000,-0.061
695.515,-4.555,-0.701,0.026,0.000,-0.055
695.527,5.717,-0.487,0.161,0.117,-0.021
695.539,-29.923,-0.908,-0.076,-0.087,-0.029
695.551,28.295,0.017,-0.034,-0.098,-0.060
695.562,24.542,-0.238,0.087,0.021,-0.063
695.574,14.468,-0.346,0.137,0.057,-0.034
695.586,3.662,-0.524,0.161,0.096,-0.012
695.597,15.488,-0.158,0.187,0.085,0.019
695.609,26.443,0.984,0.486,0.329,0.091
695.620,10.031,1.254,0.600,0.439,0.209
695.632,21.561,1.987,0.892,0.696,0.355
695.644,51.819,3.376,1.437,1.183,0.609
695.655,47.088,2.928,1.788,1.535,0.926
695.667,22.230,2.143,2.153,1.911,1.256
695.679,15.198,2.270,2.353,2.106,1.570
695.691,24.322,2.775,2.405,2.125,1.788
695.702,28.926,3.177,2.286,1.986,1.896
695.714,16.261,3.126,2.244,1.958,1.916
695.726,-4.962,2.385,2.059,1.820,1.886
695.737,-25.170,1.582,1.751,1.577,1.782
695.749,-34.323,1.118,1.497,1.373,1.631
695.761,-24.879,0.830,1.105,1.012,1.409
695.772,-22.614,0.646,0.623,0.562,1.121
695.784,2.897,0.478,0.130,0.088,0.768
695.796,-10.095,-0.172,-0.467,-0.452,0.353
695.807,-6.511,-0.422,-1.022,-0.984,-0.121
695.819,-13.283,-0.568,-1.601,-1.548,-0.620
695.831,-16.920,0.013,-1.966,-1.958,-1.095
695.842,-11.297,1.212,-2.251,-2.317,-1.519
695.854,-0.751,2.182,-2.584,-2.696,-1.909
695.866,-5.941,2.345,-2.714,-2.826,-2.236
695.877,-16.688,1.284,-2.933,-2.979,-2.500
695.889,-17.811,-0.395,-3.061,-3.036,-2.717
695.901,-7.211,-1.275,-2.978,-2.938,-2.850
695.912,20.946,-0.576,-2.724,-2.734,-2.875
695.924,37.907,0.403,-2.284,-2.358,-2.778
695.936,19.986,0.810,-1.826,-1.912,-2.546
695.947,5.263,0.302,-1.148,-1.208,-2.172
695.959,-17.298,-0.083,-0.403,-0.432,-1.651
695.971,-12.631,-0.475,0.448,0.450,-1.015
695.982,-11.382,-0.519,1.346,1.361,-0.281
695.994,-31.079,-0.999,2.237,2.286,0.522
696.006,-40.989,-1.440,3.089,3.169,1.374
696.017,-42.187,-1.506,3.835,3.913,2.207
696.029,-25.680,-1.163,4.561,4.614,2.993
696.041,3.493,-0.700,5.030,5.058,3.685
696.053,33.404,-0.262,5.231,5.227,4.211
696.064,40.029,-0.215,5.185,5.172,4.552
696.076,21.867,-0.808,4.884,4.910,4.689
696.087,2.975,-1.277,4.330,4.393,4.606
696.099,18.740,-0.993,3.608,3.638,4.308
696.111,37.219,-0.804,2.819,2.788,3.805
696.123,38.647,-0.675,1.955,1.882,3.146
696.134,40.293,-0.558,1.094,0.994,2.395
696.146,36.116,-0.628,0.219,0.088,1.603
696.157,22.602,-0.883,-0.520,-0.670,0.807
696.169,8.244,-1.245,-1.106,-1.248,0.070
696.181,16.896,-2.147,-1.698,-1.816,-0.620
696.192,30.690,-2.888,-2.220,-2.364,-1.268
696.204,24.225,-2.554,-2.611,-2.816,-1.843
696.216,-25.314,-1.714,-2.954,-3.178,-2.340
696.227,-28.859,-1.266,-3.167,-3.375,-2.743
696.239,6.476,-0.853,-3.188,-3.422,-3.039
696.251,-29.539,-0.814,-3.044,-3.284,-3.204
696.263,-38.643,-0.040,-2.761,-3.026,-3.195
696.275,-35.732,-0.092,-2.316,-2.570,-3.036
696.286,-33.414,0.023,-1.790,-2.074,-2.745
696.298,-25.606,-0.160,-1.151,-1.415,-2.349
696.310,-21.158,-0.342,-0.382,-0.637,-1.822
696.321,-17.949,-0.145,0.463,0.178,-1.179
696.333,6.698,0.261,1.296,1.002,-0.476
696.345,33.498,0.490,2.125,1.830,0.267
696.356,37.978,0.230,2.950,2.646,1.030
696.368,25.141,-0.101,3.786,3.472,1.817
696.380,15.746,-0.395,4.535,4.217,2.633
696.392,5.053,0.153,5.086,4.738,3.353
696.403,-9.228,0.345,5.459,5.119,3.994
696.415,-29.315,0.251,5.506,5.194,4.495
696.426,-6.547,-0.064,5.196,4.919,4.792
696.438,4.489,-0.254,4.572,4.325,4.829
696.450,-19.498,-0.985,3.450,3.230,4.558
696.461,-6.527,-0.810,1.866,1.647,3.925
696.473,5.344,-0.600,-0.149,-0.369,2.903
696.484,14.005,-0.115,-2.689,-2.925,1.462
696.496,32.144,-0.067,-5.540,-5.746,-0.396
696.507,21.513,0.536,-8.628,-8.868,-2.624
696.519,26.849,1.706,-11.868,-12.172,-5.171
696.531,38.583,3.051,-15.211,-15.571,-7.967
696.542,25.550,4.421,-18.595,-18.999,-10.988
696.554,25.764,5.627,-21.563,-22.027,-14.011
696.566,7.109,6.407,-24.148,-24.674,-16.939
696.577,11.524,6.532,-26.309,-26.860,-19.667
696.589,20.701,5.980,-28.006,-28.513,-22.130
696.600,-4.656,4.742,-29.190,-29.620,-24.241
696.612,8.084,4.077,-29.675,-30.065,-25.877
696.623,-4.168,4.211,-29.608,-29.985,-27.020
696.635,-2.956,4.133,-29.075,-29.440,-27.693
696.647,19.650,3.680,-28.045,-28.351,-27.880
696.658,-5.789,2.936,-26.602,-26.844,-27.585
696.670,-0.580,3.184,-24.752,-25.009,-26.838
696.682,25.664,3.065,-22.693,-22.888,-25.677
696.693,34.534,2.623,-20.466,-20.593,-24.192
696.705,19.820,2.111,-18.115,-18.203,-22.438
696.716,-5.543,1.245,-15.694,-15.740,-20.473
696.727,-9.291,0.688,-13.332,-13.333,-18.444
696.739,0.492,0.755,-10.745,-10.766,-16.084
696.751,26.630,0.293,-8.001,-8.003,-13.612
696.761,-17.669,-1.748,-5.803,-5.683,-11.458
696.771,-35.465,-3.490,-3.657,-3.421,-9.281
696.781,5.674,-2.893,-1.435,-1.218,-7.104
696.791,-16.839,-3.272,0.739,0.975,-4.922
696.801,-11.994,-3.385,2.896,3.146,-2.719
696.811,31.909,-2.516,4.874,5.081,-0.587
696.824,19.495,-2.245,6.945,7.144,1.856
696.834,-9.090,-2.711,8.389,8.613,3.708
696.846,-50.563,-3.846,9.711,10.006,5.692
696.856,-20.365,-3.578,10.426,10.718,7.073
696.866,-20.226,-3.551,10.932,11.225,8.197
696.876,-0.666,-2.807,11.070,11.331,9.053
696.888,-10.176,-2.795,10.886,11.138,9.718
696.898,3.588,-2.563,10.387,10.619,9.941
696.910,-7.946,-2.242,9.589,9.783,9.849
696.922,37.749,-1.995,8.484,8.639,9.397
696.932,-19.986,-3.862,7.354,7.638,8.800
696.942,-40.711,-5.621,6.097,6.515,8.045
696.952,7.725,-4.725,4.956,5.315,7.161
696.962,3.711,-4.497,3.759,4.103,6.185
696.974,1.521,-4.503,2.396,2.743,4.941
696.986,1.497,-4.027,1.156,1.470,3.703
696.998,-0.240,-3.315,0.139,0.400,2.509
697.009,-0.791,-2.639,-0.840,-0.628,1.370
697.021,-1.907,-2.343,-1.640,-1.458,0.324
697.033,-8.885,-2.351,-2.282,-2.111,-0.604
697.044,-9.642,-2.586,-2.748,-2.573,-1.390
697.056,3.503,-2.129,-3.021,-2.879,-2.006
697.068,24.764,-1.672,-3.159,-3.021,-2.464
697.079,37.191,-0.664,-3.078,-2.948,-2.754
697.091,37.529,0.675,-2.837,-2.735,-2.861
697.103,25.788,1.617,-2.512,-2.429,-2.804
697.114,4.806,0.960,-2.166,-2.014,-2.630
697.126,8.443,0.654,-1.594,-1.427,-2.324
697.138,35.063,-0.315,-0.972,-0.768,-1.909
697.149,45.157,-1.746,-0.168,0.064,-1.387
697.161,41.212,-3.202,0.750,0.981,-0.735
697.173,28.818,-3.515,1.728,1.937,0.000
697.185,11.102,-3.864,2.657,2.879,0.827
697.196,-1.730,-3.946,3.479,3.711,1.656
697.208,-6.935,-4.094,4.141,4.377,2.444
697.220,-11.521,-4.069,4.776,5.000,3.190
697.231,-22.373,-3.822,5.403,5.585,3.872
697.243,-24.644,-3.070,5.634,5.761,4.429
697.255,-21.786,-2.633,5.717,5.839,4.829
697.266,-16.670,-2.787,5.512,5.636,5.045
697.278,-27.665,-3.885,4.944,5.125,5.012
697.290,-21.632,-5.649,4.196,4.501,4.765
697.302,-2.750,-6.537,3.297,3.672,4.316
697.313,-4.834,-6.514,2.320,2.677,3.679
697.325,-13.997,-6.098,1.427,1.738,2.915
697.336,-19.782,-5.925,0.519,0.784,2.083
697.348,-25.307,-5.664,-0.174,-0.019,1.243
697.360,-25.649,-5.361,-0.769,-0.747,0.444
697.371,-20.677,-5.462,-1.236,-1.259,-0.279
697.383,-1.949,-4.667,-1.678,-1.754,-0.911
697.395,19.405,-3.889,-2.100,-2.186,-1.486
697.407,31.023,-3.331,-2.368,-2.460,-1.963
697.418,32.942,-3.124,-2.646,-2.725,-2.361
697.430,24.898,-3.262,-2.712,-2.750,-2.646
697.442,-3.353,-3.694,-2.527,-2.522,-2.765
697.453,-15.463,-3.861,-2.114,-2.108,-2.715
697.465,-2.880,-4.157,-1.669,-1.668,-2.527
697.476,-24.702,-6.641,-1.354,-1.240,-2.255
697.488,30.225,-7.261,-0.877,-0.780,-1.941
697.500,30.129,-7.948,-0.348,-0.262,-1.563
697.512,9.892,-7.685,0.208,0.254,-1.129
697.523,-18.597,-7.402,0.857,0.874,-0.644
697.535,-23.479,-6.938,1.558,1.520,-0.090
697.547,-21.124,-6.709,2.183,2.110,0.480
697.558,-17.925,-6.649,2.743,2.651,1.045
697.570,-41.117,-8.158,3.069,3.041,1.560
697.582,-29.426,-9.480,3.347,3.373,2.018
697.593,-20.583,-10.227,3.525,3.592,2.399
697.605,-16.597,-10.191,3.676,3.736,2.685
697.617,-9.829,-9.250,3.714,3.680,2.871
697.628,4.546,-7.746,3.508,3.358,2.928
697.640,12.923,-5.860,3.293,3.004,2.857
697.650,24.789,-3.887,3.021,2.614,2.713
697.660,5.314,-4.026,2.625,2.220,2.494
697.670,-6.346,-4.331,2.082,1.683,2.189
697.681,-17.400,-4.526,1.471,1.086,1.789
697.692,-7.880,-4.280,0.914,0.505,1.310
697.703,-5.090,-3.867,0.387,-0.050,0.807
697.714,-4.545,-3.572,-0.050,-0.508,0.310
697.725,-22.238,-3.956,-0.338,-0.773,-0.144
697.736,-41.348,-4.331,-0.315,-0.735,-0.477
697.747,-25.130,-3.825,0.029,-0.428,-0.634
697.758,-16.269,-3.420,0.813,0.327,-0.551
697.769,-40.628,-3.930,1.895,1.441,-0.183
697.780,-33.790,-3.760,3.436,2.957,0.509
697.791,-5.043,-2.892,5.327,4.784,1.529
697.803,13.449,-2.908,7.530,6.979,2.885
697.814,16.730,-3.077,10.068,9.498,4.573
697.825,28.139,-2.147,12.859,12.233,6.581
697.837,8.842,-1.869,15.728,15.069,8.861
697.848,19.742,-0.463,18.703,17.967,11.346
697.860,-3.519,0.186,21.538,20.775,13.966
697.871,8.646,0.209,24.070,23.313,16.513
697.882,-5.381,-0.490,26.084,25.380,18.942
697.893,-3.546,-0.744,27.773,27.082,21.177
697.904,16.383,-0.624,29.063,28.365,23.172
697.915,2.856,-1.806,29.866,29.287,24.868
697.926,24.045,-1.619,30.263,29.676,26.218
697.937,16.399,-0.943,30.273,29.650,27.170
697.948,-13.199,-1.363,29.757,29.159,27.716
697.959,14.110,-0.834,28.951,28.329,27.872
697.970,14.948,-0.351,27.852,27.203,27.656
697.981,-4.387,-0.164,26.545,25.896,27.115
697.992,-19.921,0.167,25.009,24.357,26.300
698.003,-2.715,0.831,23.519,22.828,25.252
698.014,13.556,1.532,22.012,21.292,24.067
698.025,17.516,1.684,20.550,19.821,22.786
698.036,8.465,1.247,19.135,18.451,21.454
698.047,-5.361,0.610,17.896,17.257,20.152
698.058,-4.244,0.560,16.814,16.182,18.905
