R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry
175,25,1900,200,25,2100,400,100,0,0,0,0,7,75,10,10.0,32.0,0.000010,0.000300,20,0,0,0,0,10,75,0,0
sysTime,ARawX,ARawY,ARawZ,aPT1R,aPT2R,aKFRawR,aKFPT10R,aKFPT11R
133.208,-0.215,0.194,9.839,1.013,1.013,1.354,1.417,1.344
133.219,-0.244,0.179,9.860,1.012,1.012,1.399,1.463,1.354
133.231,-0.280,0.158,9.810,1.011,1.011,1.383,1.448,1.367
133.242,-0.273,0.150,9.875,1.016,1.012,1.344,1.409,1.363
133.252,-0.237,0.172,9.903,0.992,1.010,1.304,1.370,1.346
133.264,-0.208,0.115,9.860,0.960,1.004,1.303,1.370,1.331
133.275,-0.201,0.143,9.889,0.955,0.997,1.340,1.407,1.330
133.287,-0.237,0.179,9.810,0.966,0.991,1.352,1.419,1.339
133.298,-0.215,0.179,9.882,0.981,0.989,1.336,1.403,1.340
133.310,-0.237,0.158,9.831,0.965,0.986,1.330,1.398,1.338
133.321,-0.158,0.143,9.882,0.952,0.981,1.316,1.385,1.337
133.333,-0.201,0.158,9.867,0.946,0.976,1.306,1.375,1.335
133.344,-0.230,0.122,9.839,0.938,0.972,1.327,1.396,1.338
133.354,-0.230,0.179,9.846,0.949,0.968,1.305,1.375,1.338
133.365,-0.222,0.143,9.860,0.953,0.965,1.316,1.386,1.337
133.377,-0.273,0.172,9.846,0.946,0.961,1.326,1.396,1.345
133.388,-0.251,0.179,9.796,0.957,0.959,1.321,1.391,1.348
133.400,-0.215,0.179,9.875,0.980,0.961,1.340,1.410,1.352
133.411,-0.230,0.143,9.853,0.974,0.964,1.355,1.425,1.364
133.423,-0.251,0.158,9.875,0.986,0.967,1.357,1.428,1.377
133.434,-0.215,0.165,9.911,0.984,0.970,1.352,1.423,1.386
133.446,-0.237,0.158,9.889,0.979,0.972,1.329,1.400,1.384
133.456,-0.222,0.158,9.911,0.981,0.974,1.341,1.412,1.385
133.467,-0.258,0.150,9.846,0.976,0.974,1.315,1.387,1.380
133.479,-0.244,0.158,9.846,0.982,0.975,1.320,1.392,1.375
133.490,-0.201,0.179,9.860,0.994,0.978,1.316,1.388,1.376
133.502,-0.201,0.150,9.831,0.970,0.978,1.318,1.391,1.378
133.513,-0.201,0.143,9.889,0.970,0.977,1.351,1.424,1.388
133.525,-0.186,0.172,9.882,0.978,0.977,1.347,1.420,1.397
133.536,-0.258,0.165,9.839,0.972,0.976,1.366,1.440,1.409
133.547,-0.251,0.115,9.889,0.941,0.973,1.373,1.448,1.422
133.557,-0.215,0.208,9.839,0.959,0.969,1.368,1.443,1.429
133.569,-0.194,0.172,9.925,0.968,0.968,1.403,1.478,1.439
133.580,-0.208,0.179,9.889,0.979,0.969,1.425,1.500,1.459
133.592,-0.237,0.165,9.911,0.978,0.970,1.433,1.508,1.477
133.603,-0.251,0.201,9.824,0.978,0.971,1.422,1.498,1.485
133.615,-0.201,0.172,9.889,0.995,0.974,1.421,1.496,1.488
133.626,-0.201,0.194,9.889,1.017,0.979,1.409,1.484,1.489
133.638,-0.208,0.150,9.875,1.009,0.985,1.402,1.478,1.488
133.649,-0.237,0.179,9.882,1.019,0.990,1.408,1.484,1.489
133.659,-0.186,0.179,9.831,1.019,0.994,1.384,1.460,1.486
133.671,-0.265,0.201,9.875,1.036,1.000,1.399,1.475,1.486
133.682,-0.201,0.201,9.896,1.038,1.005,1.396,1.472,1.488
133.693,-0.222,0.172,9.824,1.022,1.009,1.383,1.459,1.491
133.705,-0.201,0.179,9.882,1.022,1.011,1.377,1.454,1.488
133.716,-0.172,0.143,9.882,1.007,1.012,1.357,1.434,1.483
133.728,-0.265,0.165,9.889,1.008,1.011,1.385,1.463,1.481
133.739,-0.222,0.158,9.867,0.992,1.009,1.363,1.442,1.476
133.751,-0.186,0.143,9.853,0.966,1.004,1.328,1.407,1.461
133.761,-0.215,0.129,9.875,0.948,0.997,1.346,1.426,1.452
133.772,-0.201,0.150,9.853,0.965,0.992,1.358,1.438,1.454
133.784,-0.215,0.165,9.889,0.966,0.987,1.340,1.420,1.455
