R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,32.0,0.010000,0.003000,10,250,1,250,1,50,500,0,0
sysTime,aRawR,aPT1R,aKFRawR,aKFPT10R,aKFPT11R
721.829,-0.206,-0.274,-0.392,-0.392,-0.387
721.840,-0.081,-0.267,-0.374,-0.374,-0.387
721.850,0.044,-0.246,-0.372,-0.373,-0.382
721.861,-0.123,-0.237,-0.356,-0.357,-0.376
721.872,-0.374,-0.251,-0.369,-0.369,-0.374
721.883,-0.375,-0.246,-0.379,-0.380,-0.383
721.893,-0.458,-0.252,-0.392,-0.393,-0.392
721.904,-0.249,-0.240,-0.406,-0.407,-0.399
721.915,-0.247,-0.253,-0.401,-0.401,-0.403
721.926,-0.290,-0.248,-0.404,-0.404,-0.402
721.937,-0.331,-0.255,-0.398,-0.398,-0.397
721.947,-0.331,-0.253,-0.365,-0.366,-0.391
721.958,-0.039,-0.245,-0.373,-0.374,-0.382
721.969,-0.164,-0.248,-0.386,-0.387,-0.381
721.980,-0.498,-0.277,-0.419,-0.418,-0.387
721.990,-0.247,-0.285,-0.422,-0.421,-0.395
722.001,-0.332,-0.283,-0.433,-0.431,-0.406
722.012,-0.329,-0.302,-0.418,-0.416,-0.411
722.023,-0.080,-0.290,-0.404,-0.402,-0.406
722.033,-0.039,-0.294,-0.431,-0.429,-0.406
722.044,-0.500,-0.302,-0.420,-0.418,-0.409
722.055,-0.289,-0.282,-0.434,-0.432,-0.415
722.066,-0.417,-0.311,-0.436,-0.433,-0.422
722.076,-0.206,-0.312,-0.439,-0.436,-0.431
722.087,-0.122,-0.319,-0.451,-0.448,-0.439
722.098,-0.331,-0.318,-0.440,-0.436,-0.442
722.109,-0.206,-0.305,-0.457,-0.454,-0.443
722.119,-0.080,-0.284,-0.470,-0.469,-0.448
722.130,-0.248,-0.290,-0.464,-0.462,-0.448
722.141,-0.457,-0.292,-0.464,-0.462,-0.456
722.152,-0.121,-0.307,-0.450,-0.447,-0.459
722.163,-0.205,-0.282,-0.416,-0.415,-0.446
722.173,-0.164,-0.276,-0.402,-0.401,-0.433
722.184,-0.330,-0.274,-0.394,-0.393,-0.423
722.195,-0.206,-0.280,-0.390,-0.389,-0.417
722.206,-0.292,-0.279,-0.363,-0.362,-0.405
722.216,-0.247,-0.284,-0.378,-0.376,-0.395
722.227,-0.455,-0.289,-0.378,-0.377,-0.392
722.238,-0.373,-0.299,-0.401,-0.399,-0.399
722.249,-0.456,-0.298,-0.402,-0.400,-0.407
722.259,-0.206,-0.285,-0.407,-0.405,-0.413
722.270,-0.165,-0.253,-0.410,-0.411,-0.422
722.281,-0.331,-0.271,-0.412,-0.411,-0.427
722.292,-0.122,-0.276,-0.414,-0.414,-0.428
722.303,-0.206,-0.245,-0.433,-0.434,-0.433
722.313,-0.288,-0.235,-0.443,-0.445,-0.436
722.324,-0.332,-0.236,-0.438,-0.440,-0.438
722.335,-0.414,-0.248,-0.423,-0.424,-0.437
722.346,-0.374,-0.244,-0.436,-0.437,-0.436
722.356,-0.458,-0.242,-0.431,-0.432,-0.433
722.367,-0.332,-0.236,-0.430,-0.432,-0.431
722.378,-0.331,-0.248,-0.429,-0.430,-0.430
722.389,-0.291,-0.237,-0.460,-0.462,-0.438
722.400,-0.248,-0.245,-0.479,-0.481,-0.453
722.411,-0.247,-0.260,-0.472,-0.473,-0.458
722.421,-0.331,-0.248,-0.457,-0.458,-0.453
722.432,-0.331,-0.249,-0.483,-0.484,-0.455
722.443,-0.206,-0.269,-0.490,-0.490,-0.462
722.454,-0.122,-0.236,-0.449,-0.451,-0.455
