R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha,FFDTermC,IRelaxR,IRelaxE,DmaxR,DmaxE,DMx,DMy
45,15,25,45,5,25,350,10,0,0,0,0,35,200,10,10.0,64.0,0.000100,0.003000,50,30,0,30,0,75,300,0,0,0.995,10.000,6000,500,300,100,25,25
sysTime,GRawXi,GPT1Xi133,GPT1Xi200,PIDRefX,PIDRefY,PIDRefZ,PIDSensX,PIDSensY,PIDSensZ
9.427,-34,-33,-33,0.000,0.000,0.000,0.000,0.000,0.000
9.433,-37,-34,-34,0.000,0.000,0.000,0.000,0.000,0.000
9.439,-29,-33,-33,0.000,0.000,0.000,0.000,0.000,0.000
9.445,-29,-32,-32,0.000,0.000,0.000,0.000,0.000,0.000
9.451,-34,-32,-31,0.000,0.000,0.000,0.000,0.000,0.000
9.457,-23,-30,-29,0.000,0.000,0.000,0.000,0.000,0.000
9.463,-24,-28,-27,0.000,0.000,0.000,0.000,0.000,0.000
9.469,-26,-26,-25,0.000,0.000,0.000,0.000,0.000,0.000
9.474,-19,-24,-23,0.000,0.000,0.000,0.000,0.000,0.000
9.480,-15,-21,-20,0.000,0.000,0.000,0.000,0.000,0.000
9.486,-12,-18,-17,0.000,0.000,0.000,0.000,0.000,0.000
9.492,-16,-16,-14,0.000,0.000,0.000,0.000,0.000,0.000
9.498,-7,-12,-11,0.000,0.000,0.000,0.000,0.000,0.000
9.504,-1,-9,-7,0.000,0.000,0.000,0.000,0.000,0.000
9.510,-4,-5,-4,0.000,0.000,0.000,0.000,0.000,0.000
9.516,0,-1,1,0.000,0.000,0.000,0.000,0.000,0.000
9.521,6,3,5,0.000,0.000,0.000,0.000,0.000,0.000
9.527,13,7,8,0.000,0.000,0.000,0.000,0.000,0.000
9.532,16,10,12,0.000,0.000,0.000,0.000,0.000,0.000
9.538,19,14,16,0.000,0.000,0.000,0.000,0.000,0.000
9.544,19,18,19,0.000,0.000,0.000,0.000,0.000,0.000
9.549,27,21,23,0.000,0.000,0.000,0.000,0.000,0.000
9.555,31,25,26,0.000,0.000,0.000,0.000,0.000,0.000
9.560,26,27,29,0.000,0.000,0.000,0.000,0.000,0.000
9.566,34,30,32,0.000,0.000,0.000,0.000,0.000,0.000
9.572,32,32,33,0.000,0.000,0.000,0.000,0.000,0.000
9.577,34,34,35,0.000,0.000,0.000,0.000,0.000,0.000
9.583,33,36,36,0.000,0.000,0.000,0.000,0.000,0.000
9.588,40,37,37,0.000,0.000,0.000,0.000,0.000,0.000
9.594,39,37,38,0.000,0.000,0.000,0.000,0.000,0.000
9.599,34,36,36,0.000,0.000,0.000,0.000,0.000,0.000
9.605,36,36,36,0.000,0.000,0.000,0.000,0.000,0.000
9.611,39,34,34,0.000,0.000,0.000,0.000,0.000,0.000
9.616,28,32,31,0.000,0.000,0.000,0.000,0.000,0.000
9.622,28,30,29,0.000,0.000,0.000,0.000,0.000,0.000
9.627,26,27,26,0.000,0.000,0.000,0.000,0.000,0.000
9.633,12,24,22,0.000,0.000,0.000,0.000,0.000,0.000
9.638,15,20,19,0.000,0.000,0.000,0.000,0.000,0.000
9.644,7,16,14,0.000,0.000,0.000,0.000,0.000,0.000
9.650,2,11,9,0.000,0.000,0.000,0.000,0.000,0.000
9.655,-2,6,4,0.000,0.000,0.000,0.000,0.000,0.000
9.661,-3,2,0,0.000,0.000,0.000,0.000,0.000,0.000
9.667,-12,-4,-6,0.000,0.000,0.000,0.000,0.000,0.000
9.673,-16,-9,-11,0.000,0.000,0.000,0.000,0.000,0.000
9.679,-23,-14,-16,0.000,0.000,0.000,0.000,0.000,0.000
9.684,-26,-18,-20,0.000,0.000,0.000,0.000,0.000,0.000
9.690,-27,-23,-24,0.000,0.000,0.000,0.000,0.000,0.000
9.696,-26,-26,-28,0.000,0.000,0.000,0.000,0.000,0.000
9.702,-35,-30,-31,0.000,0.000,0.000,0.000,0.000,0.000
9.708,-44,-33,-35,0.000,0.000,0.000,0.000,0.000,0.000
