R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha,FFDTermC,IRelaxR,IRelaxE,DmaxR,DmaxE,DMx,DMy
35,20,20,45,5,25,350,10,0,0,0,0,35,200,10,10.0,64.0,0.000100,0.003000,50,30,0,30,0,75,300,0,0,0.995,10.000,3000,300,300,100,25,25
sysTime,GRawXi,GPT1Xi133,GPT1Xi200,PIDRefX,PIDRefY,PIDRefZ,PIDSensX,PIDSensY,PIDSensZ
145.647,0,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
145.653,-4,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
145.658,3,0,0,0.000,-0.446,0.000,20.469,-13.526,-0.438
145.664,-5,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
145.670,-1,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
145.675,1,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
145.681,0,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
145.687,3,-1,0,0.000,-0.446,0.000,20.469,-13.526,-0.438
145.692,3,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
145.698,1,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
145.704,-4,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
145.709,-6,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
145.715,-4,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
145.721,0,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
145.726,0,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
145.732,-4,-1,0,0.000,-0.446,0.000,20.469,-13.526,-0.438
145.738,-1,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
145.743,-2,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
145.749,-3,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
145.755,-2,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
145.761,-3,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
145.766,-7,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
145.772,-2,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
145.778,-5,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
145.783,2,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
145.789,-1,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
145.795,7,-1,0,0.000,-0.446,0.000,20.469,-13.526,-0.438
145.800,-1,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
145.806,-2,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
145.812,1,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
145.817,-1,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
145.823,-2,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
145.829,0,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
145.834,-4,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
145.840,1,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
145.846,-2,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
145.851,1,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
145.857,-8,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
145.863,-4,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
145.869,4,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
145.874,1,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
145.880,3,-1,0,0.000,-0.446,0.000,20.469,-13.526,-0.438
145.886,3,-1,0,0.000,-0.446,0.000,20.469,-13.526,-0.438
145.891,1,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
145.897,1,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
145.903,-7,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
145.908,3,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
145.914,-1,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
145.920,-2,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
145.925,-5,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
145.931,-1,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
145.937,-2,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
145.942,-6,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
145.948,6,0,0,0.000,-0.446,0.000,20.469,-13.526,-0.438
145.954,2,-1,0,0.000,-0.446,0.000,20.469,-13.526,-0.438
145.960,0,-1,0,0.000,-0.446,0.000,20.469,-13.526,-0.438
145.965,-2,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
145.971,-4,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
145.977,-5,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
145.982,-4,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
145.988,-4,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
145.994,-1,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
145.999,-2,-1,0,0.000,-0.446,0.000,20.469,-13.526,-0.438
146.005,2,-1,0,0.000,-0.446,0.000,20.469,-13.526,-0.438
146.011,-1,-1,0,0.000,-0.446,0.000,20.469,-13.526,-0.438
146.016,0,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
146.022,-6,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
146.028,3,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
146.033,4,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
146.039,0,-1,0,0.000,-0.446,0.000,20.469,-13.526,-0.438
146.045,-3,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
146.050,4,-1,0,0.000,-0.446,0.000,20.469,-13.526,-0.438
146.056,1,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
146.062,-1,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
146.067,-6,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
146.073,0,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
146.079,-4,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
146.084,0,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
146.090,-2,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
146.096,0,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
146.101,-2,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
146.107,-11,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
146.113,-5,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
146.119,-4,-1,0,0.000,-0.446,0.000,20.469,-13.526,-0.438
146.124,0,-1,0,0.000,-0.446,0.000,20.469,-13.526,-0.438
146.130,-3,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
146.136,-3,-1,0,0.000,-0.446,0.000,20.469,-13.526,-0.438
146.141,0,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
146.147,4,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
146.153,1,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
146.158,-7,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
146.164,-3,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
146.170,-3,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
146.175,-2,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
146.181,1,-1,-1,0.000,-0.446,0.000,20.469,-13.526,-0.438
146.188,5,-1,0,0.000,-0.446,0.000,0.731,-1.585,0.199
146.194,2,-1,-1,0.000,-0.446,0.000,0.180,-0.547,-0.393
